icao,iem_id,name,lat,lon,tz,country,cat_ils,cat_ils_confidence,size
OMAA,OMAA,Zayed International Airport,24.441,54.6492,Asia/Dubai,AE,CATIII,faa-c060,large
OMAD,OMAD,Al Bateen Executive Airport,24.4271,54.4599,Asia/Dubai,AE,CATI,assumed,large
OMAL,OMAL,Al Ain International Airport,24.2617,55.6092,Asia/Dubai,AE,CATI,assumed,large
OMDB,OMDB,Dubai International Airport,25.2498,55.371,Asia/Dubai,AE,CATIII,faa-c060,large
OMDW,OMDW,Al Maktoum International Airport,24.8962,55.1624,Asia/Dubai,AE,CATIII,faa-c060,large
OMFJ,OMFJ,Fujairah International Airport,25.1084,56.3281,Asia/Dubai,AE,CATI,assumed,large
OMRK,OMRK,Ras Al Khaimah International Airport,25.6135,55.9388,Asia/Dubai,AE,CATI,assumed,large
OMSJ,OMSJ,Sharjah International Airport,25.3286,55.5172,Asia/Dubai,AE,CATI,assumed,large
OAHR,OAHR,Herat - Khwaja Abdullah Ansari International Airport,34.21,62.2283,Asia/Kabul,AF,CATI,assumed,large
OAKB,OAKB,Kabul International Airport,34.5659,69.2123,Asia/Kabul,AF,CATI,assumed,large
OAKN,OAKN,Ahmad Shah Baba International Airport,31.5058,65.848,Asia/Kabul,AF,CATI,assumed,large
OAMS,OAMS,Mazar-i-Sharif International Airport,36.7041,67.2105,Asia/Kabul,AF,CATI,assumed,large
TAPA,TAPA,V. C. Bird International Airport,17.1367,-61.7927,America/Antigua,AG,CATI,assumed,large
LATI,LATI,Tirana International Airport Mother Teresa,41.4147,19.7206,Europe/Tirane,AL,CATI,assumed,large
UDSG,UDSG,Shirak International Airport,40.7504,43.8593,Asia/Yerevan,AM,CATI,assumed,large
UDYZ,UDYZ,Zvartnots International Airport,40.1489,44.3979,Asia/Yerevan,AM,CATI,assumed,large
FNBJ,FNBJ,Dr. Antonio Agostinho Neto International Airport,-9.0507,13.4991,Africa/Luanda,AO,CATI,assumed,large
FNLU,FNLU,Quatro de Fevereiro International Airport,-8.8584,13.2312,Africa/Luanda,AO,CATI,assumed,large
SAAR,SAAR,Rosario Islas Malvinas International Airport,-32.9036,-60.785,America/Argentina/Cordoba,AR,CATI,assumed,large
SABE,SABE,Aeroparque Jorge Newbery,-34.5594,-58.4155,America/Argentina/Buenos_Aires,AR,CATI,assumed,large
SACO,SACO,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,-31.3123,-64.2083,America/Argentina/Cordoba,AR,CATI,assumed,large
SAEZ,SAEZ,Ezeiza International Airport - Ministro Pistarini,-34.8222,-58.5358,America/Argentina/Buenos_Aires,AR,CATIII,faa-c060,large
SAME,SAME,Governor Francisco Gabrielli International Airport,-32.8317,-68.7929,America/Argentina/Mendoza,AR,CATI,assumed,large
SANT,SANT,Teniente Benjamín Matienzo International Airport,-26.8374,-65.1042,America/Argentina/Tucuman,AR,CATI,assumed,large
SARE,SARE,Resistencia International Airport,-27.4499,-59.0561,America/Argentina/Cordoba,AR,CATI,assumed,large
SASA,SASA,Martín Miguel de Güemes International Airport,-24.856,-65.4862,America/Argentina/Salta,AR,CATI,assumed,large
