icao,cat_ils,cat_ils_confidence
BIKF,CATII,faa-c060
CYHM,CATII,faa-c060
CYHZ,CATII,faa-c060
CYMX,CATII,faa-c060
CYUL,CATII,faa-c060
CYVR,CATIII,faa-c060
CYWG,CATII,faa-c060
CYYC,CATIII,faa-c060
CYYT,CATIII,faa-c060
CYYZ,CATIII,faa-c060
EBBR,CATIII,faa-c060
EBLG,CATIII,faa-c060
EDDB,CATIII,faa-c060
EDDC,CATIII,faa-c060
EDDF,CATIII,faa-c060
EDDH,CATIII,faa-c060
EDDK,CATIII,faa-c060
EDDL,CATIII,faa-c060
EDDM,CATIII,faa-c060
EDDN,CATIII,faa-c060
EDDP,CATIII,faa-c060
EDDS,CATIII,faa-c060
EDDV,CATIII,faa-c060
EDFH,CATIII,faa-c060
EFHK,CATIII,faa-c060
EGAA,CATIII,faa-c060
EGBB,CATIII,faa-c060
EGCC,CATIII,faa-c060
EGGD,CATIII,faa-c060
EGGW,CATIII,faa-c060
EGKK,CATIII,faa-c060
EGLL,CATIII,faa-c060
EGNT,CATII,faa-c060
EGNX,CATIII,faa-c060
EGPF,CATIII,faa-c060
EGPH,CATIII,faa-c060
EGSS,CATIII,faa-c060
EHAM,CATIII,faa-c060
EICK,CATII,faa-c060
EIDW,CATIII,faa-c060
EINN,CATII,faa-c060
EKAH,CATII,faa-c060
EKBI,CATIII,faa-c060
EKCH,CATIII,faa-c060
ELLX,CATIII,faa-c060
ENGM,CATIII,faa-c060
EPKT,CATII,faa-c060
EPPO,CATII,faa-c060
EPRZ,CATII,faa-c060
EPWA,CATIII,faa-c060
EPWR,CATII,faa-c060
ESGG,CATIII,faa-c060
ESMS,CATII,faa-c060
ESSA,CATIII,faa-c060
FACT,CATII,faa-c060
FALE,CATII,faa-c060
FAOR,CATII,faa-c060
HECA,CATII,faa-c060
LBSF,CATIII,faa-c060
LEBL,CATIII,faa-c060
LEMD,CATIII,faa-c060
LEPA,CATIII,faa-c060
LEVT,CATII,faa-c060
LEZG,CATIII,faa-c060
LFBD,CATIII,faa-c060
LFBO,CATIII,faa-c060
LFLL,CATIII,faa-c060
LFPG,CATIII,faa-c060
LFPO,CATIII,faa-c060
LFQQ,CATII,faa-c060
LFRB,CATII,faa-c060
LFSB,CATIII,faa-c060
LGAV,CATII,faa-c060
LGTS,CATII,faa-c060
LHBP,CATIII,faa-c060
LIMC,CATIII,faa-c060
LIME,CATIII,faa-c060
LIMF,CATIII,faa-c060
LIML,CATIII,faa-c060
LIPE,CATIII,faa-c060
LIPZ,CATIII,faa-c060
LIRF,CATIII,faa-c060
LJLJ,CATIII,faa-c060
LKPR,CATIII,faa-c060
LOWG,CATIII,faa-c060
LOWW,CATIII,faa-c060
LPPR,CATII,faa-c060
LPPT,CATIII,faa-c060
LRBS,CATII,faa-c060
LROP,CATIII,faa-c060
LSGG,CATIII,faa-c060
LSZH,CATIII,faa-c060
LTAC,CATIII,faa-c060
LTAI,CATII,faa-c060
LTBJ,CATII,faa-c060
LTFM,CATIII,faa-c060
LZKZ,CATII,faa-c060
MMTO,CATIII,faa-c060
OKKK,CATII,faa-c060
OMAA,CATIII,faa-c060
OMDB,CATIII,faa-c060
OMDW,CATIII,faa-c060
OPIS,CATII,faa-c060
OTHH,CATIII,faa-c060
RCTP,CATII,faa-c060
RJAA,CATIII,faa-c060
RJBB,CATII,faa-c060
RJCC,CATIII,faa-c060
RJFT,CATIII,faa-c060
RJGG,CATIII,faa-c060
RJTT,CATIII,faa-c060
RKPC,CATII,faa-c060
RKSI,CATIII,faa-c060
RKSS,CATIII,faa-c060
SAEZ,CATIII,faa-c060
SBCT,CATII,faa-c060
SBGL,CATII,faa-c060
SBGR,CATIII,faa-c060
SCEL,CATIII,faa-c060
SEQM,CATII,faa-c060
SKBO,CATIII,faa-c060
SPJC,CATIII,faa-c060
UAAA,CATIII,faa-c060
UACC,CATIII,faa-c060
UBBB,CATIII,faa-c060
UCFM,CATII,faa-c060
UHHH,CATII,faa-c060
UHPP,CATII,faa-c060
UKBB,CATIII,faa-c060
ULLI,CATII,faa-c060
UNNT,CATII,faa-c060
UTAA,CATII,faa-c060
UTTT,CATII,faa-c060
UUDD,CATIII,faa-c060
UUEE,CATIII,faa-c060
VHHH,CATIII,faa-c060
VIAR,CATIII,faa-c060
VIDP,CATIII,faa-c060
VIJP,CATIII,faa-c060
VILK,CATII,faa-c060
VMMC,CATII,faa-c060
VOBL,CATIII,faa-c060
VTBD,CATII,faa-c060
VTBS,CATII,faa-c060
VVNB,CATII,faa-c060
WSSS,CATII,faa-c060
YMML,CATIII,faa-c060
YSCB,CATII,faa-c060
YSSY,CATII,faa-c060
ZBAA,CATIII,faa-c060
ZHCC,CATII,faa-c060
ZLXY,CATII,faa-c060
ZSHC,CATII,faa-c060
ZSNJ,CATII,faa-c060
ZSPD,CATIII,faa-c060
ZSQD,CATII,faa-c060
ZUUU,CATII,faa-c060
ZWWW,CATIII,faa-c060
KADW,CATIII,faa-nasr
KAFW,CATIII,faa-nasr
KATL,CATIII,faa-nasr
KAUS,CATIII,faa-nasr
KBDL,CATIII,faa-nasr
KBGR,CATIII,faa-nasr
KBHM,CATII,faa-nasr
KBMI,CATII,faa-nasr
KBNA,CATIII,faa-nasr
KBOI,CATIII,faa-nasr
KBOS,CATIII,faa-nasr
KBWI,CATIII,faa-nasr
KBZN,CATII,faa-nasr
KCAE,CATIII,faa-nasr
KCHA,CATII,faa-nasr
KCHS,CATII,faa-nasr
KCLE,CATIII,faa-nasr
KCLT,CATIII,faa-nasr
KCVG,CATIII,faa-nasr
KDAL,CATII,faa-nasr
KDAY,CATIII,faa-nasr
KDCA,CATII,faa-nasr
KDEN,CATIII,faa-nasr
KDFW,CATIII,faa-nasr
KDLH,CATII,faa-nasr
KDOV,CATII,faa-nasr
KDSM,CATIII,faa-nasr
KDTW,CATIII,faa-nasr
KEUG,CATIII,faa-nasr
KEWR,CATIII,faa-nasr
KFAT,CATIII,faa-nasr
KFWA,CATII,faa-nasr
KGEG,CATIII,faa-nasr
KGSO,CATIII,faa-nasr
KGSP,CATIII,faa-nasr
KGTF,CATIII,faa-nasr
KHOU,CATIII,faa-nasr
KHRL,CATII,faa-nasr
KHSV,CATIII,faa-nasr
KIAD,CATIII,faa-nasr
KIAH,CATIII,faa-nasr
KICT,CATII,faa-nasr
KILN,CATIII,faa-nasr
KIND,CATIII,faa-nasr
KJAN,CATIII,faa-nasr
KJAX,CATIII,faa-nasr
KJFK,CATIII,faa-nasr
KLAL,CATIII,faa-nasr
KLAX,CATIII,faa-nasr
KLCK,CATII,faa-nasr
KLIT,CATIII,faa-nasr
KMCI,CATIII,faa-nasr
KMCO,CATIII,faa-nasr
KMDT,CATIII,faa-nasr
KMEM,CATIII,faa-nasr
KMHT,CATIII,faa-nasr
KMKE,CATIII,faa-nasr
KMSN,CATIII,faa-nasr
KMSP,CATIII,faa-nasr
KMSY,CATIII,faa-nasr
KOAK,CATIII,faa-nasr
KOKC,CATII,faa-nasr
KOMA,CATIII,faa-nasr
KONT,CATIII,faa-nasr
KORD,CATIII,faa-nasr
KORH,CATIII,faa-nasr
KPDX,CATIII,faa-nasr
KPHL,CATIII,faa-nasr
KPIT,CATIII,faa-nasr
KPVD,CATIII,faa-nasr
KPWM,CATIII,faa-nasr
KRDU,CATIII,faa-nasr
KRFD,CATIII,faa-nasr
KRIC,CATIII,faa-nasr
KROC,CATII,faa-nasr
KRST,CATII,faa-nasr
KSAT,CATII,faa-nasr
KSDF,CATIII,faa-nasr
KSEA,CATIII,faa-nasr
KSFO,CATIII,faa-nasr
KSHV,CATII,faa-nasr
KSKA,CATII,faa-nasr
KSLC,CATIII,faa-nasr
KSMF,CATIII,faa-nasr
KSTL,CATIII,faa-nasr
KSUU,CATII,faa-nasr
KSWF,CATIII,faa-nasr
KSYR,CATII,faa-nasr
KTCM,CATII,faa-nasr
KTLH,CATII,faa-nasr
KTPA,CATIII,faa-nasr
KTRI,CATII,faa-nasr
KTUL,CATII,faa-nasr
KTYS,CATII,faa-nasr
KWRI,CATII,faa-nasr
PAFA,CATIII,faa-nasr
PANC,CATIII,faa-nasr
