icao,end,len,als,rvr,ils,lpv,conf
CYQI,15,5000,,0,,1,med
CYQI,24,6000,OTHER,0,,1,med
CYQI,33,5000,,0,,1,med
CYQI,06,6000,OTHER,0,,1,med
CYAZ,11,4997,,0,,1,med
CYAZ,16,5000,,0,,1,med
CYAZ,25,4999,,0,,1,med
CYAZ,29,4997,,0,,1,med
CYAZ,34,5000,,0,,1,med
CYAZ,07,4999,,0,,1,med
CYZS,16T,5000,,0,,1,med
CYZS,34T,5000,ODALS,0,,1,med
CYPQ,13,2000,,0,,0,high
CYPQ,27,7005,,0,,1,med
CYPQ,31,2000,,0,,0,high
CYPQ,09,7005,,0,,1,high
CYBC,10,6000,SSALR,1,I,1,med
CYBC,28,6000,ODALS,0,,1,med
CYYT,10,8502,ALSF2,1,III,1,med
CYYT,28,8502,ALSF2,1,III,1,med
CYYT,16,7005,SSALR,1,I,1,med
CYYT,34,7005,,1,,1,med
CYXZ,03,4429,,0,,1,med
CYXZ,21,4429,,0,,1,med
CYAY,10,4000,ODALS,1,,0,med
CYAY,28,4000,ODALS,1,,0,med
CYAM,12,6000,SSALR,1,I,1,med
CYAM,30,6000,ODALS,1,,1,med
CYAM,22,6000,ODALS,0,,1,med
CYAM,04,6000,ODALS,0,,1,med
CYBX,05,4500,ODALS,0,,1,med
CYPD,11,5000,,0,,0,med
CYPD,29,5000,,0,,0,med
CYBK,16T,4200,OTHER,0,,1,med
CYKF,26,7003,SSALR,1,I,1,med
CYKF,14,4103,,0,,0,med
CYKF,32,4103,,0,,0,med
CYXU,15,8800,SSALR,1,I,1,high
CYXU,33,8800,ODALS,1,,0,high
CYXU,09,6300,ODALS,0,,0,med
CYXU,27,6300,ODALS,0,,0,med
CYHZ,05,10500,SSALR,1,,1,med
CYHZ,23,10500,ALSF2,1,II,1,high
CYHZ,14,7700,SSALR,1,I,1,med
CYHZ,32,7700,SSALR,1,,1,high
CYHM,12,10006,ALSF2,1,II,1,med
CYHM,30,10006,OTHER,1,,1,med
CYHM,06,6010,,0,,1,med
CYHM,24,6010,OTHER,0,,1,med
CYQY,06,7070,SSALR,1,I,1,med
CYQY,24,7070,ODALS,1,,1,med
CYQY,18,5997,SSALR,1,,1,med
CYQY,36,5997,ODALS,1,,1,med
CYZV,09,6552,SSALR,1,I,1,med
CYZV,27,6552,ODALS,1,,1,med
CYZV,13,5771,OTHER,0,,1,med
CYZV,31,5771,OTHER,0,,1,med
CYRV,12,4800,,0,,0,high
CYRV,30,4800,,0,,0,high
CYRT,13T,6000,SSALR,0,,1,med
CYRT,31T,6000,SSALR,0,,1,med
CYQZ,13,5500,ODALS,0,,1,med
CYQZ,31,5500,ODALS,0,,1,med
CYYB,08,10000,SSALR,1,I,1,med
CYYB,26,10000,ODALS,1,,1,med
CYYB,13,2500,,0,,0,high
CYYB,31,2500,,0,,0,high
CYEN,08,5000,OTHER,0,,1,med
CYEN,26,5000,ODALS,0,,1,med
CYQA,18,6000,,0,,0,med
CYQA,36,6000,,0,,0,med
CYSJ,05,7000,SSALR,1,I,0,med
CYSJ,23,7000,SSALR,1,I,0,med
CYXS,15,11450,SSALR,1,I,1,med
CYXS,33,11450,SSALR,1,,1,med
CYXS,06,5624,ODALS,0,,0,med
CYXS,24,5624,OTHER,0,,0,med
CYXS,01,3769,,0,,0,high
CYXS,19,3769,,0,,0,high
CYGV,08,4500,ODALS,0,,0,med
CYGV,26,4500,OTHER,0,,0,med
CYGQ,08,5000,OTHER,0,,0,med
CYGQ,26,5000,OTHER,0,,0,med
CYRB,17T,6500,ODALS,0,,0,med
CYRB,35T,6500,SSALR,1,I,0,med
CYSB,04,6600,ODALS,1,,1,med
CYSB,22,6600,SSALR,1,I,1,med
CYSB,30,5000,ODALS,0,,1,med
CYSB,12,5000,ODALS,0,,1,med
CYJT,09,10000,OTHER,1,,1,med
CYJT,27,10000,SSALR,1,I,1,med
CYJT,20,3900,,0,,0,high
CYJT,02,3900,,0,,0,high
CYYY,06,6000,ODALS,1,,1,med
CYYY,24,6000,OTHER,0,,1,med
CYYY,33,3934,,0,,1,med
CYYY,15,3934,,0,,1,med
CYQX,13,8900,SSALR,1,I,0,med
CYQX,21,10200,ODALS,1,,1,med
CYQX,31,8900,ODALS,1,,1,med
CYQX,03,10200,SSALR,1,I,0,med
CBBC,13,3700,,0,,0,high
CBBC,31,3700,,0,,0,high
CYNA,14,4494,ODALS,0,,0,high
CYNA,32,4494,ODALS,0,,0,high
CYXR,16,3019,,0,,0,high
CYXR,26,5998,OTHER,0,,0,high
CYXR,34,3019,,0,,0,high
CYXR,08,5998,OTHER,0,,0,high
CZBF,10,5613,OTHER,0,,1,med
CZBF,28,5613,OTHER,0,,1,med
