icao,lpv_class
BIAR,LPV
BIGR,LPV
BIHU,LPV
BIVO,LPV
EBAW,LPV200
EBBE,LPV200
EBBR,LPV200
EBCI,LPV200
EBKT,LPV
EBLG,LPV200
EBOS,LPV200
EDAB,LPV
EDAC,LPV200
EDAH,LPV200
EDAY,LPV200
EDAZ,LPV200
EDBH,LPV200
EDBM,LPV
EDBN,LPV
EDDB,LPV200
EDDE,LPV200
EDDF,LPV200
EDDG,LPV200
EDDH,LPV200
EDDK,LPV200
EDDL,LPV200
EDDM,LPV200
EDDN,LPV200
EDDP,LPV200
EDDR,LPV200
EDDV,LPV200
EDDW,LPV200
EDFH,LPV200
EDFQ,LPV
EDGS,LPV200
EDHI,LPV200
EDHK,LPV200
EDHL,LPV200
EDJA,LPV200
EDLN,LPV200
EDLP,LPV200
EDLV,LPV200
EDLW,LPV200
EDMA,LPV200
EDME,LPV
EDMO,LPV200
EDMS,LPV
EDNY,LPV200
EDQA,LPV200
EDQC,LPV
EDQD,LPV200
EDQG,LPV200
EDQM,LPV200
EDRY,LPV200
EDRZ,LPV200
EDSB,LPV200
EDTD,LPV
EDTL,LPV200
EDTM,LPV
EDTY,LPV200
EDVE,LPV200
EDVK,LPV200
EDWE,LPV200
EDWI,LPV200
EDXW,LPV200
EEKA,LPV
EEKE,LPV
EEPU,LPV200
EETN,LPV200
EETU,LPV200
EFET,LPV
EFHA,LPV
EFHK,LPV200
EFIV,LPV
EFJO,LPV
EFJY,LPV
EFKE,LPV
EFKI,LPV
EFKK,LPV
EFKS,LPV
EFKT,LPV
EFKU,LPV
EFLA,LPV
EFLP,LPV
EFMA,LPV200
EFMI,LPV200
EFOU,LPV
EFPO,LPV200
EFPR,LPV
EFRO,LPV
EFSA,LPV
EFSI,LPV
EFTP,LPV200
EFTU,LPV200
EFUT,LPV
EFVA,LPV200
EGJA,LPV
EGJB,LPV200
EGJJ,LPV200
EHAM,LPV200
EHBD,LPV200
EHBK,LPV200
EHEH,LPV200
EHGG,LPV
EHKD,LPV200
EHLE,LPV
EHLW,LPV200
EHRD,LPV200
EHTE,LPV
EHWO,LPV200
EICK,LPV
EIDL,LPV200
EIDW,LPV200
EIKN,LPV
EIME,LPV200
EISG,LPV200
EKAH,LPV200
EKBI,LPV200
EKCH,LPV200
EKEB,LPV200
EKKA,LPV
EKOD,LPV200
EKRN,LPV
EKSB,LPV200
EKVJ,LPV
EKYT,LPV
ELLX,LPV200
ENAL,LPV200
ENAN,LPV
ENAT,LPV
ENBL,LPV200
ENBN,LPV
ENBO,LPV
ENBR,LPV200
ENBS,LPV
ENBV,LPV
ENCN,LPV200
ENDU,LPV
ENEV,LPV200
ENFL,LPV
ENGM,LPV200
ENHD,LPV200
ENHK,LPV200
ENKB,LPV200
ENKR,LPV
ENLK,LPV
ENMH,LPV
ENML,LPV200
ENMS,LPV
ENNA,LPV
ENNM,LPV200
ENNO,LPV200
ENOL,LPV200
ENRM,LPV200
ENRS,LPV
ENRY,LPV
ENSG,LPV200
ENSH,LPV
ENSK,LPV
ENSS,LPV
ENST,LPV200
ENTO,LPV
ENTX,LPV200
ENVA,LPV200
ENZV,LPV200
EPBY,LPV200
EPGD,LPV200
EPKK,LPV200
EPKT,LPV200
EPLB,LPV200
EPLL,LPV200
EPMO,LPV200
EPPO,LPV200
EPRA,LPV200
EPRZ,LPV200
EPSC,LPV200
