station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
AGGM,2016-01-01 03:00,FEW,SCT,BKN,1600.00,2800.00,10000.00
AGGM,2016-01-01 05:00,FEW,BKN,,1600.00,10000.00,
AGGM,2016-01-01 06:00,FEW,BKN,,1600.00,10000.00,
AGGM,2016-01-01 21:00,FEW,BKN,,1500.00,30000.00,
AGGM,2016-01-01 22:00,FEW,SCT,,1600.00,30000.00,
AGGM,2016-01-01 23:00,FEW,SCT,,1700.00,30000.00,
AGGM,2016-01-02 00:00,SCT,SCT,BKN,1800.00,2800.00,30000.00
AGGM,2016-01-02 01:00,FEW,SCT,,1800.00,30000.00,
AGGM,2016-01-02 02:00,FEW,SCT,,1800.00,30000.00,
AGGM,2016-01-02 03:00,FEW,FEW,SCT,1600.00,1700.00,2800.00
AGGM,2016-01-02 19:00,FEW,BKN,,1600.00,10000.00,
AGGM,2016-01-02 21:00,FEW,BKN,,1600.00,30000.00,
AGGM,2016-01-02 22:00,FEW,BKN,,1700.00,30000.00,
AGGM,2016-01-02 23:00,FEW,BKN,,1800.00,30000.00,
AGGM,2016-01-03 01:00,FEW,,,1800.00,,
AGGM,2016-01-03 03:00,FEW,SCT,,1800.00,10000.00,
AGGM,2016-01-03 04:00,FEW,SCT,,1800.00,30000.00,
AGGM,2016-01-03 05:00,FEW,SCT,,1700.00,10000.00,
AGGM,2016-01-03 21:00,FEW,FEW,SCT,1600.00,1700.00,10000.00
AGGM,2016-01-03 23:00,FEW,FEW,BKN,1600.00,1700.00,30000.00
AGGM,2016-01-04 03:00,FEW,,,1800.00,,
AGGM,2016-01-04 05:00,FEW,SCT,,1800.00,30000.00,
AGGM,2016-01-04 06:00,FEW,SCT,,1800.00,30000.00,
AGGM,2016-01-04 19:00,FEW,SCT,,1500.00,30000.00,
AGGM,2016-01-04 20:00,FEW,,,1500.00,,
AGGM,2016-01-04 22:00,FEW,,,1700.00,,
AGGM,2016-01-04 23:00,FEW,,,1800.00,,
AGGM,2016-01-05 00:00,FEW,SCT,,1800.00,30000.00,
AGGM,2016-01-05 02:00,FEW,SCT,,1800.00,30000.00,
AGGM,2016-01-05 03:00,FEW,SCT,,1800.00,30000.00,
