station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
AYMO,2016-01-03 00:00,BKN,SCT,,1800.00,30000.00,
AYMO,2016-01-03 01:00,BKN,SCT,,1800.00,30000.00,
AYMO,2016-01-03 22:00,BKN,BKN,,1800.00,14000.00,
AYMO,2016-01-03 23:00,BKN,BKN,,1800.00,14000.00,
AYMO,2016-01-04 00:00,BKN,OVC,,1800.00,14000.00,
AYMO,2016-01-04 01:00,BKN,OVC,,1800.00,14000.00,
AYMO,2016-01-04 03:00,SCT,BKN,,1800.00,14000.00,
AYMO,2016-01-04 06:00,FEW,SCT,BKN,1800.00,14000.00,30000.00
AYMO,2016-01-04 21:00,SCT,BKN,,1800.00,14000.00,
AYMO,2016-01-04 22:00,SCT,BKN,,1800.00,14000.00,
AYMO,2016-01-04 23:00,SCT,,,1800.00,,
AYMO,2016-01-05 01:00,BKN,,,1800.00,,
AYMO,2016-01-05 21:00,FEW,SCT,,1800.00,30000.00,
AYMO,2016-01-06 03:00,SCT,BKN,,1800.00,14000.00,
AYMO,2016-01-06 04:00,SCT,BKN,,1800.00,14000.00,
AYMO,2016-01-06 05:00,BKN,BKN,,1800.00,14000.00,
AYMO,2016-01-06 06:00,SCT,BKN,,1800.00,14000.00,
AYMO,2016-01-06 19:00,SCT,SCT,BKN,1800.00,14000.00,30000.00
AYMO,2016-01-06 20:00,BKN,BKN,,1800.00,30000.00,
AYMO,2016-01-06 21:00,BKN,BKN,,1800.00,30000.00,
AYMO,2016-01-06 23:00,SCT,SCT,,1800.00,14000.00,
AYMO,2016-01-07 00:00,SCT,SCT,,1800.00,30000.00,
AYMO,2016-01-07 06:00,SCT,,,1800.00,,
AYMO,2016-01-07 07:00,BKN,,,1800.00,,
AYMO,2016-01-07 08:00,SCT,SCT,,1800.00,30000.00,
AYMO,2016-01-07 19:00,SCT,SCT,,1800.00,30000.00,
AYMO,2016-01-07 20:00,FEW,BKN,,1800.00,30000.00,
AYMO,2016-01-07 21:00,SCT,,,1800.00,,
AYMO,2016-01-07 23:00,BKN,,,1800.00,,
AYMO,2016-01-08 01:00,BKN,,,1800.00,,
AYMO,2016-01-08 06:00,SCT,,,1800.00,,
AYMO,2016-01-08 21:00,FEW,,,1800.00,,
