station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
AYWK,2016-01-03 00:00,SCT,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-01-03 21:00,FEW,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-01-03 22:00,FEW,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-01-04 22:00,FEW,BKN,,2000.00,30000.00,
AYWK,2016-01-06 01:00,SCT,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-01-06 02:00,SCT,BKN,,2000.00,14000.00,
AYWK,2016-01-06 03:00,SCT,BKN,,2000.00,14000.00,
AYWK,2016-01-06 21:00,FEW,SCT,,2000.00,30000.00,
AYWK,2016-01-08 01:00,SCT,,,2000.00,,
AYWK,2016-01-10 21:00,FEW,SCT,OVC,1800.00,4000.00,14000.00
AYWK,2016-01-11 01:00,FEW,SCT,BKN,1800.00,4000.00,14000.00
AYWK,2016-01-11 21:00,FEW,BKN,,2000.00,14000.00,
AYWK,2016-01-12 00:00,SCT,BKN,,2000.00,30000.00,
AYWK,2016-01-12 21:00,FEW,SCT,,2000.00,14000.00,
AYWK,2016-01-12 22:00,FEW,FEW,SCT,2000.00,2000.00,14000.00
AYWK,2016-01-13 01:00,SCT,,,2000.00,,
AYWK,2016-01-13 21:00,FEW,BKN,,2000.00,30000.00,
AYWK,2016-01-13 22:00,FEW,BKN,,2000.00,30000.00,
AYWK,2016-01-14 02:00,SCT,,,2000.00,,
AYWK,2016-01-14 21:00,FEW,BKN,,2000.00,30000.00,
AYWK,2016-01-15 01:00,SCT,,,2000.00,,
AYWK,2016-01-17 00:00,FEW,BKN,,2000.00,30000.00,
AYWK,2016-01-20 02:00,SCT,SCT,,2000.00,14000.00,
AYWK,2016-01-20 03:00,SCT,,,2000.00,,
AYWK,2016-01-20 21:00,FEW,SCT,OVC,1800.00,4000.00,14000.00
AYWK,2016-01-20 22:00,FEW,SCT,OVC,1800.00,4000.00,14000.00
AYWK,2016-01-21 01:00,FEW,OVC,,1800.00,14000.00,
AYWK,2016-01-21 02:00,FEW,SCT,OVC,1800.00,4000.00,14000.00
AYWK,2016-01-22 01:00,SCT,BKN,,2000.00,30000.00,
AYWK,2016-01-22 02:00,BKN,BKN,,2000.00,30000.00,
AYWK,2016-01-24 21:00,FEW,SCT,OVC,1800.00,3000.00,14000.00
AYWK,2016-01-25 23:00,FEW,BKN,,2000.00,2000.00,
AYWK,2016-01-26 01:00,FEW,BKN,,2000.00,14000.00,
AYWK,2016-01-26 02:00,FEW,BKN,,2000.00,14000.00,
AYWK,2016-01-26 04:00,FEW,SCT,OVC,2000.00,14000.00,30000.00
AYWK,2016-01-26 22:00,FEW,BKN,,2000.00,30000.00,
AYWK,2016-01-27 01:00,SCT,BKN,,2000.00,14000.00,
AYWK,2016-01-27 02:00,FEW,SCT,BKN,2000.00,4000.00,12000.00
AYWK,2016-01-27 03:00,FEW,SCT,BKN,2000.00,4000.00,14000.00
AYWK,2016-01-27 05:00,FEW,SCT,BKN,1800.00,4000.00,14000.00
AYWK,2016-01-27 06:00,SCT,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-01-27 21:00,FEW,BKN,,2000.00,14000.00,
AYWK,2016-01-28 00:00,FEW,SCT,,2000.00,30000.00,
AYWK,2016-01-29 00:00,FEW,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-01-31 21:00,FEW,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-01-31 23:00,SCT,,,2000.00,,
AYWK,2016-02-01 00:00,SCT,SCT,SCT,2000.00,14000.00,30000.00
AYWK,2016-02-01 03:00,SCT,,,2000.00,,
AYWK,2016-02-01 04:00,FEW,BKN,,2000.00,2000.00,
AYWK,2016-02-01 21:00,SCT,,,2000.00,,
AYWK,2016-02-02 06:00,SCT,,,2000.00,,
AYWK,2016-02-02 21:00,FEW,SCT,,2000.00,30000.00,
AYWK,2016-02-02 23:00,SCT,SCT,,2000.00,14000.00,
AYWK,2016-02-03 23:00,FEW,SCT,,2000.00,14000.00,
AYWK,2016-02-04 02:00,SCT,SCT,BKN,1800.00,4000.00,14000.00
AYWK,2016-02-04 23:00,SCT,SCT,BKN,1800.00,4000.00,14000.00
AYWK,2016-02-05 01:00,FEW,SCT,BKN,1800.00,14000.00,30000.00
AYWK,2016-02-07 21:00,FEW,SCT,OVC,2000.00,14000.00,30000.00
AYWK,2016-02-08 01:00,SCT,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-02-08 02:00,SCT,BKN,,2000.00,30000.00,
AYWK,2016-02-08 06:00,SCT,SCT,BKN,1800.00,14000.00,30000.00
AYWK,2016-02-08 21:00,FEW,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-02-09 00:00,FEW,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-02-09 01:00,FEW,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-02-09 02:00,FEW,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-02-09 21:00,FEW,BKN,,2000.00,14000.00,
AYWK,2016-02-10 19:00,FEW,SCT,OVC,1800.00,4000.00,14000.00
AYWK,2016-02-10 20:00,FEW,SCT,OVC,1800.00,4000.00,14000.00
AYWK,2016-02-10 21:00,FEW,SCT,OVC,1800.00,4000.00,14000.00
AYWK,2016-02-11 05:00,FEW,OVC,,1800.00,14000.00,
AYWK,2016-02-11 06:00,FEW,OVC,,1800.00,14000.00,
AYWK,2016-02-11 22:00,FEW,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-02-12 00:00,FEW,BKN,,2000.00,30000.00,
AYWK,2016-02-12 03:00,FEW,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-02-12 04:00,FEW,BKN,,2000.00,30000.00,
AYWK,2016-02-12 05:00,FEW,SCT,BKN,2000.00,14000.00,30000.00
AYWK,2016-02-14 00:00,FEW,SCT,BKN,1800.00,4000.00,14000.00
AYWK,2016-02-14 23:00,FEW,SCT,BKN,1800.00,4000.00,14000.00
AYWK,2016-02-15 00:00,SCT,SCT,OVC,1600.00,4000.00,14000.00
