station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
DNBE,2016-01-06 10:00,NSC,,,,,
DNBE,2016-01-06 17:00,NSC,,,,,
DNBE,2016-01-07 11:00,NSC,,,,,
DNBE,2016-01-11 08:00,BKN,,,1000.00,,
DNBE,2016-01-12 07:00,NSC,,,,,
DNBE,2016-01-12 16:00,,,,,,
DNBE,2016-01-12 18:00,,,,,,
DNBE,2016-01-13 10:00,SCT,,,1100.00,,
DNBE,2016-01-13 13:00,SCT,,,1400.00,,
DNBE,2016-01-13 17:00,NSC,,,,,
DNBE,2016-01-16 13:00,FEW,,,1100.00,,
DNBE,2016-01-16 14:00,SCT,,,1100.00,,
DNBE,2016-01-17 07:00,SCT,,,800.00,,
DNBE,2016-01-17 08:00,BKN,,,800.00,,
DNBE,2016-02-01 20:00,NSC,,,,,
DNBE,2016-02-01 22:00,NSC,,,,,
DNBE,2016-02-03 22:00,NSC,,,,,
DNBE,2016-02-05 07:00,FEW,,,900.00,,
DNBE,2016-02-05 16:00,NSC,,,,,
DNBE,2016-02-09 07:00,NSC,,,,,
DNBE,2016-02-10 11:00,NSC,,,,,
DNBE,2016-02-10 16:00,NSC,,,,,
DNBE,2016-02-22 08:00,BKN,,,900.00,,
DNBE,2016-03-11 10:00,BKN,,,1100.00,,
DNBE,2016-03-21 11:00,BKN,,,1200.00,,
DNBE,2016-03-22 17:00,SCT,FEW,,1400.00,2200.00,
DNBE,2016-03-22 18:00,FEW,FEW,,1200.00,2000.00,
DNBE,2016-03-26 07:00,BKN,,,1000.00,,
DNBE,2016-03-26 08:00,BKN,,,1100.00,,
DNBE,2016-03-26 10:00,BKN,,,1300.00,,
DNBE,2016-03-26 11:00,BKN,,,1400.00,,
DNBE,2016-03-26 12:00,BKN,FEW,,1400.00,2000.00,
DNBE,2016-03-26 15:00,SCT,FEW,,800.00,1800.00,
DNBE,2016-03-26 16:00,FEW,,,800.00,,
DNBE,2016-03-27 14:00,BKN,,,1000.00,,
DNBE,2016-03-27 18:00,SCT,,,1000.00,,
DNBE,2016-03-27 19:00,FEW,,,800.00,,
DNBE,2016-03-29 14:00,BKN,,,1400.00,,
DNBE,2016-03-29 16:00,BKN,,,1200.00,,
DNBE,2016-03-29 17:00,SCT,,,1100.00,,
DNBE,2016-03-30 08:00,BKN,,,1100.00,,
DNBE,2016-03-30 13:00,BKN,,,1200.00,,
DNBE,2016-03-31 10:00,BKN,,,1100.00,,
DNBE,2016-03-31 11:00,BKN,,,1200.00,,
DNBE,2016-04-01 17:00,FEW,,,900.00,,
DNBE,2016-04-04 08:00,SCT,,,1000.00,,
DNBE,2016-04-04 10:00,BKN,,,1100.00,,
DNBE,2016-04-07 17:00,SCT,FEW,,1300.00,2000.00,
DNBE,2016-04-08 14:00,SCT,,,1400.00,,
DNBE,2016-04-09 08:00,BKN,,,1100.00,,
DNBE,2016-04-09 10:00,BKN,,,1300.00,,
DNBE,2016-04-10 08:00,NSC,,,,,
DNBE,2016-04-10 09:00,NSC,,,,,
DNBE,2016-04-10 13:00,BKN,,,1300.00,,
DNBE,2016-04-11 08:00,BKN,,,1000.00,,
DNBE,2016-04-11 15:00,BKN,,,1400.00,,
DNBE,2016-04-11 16:00,BKN,,,1400.00,,
DNBE,2016-04-12 07:00,OVC,FEW,,500.00,1800.00,
DNBE,2016-04-13 06:00,FEW,,,900.00,,
DNBE,2016-04-15 11:00,SCT,,,900.00,,
DNBE,2016-04-19 10:00,BKN,,,1100.00,,
DNBE,2016-04-20 09:00,BKN,,,1000.00,,
DNBE,2016-04-20 12:00,BKN,,,1400.00,,
DNBE,2016-04-23 13:00,BKN,FEW,,1400.00,2000.00,
DNBE,2016-04-23 14:00,BKN,,,1400.00,,
DNBE,2016-04-23 16:00,BKN,FEW,,1400.00,2000.00,
DNBE,2016-04-23 17:00,SCT,FEW,,1300.00,2000.00,
DNBE,2016-04-24 10:00,BKN,,,1300.00,,
DNBE,2016-04-25 07:00,NSC,,,,,
DNBE,2016-04-25 10:00,FEW,,,1100.00,,
DNBE,2016-04-28 16:00,FEW,,,800.00,,
DNBE,2016-04-28 20:00,,,,,,
DNBE,2016-04-29 11:00,FEW,,,1200.00,,
DNBE,2016-05-02 13:00,BKN,,,1400.00,,
DNBE,2016-05-05 12:00,BKN,,,1200.00,,
DNBE,2016-05-06 17:00,BKN,FEW,,800.00,1800.00,
DNBE,2016-05-07 07:00,SCT,,,800.00,,
DNBE,2016-05-07 18:00,FEW,,,800.00,,
DNBE,2016-05-08 13:00,BKN,,,1300.00,,
DNBE,2016-05-08 14:00,BKN,FEW,,1300.00,2000.00,
DNBE,2016-05-08 16:00,SCT,,,1300.00,,
DNBE,2016-05-08 17:00,BKN,FEW,,1200.00,2000.00,
DNBE,2016-05-12 04:00,SCT,FEW,,700.00,1800.00,
DNBE,2016-05-12 10:00,SCT,,,900.00,,
DNBE,2016-05-12 11:00,SCT,,,1000.00,,
DNBE,2016-05-12 14:00,SCT,,,1100.00,,
DNBE,2016-05-16 16:00,BKN,,,1400.00,,
DNBE,2016-05-21 10:00,BKN,,,1200.00,,
DNBE,2016-05-22 16:00,SCT,FEW,,700.00,2000.00,
DNBE,2016-05-23 14:00,BKN,FEW,,700.00,1800.00,
DNBE,2016-05-23 20:00,FEW,,,800.00,,
DNBE,2016-06-04 08:00,BKN,,,1000.00,,
DNBE,2016-06-05 14:00,BKN,FEW,,1000.00,2000.00,
DNBE,2016-06-05 16:00,BKN,FEW,,800.00,2000.00,
DNBE,2016-06-06 11:00,BKN,,,1100.00,,
DNBE,2016-06-06 13:00,BKN,,,1300.00,,
DNBE,2016-06-06 17:00,SCT,FEW,,1300.00,2000.00,
DNBE,2016-06-06 20:00,NSC,,,,,
DNBE,2016-06-17 13:00,BKN,,,1200.00,,
DNBE,2016-06-17 14:00,BKN,,,1200.00,,
DNBE,2016-06-18 09:00,FEW,,,1000.00,,
DNBE,2016-06-18 10:00,FEW,,,1000.00,,
DNBE,2016-06-19 08:00,BKN,,,900.00,,
DNBE,2016-06-19 11:00,BKN,,,1200.00,,
DNBE,2016-06-24 08:00,BKN,,,700.00,,
DNBE,2016-06-25 13:00,BKN,FEW,,1000.00,2000.00,
DNBE,2016-06-25 14:00,BKN,FEW,,800.00,2000.00,
DNBE,2016-06-25 16:00,BKN,FEW,,700.00,2000.00,
DNBE,2016-06-25 17:00,BKN,,,700.00,,
DNBE,2016-06-29 07:00,FEW,,,700.00,,
DNBE,2016-07-01 17:00,BKN,,,1300.00,,
DNBE,2016-07-02 11:00,BKN,,,1100.00,,
DNBE,2016-07-03 11:00,BKN,,,1000.00,,
DNBE,2016-07-04 07:00,SCT,,,800.00,,
DNBE,2016-07-04 11:00,BKN,,,1100.00,,
DNBE,2016-07-05 14:00,BKN,,,900.00,,
DNBE,2016-07-14 07:00,SCT,,,700.00,,
DNBE,2016-07-15 13:00,BKN,FEW,,1100.00,2000.00,
DNBE,2016-07-15 14:00,BKN,,,1100.00,,
DNBE,2016-07-15 16:00,BKN,,,11000.00,,
DNBE,2016-07-15 17:00,BKN,,,1000.00,,
DNBE,2016-07-19 07:00,BKN,,,700.00,,
DNBE,2016-07-19 10:00,BKN,,,800.00,,
DNBE,2016-07-19 11:00,BKN,,,800.00,,
DNBE,2016-07-19 12:00,SCT,,,800.00,,
DNBE,2016-07-20 13:00,BKN,,,1000.00,,
DNBE,2016-07-20 14:00,BKN,,,900.00,,
DNBE,2016-07-20 16:00,SCT,,,900.00,,
DNBE,2016-07-20 17:00,SCT,,,800.00,,
DNBE,2016-07-25 13:00,BKN,FEW,,900.00,1800.00,
