station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
DNMA,2017-05-28 07:00,,,,,,
DNMA,2017-05-28 08:00,,,,,,
DNMA,2017-05-28 10:00,,,,,,
DNMA,2017-05-29 07:00,,,,,,
DNMA,2017-05-29 08:00,,,,,,
DNMA,2017-05-29 11:00,FEW,,,1200.00,,
DNMA,2017-05-29 14:00,SCT,,,1200.00,,
DNMA,2017-05-29 15:00,SCT,,,1400.00,,
DNMA,2017-05-29 17:00,SCT,FEW,,1400.00,2000.00,
DNMA,2017-06-02 07:00,,,,,,
DNMA,2017-06-02 11:00,,,,,,
DNMA,2017-06-03 11:00,,,,,,
DNMA,2017-06-04 14:00,,,,,,
DNMA,2017-06-04 16:00,,,,,,
DNMA,2017-06-06 07:00,,,,,,
DNMA,2017-06-06 13:00,FEW,,,1300.00,,
DNMA,2017-06-06 14:00,SCT,,,1400.00,,
DNMA,2017-06-06 17:00,SCT,FEW,,1300.00,2000.00,
DNMA,2017-06-07 08:00,,,,,,
DNMA,2017-06-10 07:00,,,,,,
DNMA,2017-06-10 08:00,,,,,,
DNMA,2017-06-11 11:00,,,,,,
DNMA,2017-06-11 13:00,FEW,,,1200.00,,
DNMA,2017-06-11 14:00,FEW,,,1200.00,,
DNMA,2017-06-15 07:00,,,,,,
DNMA,2017-06-15 08:00,,,,,,
DNMA,2017-06-15 10:00,,,,,,
DNMA,2017-06-17 13:00,SCT,,,1400.00,,
DNMA,2018-01-15 09:00,NSC,,,,,
DNMA,2018-03-23 16:00,,,,,,
DNMA,2018-03-26 09:00,NSC,,,,,
DNMA,2018-03-31 09:00,NSC,,,,,
DNMA,2018-04-10 09:00,,,,,,
DNMA,2018-04-30 09:00,,,,,,
DNMA,2018-05-06 15:00,,,,,,
DNMA,2018-05-10 09:00,,,,,,
DNMA,2018-05-28 15:00,FEW,,,1700.00,,
DNMA,2018-05-30 09:00,,,,,,
DNMA,2018-05-31 15:00,FEW,,,1300.00,,
DNMA,2018-06-06 09:00,,,,,,
DNMA,2018-07-04 17:00,FEW,,,1100.00,,
DNMA,2018-07-08 08:00,,,,,,
DNMA,2018-07-09 08:00,,,,,,
DNMA,2018-07-09 10:00,,,,,,
DNMA,2018-07-09 11:00,FEW,,,1600.00,,
DNMA,2018-07-09 14:00,SCT,,,1500.00,,
DNMA,2018-07-09 16:00,FEW,,,1600.00,,
DNMA,2018-07-09 17:00,FEW,FEW,,1600.00,2000.00,
DNMA,2018-07-10 16:00,FEW,,,1200.00,,
DNMA,2018-07-10 17:00,,,,,,
DNMA,2018-07-12 19:00,NSC,,,,,
DNMA,2018-07-13 07:00,,,,,,
DNMA,2018-07-13 08:00,,,,,,
DNMA,2018-07-13 10:00,,,,,,
DNMA,2018-07-15 08:00,,,,,,
DNMA,2018-07-24 17:00,,,,,,
DNMA,2018-08-09 11:00,SCT,,,1400.00,,
DNMA,2018-08-10 17:00,FEW,,,2000.00,,
DNMA,2018-08-12 10:00,SCT,FEW,,1600.00,2000.00,
DNMA,2018-08-15 13:00,SCT,,,1500.00,,
DNMA,2018-08-15 14:00,SCT,,,1500.00,,
DNMA,2018-09-03 11:00,FEW,,,1300.00,,
DNMA,2018-09-04 13:00,FEW,,,1500.00,,
DNMA,2018-09-08 07:00,FEW,,,1000.00,,
DNMA,2018-09-21 09:00,,,,,,
DNMA,2018-09-26 09:00,,,,,,
DNMA,2018-10-03 15:00,,,,,,
DNMA,2018-10-06 09:00,,,,,,
DNMA,2018-10-11 09:00,,,,,,
DNMA,2018-10-16 09:00,,,,,,
DNMA,2018-10-17 09:00,,,,,,
DNMA,2018-11-21 15:00,,,,,,
DNMA,2018-11-25 09:00,,,,,,
DNMA,2018-11-26 09:00,,,,,,
DNMA,2018-11-27 15:00,,,,,,
DNMA,2018-12-02 15:00,NSC,,,,,
DNMA,2018-12-05 09:00,NSC,,,,,
DNMA,2018-12-07 15:00,,,,,,
DNMA,2018-12-11 09:00,,,,,,
DNMA,2019-03-07 10:00,NSC,,,,,
DNMA,2019-03-15 10:00,NSC,,,,,
DNMA,2019-03-15 13:00,NSC,,,,,
DNMA,2019-07-04 15:00,FEW,,,1600.00,,
DNMA,2019-07-06 14:00,,,,,,
