station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
EFVR,2016-01-01 00:50,OVC,,,1600.00,,
EFVR,2016-01-01 01:50,OVC,,,1600.00,,
EFVR,2016-01-01 02:50,OVC,,,1500.00,,
EFVR,2016-01-01 03:50,OVC,,,1300.00,,
EFVR,2016-01-01 04:50,OVC,,,1200.00,,
EFVR,2016-01-01 05:50,OVC,,,1200.00,,
EFVR,2016-01-01 06:50,OVC,,,1400.00,,
EFVR,2016-01-01 07:50,SCT,,,2000.00,,
EFVR,2016-01-01 08:50,FEW,,,2000.00,,
EFVR,2016-01-01 09:50,,,,,,
EFVR,2016-01-01 10:50,,,,,,
EFVR,2016-01-01 11:50,,,,,,
EFVR,2016-01-01 12:50,,,,,,
EFVR,2016-01-01 13:50,,,,,,
EFVR,2016-01-01 14:50,,,,,,
EFVR,2016-01-01 15:50,FEW,,,1600.00,,
EFVR,2016-01-01 16:50,BKN,,,1400.00,,
EFVR,2016-01-01 17:50,BKN,,,1400.00,,
EFVR,2016-01-01 18:50,FEW,,,1200.00,,
EFVR,2016-01-01 19:50,,,,,,
EFVR,2016-01-01 20:50,,,,,,
EFVR,2016-01-01 21:50,FEW,BKN,,1600.00,2300.00,
EFVR,2016-01-01 22:50,SCT,BKN,,700.00,2500.00,
EFVR,2016-01-01 23:50,FEW,BKN,BKN,800.00,1000.00,2600.00
EFVR,2016-01-02 00:50,,,,,,
EFVR,2016-01-02 01:50,OVC,,,2500.00,,
EFVR,2016-01-02 02:50,SCT,,,2500.00,,
EFVR,2016-01-02 03:50,OVC,,,1200.00,,
EFVR,2016-01-02 04:50,FEW,BKN,OVC,1000.00,1700.00,2200.00
EFVR,2016-01-02 05:50,OVC,,,900.00,,
EFVR,2016-01-02 06:50,OVC,,,900.00,,
EFVR,2016-01-02 07:50,OVC,,,1200.00,,
EFVR,2016-01-02 08:50,,,,,,
EFVR,2016-01-02 09:50,CLR,,,,,
EFVR,2016-01-02 10:50,FEW,,,100.00,,
EFVR,2016-01-02 11:50,,,,,,
EFVR,2016-01-02 12:50,,,,,,
EFVR,2016-01-02 13:50,,,,,,
EFVR,2016-01-02 14:50,,,,,,
EFVR,2016-01-02 15:50,,,,,,
