station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
EKSN,2016-01-04 07:50,BKN,,,3200.00,,
EKSN,2016-01-04 08:50,BKN,,,3000.00,,
EKSN,2016-01-04 09:50,BKN,,,3000.00,,
EKSN,2016-01-04 10:50,BKN,,,2900.00,,
EKSN,2016-01-04 11:50,BKN,,,2900.00,,
EKSN,2016-01-04 12:50,BKN,,,2900.00,,
EKSN,2016-01-04 13:50,BKN,,,3300.00,,
EKSN,2016-01-04 14:50,BKN,,,3100.00,,
EKSN,2016-01-05 07:50,FEW,,,1900.00,,
EKSN,2016-01-05 08:50,SCT,,,1900.00,,
EKSN,2016-01-05 09:50,FEW,,,2400.00,,
EKSN,2016-01-05 10:50,SCT,,,2400.00,,
EKSN,2016-01-05 11:50,SCT,,,2600.00,,
EKSN,2016-01-05 12:50,SCT,,,2600.00,,
EKSN,2016-01-05 13:50,SCT,,,2600.00,,
EKSN,2016-01-05 14:50,SCT,,,2700.00,,
EKSN,2016-01-06 07:50,SCT,BKN,,1900.00,2500.00,
EKSN,2016-01-06 08:50,SCT,BKN,,1900.00,2500.00,
EKSN,2016-01-06 09:50,BKN,,,1800.00,,
EKSN,2016-01-06 10:50,BKN,,,2200.00,,
EKSN,2016-01-06 11:50,BKN,,,2500.00,,
EKSN,2016-01-06 12:50,SCT,,,3000.00,,
EKSN,2016-01-06 13:50,SCT,,,3000.00,,
EKSN,2016-01-06 14:50,SCT,,,3000.00,,
EKSN,2016-01-07 07:50,SCT,,,2400.00,,
EKSN,2016-01-07 08:50,SCT,,,2400.00,,
EKSN,2016-01-07 09:50,BKN,,,1400.00,,
EKSN,2016-01-07 10:50,BKN,,,1300.00,,
EKSN,2016-01-07 12:50,BKN,,,1100.00,,
EKSN,2016-01-07 14:50,BKN,,,1200.00,,
EKSN,2016-01-08 07:50,BKN,,,1100.00,,
EKSN,2016-01-08 08:50,BKN,,,1200.00,,
EKSN,2016-01-08 09:50,BKN,,,1000.00,,
EKSN,2016-01-08 10:50,BKN,,,1000.00,,
EKSN,2016-01-08 11:50,BKN,,,1300.00,,
EKSN,2016-01-08 12:50,BKN,,,1500.00,,
EKSN,2016-01-08 13:50,BKN,,,1100.00,,
EKSN,2016-01-08 14:50,BKN,,,900.00,,
EKSN,2016-01-11 07:50,VV ,,,100.00,,
EKSN,2016-01-11 08:50,VV ,,,100.00,,
EKSN,2016-01-11 09:50,VV ,,,200.00,,
EKSN,2016-01-11 10:50,BKN,,,200.00,,
EKSN,2016-01-11 11:50,BKN,,,300.00,,
EKSN,2016-01-11 12:50,BKN,,,300.00,,
EKSN,2016-01-11 13:50,BKN,,,300.00,,
EKSN,2016-01-11 14:50,BKN,,,300.00,,
EKSN,2016-01-12 07:50,BKN,,,500.00,,
EKSN,2016-01-12 08:50,BKN,,,1100.00,,
EKSN,2016-01-12 09:50,BKN,,,1100.00,,
EKSN,2016-01-12 10:50,BKN,,,600.00,,
EKSN,2016-01-12 11:50,BKN,,,800.00,,
EKSN,2016-01-12 12:50,BKN,,,1000.00,,
EKSN,2016-01-12 13:50,BKN,,,600.00,,
