station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
ETND,2016-01-04 05:20,OVC,,,900.00,,
ETND,2016-01-04 06:20,BKN,BKN,,1000.00,3600.00,
ETND,2016-01-04 09:20,FEW,BKN,OVC,600.00,2500.00,9000.00
ETND,2016-01-04 10:20,FEW,BKN,,1000.00,2000.00,
ETND,2016-01-04 11:20,FEW,SCT,BKN,1000.00,1400.00,2200.00
ETND,2016-01-04 12:20,SCT,BKN,,900.00,2000.00,
ETND,2016-01-05 10:20,FEW,OVC,,500.00,700.00,
ETND,2016-01-06 08:20,OVC,,,900.00,,
ETND,2016-01-06 09:20,OVC,,,900.00,,
ETND,2016-01-06 10:20,OVC,,,900.00,,
ETND,2016-01-06 11:20,OVC,,,900.00,,
ETND,2016-01-08 05:20,FEW,SCT,BKN,2900.00,9000.00,13000.00
ETND,2016-01-08 06:20,FEW,BKN,,3000.00,11000.00,
ETND,2016-01-08 07:20,SCT,SCT,,2700.00,11000.00,
ETND,2016-01-08 08:20,SCT,,,3000.00,,
ETND,2016-01-08 09:20,SCT,,,3600.00,,
ETND,2016-01-08 10:20,SCT,,,4200.00,,
ETND,2016-01-11 05:20,FEW,BKN,,1400.00,1900.00,
ETND,2016-01-11 06:20,FEW,BKN,,1600.00,2200.00,
ETND,2016-01-11 07:20,FEW,BKN,,1500.00,2800.00,
ETND,2016-01-11 08:20,FEW,BKN,,3100.00,23000.00,
ETND,2016-01-11 09:20,FEW,BKN,,21000.00,23000.00,
ETND,2016-01-11 10:20,FEW,BKN,,13000.00,21000.00,
ETND,2016-01-11 11:20,FEW,BKN,,13000.00,23000.00,
ETND,2016-01-11 12:20,FEW,SCT,BKN,13000.00,17000.00,21000.00
ETND,2016-01-11 13:20,BKN,BKN,,3800.00,14000.00,
ETND,2016-01-11 14:20,FEW,BKN,BKN,1600.00,3600.00,5000.00
ETND,2016-01-12 05:20,SCT,BKN,,1300.00,3300.00,
ETND,2016-01-12 06:20,SCT,BKN,,1300.00,3100.00,
ETND,2016-01-12 07:20,FEW,SCT,BKN,1400.00,4800.00,8000.00
ETND,2016-01-12 08:20,BKN,SCT,BKN,1600.00,4000.00,8000.00
ETND,2016-01-12 09:20,FEW,SCT,BKN,1300.00,1500.00,4600.00
ETND,2016-01-12 10:20,SCT,BKN,,1300.00,3300.00,
ETND,2016-01-12 11:20,FEW,BKN,BKN,1300.00,1700.00,4200.00
ETND,2016-01-12 12:20,FEW,BKN,BKN,1300.00,1800.00,4000.00
ETND,2016-01-12 13:20,FEW,BKN,,1300.00,1500.00,
ETND,2016-01-12 14:20,FEW,SCT,BKN,1500.00,3000.00,4500.00
ETND,2016-01-13 05:20,BKN,BKN,,700.00,3800.00,
ETND,2016-01-13 06:20,SCT,BKN,,700.00,1000.00,
ETND,2016-01-13 07:20,FEW,BKN,,1000.00,1700.00,
ETND,2016-01-13 08:20,FEW,BKN,,1400.00,1700.00,
ETND,2016-01-13 09:20,FEW,BKN,,600.00,1600.00,
ETND,2016-01-13 10:20,FEW,BKN,,1600.00,2000.00,
ETND,2016-01-13 11:20,FEW,BKN,,1800.00,2100.00,
ETND,2016-01-13 12:20,SCT,SCT,BKN,1800.00,2100.00,3600.00
ETND,2016-01-13 13:20,SCT,SCT,,1800.00,18000.00,
ETND,2016-01-13 14:20,SCT,SCT,,1800.00,18000.00,
ETND,2016-01-14 05:20,FEW,,,22000.00,,
ETND,2016-01-14 06:20,FEW,SCT,,10000.00,21000.00,
ETND,2016-01-14 07:20,FEW,SCT,BKN,6000.00,17000.00,21000.00
ETND,2016-01-14 08:20,FEW,BKN,BKN,6000.00,9000.00,21000.00
ETND,2016-01-14 09:20,FEW,BKN,BKN,4400.00,9000.00,20000.00
ETND,2016-01-14 10:20,SCT,BKN,BKN,3800.00,5200.00,10000.00
ETND,2016-01-14 11:20,FEW,BKN,OVC,1300.00,3300.00,7000.00
ETND,2016-01-14 12:20,FEW,SCT,BKN,1200.00,2200.00,3000.00
ETND,2016-01-14 13:20,FEW,BKN,BKN,1300.00,1500.00,2000.00
ETND,2016-01-14 14:20,BKN,OVC,,1300.00,2300.00,
ETND,2016-01-15 05:20,FEW,SCT,OVC,1300.00,3600.00,8000.00
ETND,2016-01-15 06:20,BKN,,,1600.00,,
ETND,2016-01-15 07:20,SCT,BKN,,400.00,1500.00,
ETND,2016-01-18 05:20,FEW,,,4000.00,,
ETND,2016-01-18 06:20,FEW,,,4000.00,,
ETND,2016-01-18 08:20,SCT,,,4100.00,,
ETND,2016-01-18 09:20,FEW,,,1500.00,,
ETND,2016-01-18 10:20,FEW,,,20000.00,,
ETND,2016-01-19 07:20,FEW,,,12000.00,,
ETND,2016-01-19 08:20,FEW,,,12000.00,,
ETND,2016-01-19 09:20,SCT,,,12000.00,,
ETND,2016-01-19 10:20,FEW,,,12000.00,,
ETND,2016-01-19 11:20,FEW,,,12000.00,,
ETND,2016-01-19 12:20,FEW,SCT,,12000.00,23000.00,
ETND,2016-01-19 13:20,FEW,SCT,BKN,5200.00,10000.00,20000.00
