station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
FLHN,2016-01-01 12:00,,,,,,
FLHN,2016-01-01 14:00,,,,,,
FLHN,2016-01-01 15:00,,,,,,
FLHN,2016-01-03 10:00,,,,,,
FLHN,2016-01-03 11:00,,,,,,
FLHN,2016-01-04 12:00,,,,,,
FLHN,2016-01-04 13:00,,,,,,
FLHN,2016-01-04 15:00,,,,,,
FLHN,2016-01-05 12:00,,,,,,
FLHN,2016-01-06 06:00,,,,,,
FLHN,2016-01-06 08:00,,,,,,
FLHN,2016-01-06 13:00,,,,,,
FLHN,2016-01-06 14:00,,,,,,
FLHN,2016-01-07 07:00,,,,,,
FLHN,2016-01-07 11:00,,,,,,
FLHN,2016-01-07 14:00,,,,,,
FLHN,2016-01-09 13:00,,,,,,
FLHN,2016-01-09 14:00,FEW,SCT,,7000.00,7000.00,
FLHN,2016-01-10 12:00,SCT,BKN,,3500.00,9000.00,
FLHN,2016-01-10 13:00,FEW,BKN,,3500.00,10000.00,
FLHN,2016-01-10 14:00,FEW,BKN,,4000.00,10000.00,
FLHN,2016-01-11 05:00,,,,,,
FLHN,2016-01-11 07:00,,,,,,
FLHN,2016-01-11 09:00,,,,,,
FLHN,2016-01-11 10:00,FEW,,,6000.00,,
FLHN,2016-01-11 14:00,FEW,BKN,,6000.00,10000.00,
FLHN,2016-01-12 13:00,BKN,,,5000.00,,
FLHN,2016-01-14 08:00,,,,,,
FLHN,2016-01-14 10:00,,,,,,
FLHN,2016-01-14 13:00,FEW,BKN,,4500.00,4500.00,
FLHN,2016-01-15 06:00,FEW,BKN,,2000.00,10000.00,
FLHN,2016-01-15 07:00,FEW,BKN,,2000.00,10000.00,
FLHN,2016-01-16 09:00,SCT,BKN,,3000.00,10000.00,
FLHN,2016-01-16 10:00,SCT,SCT,BKN,3000.00,4000.00,10000.00
FLHN,2016-01-16 12:00,SCT,SCT,,5000.00,5000.00,
FLHN,2016-01-16 13:00,SCT,,,6000.00,,
FLHN,2016-01-16 15:00,FEW,SCT,SCT,6000.00,6000.00,10000.00
FLHN,2016-01-17 06:00,SCT,BKN,,800.00,10000.00,
FLHN,2016-01-17 07:00,SCT,BKN,,1000.00,10000.00,
FLHN,2016-01-18 07:00,SCT,BKN,,2000.00,10000.00,
FLHN,2016-01-18 08:00,SCT,SCT,,2500.00,10000.00,
FLHN,2016-01-18 14:00,FEW,BKN,,4500.00,10000.00,
FLHN,2016-01-19 06:00,FEW,,,2800.00,,
