station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
FLMF,2016-02-25 12:00,FEW,SCT,SCT,4500.00,4800.00,30000.00
FLMF,2016-10-12 06:00,,,,,,
FLMF,2016-10-12 08:00,,,,,,
FLMF,2020-08-22 16:00,,,,,,
FLMF,2021-01-05 16:00,,,,,,
FLMF,2022-05-10 22:00,,,,,,
FLMF,2022-05-11 10:00,,,,,,
FLMF,2022-05-30 22:00,,,,,,
FLMF,2022-05-31 04:00,,,,,,
FLMF,2022-06-08 04:00,SCT,,,1000.00,,
FLMF,2022-07-02 04:00,SCT,,,1000.00,,
FLMF,2022-07-02 10:00,BKN,,,3000.00,,
FLMF,2023-02-06 10:00,FEW,BKN,,3000.00,3500.00,
FLMF,2023-02-14 22:00,FEW,SCT,,,10000.00,
FLMF,2023-02-15 04:00,SCT,SCT,,1000.00,10000.00,
FLMF,2023-02-21 16:00,FEW,BKN,,,9000.00,
FLMF,2023-02-26 10:00,FEW,BKN,,3500.00,4000.00,
FLMF,2023-05-15 10:00,SCT,,,4000.00,,
FLMF,2023-05-20 10:00,SCT,,,4000.00,,
FLMF,2023-07-16 09:00,SCT,,,3500.00,,
FLMF,2023-07-16 10:00,SCT,,,3500.00,,
FLMF,2024-09-27 16:00,,,,,,
FLMF,2024-10-11 07:00,,,,,,
FLMF,2024-10-11 08:00,,,,,,
FLMF,2024-10-11 15:00,,,,,,
FLMF,2024-10-12 12:00,,,,,,
FLMF,2024-10-13 07:00,,,,,,
FLMF,2024-10-13 08:00,,,,,,
FLMF,2024-10-13 09:00,,,,,,
FLMF,2024-10-13 10:00,,,,,,
FLMF,2024-10-13 12:00,,,,,,
FLMF,2024-10-13 13:00,,,,,,
FLMF,2024-10-13 14:00,,,,,,
FLMF,2024-10-13 15:00,,,,,,
FLMF,2024-10-13 16:00,,,,,,
FLMF,2024-10-14 05:00,,,,,,
FLMF,2024-10-14 06:00,,,,,,
FLMF,2024-10-14 07:00,,,,,,
FLMF,2024-10-14 08:00,,,,,,
FLMF,2024-10-14 09:00,,,,,,
FLMF,2024-10-14 11:00,,,,,,
FLMF,2024-10-14 12:00,,,,,,
FLMF,2024-10-14 14:00,,,,,,
FLMF,2024-10-14 15:00,,,,,,
FLMF,2024-10-14 16:00,,,,,,
FLMF,2024-10-15 06:00,,,,,,
FLMF,2024-10-15 07:00,,,,,,
FLMF,2024-10-15 08:00,,,,,,
FLMF,2024-10-15 09:00,,,,,,
FLMF,2024-10-15 10:00,,,,,,
FLMF,2024-10-15 11:00,,,,,,
FLMF,2024-10-15 12:00,,,,,,
FLMF,2024-10-15 13:00,,,,,,
FLMF,2024-10-15 14:00,,,,,,
FLMF,2024-10-15 15:00,,,,,,
FLMF,2024-10-16 06:00,BKN,BKN,,3000.00,10000.00,
FLMF,2024-10-16 07:00,BKN,SCT,,3200.00,10000.00,
FLMF,2024-10-16 08:00,BKN,SCT,,3500.00,10000.00,
FLMF,2024-10-16 09:00,BKN,SCT,,3500.00,10000.00,
FLMF,2024-10-16 10:00,BKN,SCT,,3500.00,10000.00,
FLMF,2024-10-16 11:00,BKN,SCT,,3500.00,10000.00,
FLMF,2024-10-16 12:00,BKN,BKN,,4500.00,10000.00,
FLMF,2024-10-16 13:00,,,,,,
FLMF,2024-10-16 14:00,SCT,BKN,,3500.00,10000.00,
FLMF,2024-10-17 05:00,BKN,SCT,,3000.00,10000.00,
FLMF,2024-10-17 06:00,SCT,BKN,,2800.00,8000.00,
FLMF,2024-10-17 08:00,BKN,,,3500.00,,
FLMF,2024-10-17 09:00,BKN,SCT,,4500.00,10000.00,
FLMF,2024-10-17 10:00,BKN,,,4800.00,,
FLMF,2024-10-17 11:00,BKN,,,4900.00,,
FLMF,2024-10-17 12:00,BKN,,,4900.00,,
FLMF,2024-10-17 13:00,,,,,,
FLMF,2024-10-17 14:00,,,,,,
FLMF,2024-10-17 15:00,,,,,,
FLMF,2024-10-17 16:00,,,,,,
FLMF,2024-10-18 05:00,,,,,,
FLMF,2024-10-18 06:00,,,,,,
FLMF,2024-10-18 07:00,,,,,,
FLMF,2024-10-18 08:00,,,,,,
FLMF,2024-10-18 10:00,,,,,,
FLMF,2024-10-18 12:00,,,,,,
FLMF,2024-10-18 13:00,,,,,,
FLMF,2024-10-18 14:00,,,,,,
FLMF,2024-10-18 15:00,,,,,,
FLMF,2024-10-19 05:00,,,,,,
FLMF,2024-10-19 06:00,,,,,,
FLMF,2024-10-19 07:00,,,,,,
FLMF,2024-10-19 08:00,,,,,,
FLMF,2024-10-19 09:00,,,,,,
FLMF,2024-10-19 10:00,,,,,,
FLMF,2024-10-19 11:00,,,,,,
FLMF,2024-10-19 12:00,,,,,,
FLMF,2024-10-19 13:00,,,,,,
FLMF,2024-10-19 15:00,,,,,,
FLMF,2024-10-20 05:00,,,,,,
FLMF,2024-10-20 09:00,FEW,,,3800.00,,
FLMF,2024-10-20 10:00,FEW,,,4000.00,,
FLMF,2024-10-20 11:00,SCT,,,4200.00,,
FLMF,2024-10-20 12:00,SCT,,,4500.00,,
FLMF,2024-10-20 15:00,SCT,,,4800.00,,
FLMF,2024-10-21 07:00,,,,,,
