station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
FLSK,2016-09-08 04:00,NSC,,,,,
FLSK,2016-09-08 10:00,,,,,,
FLSK,2016-09-08 12:00,,,,,,
FLSK,2016-09-08 16:00,NSC,,,,,
FLSK,2016-09-09 06:00,NSC,,,,,
FLSK,2016-09-09 08:00,,,,,,
FLSK,2016-09-09 09:00,,,,,,
FLSK,2016-09-09 10:00,,,,,,
FLSK,2016-09-09 11:00,,,,,,
FLSK,2016-09-09 12:00,,,,,,
FLSK,2016-09-09 13:00,,,,,,
FLSK,2016-09-09 15:00,,,,,,
FLSK,2016-09-10 21:00,NSC,,,,,
FLSK,2016-09-10 22:00,NSC,,,,,
FLSK,2016-09-11 17:00,,,,,,
FLSK,2016-09-13 10:00,,,,,,
FLSK,2016-09-13 11:00,,,,,,
FLSK,2016-09-13 13:00,,,,,,
FLSK,2016-09-14 07:00,NSC,,,,,
FLSK,2016-09-14 12:00,,,,,,
FLSK,2016-09-14 13:00,,,,,,
FLSK,2016-09-14 14:00,,,,,,
FLSK,2016-09-14 15:00,,,,,,
FLSK,2016-09-15 05:00,NSC,,,,,
FLSK,2016-09-15 06:00,NSC,,,,,
FLSK,2016-09-15 07:00,NSC,,,,,
FLSK,2016-09-15 09:00,NSC,,,,,
FLSK,2016-09-15 10:00,NSC,,,,,
FLSK,2016-09-15 11:00,,,,,,
FLSK,2016-09-15 12:00,,,,,,
FLSK,2016-09-15 13:00,,,,,,
FLSK,2016-09-15 14:00,,,,,,
FLSK,2016-09-15 15:00,,,,,,
FLSK,2016-09-16 10:00,NSC,,,,,
FLSK,2016-09-16 11:00,NSC,,,,,
FLSK,2016-09-16 12:00,NSC,,,,,
FLSK,2016-09-16 13:00,NSC,,,,,
FLSK,2016-09-16 16:00,NSC,,,,,
FLSK,2016-09-16 20:00,,,,,,
FLSK,2016-09-16 22:00,NSC,,,,,
FLSK,2016-09-17 03:00,NSC,,,,,
FLSK,2016-09-19 11:00,,,,,,
FLSK,2016-09-19 12:00,,,,,,
FLSK,2016-09-19 13:00,,,,,,
FLSK,2016-09-19 15:00,,,,,,
FLSK,2016-09-20 05:00,NSC,,,,,
FLSK,2016-09-20 06:00,NSC,,,,,
FLSK,2016-09-20 09:00,,,,,,
FLSK,2016-09-20 10:00,,,,,,
FLSK,2016-09-20 12:00,,,,,,
FLSK,2016-09-20 13:00,,,,,,
FLSK,2016-09-20 14:00,,,,,,
FLSK,2016-09-21 08:00,,,,,,
FLSK,2016-09-21 13:00,,,,,,
FLSK,2016-09-21 16:00,NSC,,,,,
FLSK,2016-09-24 06:00,,,,,,
FLSK,2016-09-24 08:00,,,,,,
FLSK,2016-09-24 09:00,,,,,,
FLSK,2016-09-24 10:00,,,,,,
FLSK,2016-09-24 11:00,,,,,,
FLSK,2016-09-24 15:00,,,,,,
FLSK,2016-09-24 16:00,NSC,,,,,
FLSK,2016-09-25 06:00,,,,,,
FLSK,2016-09-25 10:00,,,,,,
FLSK,2016-09-25 12:00,,,,,,
FLSK,2016-09-25 13:00,,,,,,
FLSK,2016-09-25 14:00,,,,,,
FLSK,2016-09-26 06:00,NSC,,,,,
FLSK,2016-09-26 07:00,,,,,,
FLSK,2016-09-26 08:00,,,,,,
FLSK,2016-09-26 09:00,,,,,,
FLSK,2016-09-27 09:00,,,,,,
FLSK,2016-09-27 10:00,,,,,,
FLSK,2016-09-27 11:00,,,,,,
FLSK,2016-09-27 12:00,,,,,,
FLSK,2016-09-27 15:00,,,,,,
FLSK,2016-09-28 17:00,NSC,,,,,
FLSK,2016-09-30 05:00,,,,,,
FLSK,2016-09-30 09:00,,,,,,
FLSK,2016-09-30 13:00,,,,,,
FLSK,2016-09-30 14:00,,,,,,
FLSK,2016-09-30 15:00,,,,,,
FLSK,2016-10-01 06:00,,,,,,
FLSK,2016-10-01 07:00,,,,,,
FLSK,2016-10-01 12:00,,,,,,
FLSK,2016-10-02 05:00,NSC,,,,,
FLSK,2016-10-03 05:00,NSC,,,,,
FLSK,2016-10-03 06:00,NSC,,,,,
FLSK,2016-10-03 07:00,,,,,,
FLSK,2016-10-03 08:00,,,,,,
FLSK,2016-10-03 10:00,,,,,,
FLSK,2016-10-03 13:00,,,,,,
FLSK,2016-10-03 14:00,,,,,,
FLSK,2016-10-03 15:00,,,,,,
FLSK,2016-10-03 16:00,,,,,,
FLSK,2016-10-03 17:00,,,,,,
FLSK,2016-10-04 17:00,,,,,,
FLSK,2016-10-04 18:00,,,,,,
FLSK,2016-10-04 19:00,,,,,,
FLSK,2016-10-04 20:00,,,,,,
FLSK,2016-10-04 21:00,,,,,,
FLSK,2016-10-04 22:00,,,,,,
FLSK,2016-10-05 07:00,,,,,,
FLSK,2016-10-05 08:00,,,,,,
FLSK,2016-10-05 10:00,,,,,,
FLSK,2016-10-05 14:00,,,,,,
FLSK,2016-10-06 06:00,,,,,,
FLSK,2016-10-06 07:00,,,,,,
FLSK,2016-10-06 08:00,,,,,,
