station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
FMMS,2016-12-19 15:00,FEW,SCT,BKN,2000.00,4000.00,23000.00
FMMS,2017-11-29 05:00,,,,,,
FMMS,2017-12-14 06:00,BKN,SCT,,1700.00,25000.00,
FMMS,2017-12-14 09:00,BKN,,,1700.00,,
FMMS,2017-12-15 06:00,BKN,,,1700.00,,
FMMS,2017-12-15 09:00,SCT,,,1700.00,,
FMMS,2017-12-15 12:00,SCT,,,1700.00,,
FMMS,2017-12-15 15:00,SCT,BKN,,1700.00,25000.00,
FMMS,2017-12-16 03:00,BKN,,,1700.00,,
FMMS,2017-12-30 03:00,SCT,SCT,,1600.00,3300.00,
FMMS,2018-01-29 06:00,BKN,,,1700.00,,
FMMS,2018-01-29 09:00,SCT,BKN,,1700.00,25000.00,
FMMS,2018-01-29 12:00,FEW,BKN,,2000.00,25000.00,
FMMS,2018-01-30 06:00,SCT,,,1700.00,,
FMMS,2018-01-31 06:00,SCT,BKN,,1700.00,25000.00,
FMMS,2018-01-31 09:00,SCT,BKN,,1700.00,25000.00,
FMMS,2018-02-01 06:00,SCT,BKN,,1700.00,25000.00,
FMMS,2018-02-01 09:00,FEW,SCT,,2000.00,25000.00,
FMMS,2018-02-01 12:00,FEW,,,2000.00,,
FMMS,2018-02-01 15:00,FEW,,,2000.00,,
FMMS,2018-02-02 03:00,BKN,,,1700.00,,
FMMS,2018-02-02 06:00,SCT,,,1700.00,,
FMMS,2018-02-02 09:00,SCT,,,2000.00,,
FMMS,2018-02-02 15:00,FEW,,,2000.00,,
FMMS,2018-02-03 03:00,BKN,,,1700.00,,
FMMS,2018-02-03 06:00,BKN,,,1700.00,,
FMMS,2018-02-03 09:00,SCT,,,2000.00,,
FMMS,2018-02-03 12:00,FEW,,,2000.00,,
FMMS,2018-02-03 15:00,FEW,,,2000.00,,
FMMS,2018-02-04 03:00,FEW,,,2000.00,,
FMMS,2018-02-04 06:00,FEW,,,2000.00,,
FMMS,2018-02-05 03:00,SCT,SCT,BKN,1700.00,4000.00,25000.00
FMMS,2018-02-05 06:00,FEW,BKN,,2000.00,4000.00,
FMMS,2018-02-05 09:00,FEW,,,2000.00,,
FMMS,2018-02-05 12:00,FEW,BKN,BKN,1700.00,4000.00,25000.00
FMMS,2018-02-05 15:00,SCT,SCT,OVC,1700.00,4000.00,25000.00
FMMS,2018-02-06 03:00,SCT,BKN,,1700.00,4000.00,
FMMS,2018-02-06 06:00,FEW,BKN,,1700.00,25000.00,
FMMS,2018-02-06 09:00,FEW,BKN,,1700.00,25000.00,
FMMS,2018-02-06 12:00,FEW,BKN,,1700.00,25000.00,
FMMS,2018-02-06 15:00,BKN,OVC,,1700.00,25000.00,
FMMS,2018-02-07 03:00,FEW,BKN,,1700.00,25000.00,
FMMS,2018-02-07 06:00,FEW,BKN,,1700.00,25000.00,
FMMS,2018-02-07 09:00,FEW,BKN,,1700.00,23000.00,
FMMS,2018-02-07 12:00,FEW,,,1700.00,,
FMMS,2018-02-07 15:00,FEW,BKN,,1700.00,25000.00,
FMMS,2018-02-08 03:00,BKN,,,1700.00,,
FMMS,2018-02-08 06:00,BKN,,,1700.00,,
FMMS,2018-02-08 09:00,FEW,,,2000.00,,
FMMS,2018-02-08 12:00,FEW,,,2000.00,,
FMMS,2018-02-08 15:00,FEW,BKN,,1700.00,25000.00,
FMMS,2018-02-09 03:00,FEW,OVC,,1700.00,25000.00,
FMMS,2018-02-09 06:00,FEW,BKN,,2000.00,25000.00,
FMMS,2018-02-09 09:00,SCT,BKN,,1700.00,25000.00,
FMMS,2018-02-09 12:00,FEW,BKN,,2000.00,25000.00,
FMMS,2018-02-09 15:00,FEW,BKN,,2000.00,25000.00,
FMMS,2018-02-10 03:00,SCT,BKN,,1700.00,4000.00,
FMMS,2018-02-10 12:00,BKN,,,1700.00,,
FMMS,2018-02-10 15:00,SCT,BKN,,1700.00,25000.00,
FMMS,2018-02-11 03:00,FEW,BKN,,2000.00,25000.00,
FMMS,2018-02-11 06:00,FEW,SCT,,2000.00,25000.00,
FMMS,2018-02-11 09:00,FEW,BKN,,2000.00,25000.00,
FMMS,2018-02-11 12:00,FEW,SCT,BKN,1700.00,4000.00,25000.00
FMMS,2018-02-11 15:00,FEW,BKN,,1700.00,25000.00,
FMMS,2018-02-12 03:00,SCT,BKN,,4000.00,25000.00,
FMMS,2018-02-12 06:00,FEW,BKN,,1700.00,25000.00,
FMMS,2018-02-12 09:00,FEW,BKN,,2000.00,25000.00,
FMMS,2018-02-12 12:00,FEW,BKN,,2000.00,25000.00,
FMMS,2018-03-01 06:00,FEW,BKN,,1700.00,25000.00,
FMMS,2018-03-01 09:00,FEW,BKN,,1700.00,25000.00,
FMMS,2018-03-03 06:00,FEW,SCT,OVC,1700.00,4000.00,25000.00
FMMS,2018-03-03 09:00,SCT,OVC,,1700.00,25000.00,
FMMS,2018-03-03 12:00,FEW,OVC,,1700.00,25000.00,
FMMS,2018-03-03 15:00,BKN,OVC,,1700.00,25000.00,
