station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
FNBJ,2024-12-13 14:00,FEW,SCT,OVC,1700.00,2100.00,2900.00
FNBJ,2024-12-14 09:00,SCT,BKN,,1700.00,2400.00,
FNBJ,2024-12-14 11:00,SCT,BKN,,1500.00,2400.00,
FNBJ,2024-12-14 14:00,SCT,FEW,,2100.00,2200.00,
FNBJ,2024-12-15 09:00,BKN,BKN,,1600.00,4200.00,
FNBJ,2024-12-15 10:00,SCT,BKN,OVC,500.00,1500.00,2000.00
FNBJ,2024-12-15 11:00,BKN,FEW,,1900.00,2000.00,
FNBJ,2024-12-16 15:00,FEW,SCT,,3000.00,3900.00,
FNBJ,2024-12-16 16:00,FEW,SCT,,3100.00,4300.00,
FNBJ,2024-12-17 07:00,FEW,,,1100.00,,
FNBJ,2024-12-17 09:00,BKN,BKN,,2600.00,4000.00,
FNBJ,2024-12-17 10:00,SCT,BKN,,1900.00,2700.00,
FNBJ,2024-12-17 11:00,FEW,BKN,,1600.00,1800.00,
FNBJ,2024-12-17 12:00,FEW,SCT,,2100.00,2900.00,
FNBJ,2024-12-17 13:00,FEW,SCT,,2300.00,2700.00,
FNBJ,2024-12-17 14:00,FEW,BKN,,2500.00,3100.00,
FNBJ,2024-12-17 15:00,FEW,BKN,,2500.00,3300.00,
FNBJ,2024-12-17 16:00,FEW,SCT,,2700.00,3700.00,
FNBJ,2024-12-18 06:00,FEW,SCT,,2500.00,4000.00,
FNBJ,2024-12-18 07:00,FEW,SCT,,3000.00,5000.00,
FNBJ,2024-12-18 08:00,,,,,,
FNBJ,2024-12-18 09:00,FEW,SCT,,1600.00,1800.00,
FNBJ,2024-12-18 10:00,FEW,BKN,,2300.00,2600.00,
FNBJ,2024-12-18 11:00,BKN,,,3200.00,,
FNBJ,2024-12-18 12:00,SCT,FEW,,2500.00,2700.00,
FNBJ,2024-12-18 13:00,SCT,FEW,,3000.00,3100.00,
FNBJ,2024-12-18 14:30,BKN,FEW,,1900.00,2000.00,
FNBJ,2024-12-18 16:00,FEW,SCT,,2000.00,3000.00,
FNBJ,2024-12-19 07:00,FEW,,,1600.00,,
FNBJ,2024-12-19 08:00,FEW,BKN,,1800.00,2400.00,
FNBJ,2024-12-19 12:00,FEW,SCT,,2700.00,3900.00,
FNBJ,2024-12-19 13:00,FEW,SCT,,2900.00,4000.00,
FNBJ,2024-12-19 14:00,SCT,,,4100.00,,
FNBJ,2024-12-19 16:00,SCT,BKN,,3900.00,4300.00,
FNBJ,2024-12-20 06:00,FEW,,,1200.00,,
FNBJ,2024-12-20 07:00,FEW,,,1000.00,,
FNBJ,2024-12-20 08:00,SCT,,,1600.00,,
FNBJ,2024-12-20 09:00,FEW,,,1800.00,,
FNBJ,2024-12-20 10:00,SCT,FEW,,2200.00,2600.00,
FNBJ,2024-12-20 11:00,FEW,,,3400.00,,
FNBJ,2024-12-20 12:00,SCT,FEW,,3400.00,3600.00,
FNBJ,2024-12-20 13:00,FEW,BKN,,3000.00,3900.00,
FNBJ,2024-12-21 07:00,BKN,,,2000.00,,
FNBJ,2024-12-21 08:00,SCT,BKN,,800.00,1200.00,
FNBJ,2024-12-21 09:00,SCT,BKN,,900.00,2300.00,
FNBJ,2024-12-22 08:00,FEW,SCT,,1700.00,2200.00,
FNBJ,2024-12-22 09:00,FEW,SCT,,1700.00,2000.00,
FNBJ,2024-12-22 10:00,SCT,,,1100.00,,
FNBJ,2024-12-22 11:00,BKN,,,1800.00,,
FNBJ,2024-12-22 12:00,BKN,,,1800.00,,
FNBJ,2024-12-22 13:00,SCT,,,1500.00,,
FNBJ,2024-12-22 14:00,SCT,,,3000.00,,
FNBJ,2024-12-22 15:00,SCT,,,3000.00,,
FNBJ,2024-12-22 16:00,FEW,BKN,,1500.00,2000.00,
FNBJ,2024-12-23 08:00,FEW,,,500.00,,
FNBJ,2024-12-23 09:00,FEW,SCT,,600.00,1000.00,
FNBJ,2024-12-23 10:00,FEW,SCT,BKN,1100.00,1500.00,1900.00
FNBJ,2024-12-23 12:00,FEW,SCT,BKN,1400.00,1900.00,2300.00
FNBJ,2024-12-23 13:00,FEW,SCT,,1700.00,2500.00,
FNBJ,2024-12-24 11:00,FEW,,,2300.00,,
FNBJ,2024-12-24 13:00,FEW,BKN,,2800.00,5000.00,
FNBJ,2024-12-24 14:00,FEW,,,2300.00,,
FNBJ,2024-12-24 15:00,FEW,SCT,,2000.00,5000.00,
FNBJ,2024-12-24 16:00,FEW,,,3300.00,,
FNBJ,2024-12-24 17:00,SCT,,,3300.00,,
FNBJ,2024-12-25 06:00,SCT,BKN,,1000.00,1200.00,
FNBJ,2024-12-25 07:00,FEW,BKN,,1500.00,2000.00,
FNBJ,2024-12-25 08:00,BKN,FEW,,2100.00,3000.00,
FNBJ,2024-12-25 11:00,SCT,,,2100.00,,
FNBJ,2024-12-25 12:00,SCT,,,2900.00,,
FNBJ,2024-12-25 13:00,FEW,,,3000.00,,
FNBJ,2024-12-25 14:00,FEW,FEW,,2000.00,3000.00,
FNBJ,2024-12-25 15:00,FEW,FEW,,2000.00,3000.00,
FNBJ,2024-12-25 16:00,SCT,FEW,,2000.00,2500.00,
FNBJ,2024-12-26 11:00,FEW,SCT,,2000.00,2500.00,
FNBJ,2024-12-26 12:00,FEW,SCT,,2000.00,2500.00,
FNBJ,2024-12-27 06:00,SCT,,,1400.00,,
FNBJ,2024-12-27 08:00,OVC,FEW,,1000.00,1200.00,
FNBJ,2024-12-27 11:00,FEW,BKN,,2100.00,4000.00,
FNBJ,2024-12-27 14:00,FEW,SCT,BKN,1800.00,2700.00,3900.00
FNBJ,2024-12-28 09:00,FEW,,,1400.00,,
FNBJ,2024-12-28 10:00,SCT,,,2800.00,,
FNBJ,2024-12-29 11:00,FEW,,,3000.00,,
FNBJ,2024-12-30 06:00,FEW,BKN,,1500.00,1900.00,
FNBJ,2024-12-30 07:00,FEW,BKN,,1500.00,1900.00,
FNBJ,2024-12-30 08:00,FEW,BKN,,1600.00,2100.00,
FNBJ,2024-12-30 09:00,FEW,SCT,BKN,1300.00,1700.00,2300.00
FNBJ,2024-12-30 10:00,SCT,BKN,,2300.00,2700.00,
FNBJ,2024-12-30 11:00,SCT,BKN,,2500.00,2900.00,
FNBJ,2024-12-30 12:00,SCT,SCT,,3000.00,3600.00,
FNBJ,2024-12-30 13:00,SCT,BKN,,3000.00,4100.00,
FNBJ,2024-12-30 14:00,NSC,,,,,
FNBJ,2024-12-30 15:00,FEW,SCT,BKN,2200.00,2600.00,3900.00
FNBJ,2024-12-31 09:00,BKN,,,1500.00,,
FNBJ,2024-12-31 10:00,BKN,,,1900.00,,
FNBJ,2024-12-31 11:00,SCT,,,2400.00,,
FNBJ,2024-12-31 12:00,SCT,,,2800.00,,
FNBJ,2024-12-31 13:00,FEW,SCT,,2300.00,3100.00,
FNBJ,2024-12-31 14:41,FEW,BKN,,2800.00,3500.00,
FNBJ,2024-12-31 15:22,FEW,BKN,,2000.00,4000.00,
FNBJ,2024-12-31 16:00,FEW,BKN,,3000.00,3900.00,
FNBJ,2024-12-31 17:00,FEW,,,3500.00,,
FNBJ,2025-01-01 06:00,BKN,,,2600.00,,
FNBJ,2025-01-01 07:00,FEW,OVC,,1000.00,2600.00,
FNBJ,2025-01-01 11:00,BKN,BKN,,2700.00,3000.00,
FNBJ,2025-01-01 13:00,SCT,FEW,,2900.00,3300.00,
FNBJ,2025-01-02 08:00,SCT,,,2000.00,,
FNBJ,2025-01-02 09:00,SCT,,,2000.00,,
FNBJ,2025-01-02 11:00,FEW,,,1500.00,,
FNBJ,2025-01-03 07:00,FEW,SCT,,800.00,2000.00,
FNBJ,2025-01-03 11:00,FEW,SCT,,2700.00,6000.00,
FNBJ,2025-01-03 14:00,FEW,,,2900.00,,
FNBJ,2025-01-04 11:00,FEW,BKN,,2500.00,2900.00,
FNBJ,2025-01-04 14:00,FEW,SCT,,2000.00,2500.00,
FNBJ,2025-01-06 07:00,FEW,SCT,OVC,900.00,1500.00,3300.00
FNBJ,2025-01-06 10:00,FEW,SCT,,1800.00,2200.00,
FNBJ,2025-01-08 08:00,FEW,SCT,,1300.00,3200.00,
FNBJ,2025-01-08 09:00,SCT,BKN,,1400.00,3000.00,
FNBJ,2025-01-08 15:00,FEW,BKN,,2000.00,3000.00,
FNBJ,2025-01-08 16:00,FEW,BKN,,2000.00,3000.00,
FNBJ,2025-01-09 07:00,FEW,SCT,,800.00,1900.00,
FNBJ,2025-01-09 08:00,FEW,BKN,,1400.00,2000.00,
FNBJ,2025-01-09 09:00,FEW,BKN,,1700.00,2100.00,
FNBJ,2025-01-09 10:00,SCT,BKN,,2000.00,3000.00,
FNBJ,2025-01-09 11:00,SCT,,,2700.00,,
FNBJ,2025-01-09 12:00,BKN,,,2700.00,,
FNBJ,2025-01-09 13:00,BKN,,,2700.00,,
FNBJ,2025-01-09 14:00,FEW,BKN,,1000.00,2500.00,
FNBJ,2025-01-09 15:00,BKN,,,1900.00,,
FNBJ,2025-01-10 08:00,FEW,,,2000.00,,
FNBJ,2025-01-10 10:00,FEW,,,2000.00,,
FNBJ,2025-01-10 11:00,SCT,,,3000.00,,
FNBJ,2025-01-10 12:00,SCT,,,3000.00,,
FNBJ,2025-01-10 13:00,,,,,,
FNBJ,2025-01-10 14:00,SCT,FEW,,2000.00,2200.00,
