station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
FNDU,2016-01-15 05:00,FEW,SCT,,5000.00,13000.00,
FNDU,2016-01-19 06:00,,,,,,
FNDU,2016-01-21 06:00,FEW,BKN,,2000.00,14000.00,
FNDU,2016-01-24 06:00,FEW,OVC,,4000.00,20000.00,
FNDU,2016-01-25 07:00,OVC,,,10000.00,,
FNDU,2016-01-30 07:00,BKN,,,12000.00,,
FNDU,2016-02-07 06:00,FEW,BKN,,1000.00,10000.00,
FNDU,2017-02-02 06:00,OVC,,,1000.00,,
FNDU,2017-02-02 08:00,OVC,,,1000.00,,
FNDU,2017-02-02 09:00,OVC,,,1000.00,,
FNDU,2017-02-02 10:00,FEW,BKN,,1000.00,2300.00,
FNDU,2017-02-02 11:00,FEW,BKN,,1000.00,2300.00,
FNDU,2017-02-02 12:00,FEW,BKN,,1000.00,2300.00,
FNDU,2017-02-02 14:00,FEW,BKN,,2000.00,3000.00,
FNDU,2017-02-19 08:00,FEW,BKN,,3000.00,25000.00,
FNDU,2017-02-19 09:00,FEW,BKN,,3000.00,10000.00,
FNDU,2017-02-19 10:00,BKN,,,25000.00,,
FNDU,2017-02-19 11:00,BKN,,,3000.00,,
FNDU,2017-08-03 06:00,SCT,,,5000.00,,
FNDU,2017-08-03 07:00,NSC,,,,,
FNDU,2017-08-04 08:00,,,,,,
FNDU,2017-08-04 09:00,,,,,,
FNDU,2017-08-04 11:00,,,,,,
FNDU,2017-08-05 07:00,BKN,///,,15000.00,2100.00,
FNDU,2017-08-05 08:00,SCT,,,2500.00,,
FNDU,2017-08-05 09:00,SCT,,,2600.00,,
FNDU,2017-08-05 12:00,,,,,,
FNDU,2017-08-06 06:00,OVC,,,2500.00,,
FNDU,2017-08-06 07:00,OVC,,,2500.00,,
FNDU,2017-08-06 09:00,BKN,,,2300.00,,
FNDU,2017-08-06 11:00,,,,,,
FNDU,2017-08-06 12:00,SCT,,,2700.00,,
FNDU,2017-08-06 13:00,,,,,,
FNDU,2017-08-06 14:00,,,,,,
FNDU,2017-08-06 15:00,,,,,,
FNDU,2017-08-07 06:00,FEW,,,3000.00,,
FNDU,2017-08-07 07:00,FEW,,,3000.00,,
FNDU,2017-08-07 08:00,,,,,,
FNDU,2017-08-07 09:00,NSC,,,,,
FNDU,2017-08-07 10:00,,,,,,
