station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
FNMA,2016-01-01 08:00,BKN,,,700.00,,
FNMA,2016-01-01 09:00,BKN,,,700.00,,
FNMA,2016-01-01 10:00,BKN,,,900.00,,
FNMA,2016-01-01 11:00,BKN,,,800.00,,
FNMA,2016-01-01 12:00,FEW,,,1200.00,,
FNMA,2016-01-01 13:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-01 14:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-02 07:00,BKN,,,1000.00,,
FNMA,2016-01-02 08:00,FEW,BKN,,1000.00,1500.00,
FNMA,2016-01-02 09:00,FEW,BKN,,700.00,900.00,
FNMA,2016-01-02 10:00,FEW,BKN,,700.00,900.00,
FNMA,2016-01-02 11:00,SCT,FEW,BKN,900.00,1200.00,5700.00
FNMA,2016-01-02 12:00,SCT,FEW,BKN,900.00,1200.00,5700.00
FNMA,2016-01-02 13:00,SCT,FEW,BKN,1000.00,1500.00,6000.00
FNMA,2016-01-02 14:00,SCT,FEW,,1000.00,1500.00,
FNMA,2016-01-02 15:00,SCT,FEW,BKN,1000.00,1200.00,2000.00
FNMA,2016-01-02 16:00,BKN,,,900.00,,
FNMA,2016-01-03 07:00,BKN,,,700.00,,
FNMA,2016-01-03 08:00,BKN,,,700.00,,
FNMA,2016-01-03 09:00,BKN,,,700.00,,
FNMA,2016-01-03 10:00,BKN,,,700.00,,
FNMA,2016-01-03 11:00,BKN,,,900.00,,
FNMA,2016-01-03 13:00,BKN,,,900.00,,
FNMA,2016-01-03 14:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-03 15:00,SCT,FEW,,900.00,1200.00,
FNMA,2016-01-03 16:00,SCT,FEW,,900.00,1200.00,
FNMA,2016-01-04 07:00,BKN,,,700.00,,
FNMA,2016-01-04 08:00,BKN,,,700.00,,
FNMA,2016-01-04 10:00,OVC,,,700.00,,
FNMA,2016-01-04 11:00,OVC,,,700.00,,
FNMA,2016-01-04 13:00,SCT,FEW,BKN,900.00,1200.00,5700.00
FNMA,2016-01-04 16:00,SCT,FEW,BKN,900.00,1200.00,5700.00
FNMA,2016-01-05 07:00,OVC,,,700.00,,
FNMA,2016-01-05 08:00,BKN,,,900.00,,
FNMA,2016-01-05 09:00,BKN,,,900.00,,
FNMA,2016-01-05 10:00,BKN,,,900.00,,
FNMA,2016-01-05 11:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-05 12:00,BKN,,,3000.00,,
FNMA,2016-01-08 10:00,OVC,,,900.00,,
FNMA,2016-01-08 11:00,BKN,,,900.00,,
FNMA,2016-01-08 13:00,BKN,,,900.00,,
FNMA,2016-01-08 14:00,BKN,,,900.00,,
FNMA,2016-01-08 15:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-09 07:00,OVC,,,900.00,,
FNMA,2016-01-09 09:00,OVC,,,900.00,,
FNMA,2016-01-09 10:00,BKN,,,900.00,,
FNMA,2016-01-09 11:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-09 12:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-09 16:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-10 07:00,OVC,,,700.00,,
FNMA,2016-01-10 08:00,OVC,,,700.00,,
FNMA,2016-01-10 09:00,BKN,,,900.00,,
FNMA,2016-01-10 10:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-10 11:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-10 14:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-10 15:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-11 08:00,OVC,,,700.00,,
FNMA,2016-01-11 09:00,OVC,,,700.00,,
FNMA,2016-01-11 10:00,OVC,,,700.00,,
FNMA,2016-01-11 12:00,SCT,FEW,OVC,700.00,1200.00,5700.00
FNMA,2016-01-11 13:00,SCT,FEW,BKN,700.00,1200.00,5700.00
FNMA,2016-01-12 08:00,SCT,BKN,,700.00,5700.00,
FNMA,2016-01-12 10:00,SCT,BKN,,700.00,5700.00,
FNMA,2016-01-12 12:00,SCT,BKN,,700.00,5700.00,
FNMA,2016-01-12 13:00,SCT,BKN,,700.00,5700.00,
FNMA,2016-01-13 06:00,BKN,,,700.00,,
FNMA,2016-01-13 07:00,BKN,,,700.00,,
FNMA,2016-01-13 09:00,BKN,,,700.00,,
FNMA,2016-01-13 10:00,BKN,,,700.00,,
FNMA,2016-01-13 11:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-13 12:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-13 13:00,BKN,,,3000.00,,
FNMA,2016-01-13 15:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-13 16:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-14 06:00,BKN,,,700.00,,
FNMA,2016-01-14 07:00,SCT,OVC,,700.00,900.00,
FNMA,2016-01-14 10:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-14 11:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-15 09:00,OVC,,,900.00,,
FNMA,2016-01-15 11:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-15 13:00,BKN,FEW,,1000.00,1200.00,
FNMA,2016-01-15 15:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-15 16:00,BKN,FEW,,900.00,1200.00,
FNMA,2016-01-16 07:00,BKN,,,700.00,,
FNMA,2016-01-16 08:00,BKN,,,700.00,,
