station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
FVCZ,2016-01-01 03:00,,,,,,
FVCZ,2016-01-01 04:00,,,,,,
FVCZ,2016-01-01 06:00,,,,,,
FVCZ,2016-01-01 09:00,,,,,,
FVCZ,2016-01-01 12:00,,,,,,
FVCZ,2016-01-02 03:00,,,,,,
FVCZ,2016-01-02 04:00,,,,,,
FVCZ,2016-01-02 09:00,,,,,,
FVCZ,2016-01-02 12:00,,,,,,
FVCZ,2016-01-03 03:00,SCT,,,3000.00,,
FVCZ,2016-01-03 06:00,SCT,,,3500.00,,
FVCZ,2016-01-04 06:00,BKN,,,2000.00,,
FVCZ,2016-01-04 09:00,,,,,,
FVCZ,2016-01-04 12:00,,,,,,
FVCZ,2016-01-04 15:00,,,,,,
FVCZ,2016-01-05 03:00,,,,,,
FVCZ,2016-01-05 04:00,,,,,,
FVCZ,2016-01-05 09:00,,,,,,
FVCZ,2016-01-05 12:00,,,,,,
FVCZ,2016-01-05 15:00,,,,,,
FVCZ,2016-01-06 03:00,,,,,,
FVCZ,2016-01-06 04:00,,,,,,
FVCZ,2016-01-06 06:00,,,,,,
FVCZ,2016-01-06 09:00,,,,,,
FVCZ,2016-01-06 12:00,,,,,,
FVCZ,2016-01-06 15:00,,,,,,
FVCZ,2016-01-07 03:00,,,,,,
FVCZ,2016-01-07 04:00,,,,,,
FVCZ,2016-01-07 06:00,,,,,,
FVCZ,2016-01-07 09:00,,,,,,
FVCZ,2016-01-07 12:00,,,,,,
FVCZ,2016-01-08 12:00,,,,,,
FVCZ,2016-01-09 09:00,BKN,,,1500.00,,
FVCZ,2016-01-09 12:00,BKN,,,3000.00,,
FVCZ,2016-01-10 12:00,,,,,,
FVCZ,2016-01-11 09:00,SCT,,,3000.00,,
FVCZ,2016-01-11 15:00,,,,,,
FVCZ,2016-01-12 03:00,,,,,,
FVCZ,2016-01-12 04:00,,,,,,
FVCZ,2016-01-12 06:00,BKN,,,1500.00,,
FVCZ,2016-01-13 03:00,,,,,,
FVCZ,2016-01-13 04:00,,,,,,
FVCZ,2016-01-14 09:00,,,,,,
FVCZ,2016-01-15 09:00,,,,,,
FVCZ,2016-01-16 09:00,BKN,OVC,,1200.00,10000.00,
FVCZ,2016-01-16 12:00,FEW,BKN,,2500.00,10000.00,
FVCZ,2016-01-17 03:00,OVC,,,1500.00,,
FVCZ,2016-01-17 04:00,OVC,,,2500.00,,
FVCZ,2016-01-17 06:00,SCT,OVC,,2500.00,10000.00,
FVCZ,2016-01-19 09:00,SCT,,,4000.00,,
FVCZ,2016-01-19 12:00,,,,,,
