station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
FVWN,2016-01-02 04:00,,,,,,
FVWN,2016-01-02 06:00,,,,,,
FVWN,2016-01-02 09:00,,,,,,
FVWN,2016-01-02 12:00,,,,,,
FVWN,2016-01-03 12:00,,,,,,
FVWN,2016-01-03 15:00,,,,,,
FVWN,2016-01-04 09:00,,,,,,
FVWN,2016-01-04 12:00,,,,,,
FVWN,2016-01-04 15:00,,,,,,
FVWN,2016-01-05 09:00,,,,,,
FVWN,2016-01-05 12:00,,,,,,
FVWN,2016-01-05 15:00,,,,,,
FVWN,2016-01-06 04:00,,,,,,
FVWN,2016-01-06 06:00,,,,,,
FVWN,2016-01-06 09:00,,,,,,
FVWN,2016-01-06 12:00,,,,,,
FVWN,2016-01-08 09:00,,,,,,
FVWN,2016-01-08 12:00,FEW,SCT,,5000.00,6000.00,
FVWN,2016-01-08 15:00,,,,,,
FVWN,2016-01-09 06:00,,,,,,
FVWN,2016-01-09 09:00,,,,,,
FVWN,2016-01-09 12:00,,,,,,
FVWN,2016-01-09 15:00,,,,,,
FVWN,2016-01-10 06:00,FEW,BKN,,2000.00,8000.00,
FVWN,2016-01-10 09:00,FEW,BKN,,1000.00,8000.00,
FVWN,2016-01-11 04:00,,,,,,
FVWN,2016-01-11 09:00,SCT,,,3000.00,,
FVWN,2016-01-11 12:00,SCT,,,4000.00,,
FVWN,2016-01-11 15:00,,,,,,
FVWN,2016-01-12 04:00,,,,,,
FVWN,2016-01-12 06:00,,,,,,
FVWN,2016-01-12 12:00,,,,,,
FVWN,2016-01-12 15:00,FEW,BKN,BKN,5000.00,6000.00,10000.00
FVWN,2016-01-13 06:00,,,,,,
FVWN,2016-01-13 09:00,FEW,,,3500.00,,
FVWN,2016-01-13 12:00,,,,,,
FVWN,2016-01-13 15:00,,,,,,
FVWN,2016-01-14 09:00,SCT,,,3000.00,,
FVWN,2016-01-14 12:00,FEW,SCT,,3000.00,4000.00,
FVWN,2016-01-14 15:00,FEW,SCT,OVC,3000.00,4000.00,9000.00
FVWN,2016-01-15 06:00,,,,,,
FVWN,2016-01-15 09:00,FEW,,,3000.00,,
FVWN,2016-01-15 12:00,FEW,SCT,OVC,3000.00,4000.00,9000.00
FVWN,2016-01-16 09:00,SCT,BKN,,2500.00,9000.00,
FVWN,2016-01-16 12:00,FEW,SCT,BKN,5000.00,6000.00,9000.00
FVWN,2016-01-16 15:00,FEW,SCT,BKN,5000.00,6000.00,9000.00
FVWN,2016-01-18 06:00,,,,,,
FVWN,2016-01-18 09:00,,,,,,
FVWN,2016-01-18 12:00,,,,,,
FVWN,2016-01-19 06:00,FEW,,,1000.00,,
FVWN,2016-01-19 12:00,,,,,,
FVWN,2016-01-20 04:00,,,,,,
FVWN,2016-01-20 06:00,,,,,,
FVWN,2016-01-21 09:00,SCT,,,4500.00,,
FVWN,2016-01-21 12:00,,,,,,
FVWN,2016-01-21 15:00,,,,,,
FVWN,2016-01-22 06:00,,,,,,
FVWN,2016-01-22 12:00,,,,,,
FVWN,2016-01-23 06:00,,,,,,
FVWN,2016-01-24 09:00,FEW,BKN,,4500.00,30000.00,
FVWN,2016-01-24 12:00,,,,,,
FVWN,2016-01-24 15:00,FEW,SCT,,5000.00,30000.00,
FVWN,2016-01-25 04:00,,,,,,
FVWN,2016-01-25 06:00,,,,,,
FVWN,2016-01-25 09:00,FEW,BKN,,4500.00,8000.00,
FVWN,2016-01-25 12:00,FEW,SCT,,4500.00,5000.00,
FVWN,2016-01-26 09:00,,,,,,
FVWN,2016-01-30 09:00,FEW,BKN,,2000.00,30000.00,
FVWN,2016-02-02 12:00,FEW,,,4000.00,,
FVWN,2016-02-03 12:00,,,,,,
FVWN,2016-02-04 06:00,,,,,,
FVWN,2016-02-04 12:00,FEW,,,5000.00,,
FVWN,2016-02-06 06:00,,,,,,
FVWN,2016-02-06 12:00,,,,,,
FVWN,2016-02-06 15:00,FEW,SCT,,7000.00,8000.00,
FVWN,2016-02-09 06:00,,,,,,
FVWN,2016-02-09 12:00,,,,,,
FVWN,2016-02-09 15:00,,,,,,
FVWN,2016-02-10 06:00,,,,,,
FVWN,2016-02-10 09:00,FEW,,,4500.00,,
FVWN,2016-02-10 12:00,,,,,,
FVWN,2016-02-10 15:00,,,,,,
FVWN,2016-02-11 09:00,,,,,,
FVWN,2016-02-11 12:00,,,,,,
FVWN,2016-02-12 06:00,FEW,SCT,BKN,2500.00,3000.00,9000.00
FVWN,2016-02-12 09:00,,,,,,
FVWN,2016-02-12 15:00,FEW,SCT,BKN,4000.00,5000.00,10000.00
FVWN,2016-02-13 09:00,FEW,,,4000.00,,
FVWN,2016-02-13 12:00,,,,,,
FVWN,2016-02-14 06:00,,,,,,
FVWN,2016-02-14 09:00,FEW,,,4500.00,,
FVWN,2016-02-14 12:00,,,,,,
FVWN,2016-02-15 06:00,,,,,,
FVWN,2016-02-15 12:00,,,,,,
FVWN,2016-02-16 06:00,,,,,,
FVWN,2016-02-16 09:00,,,,,,
FVWN,2016-02-16 12:00,,,,,,
FVWN,2016-02-17 15:00,,,,,,
FVWN,2016-02-18 06:00,,,,,,
FVWN,2016-02-18 09:00,,,,,,
FVWN,2016-02-18 15:00,,,,,,
FVWN,2016-02-19 12:00,,,,,,
FVWN,2016-02-20 06:00,,,,,,
FVWN,2016-02-20 09:00,,,,,,
FVWN,2016-02-20 12:00,,,,,,
FVWN,2016-02-20 15:00,,,,,,
FVWN,2016-02-21 06:00,,,,,,
FVWN,2016-02-21 12:00,FEW,SCT,,5000.00,7000.00,
FVWN,2016-02-21 15:00,FEW,SCT,BKN,5000.00,9000.00,30000.00
FVWN,2016-02-22 06:00,,,,,,
FVWN,2016-02-22 09:00,,,,,,
FVWN,2016-02-23 09:00,FEW,,,4000.00,,
FVWN,2016-02-23 12:00,,,,,,
FVWN,2016-02-23 15:00,FEW,SCT,,3000.00,5000.00,
FVWN,2016-02-24 06:00,,,,,,
FVWN,2016-02-24 09:00,FEW,,,4000.00,,
FVWN,2016-02-24 12:00,,,,,,
FVWN,2016-02-25 06:00,,,,,,
FVWN,2016-02-25 12:00,FEW,SCT,,3000.00,6000.00,
FVWN,2016-02-25 15:00,FEW,SCT,,3000.00,6000.00,
FVWN,2016-02-26 06:00,,,,,,
FVWN,2016-02-27 09:00,FEW,BKN,,1500.00,8000.00,
FVWN,2016-02-28 06:00,SCT,BKN,,600.00,8000.00,
FVWN,2016-02-28 09:00,BKN,,,1500.00,,
FVWN,2016-02-29 09:00,BKN,,,800.00,,
FVWN,2016-02-29 12:00,FEW,SCT,BKN,1000.00,1500.00,8000.00
FVWN,2016-02-29 15:00,FEW,BKN,,1500.00,8000.00,
FVWN,2016-03-01 09:00,FEW,SCT,,1000.00,8000.00,
FVWN,2016-03-01 12:00,FEW,BKN,,800.00,8000.00,
FVWN,2016-03-01 15:00,FEW,BKN,,1500.00,8000.00,
FVWN,2016-03-02 09:00,FEW,,,4000.00,,
FVWN,2016-03-03 06:00,,,,,,
FVWN,2016-03-03 09:00,,,,,,
FVWN,2016-03-03 15:00,,,,,,
FVWN,2016-03-04 09:00,,,,,,
FVWN,2016-03-05 09:00,FEW,BKN,,3000.00,9000.00,
FVWN,2016-03-08 12:00,FEW,,,3500.00,,
FVWN,2016-03-09 06:00,BKN,,,2500.00,,
FVWN,2016-03-09 09:00,FEW,SCT,,4000.00,9000.00,
FVWN,2016-03-09 12:00,,,,,,
FVWN,2016-03-09 15:00,,,,,,
FVWN,2016-03-10 06:00,FEW,SCT,,3000.00,9000.00,
FVWN,2016-03-11 06:00,SCT,,,2500.00,,
FVWN,2016-03-11 12:00,FEW,SCT,BKN,2500.00,3500.00,9000.00
FVWN,2016-03-12 09:00,FEW,BKN,,2000.00,8000.00,
FVWN,2016-03-12 12:00,FEW,,,3000.00,,
FVWN,2016-03-13 06:00,FEW,,,1500.00,,
FVWN,2016-03-13 09:00,FEW,,,2500.00,,
FVWN,2016-03-13 12:00,,,,,,
FVWN,2016-03-13 15:00,,,,,,
FVWN,2016-03-14 06:00,,,,,,
FVWN,2016-03-14 09:00,,,,,,
FVWN,2016-03-14 12:00,,,,,,
FVWN,2016-03-15 06:00,,,,,,
FVWN,2016-03-15 12:00,,,,,,
FVWN,2016-03-15 15:00,,,,,,
FVWN,2016-03-16 12:00,SCT,BKN,,2500.00,30000.00,
FVWN,2016-03-18 06:00,BKN,SCT,,1500.00,8000.00,
FVWN,2016-03-18 09:00,FEW,SCT,BKN,2000.00,8000.00,30000.00
FVWN,2016-03-18 12:00,FEW,BKN,,3500.00,30000.00,
FVWN,2016-03-18 15:00,,,,,,
FVWN,2016-03-19 06:00,,,,,,
FVWN,2016-03-19 09:00,FEW,,,3500.00,,
FVWN,2016-03-19 12:00,,,,,,
FVWN,2016-03-21 06:00,,,,,,
FVWN,2016-03-21 09:00,FEW,BKN,,3500.00,30000.00,
FVWN,2016-03-21 12:00,,,,,,
FVWN,2016-03-22 09:00,,,,,,
FVWN,2016-03-23 06:00,,,,,,
FVWN,2016-03-23 09:00,FEW,,,3500.00,,
FVWN,2016-03-23 12:00,,,,,,
FVWN,2016-03-23 15:00,,,,,,
FVWN,2016-03-24 09:00,SCT,,,4000.00,,
FVWN,2016-03-25 06:00,,,,,,
FVWN,2016-03-25 09:00,FEW,BKN,,3000.00,8000.00,
FVWN,2016-03-25 12:00,,,,,,
FVWN,2016-03-26 09:00,SCT,,,3500.00,,
FVWN,2016-03-26 12:00,,,,,,
FVWN,2016-03-26 15:00,,,,,,
FVWN,2016-03-27 09:00,FEW,BKN,,4000.00,30000.00,
FVWN,2016-03-27 12:00,,,,,,
FVWN,2016-03-27 15:00,,,,,,
FVWN,2016-03-28 12:00,FEW,SCT,BKN,4000.00,5000.00,10000.00
FVWN,2016-03-28 15:00,,,,,,
FVWN,2016-03-29 09:00,,,,,,
FVWN,2016-03-29 12:00,,,,,,
FVWN,2016-03-29 15:00,,,,,,
FVWN,2016-03-30 12:00,,,,,,
FVWN,2016-03-31 06:00,,,,,,
FVWN,2016-03-31 15:00,,,,,,
FVWN,2016-04-01 09:00,,,,,,
FVWN,2016-04-02 15:00,,,,,,
FVWN,2016-04-03 12:00,,,,,,
FVWN,2016-04-04 06:00,,,,,,
FVWN,2016-04-04 09:00,FEW,SCT,,3000.00,9000.00,
FVWN,2016-04-04 12:00,FEW,SCT,BKN,3000.00,4000.00,9000.00
FVWN,2016-04-06 06:00,,,,,,
FVWN,2016-04-06 09:00,FEW,,,3000.00,,
FVWN,2016-04-06 12:00,FEW,,,4000.00,,
FVWN,2016-04-06 15:00,,,,,,
FVWN,2016-04-07 09:00,,,,,,
FVWN,2016-04-07 12:00,FEW,,,3000.00,,
FVWN,2016-04-08 06:00,FEW,BKN,,3000.00,8000.00,
FVWN,2016-04-08 09:00,BKN,,,3000.00,,
FVWN,2016-04-08 12:00,FEW,SCT,,3500.00,8000.00,
FVWN,2016-04-09 09:00,BKN,,,1000.00,,
FVWN,2016-04-09 12:00,BKN,,,1000.00,,
FVWN,2016-04-09 15:00,BKN,,,1500.00,,
FVWN,2016-04-10 09:00,FEW,,,2000.00,,
FVWN,2016-04-10 12:00,FEW,,,3000.00,,
FVWN,2016-04-10 15:00,FEW,,,3500.00,,
FVWN,2016-04-11 09:00,FEW,,,3500.00,,
FVWN,2016-04-11 15:00,,,,,,
FVWN,2016-04-12 15:00,,,,,,
FVWN,2016-04-13 09:00,,,,,,
FVWN,2016-04-14 06:00,,,,,,
FVWN,2016-04-14 09:00,,,,,,
FVWN,2016-04-14 12:00,,,,,,
FVWN,2016-04-14 15:00,,,,,,
FVWN,2016-04-15 09:00,,,,,,
FVWN,2016-04-19 06:00,,,,,,
FVWN,2016-04-19 09:00,,,,,,
FVWN,2016-04-19 12:00,,,,,,
FVWN,2016-04-20 09:00,,,,,,
FVWN,2016-04-20 15:00,,,,,,
FVWN,2016-04-21 06:00,,,,,,
FVWN,2016-04-21 15:00,,,,,,
FVWN,2016-04-22 06:00,,,,,,
FVWN,2016-04-22 09:00,,,,,,
FVWN,2016-04-22 12:00,,,,,,
FVWN,2016-04-22 15:00,,,,,,
FVWN,2016-04-23 06:00,,,,,,
FVWN,2016-04-23 09:00,,,,,,
FVWN,2016-04-24 09:00,,,,,,
FVWN,2016-04-24 12:00,,,,,,
FVWN,2016-04-25 09:00,,,,,,
FVWN,2016-04-25 12:00,,,,,,
FVWN,2016-04-25 15:00,,,,,,
FVWN,2016-04-26 06:00,,,,,,
FVWN,2016-04-26 09:00,,,,,,
FVWN,2016-04-26 15:00,,,,,,
FVWN,2016-04-27 09:00,,,,,,
FVWN,2016-04-27 12:00,,,,,,
FVWN,2016-04-28 06:00,,,,,,
FVWN,2016-04-28 12:00,,,,,,
FVWN,2016-04-28 15:00,,,,,,
FVWN,2016-04-29 09:00,,,,,,
FVWN,2016-04-29 12:00,,,,,,
FVWN,2016-04-29 15:00,,,,,,
FVWN,2016-04-30 12:00,,,,,,
FVWN,2016-05-01 06:00,,,,,,
FVWN,2016-05-01 09:00,,,,,,
FVWN,2016-05-01 12:00,,,,,,
FVWN,2016-05-02 06:00,,,,,,
FVWN,2016-05-02 09:00,,,,,,
FVWN,2016-05-02 15:00,,,,,,
FVWN,2016-05-03 06:00,,,,,,
FVWN,2016-05-03 09:00,,,,,,
FVWN,2016-05-03 15:00,,,,,,
FVWN,2016-05-04 06:00,,,,,,
FVWN,2016-05-04 09:00,,,,,,
FVWN,2016-05-05 06:00,,,,,,
FVWN,2016-05-05 09:00,,,,,,
FVWN,2016-05-05 12:00,,,,,,
FVWN,2016-05-05 15:00,,,,,,
FVWN,2016-05-06 06:00,,,,,,
FVWN,2016-05-06 09:00,,,,,,
FVWN,2016-05-06 12:00,,,,,,
FVWN,2016-05-06 15:00,,,,,,
FVWN,2016-05-07 06:00,,,,,,
FVWN,2016-05-07 09:00,,,,,,
FVWN,2016-05-07 12:00,,,,,,
FVWN,2016-05-09 06:00,,,,,,
FVWN,2016-05-09 09:00,,,,,,
FVWN,2016-05-09 12:00,,,,,,
FVWN,2016-05-10 06:00,,,,,,
FVWN,2016-05-10 09:00,,,,,,
FVWN,2016-05-10 12:00,,,,,,
FVWN,2016-05-11 06:00,,,,,,
FVWN,2016-05-11 09:00,,,,,,
FVWN,2016-05-11 15:00,,,,,,
FVWN,2016-05-12 06:00,,,,,,
FVWN,2016-05-12 09:00,,,,,,
FVWN,2016-05-12 12:00,,,,,,
FVWN,2016-05-12 15:00,,,,,,
FVWN,2016-05-13 09:00,,,,,,
FVWN,2016-05-13 12:00,,,,,,
FVWN,2016-05-13 15:00,,,,,,
FVWN,2016-05-13 16:00,,,,,,
FVWN,2016-05-15 06:00,,,,,,
FVWN,2016-05-15 09:00,,,,,,
FVWN,2016-05-15 12:00,,,,,,
FVWN,2016-05-16 15:00,,,,,,
FVWN,2016-05-17 06:00,,,,,,
FVWN,2016-05-17 09:00,,,,,,
FVWN,2016-05-17 12:00,,,,,,
FVWN,2016-05-17 15:00,,,,,,
FVWN,2016-05-18 06:00,,,,,,
FVWN,2016-05-18 09:00,,,,,,
FVWN,2016-05-18 15:00,,,,,,
FVWN,2016-05-19 06:00,,,,,,
FVWN,2016-05-19 12:00,,,,,,
FVWN,2016-05-20 06:00,,,,,,
FVWN,2016-05-20 12:00,,,,,,
FVWN,2016-05-21 06:00,,,,,,
FVWN,2016-05-21 09:00,,,,,,
FVWN,2016-05-21 12:00,,,,,,
FVWN,2016-05-22 06:00,,,,,,
FVWN,2016-05-22 09:00,,,,,,
FVWN,2016-05-22 12:00,,,,,,
FVWN,2016-05-22 15:00,,,,,,
FVWN,2016-05-23 06:00,,,,,,
FVWN,2016-05-23 09:00,,,,,,
FVWN,2016-05-23 12:00,,,,,,
FVWN,2016-05-23 15:00,,,,,,
FVWN,2016-05-24 06:00,,,,,,
FVWN,2016-05-24 09:00,,,,,,
FVWN,2016-05-24 12:00,,,,,,
FVWN,2016-05-25 09:00,,,,,,
FVWN,2016-05-25 12:00,,,,,,
FVWN,2016-05-25 15:00,,,,,,
FVWN,2016-05-26 06:00,,,,,,
FVWN,2016-05-26 09:00,,,,,,
FVWN,2016-05-27 06:00,,,,,,
FVWN,2016-05-27 09:00,FEW,,,3000.00,,
FVWN,2016-05-27 12:00,SCT,,,4000.00,,
FVWN,2016-05-27 15:00,,,,,,
FVWN,2016-05-28 06:00,,,,,,
FVWN,2016-05-28 09:00,,,,,,
FVWN,2016-05-28 12:00,,,,,,
FVWN,2016-05-29 06:00,,,,,,
FVWN,2016-05-29 09:00,,,,,,
FVWN,2016-05-29 12:00,,,,,,
FVWN,2016-05-29 15:00,,,,,,
