station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
FZRF,2019-03-08 06:00,FEW,FEW,BKN,1500.00,2500.00,10000.00
FZRF,2019-03-12 05:00,SCT,FEW,,1200.00,2000.00,
FZRF,2019-03-12 06:00,SCT,FEW,BKN,1400.00,2100.00,12000.00
FZRF,2019-03-14 05:00,BKN,,,1500.00,,
FZRF,2019-03-14 09:00,SCT,,,2200.00,,
FZRF,2019-03-14 12:00,FEW,FEW,BKN,2400.00,3000.00,30000.00
FZRF,2019-03-15 09:00,FEW,,,2200.00,,
FZRF,2019-03-15 12:00,FEW,,,2500.00,,
FZRF,2019-03-16 06:00,FEW,,,2000.00,,
FZRF,2019-03-17 06:00,SCT,FEW,BKN,1800.00,2000.00,30000.00
FZRF,2019-03-19 06:00,FEW,SCT,,1000.00,30000.00,
FZRF,2019-03-20 06:00,FEW,BKN,,1600.00,30000.00,
FZRF,2019-03-21 06:00,FEW,FEW,BKN,1000.00,2400.00,30000.00
FZRF,2019-03-22 09:00,SCT,FEW,,2200.00,2500.00,
FZRF,2019-03-22 12:00,FEW,FEW,BKN,2600.00,3000.00,30000.00
FZRF,2019-03-23 09:00,,,,,,
FZRF,2019-03-27 06:00,FEW,BKN,,2000.00,13000.00,
FZRF,2019-03-27 09:00,SCT,FEW,OVC,800.00,2500.00,9000.00
FZRF,2019-03-29 09:00,SCT,FEW,,2300.00,2300.00,
FZRF,2019-03-30 06:00,SCT,BKN,,2000.00,30000.00,
FZRF,2019-03-31 12:00,FEW,FEW,SCT,2600.00,3100.00,30000.00
FZRF,2019-04-03 06:00,SCT,,,2000.00,,
FZRF,2019-04-03 09:00,SCT,FEW,,2600.00,3000.00,
FZRF,2019-04-05 09:00,FEW,BKN,,2200.00,30000.00,
FZRF,2019-04-08 06:00,FEW,BKN,,1500.00,12000.00,
FZRF,2019-04-08 12:00,FEW,BKN,,2000.00,12000.00,
FZRF,2019-04-09 12:00,FEW,FEW,,2400.00,3000.00,
FZRF,2019-04-16 06:00,SCT,BKN,,1200.00,30000.00,
FZRF,2019-04-16 09:00,SCT,BKN,,2400.00,30000.00,
FZRF,2019-04-16 12:00,FEW,FEW,,2700.00,3200.00,
FZRF,2019-05-17 07:00,BKN,FEW,,1700.00,2200.00,
FZRF,2019-05-17 08:00,SCT,FEW,BKN,2000.00,2500.00,11000.00
FZRF,2019-05-17 12:00,FEW,BKN,,2600.00,30000.00,
FZRF,2019-05-18 09:00,FEW,FEW,BKN,2500.00,3000.00,30000.00
FZRF,2019-05-19 07:00,SCT,FEW,OVC,400.00,2100.00,9000.00
FZRF,2019-05-20 07:00,FEW,,,1800.00,,
FZRF,2019-05-21 08:00,FEW,FEW,BKN,2200.00,2600.00,12000.00
FZRF,2019-05-22 11:00,FEW,SCT,,2500.00,30000.00,
FZRF,2019-05-24 06:00,SCT,FEW,BKN,1600.00,2400.00,10000.00
FZRF,2019-05-24 08:00,FEW,SCT,,2000.00,12000.00,
FZRF,2019-05-25 12:00,FEW,,,2800.00,,
FZRF,2019-05-26 06:00,FEW,BKN,,2000.00,30000.00,
FZRF,2019-05-26 09:00,FEW,BKN,,2400.00,30000.00,
FZRF,2019-05-26 12:00,FEW,BKN,,2600.00,30000.00,
FZRF,2019-05-28 04:00,SCT,BKN,,1400.00,30000.00,
FZRF,2019-05-28 07:00,SCT,FEW,BKN,1800.00,2300.00,30000.00
FZRF,2019-05-28 08:00,SCT,FEW,BKN,1800.00,2500.00,12000.00
FZRF,2019-05-30 04:00,SCT,FEW,,600.00,2000.00,
FZRF,2019-05-30 05:00,SCT,FEW,FEW,600.00,1000.00,2300.00
FZRF,2019-05-30 12:00,FEW,FEW,,2500.00,3000.00,
FZRF,2019-05-31 05:00,BKN,,,1600.00,,
FZRF,2019-05-31 06:00,BKN,,,1800.00,,
FZRF,2019-05-31 09:00,SCT,BKN,,2000.00,12000.00,
FZRF,2019-06-03 05:00,FEW,SCT,,1200.00,30000.00,
FZRF,2019-06-03 10:00,FEW,SCT,,2300.00,30000.00,
FZRF,2019-06-04 07:00,FEW,,,1800.00,,
FZRF,2019-06-05 12:00,FEW,SCT,,2600.00,30000.00,
FZRF,2019-06-06 07:00,FEW,,,2000.00,,
FZRF,2019-06-10 12:00,FEW,,,2400.00,,
FZRF,2019-06-11 05:00,FEW,,,1400.00,,
FZRF,2019-06-11 07:00,FEW,,,2000.00,,
FZRF,2019-06-11 08:00,FEW,,,2200.00,,
FZRF,2019-06-13 04:00,SCT,,,1600.00,,
FZRF,2019-06-14 06:00,FEW,,,1800.00,,
FZRF,2019-06-14 08:00,SCT,,,2300.00,,
FZRF,2019-06-14 11:00,FEW,,,2600.00,,
FZRF,2019-06-14 12:00,FEW,,,2800.00,,
FZRF,2019-06-15 06:00,FEW,,,1900.00,,
FZRF,2019-06-15 09:00,FEW,,,2400.00,,
FZRF,2019-06-15 12:00,FEW,,,2500.00,,
FZRF,2019-06-16 05:00,FEW,,,1200.00,,
FZRF,2019-06-16 06:00,FEW,,,1600.00,,
FZRF,2019-06-16 07:00,FEW,,,2000.00,,
FZRF,2019-06-18 05:00,FEW,,,1000.00,,
FZRF,2019-06-21 06:00,SCT,,,1900.00,,
FZRF,2019-06-21 07:00,SCT,,,2200.00,,
FZRF,2019-06-24 06:00,NSC,,,,,
FZRF,2019-06-24 07:00,CLR,,,,,
FZRF,2019-06-24 08:00,CLR,,,,,
FZRF,2019-06-25 05:00,NSC,,,,,
FZRF,2019-06-27 12:00,FEW,,,2400.00,,
FZRF,2019-06-28 05:00,FEW,,,1700.00,,
FZRF,2019-06-28 06:00,NSC,,,,,
FZRF,2019-06-28 07:00,FEW,,,2000.00,,
FZRF,2019-06-28 08:00,FEW,,,2100.00,,
FZRF,2019-06-28 09:00,FEW,,,1300.00,,
FZRF,2019-06-28 10:00,FEW,,,2500.00,,
FZRF,2019-06-28 12:00,CLR,,,,,
FZRF,2019-06-28 13:00,,,,,,
FZRF,2019-06-29 11:00,CLR,,,,,
FZRF,2019-06-29 12:00,CLR,,,,,
FZRF,2019-07-02 09:00,FEW,,,2000.00,,
FZRF,2019-07-02 12:00,FEW,SCT,,1800.00,10000.00,
FZRF,2019-07-03 11:00,FEW,,,2300.00,,
FZRF,2019-07-03 12:00,,,,,,
FZRF,2019-07-03 13:00,,,,,,
FZRF,2019-07-04 05:00,FEW,,,1500.00,,
FZRF,2019-07-04 12:00,,,,,,
FZRF,2019-07-05 05:00,CLR,,,,,
FZRF,2019-07-07 05:00,BKN,,,1700.00,,
FZRF,2019-07-07 06:00,BKN,,,1800.00,,
FZRF,2019-07-07 07:00,SCT,BKN,,2000.00,10000.00,
