station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
FZWA,2016-01-12 07:00,FEW,SCT,,1400.00,13000.00,
FZWA,2016-01-12 08:00,FEW,,,2000.00,,
FZWA,2016-01-13 08:00,FEW,BKN,,1500.00,13000.00,
FZWA,2016-01-13 09:00,FEW,FEW,BKN,2000.00,2400.00,13000.00
FZWA,2016-01-13 13:00,FEW,BKN,OVC,1400.00,2000.00,12000.00
FZWA,2016-01-13 14:00,FEW,FEW,OVC,800.00,2000.00,10000.00
FZWA,2016-01-13 16:00,FEW,FEW,OVC,1000.00,2000.00,10000.00
FZWA,2016-01-16 08:00,,,,,,
FZWA,2016-01-16 09:00,FEW,FEW,BKN,2000.00,2500.00,13000.00
FZWA,2016-01-16 14:00,FEW,BKN,,2200.00,30000.00,
FZWA,2016-01-17 07:00,FEW,SCT,,1800.00,11000.00,
FZWA,2016-01-17 08:00,FEW,BKN,,2000.00,12000.00,
FZWA,2016-01-17 09:00,FEW,SCT,,2200.00,12000.00,
FZWA,2016-01-17 10:00,SCT,FEW,,2400.00,2600.00,
FZWA,2016-01-18 07:00,SCT,FEW,SCT,1200.00,1600.00,13000.00
FZWA,2016-01-18 10:00,SCT,FEW,BKN,1600.00,2200.00,11000.00
FZWA,2016-01-18 11:00,SCT,FEW,BKN,1600.00,2200.00,11000.00
FZWA,2016-01-18 12:00,SCT,FEW,BKN,1600.00,2200.00,12000.00
FZWA,2016-01-18 13:00,SCT,FEW,BKN,1600.00,3200.00,12000.00
FZWA,2016-01-18 14:00,FEW,FEW,SCT,1600.00,2200.00,12000.00
FZWA,2016-01-19 05:00,FEW,BKN,,800.00,10000.00,
FZWA,2016-01-19 06:00,FEW,BKN,,1000.00,12000.00,
FZWA,2016-01-21 13:00,FEW,BKN,,2400.00,13000.00,
FZWA,2016-01-22 07:00,FEW,BKN,,1500.00,12000.00,
FZWA,2016-01-22 12:00,SCT,FEW,BKN,11400.00,2200.00,11000.00
