station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
GAGO,2016-05-13 08:00,NSC,,,,,
GAGO,2016-06-11 08:00,,,,,,
GAGO,2016-12-22 06:00,NSC,,,,,
GAGO,2016-12-29 06:00,,,,,,
GAGO,2017-06-21 06:00,,,,,,
GAGO,2018-07-11 09:00,FEW,,,25000.00,,
GAGO,2018-09-13 08:00,FEW,SCT,,18000.00,25000.00,
GAGO,2018-09-13 12:00,FEW,,,25000.00,,
GAGO,2019-04-10 05:00,CLR,,,,,
GAGO,2019-08-30 16:00,SCT,SCT,,1300.00,2000.00,
GAGO,2021-01-22 07:00,NSC,,,,,
GAGO,2021-01-22 10:00,NSC,,,,,
GAGO,2021-01-22 11:00,NSC,,,,,
GAGO,2021-05-07 11:00,CLR,,,,,
GAGO,2021-12-12 23:00,FEW,,,1300.00,,
GAGO,2022-02-26 05:00,,,,,,
GAGO,2022-02-28 23:00,,,,,,
GAGO,2022-03-14 21:00,,,,,,
GAGO,2022-03-30 19:00,,,,,,
GAGO,2022-04-09 06:00,,,,,,
GAGO,2023-03-13 00:30,,,,,,
GAGO,2023-03-14 21:30,,,,,,
GAGO,2023-04-03 05:30,,,,,,
GAGO,2023-05-18 20:00,,,,,,
GAGO,2023-07-19 08:00,,,,,,
GAGO,2023-07-25 09:00,,,,,,
GAGO,2023-07-25 10:00,,,,,,
GAGO,2023-07-31 08:00,,,,,,
GAGO,2023-07-31 12:00,NSC,,,,,
GAGO,2023-07-31 14:00,FEW,,,2000.00,,
GAGO,2023-08-03 16:00,NSC,,,2000.00,,
GAGO,2023-11-07 08:00,NSC,,,,,
GAGO,2023-12-09 21:30,,,,,,
GAGO,2023-12-27 07:00,,,,,,
GAGO,2024-01-10 19:00,,,,,,
GAGO,2024-01-11 16:00,,,,,,
GAGO,2024-01-19 09:00,,,,,,
GAGO,2024-01-19 12:00,,,,,,
GAGO,2024-01-22 09:00,,,,,,
GAGO,2024-01-22 15:00,,,,,,
GAGO,2024-01-23 09:00,,,,,,
GAGO,2024-01-23 12:00,,,,,,
GAGO,2024-01-24 09:00,,,,,,
GAGO,2024-01-24 12:00,,,,,,
GAGO,2024-01-25 09:00,,,,,,
GAGO,2024-01-25 12:00,,,,,,
GAGO,2024-01-25 15:00,,,,,,
GAGO,2024-01-26 09:00,,,,,,
GAGO,2024-01-26 12:00,,,,,,
GAGO,2024-01-26 15:00,,,,,,
GAGO,2024-01-29 09:00,,,,,,
GAGO,2024-01-29 12:00,,,,,,
GAGO,2024-01-29 15:00,,,,,,
GAGO,2024-01-29 18:00,,,,,,
GAGO,2024-01-30 08:00,,,,,,
GAGO,2024-01-30 09:00,,,,,,
GAGO,2024-01-30 11:00,,,,,,
GAGO,2024-01-30 12:00,,,,,,
GAGO,2024-01-30 13:00,,,,,,
GAGO,2024-01-30 15:00,,,,,,
GAGO,2024-01-31 08:00,,,,,,
GAGO,2024-01-31 09:00,,,,,,
GAGO,2024-01-31 11:00,,,,,,
GAGO,2024-01-31 12:00,,,,,,
GAGO,2024-01-31 13:00,,,,,,
GAGO,2024-01-31 14:00,,,,,,
GAGO,2024-01-31 15:00,,,,,,
GAGO,2024-01-31 16:00,,,,,,
GAGO,2024-02-01 08:00,,,,,,
GAGO,2024-02-01 09:00,,,,,,
GAGO,2024-02-01 10:00,,,,,,
GAGO,2024-02-01 12:00,,,,,,
GAGO,2024-02-01 15:00,,,,,,
GAGO,2024-02-01 16:00,,,,,,
GAGO,2024-02-01 17:00,,,,,,
GAGO,2024-02-02 08:00,,,,,,
GAGO,2024-02-02 09:00,,,,,,
GAGO,2024-02-02 10:00,,,,,,
GAGO,2024-02-02 11:00,,,,,,
GAGO,2024-02-02 12:00,,,,,,
GAGO,2024-02-02 13:00,,,,,,
GAGO,2024-02-03 08:00,,,,,,
GAGO,2024-02-03 09:00,,,,,,
GAGO,2024-02-03 10:00,,,,,,
GAGO,2024-02-03 11:00,,,,,,
GAGO,2024-02-03 12:00,,,,,,
GAGO,2024-02-03 13:00,,,,,,
GAGO,2024-02-03 15:00,,,,,,
GAGO,2024-02-05 08:00,,,,,,
GAGO,2024-02-05 09:00,,,,,,
GAGO,2024-02-05 11:00,,,,,,
GAGO,2024-02-05 12:00,,,,,,
GAGO,2024-02-05 14:00,,,,,,
GAGO,2024-02-05 15:00,,,,,,
GAGO,2024-02-06 08:00,,,,,,
GAGO,2024-02-06 09:00,,,,,,
GAGO,2024-02-06 10:00,,,,,,
GAGO,2024-02-06 11:00,,,,,,
GAGO,2024-02-06 12:00,,,,,,
GAGO,2024-02-06 14:00,,,,,,
GAGO,2024-02-07 08:00,,,,,,
GAGO,2024-02-07 09:00,,,,,,
GAGO,2024-02-07 10:00,,,,,,
GAGO,2024-02-07 11:00,,,,,,
GAGO,2024-02-07 12:00,,,,,,
GAGO,2024-02-07 14:00,,,,,,
GAGO,2024-02-08 09:00,,,,,,
GAGO,2024-02-08 10:00,,,,,,
GAGO,2024-02-08 11:00,,,,,,
GAGO,2024-02-08 12:00,,,,,,
GAGO,2024-02-08 14:00,,,,,,
GAGO,2024-02-08 17:00,,,,,,
GAGO,2024-02-09 08:00,,,,,,
GAGO,2024-02-09 09:00,,,,,,
GAGO,2024-02-09 11:00,,,,,,
GAGO,2024-02-09 12:00,,,,,,
GAGO,2024-02-09 13:00,,,,,,
GAGO,2024-02-09 15:00,,,,,,
GAGO,2024-02-09 16:00,,,,,,
GAGO,2024-02-10 08:00,,,,,,
GAGO,2024-02-10 09:00,,,,,,
GAGO,2024-02-10 10:00,,,,,,
GAGO,2024-02-12 08:00,,,,,,
GAGO,2024-02-12 09:00,,,,,,
GAGO,2024-02-12 12:00,,,,,,
GAGO,2024-02-12 15:00,,,,,,
GAGO,2024-02-12 16:00,,,,,,
GAGO,2024-02-13 05:30,,,,,,
GAGO,2024-02-13 09:00,,,,,,
GAGO,2024-02-13 10:00,,,,,,
GAGO,2024-02-13 11:00,,,,,,
GAGO,2024-02-13 12:00,,,,,,
GAGO,2024-02-14 09:00,,,,,,
GAGO,2024-02-14 10:00,,,,,,
GAGO,2024-02-14 11:00,,,,,,
GAGO,2024-02-15 08:00,,,,,,
GAGO,2024-02-15 09:00,,,,,,
GAGO,2024-02-15 10:00,,,,,,
GAGO,2024-02-15 13:00,,,,,,
GAGO,2024-02-15 15:00,,,,,,
GAGO,2024-02-15 22:00,,,,,,
GAGO,2024-02-16 08:00,,,,,,
GAGO,2024-02-16 09:00,NSC,,,,,
GAGO,2024-02-16 10:00,NSC,,,,,
GAGO,2024-02-16 11:00,NSC,,,,,
GAGO,2024-02-16 12:00,NSC,,,,,
GAGO,2024-02-16 15:00,NSC,,,,,
GAGO,2024-02-17 09:00,NSC,,,,,
GAGO,2024-02-17 12:00,NSC,,,,,
GAGO,2024-02-17 16:00,NSC,,,,,
GAGO,2024-02-19 09:00,NSC,,,,,
GAGO,2024-02-19 10:00,NSC,,,,,
GAGO,2024-02-19 11:00,NSC,,,,,
GAGO,2024-02-19 12:00,NSC,,,,,
GAGO,2024-02-19 13:00,NSC,,,,,
GAGO,2024-02-20 09:00,NSC,,,,,
GAGO,2024-02-20 10:00,NSC,,,,,
GAGO,2024-02-20 11:00,NSC,,,,,
GAGO,2024-02-20 12:00,NSC,,,,,
GAGO,2024-02-20 13:00,NSC,,,,,
GAGO,2024-02-20 14:00,NSC,,,,,
GAGO,2024-02-20 15:00,NSC,,,,,
GAGO,2024-02-20 16:00,NSC,,,,,
GAGO,2024-02-21 08:00,NSC,,,,,
GAGO,2024-02-21 09:00,NSC,,,,,
GAGO,2024-02-21 10:00,NSC,,,,,
GAGO,2024-02-21 11:00,NSC,,,,,
GAGO,2024-02-21 12:00,NSC,,,,,
GAGO,2024-02-21 13:00,NSC,,,,,
GAGO,2024-02-21 14:00,NSC,,,,,
GAGO,2024-02-22 08:00,NSC,,,,,
GAGO,2024-02-22 09:00,NSC,,,,,
GAGO,2024-02-22 11:00,NSC,,,,,
GAGO,2024-02-22 12:00,NSC,,,,,
GAGO,2024-02-22 13:00,NSC,,,,,
GAGO,2024-02-23 08:00,NSC,,,,,
GAGO,2024-02-23 10:00,NSC,,,,,
GAGO,2024-02-23 11:00,NSC,,,,,
GAGO,2024-02-23 13:00,NSC,,,,,
GAGO,2024-02-23 14:00,NSC,,,,,
GAGO,2024-02-23 15:00,NSC,,,,,
GAGO,2024-02-23 16:00,NSC,,,,,
GAGO,2024-02-24 08:00,NSC,,,,,
GAGO,2024-02-24 09:00,NSC,,,,,
GAGO,2024-02-24 11:00,NSC,,,,,
GAGO,2024-02-24 12:00,NSC,,,,,
GAGO,2024-02-24 13:00,NSC,,,,,
GAGO,2024-02-26 08:00,NSC,,,,,
GAGO,2024-02-26 09:00,NSC,,,,,
GAGO,2024-02-26 10:00,NSC,,,,,
GAGO,2024-02-26 11:00,NSC,,,,,
GAGO,2024-02-26 12:00,NSC,,,,,
GAGO,2024-02-26 15:00,NSC,,,,,
GAGO,2024-02-26 16:00,NSC,,,,,
GAGO,2024-02-27 08:00,NSC,,,,,
GAGO,2024-02-27 09:00,NSC,,,,,
GAGO,2024-02-27 12:00,NSC,,,,,
GAGO,2024-02-27 13:00,,,,,,
GAGO,2024-02-28 08:00,,,,,,
GAGO,2024-02-28 09:00,,,,,,
GAGO,2024-02-28 11:00,,,,,,
GAGO,2024-02-28 12:00,,,,,,
GAGO,2024-02-28 14:00,,,,,,
GAGO,2024-02-28 15:00,,,,,,
GAGO,2024-02-28 17:00,,,,,,
GAGO,2024-02-29 08:00,,,,,,
GAGO,2024-02-29 09:00,,,,,,
GAGO,2024-02-29 10:00,,,,,,
GAGO,2024-02-29 11:00,,,,,,
GAGO,2024-02-29 12:00,,,,,,
GAGO,2024-02-29 14:00,,,,,,
GAGO,2024-02-29 15:00,,,,,,
GAGO,2024-02-29 16:00,,,,,,
GAGO,2024-03-01 08:00,,,,,,
GAGO,2024-03-01 10:00,,,,,,
GAGO,2024-03-01 11:00,,,,,,
GAGO,2024-03-01 12:00,,,,,,
GAGO,2024-03-01 14:00,,,,,,
GAGO,2024-03-01 16:00,,,,,,
GAGO,2024-03-02 08:00,NSC,,,,,
GAGO,2024-03-02 09:00,NSC,,,,,
GAGO,2024-03-02 10:00,NSC,,,,,
GAGO,2024-03-02 12:00,NSC,,,,,
GAGO,2024-03-04 08:00,NSC,,,,,
GAGO,2024-03-04 09:00,NSC,,,,,
GAGO,2024-03-04 10:00,NSC,,,,,
GAGO,2024-03-04 12:00,NSC,,,,,
GAGO,2024-03-04 13:00,NSC,,,,,
GAGO,2024-03-05 08:00,NSC,,,,,
GAGO,2024-03-05 09:00,NSC,,,,,
GAGO,2024-03-05 10:00,NSC,,,,,
GAGO,2024-03-05 11:00,,,,,,
GAGO,2024-03-05 12:00,,,,,,
GAGO,2024-03-05 13:00,,,,,,
GAGO,2024-03-05 14:00,,,,,,
GAGO,2024-03-05 15:00,,,,,,
GAGO,2024-03-05 16:00,,,,,,
GAGO,2024-03-06 08:00,NSC,,,,,
GAGO,2024-03-06 09:00,NSC,,,,,
GAGO,2024-03-06 11:00,NSC,,,,,
GAGO,2024-03-06 12:00,NSC,,,,,
GAGO,2024-03-06 13:00,NSC,,,,,
GAGO,2024-03-06 14:00,NSC,,,,,
GAGO,2024-03-06 15:00,NSC,,,,,
GAGO,2024-03-06 17:00,NSC,,,,,
GAGO,2024-03-07 08:00,NSC,,,,,
GAGO,2024-03-07 09:00,NSC,,,,,
GAGO,2024-03-07 10:00,NSC,,,,,
GAGO,2024-03-07 11:00,,,,,,
GAGO,2024-03-07 12:00,,,,,,
GAGO,2024-03-07 13:00,,,,,,
GAGO,2024-03-07 14:00,,,,,,
GAGO,2024-03-07 15:00,,,,,,
GAGO,2024-03-08 08:00,NSC,,,,,
GAGO,2024-03-08 09:00,NSC,,,,,
GAGO,2024-03-08 10:00,NSC,,,,,
GAGO,2024-03-08 11:00,,,,,,
GAGO,2024-03-08 12:00,,,,,,
GAGO,2024-03-08 13:00,,,,,,
GAGO,2024-03-08 15:00,,,,,,
