station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
HABD,2018-01-29 11:00,FEW,FEW,,2700.00,5700.00,
HABD,2018-01-29 12:00,FEW,FEW,,2700.00,5700.00,
HABD,2018-01-29 13:00,FEW,FEW,,2800.00,5700.00,
HABD,2018-01-29 14:00,FEW,FEW,,2800.00,5700.00,
HABD,2018-01-30 05:00,FEW,SCT,,2600.00,5700.00,
HABD,2018-01-30 06:00,FEW,,,5800.00,,
HABD,2018-01-30 07:00,,,,,,
HABD,2018-01-30 08:00,FEW,,,2800.00,,
HABD,2018-01-30 09:00,FEW,,,2700.00,,
HABD,2018-01-30 10:00,FEW,,,2800.00,,
HABD,2018-01-31 05:00,CLR,,,,,
HABD,2018-01-31 08:00,CLR,,,,,
HABD,2018-02-15 06:00,CLR,,,,,
HABD,2018-02-16 11:00,FEW,FEW,,2700.00,5700.00,
HABD,2018-02-16 12:00,FEW,FEW,FEW,2500.00,2600.00,5700.00
HABD,2018-02-16 13:00,FEW,FEW,FEW,2400.00,2500.00,5700.00
HABD,2018-02-16 14:00,SCT,FEW,FEW,2400.00,2500.00,5700.00
HABD,2018-02-19 05:00,FEW,SCT,,2600.00,5700.00,
HABD,2018-02-19 07:00,FEW,,,5800.00,,
HABD,2018-02-19 09:00,FEW,FEW,,2700.00,5700.00,
HABD,2018-02-19 10:00,FEW,FEW,FEW,2500.00,2600.00,5700.00
HABD,2018-02-20 08:00,FEW,FEW,,2600.00,5700.00,
HABD,2018-02-20 09:00,,,,,,
HABD,2018-02-20 10:00,SCT,,,,,
HABD,2018-02-20 11:00,FEW,SCT,,2500.00,2600.00,
HABD,2018-02-20 12:00,FEW,FEW,,2500.00,2600.00,
HABD,2018-02-20 14:00,FEW,FEW,FEW,2500.00,2600.00,5700.00
HABD,2018-02-21 05:00,SCT,FEW,,2500.00,5700.00,
HABD,2018-02-21 06:00,FEW,FEW,,2700.00,5700.00,
HABD,2018-02-21 07:00,FEW,FEW,,2700.00,5700.00,
HABD,2018-02-21 08:00,FEW,FEW,,2800.00,5700.00,
HABD,2018-02-21 09:00,FEW,FEW,,2700.00,5700.00,
HABD,2018-02-21 10:00,FEW,FEW,,2700.00,5800.00,
HABD,2018-02-22 10:00,FEW,FEW,,2700.00,2800.00,
HABD,2018-02-22 12:00,SCT,FEW,,2500.00,5700.00,
HABD,2018-02-22 13:00,SCT,FEW,,2700.00,5700.00,
HABD,2018-02-22 14:00,FEW,SCT,FEW,2500.00,2700.00,5700.00
HABD,2018-02-23 05:00,FEW,FEW,,2700.00,5700.00,
HABD,2018-02-23 07:00,FEW,,,5800.00,,
HABD,2018-02-23 08:00,FEW,,,2700.00,,
HABD,2018-02-23 09:00,FEW,FEW,FEW,2600.00,2700.00,5700.00
HABD,2018-02-23 10:00,FEW,FEW,FEW,2500.00,2600.00,5700.00
HABD,2018-02-23 12:00,SCT,FEW,,2600.00,5700.00,
HABD,2018-02-23 13:00,SCT,FEW,,2600.00,5700.00,
HABD,2018-02-27 05:00,FEW,,,5800.00,,
HABD,2018-02-27 06:00,FEW,,,5800.00,,
HABD,2018-02-27 07:00,FEW,,,5800.00,,
HABD,2018-02-27 08:00,FEW,,,2800.00,,
HABD,2018-02-27 09:00,FEW,,,2700.00,,
HABD,2018-02-27 10:00,FEW,,,2700.00,,
HABD,2018-02-27 11:00,FEW,,,2800.00,,
HABD,2018-02-27 12:00,FEW,,,2700.00,,
HABD,2018-02-27 13:00,FEW,,,2700.00,,
HABD,2018-02-28 08:00,,,,,,
HABD,2018-02-28 11:00,FEW,,,2800.00,,
HABD,2018-02-28 12:00,FEW,,,2700.00,,
HABD,2018-02-28 13:00,FEW,,,2700.00,,
HABD,2018-02-28 14:00,FEW,,,2700.00,,
HABD,2018-03-01 05:00,CLR,,,,,
HABD,2018-03-01 07:00,CLR,,,,,
HABD,2018-03-09 11:00,FEW,,,2700.00,,
HABD,2018-03-13 05:00,CLR,,,,,
HABD,2018-03-13 06:00,CLR,,,,,
HABD,2018-03-13 07:00,CLR,,,,,
HABD,2018-03-13 14:00,FEW,SCT,,2700.00,7000.00,
HABD,2018-03-14 11:00,CLR,,,,,
HABD,2018-03-14 14:00,CLR,,,,,
HABD,2018-03-14 15:00,CLR,,,,,
