station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
HADR,2017-11-02 09:00,FEW,SCT,,2600.00,2700.00,
HADR,2017-11-02 12:00,BKN,,,2700.00,,
HADR,2018-01-25 03:00,CLR,,,,,
HADR,2018-01-25 04:00,CLR,,,,,
HADR,2018-01-25 05:00,CLR,,,,,
HADR,2018-01-25 06:00,CLR,,,,,
HADR,2018-01-25 07:00,CLR,,,,,
HADR,2018-01-25 09:00,CLR,,,,,
HADR,2018-01-25 10:00,CLR,,,,,
HADR,2018-01-25 11:00,CLR,,,,,
HADR,2018-01-25 13:00,,,,,,
HADR,2018-01-26 05:00,,,,,,
HADR,2018-01-26 06:00,CLR,,,,,
HADR,2018-01-26 07:00,CLR,,,,,
HADR,2018-01-26 08:00,,,,,,
HADR,2018-01-26 09:00,,,,,,
HADR,2018-01-26 10:00,,,,,,
HADR,2018-01-26 12:00,,,,,,
HADR,2018-01-26 13:00,,,,,,
HADR,2018-01-26 14:00,CLR,,,,,
HADR,2018-01-26 15:00,CLR,,,,,
HADR,2018-01-26 16:00,,,,,,
HADR,2018-01-26 17:00,,,,,,
HADR,2018-01-27 03:00,CLR,,,,,
HADR,2018-01-27 04:00,CLR,,,,,
HADR,2018-01-27 08:00,,,,,,
HADR,2018-01-27 10:00,FEW,,,2700.00,,
HADR,2018-01-27 12:00,FEW,,,2700.00,,
HADR,2018-01-28 04:00,CLR,,,,,
HADR,2018-01-28 05:00,,,,,,
HADR,2018-01-28 06:00,FEW,,,2800.00,,
HADR,2018-01-28 07:00,FEW,,,2600.00,,
HADR,2018-01-28 08:00,BKN,,,2600.00,,
HADR,2018-01-28 09:00,FEW,SCT,,2600.00,2700.00,
HADR,2018-01-28 17:00,,,,,,
HADR,2018-01-29 03:00,CLR,,,,,
HADR,2018-01-29 04:00,SCT,SCT,,2600.00,5600.00,
HADR,2018-01-29 05:00,CLR,,,,,
HADR,2018-01-29 06:00,CLR,,,,,
HADR,2018-01-29 07:00,FEW,,,2600.00,,
HADR,2018-01-29 08:00,FEW,,,2600.00,,
HADR,2018-01-29 09:00,SCT,,,2600.00,,
HADR,2018-01-29 10:00,SCT,,,2600.00,,
HADR,2018-01-29 11:00,SCT,,,2800.00,,
HADR,2018-01-29 12:00,SCT,,,2800.00,,
HADR,2018-01-29 13:00,FEW,,,2800.00,,
HADR,2018-01-29 14:00,FEW,,,2900.00,,
HADR,2018-01-29 15:00,FEW,,,2900.00,,
HADR,2018-01-30 03:00,CLR,,,,,
HADR,2018-01-30 04:00,CLR,,,,,
HADR,2018-01-30 06:00,FEW,,,5700.00,,
HADR,2018-01-30 07:00,FEW,,,5600.00,,
HADR,2018-01-30 08:00,SCT,,,5600.00,,
HADR,2018-01-30 09:00,FEW,FEW,,2700.00,5600.00,
HADR,2018-01-30 10:00,FEW,FEW,,2600.00,5600.00,
HADR,2018-01-30 12:00,FEW,,,2700.00,,
HADR,2018-01-30 15:00,FEW,,,2800.00,,
HADR,2018-01-30 17:00,,,,,,
HADR,2018-01-31 03:00,CLR,,,,,
HADR,2018-01-31 04:00,CLR,,,,,
HADR,2018-01-31 05:00,CLR,,,,,
HADR,2018-01-31 07:00,CLR,,,,,
HADR,2018-01-31 08:00,CLR,,,,,
HADR,2018-02-14 08:00,,,,,,
HADR,2018-02-14 09:00,FEW,,,2700.00,,
HADR,2018-02-15 03:00,CLR,,,,,
HADR,2018-02-15 04:00,,,,,,
HADR,2018-02-15 05:00,,,,,,
HADR,2018-02-15 06:00,CLR,,,,,
HADR,2018-02-15 07:00,,,,,,
HADR,2018-02-16 04:00,CLR,,,,,
HADR,2018-02-16 05:00,,,,,,
HADR,2018-02-16 06:00,,,,,,
HADR,2018-02-16 10:00,,,,,,
HADR,2018-02-16 11:00,FEW,,,2800.00,,
