station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
HSDN,2019-02-12 08:00,,,,,,
HSDN,2019-02-17 11:00,,,,,,
HSDN,2019-02-22 07:00,,,,,,
HSDN,2019-02-22 10:00,,,,,,
HSDN,2019-03-04 11:00,,,,,,
HSDN,2019-03-08 16:00,,,,,,
HSDN,2019-03-09 10:00,,,,,,
HSDN,2019-03-16 05:00,,,,,,
HSDN,2019-03-16 07:00,,,,,,
HSDN,2020-03-28 13:00,,,,,,
HSDN,2020-03-28 14:00,,,,,,
HSDN,2021-02-27 13:00,,,,,,
HSDN,2021-02-27 14:00,,,,,,
HSDN,2022-04-24 16:00,,,,,,
HSDN,2022-04-24 17:00,,,,,,
HSDN,2022-04-29 17:00,,,,,,
HSDN,2022-04-30 07:00,,,,,,
HSDN,2022-05-05 08:00,,,,,,
HSDN,2022-05-09 16:00,,,,,,
HSDN,2022-05-09 17:00,,,,,,
HSDN,2022-05-12 05:00,,,,,,
HSDN,2022-05-12 08:00,,,,,,
HSDN,2022-05-16 10:00,,,,,,
HSDN,2022-05-16 11:00,,,,,,
HSDN,2022-05-17 05:00,,,,,,
HSDN,2022-05-17 07:00,,,,,,
HSDN,2022-05-17 10:00,,,,,,
HSDN,2022-05-17 11:00,,,,,,
HSDN,2022-05-17 13:00,,,,,,
HSDN,2022-05-17 14:00,,,,,,
HSDN,2022-05-17 16:00,,,,,,
HSDN,2022-05-17 17:00,,,,,,
HSDN,2022-05-18 05:00,,,,,,
HSDN,2022-05-18 07:00,,,,,,
HSDN,2022-05-18 08:00,,,,,,
HSDN,2022-05-18 10:00,,,,,,
HSDN,2022-05-19 02:00,,,,,,
HSDN,2022-05-19 07:00,,,,,,
HSDN,2022-05-19 08:00,,,,,,
HSDN,2022-05-19 19:00,,,,,,
HSDN,2022-05-19 20:00,,,,,,
HSDN,2022-05-19 22:00,,,,,,
HSDN,2022-05-19 23:00,,,,,,
HSDN,2022-05-20 01:00,,,,,,
HSDN,2022-05-20 04:00,,,,,,
HSDN,2022-05-20 05:00,,,,,,
HSDN,2022-05-20 07:00,,,,,,
HSDN,2022-05-20 08:00,,,,,,
HSDN,2022-05-20 10:00,,,,,,
HSDN,2022-05-20 11:00,,,,,,
HSDN,2022-05-20 13:00,,,,,,
HSDN,2022-05-20 14:00,,,,,,
HSDN,2022-05-20 16:00,,,,,,
HSDN,2022-05-20 17:00,,,,,,
HSDN,2022-05-20 19:00,,,,,,
HSDN,2022-05-20 20:00,,,,,,
HSDN,2022-05-20 22:00,,,,,,
HSDN,2022-05-21 03:00,,,,,,
HSDN,2022-05-21 05:00,,,,,,
HSDN,2022-05-21 07:00,,,,,,
HSDN,2022-05-21 08:00,,,,,,
HSDN,2022-05-21 10:00,,,,,,
HSDN,2022-05-21 11:00,,,,,,
HSDN,2022-05-21 13:00,,,,,,
HSDN,2022-05-21 14:00,,,,,,
HSDN,2022-05-21 16:00,,,,,,
HSDN,2022-05-21 17:00,,,,,,
HSDN,2022-05-21 19:00,,,,,,
HSDN,2022-05-21 20:00,,,,,,
HSDN,2022-05-22 01:00,,,,,,
HSDN,2022-05-22 02:00,,,,,,
HSDN,2022-05-22 04:00,,,,,,
HSDN,2022-05-22 05:00,,,,,,
HSDN,2022-05-22 07:00,,,,,,
HSDN,2022-05-22 08:00,,,,,,
HSDN,2022-05-22 10:00,,,,,,
HSDN,2022-05-22 11:00,,,,,,
HSDN,2022-05-22 14:00,,,,,,
HSDN,2022-05-22 17:00,,,,,,
HSDN,2022-05-22 19:00,,,,,,
HSDN,2022-05-22 20:00,,,,,,
HSDN,2022-05-23 02:00,,,,,,
HSDN,2022-05-23 04:00,,,,,,
HSDN,2022-05-23 05:00,,,,,,
HSDN,2022-05-23 07:00,,,,,,
HSDN,2022-05-23 08:00,,,,,,
HSDN,2022-05-23 10:00,,,,,,
HSDN,2022-05-23 11:00,,,,,,
HSDN,2022-05-23 13:00,,,,,,
HSDN,2022-05-23 14:00,,,,,,
HSDN,2022-05-23 16:00,,,,,,
HSDN,2022-05-23 17:00,,,,,,
HSDN,2022-05-23 19:00,,,,,,
HSDN,2022-05-23 20:00,,,,,,
HSDN,2022-05-23 22:00,,,,,,
HSDN,2022-05-23 23:00,,,,,,
HSDN,2022-05-24 05:00,,,,,,
HSDN,2022-05-24 07:00,,,,,,
HSDN,2022-05-24 08:00,,,,,,
HSDN,2022-05-24 10:00,,,,,,
HSDN,2022-05-24 11:00,,,,,,
HSDN,2022-05-24 13:00,,,,,,
HSDN,2022-05-24 16:00,,,,,,
HSDN,2022-05-24 17:00,,,,,,
HSDN,2022-05-24 19:00,,,,,,
HSDN,2022-05-25 07:00,,,,,,
HSDN,2022-05-25 08:00,,,,,,
HSDN,2022-05-25 10:00,,,,,,
HSDN,2022-05-25 11:00,,,,,,
HSDN,2022-05-25 13:00,,,,,,
HSDN,2022-05-25 16:00,,,,,,
HSDN,2022-05-25 17:00,,,,,,
HSDN,2022-05-25 19:00,,,,,,
HSDN,2022-05-25 20:00,,,,,,
HSDN,2022-05-25 22:00,,,,,,
HSDN,2022-05-25 23:00,,,,,,
HSDN,2022-05-26 01:00,,,,,,
HSDN,2022-05-26 02:00,,,,,,
HSDN,2022-05-26 04:00,,,,,,
HSDN,2022-05-26 05:00,,,,,,
HSDN,2022-05-26 07:00,,,,,,
HSDN,2022-05-26 08:00,,,,,,
HSDN,2022-05-26 10:00,,,,,,
HSDN,2022-05-26 11:00,,,,,,
HSDN,2022-05-26 13:00,,,,,,
HSDN,2022-05-26 14:00,,,,,,
HSDN,2022-05-26 16:00,,,,,,
HSDN,2022-05-26 17:00,,,,,,
HSDN,2022-05-26 19:00,,,,,,
HSDN,2022-05-26 20:00,,,,,,
HSDN,2022-05-26 22:00,,,,,,
HSDN,2022-05-26 23:00,,,,,,
HSDN,2022-05-27 01:00,,,,,,
HSDN,2022-05-27 02:00,,,,,,
