station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
HUSO,2016-01-09 05:00,FEW,BKN,,1800.00,10000.00,
HUSO,2020-05-21 14:00,SCT,FEW,,2100.00,2300.00,
HUSO,2020-11-25 09:00,BKN,,,2000.00,,
HUSO,2022-09-06 14:00,BKN,FEW,,1900.00,2100.00,
HUSO,2022-09-13 14:00,BKN,FEW,,2000.00,2200.00,
HUSO,2022-09-14 09:00,SCT,FEW,,9100.00,2200.00,
HUSO,2022-09-30 11:00,SCT,FEW,,2100.00,2300.00,
HUSO,2022-10-25 12:30,FEW,FEW,,2300.00,2500.00,
HUSO,2022-11-12 12:00,BKN,FEW,,2000.00,2200.00,
HUSO,2023-07-06 08:30,FEW,,,2000.00,,
HUSO,2023-08-10 09:00,FEW,,,2000.00,,
HUSO,2023-09-10 04:30,SCT,,,1900.00,,
HUSO,2023-09-10 06:30,BKN,,,1900.00,,
HUSO,2023-09-10 08:00,BKN,,,2000.00,,
HUSO,2023-09-10 11:00,BKN,FEW,,2000.00,2200.00,
HUSO,2023-09-10 12:00,BKN,FEW,,2000.00,2300.00,
HUSO,2023-09-10 13:00,BKN,FEW,,2100.00,2300.00,
HUSO,2023-09-10 14:00,BKN,FEW,,2100.00,2300.00,
HUSO,2023-09-26 06:00,FEW,FEW,BKN,1900.00,2000.00,9000.00
HUSO,2023-09-26 07:00,FEW,BKN,,2000.00,10000.00,
HUSO,2023-09-26 08:00,FEW,BKN,,2000.00,10000.00,
HUSO,2023-09-26 09:00,FEW,FEW,BKN,2100.00,2300.00,10000.00
HUSO,2023-09-26 10:00,FEW,FEW,SCT,2100.00,2300.00,10000.00
HUSO,2023-09-26 11:00,FEW,FEW,,2100.00,2300.00,
HUSO,2023-09-26 12:00,SCT,FEW,,2100.00,2300.00,
HUSO,2023-09-26 13:00,SCT,FEW,,2100.00,2300.00,
HUSO,2023-10-06 04:00,FEW,SCT,,1900.00,10000.00,
HUSO,2023-10-06 08:00,FEW,,,2000.00,,
HUSO,2023-10-06 10:00,BKN,,,2100.00,,
HUSO,2023-10-06 12:00,BKN,FEW,,2200.00,2400.00,
HUSO,2023-10-06 14:00,SCT,FEW,,2200.00,2400.00,
HUSO,2023-10-11 05:00,BKN,OVC,,1800.00,9000.00,
HUSO,2023-10-11 06:00,BKN,FEW,,1900.00,2000.00,
HUSO,2023-10-11 07:00,BKN,FEW,,1900.00,2000.00,
HUSO,2023-10-11 09:00,BKN,FEW,,2000.00,2200.00,
HUSO,2023-10-11 10:30,BKN,FEW,,2000.00,2200.00,
HUSO,2023-10-11 13:00,BKN,FEW,,2000.00,2200.00,
HUSO,2023-10-16 05:00,SCT,,,1800.00,,
HUSO,2023-10-16 06:00,BKN,FEW,,1800.00,2000.00,
HUSO,2023-10-16 08:00,BKN,FEW,,2000.00,2200.00,
HUSO,2023-10-16 09:30,BKN,FEW,,2000.00,2200.00,
HUSO,2023-10-16 10:00,BKN,FEW,,2000.00,2200.00,
HUSO,2023-10-16 12:00,BKN,FEW,,2000.00,2200.00,
HUSO,2023-10-16 13:00,BKN,FEW,,2000.00,2200.00,
HUSO,2023-10-16 14:00,BKN,FEW,,2000.00,2200.00,
HUSO,2023-10-27 06:30,FEW,FEW,BKN,2000.00,2200.00,10000.00
HUSO,2023-10-27 07:00,FEW,,,2000.00,,
HUSO,2023-10-27 08:00,FEW,BKN,,2000.00,10000.00,
HUSO,2023-10-27 09:00,FEW,FEW,BKN,2000.00,2200.00,10000.00
HUSO,2023-10-27 13:00,SCT,FEW,,2100.00,2300.00,
HUSO,2023-11-06 11:00,BKN,FEW,,2000.00,2200.00,
HUSO,2023-11-08 05:00,FEW,FEW,,1900.00,2000.00,
HUSO,2023-11-08 06:00,BKN,FEW,,1900.00,2000.00,
HUSO,2023-11-08 07:00,BKN,FEW,,1900.00,2000.00,
HUSO,2023-11-08 08:00,BKN,FEW,,2000.00,2200.00,
HUSO,2023-11-08 09:00,BKN,FEW,,2000.00,2200.00,
HUSO,2023-11-08 11:00,BKN,FEW,,2100.00,2300.00,
HUSO,2023-11-30 06:30,,,,,,
HUSO,2023-11-30 08:30,FEW,,,2100.00,,
HUSO,2023-11-30 09:30,FEW,,,2100.00,,
HUSO,2023-11-30 11:30,FEW,,,2100.00,,
HUSO,2023-11-30 12:30,FEW,,,2100.00,,
HUSO,2023-12-08 05:30,FEW,SCT,,1900.00,10000.00,
HUSO,2023-12-08 06:30,FEW,SCT,,2000.00,10000.00,
HUSO,2023-12-08 07:00,FEW,,,2000.00,,
HUSO,2023-12-08 08:30,SCT,,,2100.00,,
HUSO,2023-12-08 12:00,SCT,FEW,,2100.00,2300.00,
HUSO,2023-12-19 05:00,,,,,,
HUSO,2023-12-19 06:30,,,,,,
HUSO,2023-12-19 08:30,,,,,,
HUSO,2023-12-19 09:30,,,,,,
HUSO,2023-12-19 10:30,FEW,,,2200.00,,
HUSO,2023-12-19 11:00,FEW,,,2200.00,,
HUSO,2023-12-19 12:30,FEW,,,2300.00,,
HUSO,2023-12-19 13:00,FEW,,,2300.00,,
HUSO,2023-12-19 14:00,FEW,,,2300.00,,
HUSO,2023-12-28 07:00,SCT,,,2000.00,,
HUSO,2023-12-28 08:00,BKN,,,2000.00,,
HUSO,2023-12-28 09:00,BKN,,,2000.00,,
HUSO,2023-12-28 10:00,BKN,,,2000.00,,
HUSO,2023-12-28 12:00,SCT,FEW,BKN,2100.00,2300.00,10000.00
HUSO,2023-12-28 13:00,FEW,FEW,BKN,2100.00,2300.00,10000.00
HUSO,2023-12-28 14:00,FEW,SCT,,2000.00,10000.00,
HUSO,2024-07-15 12:30,SCT,FEW,,2000.00,2200.00,
HUSO,2024-08-24 05:30,FEW,,,1900.00,,
HUSO,2024-11-17 09:30,BKN,,,2000.00,,
HUSO,2024-12-08 12:30,FEW,,,2100.00,,
HUSO,2024-12-09 05:00,,,,,,
HUSO,2025-03-17 05:30,FEW,,,1900.00,,
HUSO,2025-03-17 06:30,FEW,,,2000.00,,
HUSO,2025-03-17 07:30,FEW,,,2000.00,,
HUSO,2025-03-17 08:30,FEW,,,2000.00,,
HUSO,2025-03-17 09:30,FEW,,,2000.00,,
HUSO,2025-03-17 10:30,SCT,FEW,,2200.00,2400.00,
HUSO,2025-03-17 14:30,SCT,FEW,,2200.00,2400.00,
HUSO,2025-03-19 11:00,SCT,FEW,,2000.00,2300.00,
HUSO,2025-03-20 06:00,SCT,BKN,,1800.00,9000.00,
HUSO,2025-03-20 08:30,BKN,,,2000.00,,
HUSO,2025-05-07 06:00,FEW,BKN,,1900.00,9000.00,
HUSO,2025-05-07 07:00,FEW,BKN,,1900.00,9000.00,
HUSO,2025-05-07 09:00,FEW,SCT,,2000.00,10000.00,
HUSO,2025-05-08 06:00,SCT,,,1900.00,,
HUSO,2025-05-08 07:00,SCT,,,2000.00,,
HUSO,2025-05-08 09:00,SCT,,,2000.00,,
HUSO,2025-05-08 11:00,SCT,FEW,,2000.00,2300.00,
HUSO,2025-05-08 12:00,BKN,FEW,,2100.00,2300.00,
HUSO,2025-05-08 13:00,BKN,FEW,,2100.00,2300.00,
HUSO,2025-05-09 04:30,FEW,,,1800.00,,
HUSO,2025-05-09 05:00,FEW,,,1800.00,,
HUSO,2025-05-09 06:00,FEW,,,1800.00,,
HUSO,2025-05-09 07:00,FEW,,,1800.00,,
HUSO,2025-05-09 08:30,FEW,,,1900.00,,
HUSO,2025-05-09 09:00,FEW,,,1900.00,,
HUSO,2025-05-09 10:00,SCT,,,1900.00,,
HUSO,2025-05-09 11:30,SCT,FEW,,2000.00,2200.00,
HUSO,2025-05-09 12:00,SCT,FEW,,2000.00,2200.00,
HUSO,2025-05-09 13:00,SCT,FEW,,2000.00,2200.00,
HUSO,2025-05-09 14:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-09 15:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-10 05:00,FEW,,,1800.00,,
HUSO,2025-05-10 10:30,FEW,,,2000.00,,
HUSO,2025-05-10 11:30,SCT,FEW,,2000.00,2200.00,
HUSO,2025-05-10 13:00,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-10 14:00,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-10 15:00,BKN,FEW,,2100.00,2300.00,
HUSO,2025-05-11 05:00,FEW,,,1800.00,,
HUSO,2025-05-11 06:00,FEW,,,1900.00,,
HUSO,2025-05-11 08:00,FEW,,,2000.00,,
HUSO,2025-05-11 09:30,SCT,,,2000.00,,
HUSO,2025-05-11 12:00,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-11 14:00,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-11 15:00,FEW,FEW,,2100.00,2300.00,
HUSO,2025-05-12 15:00,OVC,FEW,,2000.00,2200.00,
HUSO,2025-05-13 05:00,FEW,SCT,,1900.00,10000.00,
HUSO,2025-05-13 06:00,FEW,,,2000.00,,
HUSO,2025-05-13 07:30,FEW,,,2000.00,,
HUSO,2025-05-13 08:00,FEW,,,2000.00,,
HUSO,2025-05-13 09:00,FEW,,,2000.00,,
HUSO,2025-05-13 10:00,FEW,,,2100.00,,
HUSO,2025-05-13 12:00,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-13 13:30,BKN,FEW,,2100.00,2300.00,
HUSO,2025-05-13 14:00,BKN,FEW,,2100.00,2300.00,
HUSO,2025-05-14 05:00,BKN,,,1800.00,,
HUSO,2025-05-14 06:00,SCT,SCT,,1900.00,9000.00,
HUSO,2025-05-14 07:00,SCT,BKN,,1900.00,9000.00,
HUSO,2025-05-14 08:00,FEW,,,2000.00,,
HUSO,2025-05-14 09:00,SCT,FEW,,2000.00,2200.00,
HUSO,2025-05-14 10:00,SCT,FEW,,2000.00,2200.00,
HUSO,2025-05-14 11:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-14 12:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-14 13:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-14 14:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-14 15:00,BKN,FEW,,1900.00,2100.00,
HUSO,2025-05-15 04:30,FEW,SCT,,1800.00,9000.00,
HUSO,2025-05-15 05:00,FEW,SCT,,1900.00,9000.00,
HUSO,2025-05-15 07:30,SCT,,,2000.00,,
HUSO,2025-05-15 08:00,SCT,,,2000.00,,
HUSO,2025-05-15 09:00,BKN,,,2000.00,,
HUSO,2025-05-15 10:00,BKN,,,2000.00,,
HUSO,2025-05-15 12:00,BKN,,,2000.00,,
HUSO,2025-05-15 13:30,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-15 14:00,FEW,FEW,,2100.00,2300.00,
HUSO,2025-05-16 07:00,FEW,,,2000.00,,
HUSO,2025-05-16 08:00,SCT,,,2000.00,,
HUSO,2025-05-16 10:00,BKN,FEW,,2000.00,2300.00,
HUSO,2025-05-16 11:00,BKN,FEW,,2000.00,2300.00,
HUSO,2025-05-17 06:30,FEW,,,2000.00,,
HUSO,2025-05-17 07:30,FEW,,,2000.00,,
HUSO,2025-05-17 08:00,FEW,,,2000.00,,
HUSO,2025-05-17 09:00,SCT,,,2000.00,,
HUSO,2025-05-17 11:00,BKN,FEW,,2000.00,2300.00,
HUSO,2025-05-17 12:00,BKN,FEW,,2100.00,2300.00,
HUSO,2025-05-17 13:00,BKN,FEW,,2100.00,2300.00,
HUSO,2025-05-17 14:00,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-18 04:30,FEW,,,1800.00,,
HUSO,2025-05-18 05:00,FEW,,,1800.00,,
HUSO,2025-05-18 06:00,FEW,,,1900.00,,
HUSO,2025-05-18 07:00,FEW,,,2000.00,,
HUSO,2025-05-18 08:00,FEW,,,2000.00,,
HUSO,2025-05-18 09:00,SCT,,,2000.00,,
HUSO,2025-05-18 10:30,BKN,FEW,,2100.00,2300.00,
HUSO,2025-05-18 11:00,BKN,FEW,,2100.00,2300.00,
HUSO,2025-05-18 12:00,BKN,FEW,,2100.00,2300.00,
HUSO,2025-05-18 13:00,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-18 14:00,FEW,FEW,,2100.00,2300.00,
HUSO,2025-05-18 15:00,FEW,FEW,,2100.00,2300.00,
HUSO,2025-05-19 05:00,FEW,,,1900.00,,
HUSO,2025-05-19 07:00,FEW,BKN,,1900.00,10000.00,
HUSO,2025-05-19 10:30,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-19 11:00,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-19 12:00,BKN,FEW,,2100.00,2300.00,
HUSO,2025-05-19 14:00,BKN,FEW,,2100.00,2300.00,
HUSO,2025-05-23 05:00,FEW,SCT,,1900.00,9000.00,
HUSO,2025-05-23 06:00,FEW,SCT,,2000.00,10000.00,
HUSO,2025-05-23 07:00,FEW,,,2000.00,,
HUSO,2025-05-23 08:00,SCT,,,2000.00,,
HUSO,2025-05-23 09:00,SCT,,,2000.00,,
HUSO,2025-05-23 10:00,SCT,,,2000.00,,
HUSO,2025-05-23 11:00,SCT,,,2000.00,,
HUSO,2025-05-23 12:00,SCT,FEW,,2000.00,2200.00,
HUSO,2025-05-23 13:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-23 14:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-23 15:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-24 07:00,FEW,,,1900.00,,
HUSO,2025-05-24 09:00,SCT,,,2000.00,,
HUSO,2025-05-24 10:00,BKN,,,2000.00,,
HUSO,2025-05-24 11:00,BKN,FEW,,2100.00,2300.00,
HUSO,2025-05-25 05:30,FEW,,,1900.00,,
HUSO,2025-05-25 06:30,FEW,,,1900.00,,
HUSO,2025-05-25 07:00,FEW,,,2000.00,,
HUSO,2025-05-25 08:00,SCT,,,2000.00,,
HUSO,2025-05-25 09:00,SCT,,,2000.00,,
HUSO,2025-05-25 10:30,BKN,,,2000.00,,
HUSO,2025-05-25 11:00,BKN,,,2000.00,,
HUSO,2025-05-25 12:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-25 13:00,SCT,FEW,,2000.00,2200.00,
HUSO,2025-05-25 14:00,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-26 06:00,BKN,,,1900.00,,
HUSO,2025-05-26 07:00,BKN,,,2000.00,,
HUSO,2025-05-26 08:00,BKN,,,2000.00,,
HUSO,2025-05-26 09:00,BKN,SCT,,2000.00,9000.00,
HUSO,2025-05-26 10:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-26 11:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-26 12:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-26 13:00,BKN,FEW,,2000.00,2200.00,
HUSO,2025-05-27 05:00,FEW,BKN,,1800.00,9000.00,
HUSO,2025-05-27 06:00,SCT,,,1800.00,,
HUSO,2025-05-27 09:00,BKN,,,1900.00,,
HUSO,2025-05-27 10:00,SCT,FEW,,2000.00,2200.00,
HUSO,2025-05-27 11:30,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-27 12:00,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-27 13:00,SCT,FEW,,2100.00,2300.00,
HUSO,2025-05-27 14:00,FEW,FEW,,2100.00,2300.00,
HUSO,2025-05-28 04:30,FEW,BKN,,1800.00,9000.00,
HUSO,2025-05-28 05:00,FEW,BKN,,1800.00,9000.00,
HUSO,2025-05-28 06:00,FEW,BKN,,1900.00,9000.00,
HUSO,2025-05-28 07:00,FEW,BKN,,1900.00,9000.00,
HUSO,2025-05-28 08:00,SCT,BKN,,2000.00,9000.00,
