station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
BYH,2016-01-13 17:50,SCT,,,15000.00,,
BYH,2016-01-13 20:50,FEW,,,25000.00,,
BYH,2016-01-13 22:50,FEW,FEW,,15000.00,25000.00,
BYH,2016-01-14 14:50,CLR,,,,,
BYH,2016-01-14 15:50,CLR,,,,,
BYH,2016-01-14 18:50,SCT,,,25000.00,,
BYH,2016-01-14 20:50,BKN,,,25000.00,,
BYH,2016-01-14 22:50,BKN,,,25000.00,,
BYH,2016-01-15 14:50,OVC,,,400.00,,
BYH,2016-01-15 18:50,SCT,BKN,BKN,500.00,2100.00,6000.00
BYH,2016-01-20 14:50,SCT,OVC,,500.00,1400.00,
BYH,2016-01-20 16:50,OVC,,,600.00,,
BYH,2016-01-20 17:50,OVC,,,500.00,,
BYH,2016-01-20 19:50,OVC,,,1200.00,,
BYH,2016-01-20 21:50,OVC,,,1300.00,,
BYH,2016-01-21 15:50,OVC,,,400.00,,
BYH,2016-01-21 16:50,OVC,,,400.00,,
BYH,2016-01-21 19:50,OVC,,,600.00,,
BYH,2016-01-21 20:50,OVC,,,700.00,,
BYH,2016-01-21 21:50,BKN,OVC,,700.00,1200.00,
BYH,2016-01-21 22:50,BKN,OVC,,500.00,1200.00,
BYH,2016-01-26 16:50,BKN,,,15000.00,,
BYH,2016-01-26 17:50,SCT,BKN,,2500.00,15000.00,
BYH,2016-01-26 18:50,BKN,BKN,,2500.00,15000.00,
BYH,2016-01-26 19:50,SCT,BKN,,2500.00,15000.00,
BYH,2016-01-26 20:50,SCT,SCT,BKN,2800.00,15000.00,25000.00
BYH,2016-01-26 21:50,FEW,BKN,,3100.00,15000.00,
BYH,2016-01-26 22:50,BKN,,,15000.00,,
BYH,2016-01-27 14:50,CLR,,,,,
BYH,2016-01-27 15:50,CLR,,,,,
BYH,2016-01-27 16:50,SCT,,,2400.00,,
BYH,2016-01-27 17:50,SCT,,,2500.00,,
BYH,2016-01-27 18:50,SCT,,,2400.00,,
BYH,2016-01-27 20:50,FEW,,,2400.00,,
BYH,2016-01-27 21:50,FEW,,,2500.00,,
BYH,2016-01-28 14:50,SCT,BKN,,10000.00,15000.00,
BYH,2016-01-28 16:50,FEW,,,15000.00,,
BYH,2016-01-28 19:50,CLR,,,,,
BYH,2016-01-28 21:50,CLR,,,,,
BYH,2016-01-28 22:50,CLR,,,,,
BYH,2016-01-29 14:50,CLR,,,,,
BYH,2016-01-29 15:50,CLR,,,,,
BYH,2016-01-29 19:50,CLR,,,,,
BYH,2016-01-29 21:50,CLR,,,,,
BYH,2016-02-01 22:50,BKN,,,3200.00,,
BYH,2016-02-02 17:50,BKN,BKN,,2500.00,4500.00,
BYH,2016-02-02 18:50,BKN,BKN,,2000.00,4300.00,
BYH,2016-02-02 19:50,SCT,BKN,,3100.00,10000.00,
BYH,2016-02-02 20:50,FEW,BKN,,2900.00,4100.00,
BYH,2016-02-02 21:50,SCT,BKN,OVC,2000.00,3400.00,10000.00
BYH,2016-02-02 22:50,BKN,,,6000.00,,
BYH,2016-02-03 14:50,CLR,,,,,
BYH,2016-02-03 16:50,CLR,,,,,
BYH,2016-02-03 19:50,BKN,,,4600.00,,
BYH,2016-02-03 21:50,BKN,,,5000.00,,
BYH,2016-02-03 22:50,BKN,,,5500.00,,
BYH,2016-02-04 16:50,CLR,,,,,
BYH,2016-02-04 17:50,CLR,,,,,
BYH,2016-02-04 18:50,CLR,,,,,
BYH,2016-02-04 20:50,CLR,,,,,
BYH,2016-02-05 14:50,BKN,,,25000.00,,
BYH,2016-02-05 18:50,BKN,,,25000.00,,
BYH,2016-02-05 19:50,BKN,,,25000.00,,
BYH,2016-02-05 20:50,BKN,,,25000.00,,
BYH,2016-02-05 21:50,BKN,,,25000.00,,
BYH,2016-02-08 18:50,OVC,,,5500.00,,
BYH,2016-02-08 21:50,SCT,OVC,,4000.00,7000.00,
BYH,2016-02-08 22:50,SCT,BKN,OVC,4500.00,6500.00,8000.00
BYH,2016-02-09 14:50,BKN,,,4200.00,,
BYH,2016-02-09 15:50,BKN,OVC,,3700.00,4600.00,
BYH,2016-02-09 17:50,OVC,,,4600.00,,
BYH,2016-02-09 20:50,OVC,,,4500.00,,
BYH,2016-02-09 21:50,OVC,,,4500.00,,
BYH,2016-02-09 22:50,BKN,,,5500.00,,
BYH,2016-02-10 15:50,CLR,,,,,
BYH,2016-02-10 16:50,BKN,,,12000.00,,
BYH,2016-02-10 19:50,OVC,,,6500.00,,
BYH,2016-02-10 20:50,SCT,BKN,,6500.00,9500.00,
BYH,2016-02-10 21:50,BKN,,,15000.00,,
BYH,2016-02-11 13:50,BKN,,,25000.00,,
BYH,2016-02-11 14:50,SCT,,,25000.00,,
BYH,2016-02-11 17:50,CLR,,,,,
BYH,2016-02-11 19:50,CLR,,,,,
BYH,2016-02-11 20:50,CLR,,,,,
BYH,2016-02-11 21:50,CLR,,,,,
BYH,2016-02-11 22:50,CLR,,,,,
BYH,2016-02-12 15:50,SCT,,,5500.00,,
BYH,2016-02-12 16:50,CLR,,,,,
BYH,2016-02-12 20:50,CLR,,,,,
BYH,2016-02-12 21:50,CLR,,,,,
BYH,2016-02-16 14:50,VV ,,,100.00,,
BYH,2016-02-16 17:50,OVC,,,500.00,,
BYH,2016-02-16 18:50,OVC,,,900.00,,
BYH,2016-02-16 20:50,SCT,OVC,,4400.00,4900.00,
BYH,2016-02-16 21:50,SCT,OVC,,4500.00,6000.00,
BYH,2016-02-16 22:50,BKN,OVC,,4800.00,6000.00,
BYH,2016-02-17 15:50,FEW,BKN,,1100.00,2300.00,
