station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
FME,2016-01-01 02:03,OVC,,,4800.00,,
FME,2016-01-01 03:03,BKN,OVC,,4500.00,5500.00,
FME,2016-01-01 04:03,BKN,BKN,OVC,4700.00,6000.00,7000.00
FME,2016-01-01 05:03,OVC,,,4900.00,,
FME,2016-01-01 06:03,OVC,,,4900.00,,
FME,2016-01-01 07:03,CLR,,,,,
FME,2016-01-01 08:03,CLR,,,,,
FME,2016-01-01 09:03,CLR,,,,,
FME,2016-01-01 10:03,CLR,,,,,
FME,2016-01-01 12:03,CLR,,,,,
FME,2016-01-01 13:03,CLR,,,,,
FME,2016-01-01 14:03,CLR,,,,,
FME,2016-01-01 15:03,CLR,,,,,
FME,2016-01-01 16:03,CLR,,,,,
FME,2016-01-01 17:03,CLR,,,,,
FME,2016-01-01 18:03,SCT,SCT,,4000.00,4600.00,
FME,2016-01-01 19:03,SCT,,,4400.00,,
FME,2016-01-01 20:03,CLR,,,,,
FME,2016-01-01 21:03,CLR,,,,,
FME,2016-01-01 22:03,CLR,,,,,
FME,2016-01-01 23:03,CLR,,,,,
FME,2016-01-02 00:03,CLR,,,,,
FME,2016-01-02 01:03,CLR,,,,,
FME,2016-01-02 02:03,CLR,,,,,
FME,2016-01-02 03:03,CLR,,,,,
FME,2016-01-08 06:03,OVC,,,400.00,,
FME,2016-01-08 07:03,OVC,,,200.00,,
FME,2016-01-08 08:03,OVC,,,200.00,,
FME,2016-01-08 09:03,OVC,,,400.00,,
FME,2016-01-08 10:03,BKN,OVC,,300.00,700.00,
FME,2016-01-08 11:03,SCT,OVC,,300.00,800.00,
FME,2016-01-08 13:03,OVC,,,400.00,,
FME,2016-01-08 14:03,OVC,,,400.00,,
FME,2016-01-08 15:03,OVC,,,400.00,,
FME,2016-01-08 16:03,OVC,,,400.00,,
FME,2016-01-08 17:03,OVC,,,400.00,,
FME,2016-01-08 18:03,OVC,,,400.00,,
FME,2016-01-08 19:03,OVC,,,600.00,,
FME,2016-01-08 20:03,OVC,,,500.00,,
FME,2016-01-08 21:03,SCT,OVC,,500.00,1400.00,
FME,2016-01-08 22:03,OVC,,,2000.00,,
FME,2016-01-08 23:03,OVC,,,2200.00,,
FME,2016-01-09 00:03,OVC,,,2400.00,,
FME,2016-01-09 01:03,OVC,,,2000.00,,
FME,2016-01-09 02:03,OVC,,,2200.00,,
FME,2016-01-09 03:03,OVC,,,2400.00,,
FME,2016-01-09 04:03,BKN,OVC,,2400.00,7000.00,
FME,2016-01-09 05:03,BKN,BKN,OVC,3700.00,5500.00,9000.00
FME,2016-01-09 06:03,OVC,,,3900.00,,
FME,2016-01-09 07:03,BKN,OVC,,3900.00,6000.00,
FME,2016-01-15 10:03,CLR,,,,,
FME,2016-01-15 11:03,CLR,,,,,
FME,2016-01-15 12:03,CLR,,,,,
FME,2016-01-15 13:03,CLR,,,,,
FME,2016-01-15 14:03,CLR,,,,,
FME,2016-01-15 15:03,CLR,,,,,
FME,2016-01-15 16:03,CLR,,,,,
FME,2016-01-15 17:03,CLR,,,,,
FME,2016-01-15 18:03,CLR,,,,,
FME,2016-01-15 19:03,CLR,,,,,
FME,2016-01-15 20:03,SCT,,,12000.00,,
FME,2016-01-15 21:03,SCT,,,12000.00,,
FME,2016-01-15 22:03,SCT,OVC,,10000.00,12000.00,
FME,2016-01-15 23:03,SCT,OVC,,4600.00,6000.00,
FME,2016-01-16 00:03,OVC,,,5000.00,,
FME,2016-01-16 01:03,OVC,,,4600.00,,
FME,2016-01-16 02:03,BKN,OVC,,4900.00,5500.00,
FME,2016-01-16 03:03,OVC,,,500.00,,
FME,2016-01-16 04:03,BKN,OVC,,600.00,1100.00,
FME,2016-01-16 05:03,BKN,OVC,,600.00,1100.00,
FME,2016-01-16 06:03,BKN,OVC,,400.00,1000.00,
FME,2016-01-16 07:03,OVC,,,600.00,,
FME,2016-01-16 08:03,BKN,OVC,,1600.00,4300.00,
FME,2016-01-16 09:03,SCT,OVC,,4200.00,5000.00,
FME,2016-01-16 10:03,OVC,,,4400.00,,
FME,2016-01-16 11:03,SCT,SCT,OVC,300.00,3600.00,5000.00
FME,2016-01-22 14:03,CLR,,,,,
FME,2016-01-22 15:03,SCT,,,12000.00,,
FME,2016-01-22 16:03,BKN,,,11000.00,,
FME,2016-01-22 17:03,BKN,OVC,,8000.00,10000.00,
FME,2016-01-22 18:03,OVC,,,5000.00,,
FME,2016-01-22 19:03,BKN,BKN,OVC,1400.00,2000.00,2800.00
FME,2016-01-22 20:03,BKN,,,900.00,,
FME,2016-01-22 21:03,VV ,,,500.00,,
FME,2016-01-22 22:03,VV ,,,500.00,,
FME,2016-01-22 23:03,VV ,,,700.00,,
FME,2016-01-23 00:03,VV ,,,700.00,,
FME,2016-01-23 01:03,,,,,,
FME,2016-01-23 02:03,VV ,,,700.00,,
FME,2016-01-23 03:03,VV ,,,500.00,,
FME,2016-01-23 04:03,VV ,,,700.00,,
FME,2016-01-23 05:03,VV ,,,700.00,,
FME,2016-01-23 06:03,BKN,,,100.00,,
FME,2016-01-23 07:03,VV ,,,500.00,,
FME,2016-01-23 09:03,VV ,,,500.00,,
FME,2016-01-23 10:03,CLR,,,,,
FME,2016-01-23 11:03,CLR,,,,,
FME,2016-01-23 12:03,VV ,,,700.00,,
FME,2016-01-23 13:03,VV ,,,500.00,,
FME,2016-01-23 14:03,VV ,,,500.00,,
FME,2016-01-23 15:03,VV ,,,500.00,,
FME,2016-01-23 16:03,VV ,,,500.00,,
FME,2016-01-29 19:03,SCT,SCT,,5000.00,12000.00,
FME,2016-01-29 20:03,OVC,,,6000.00,,
FME,2016-01-29 21:03,BKN,,,6000.00,,
FME,2016-01-29 22:03,SCT,,,5500.00,,
FME,2016-01-29 23:03,CLR,,,,,
FME,2016-01-30 00:03,CLR,,,,,
FME,2016-01-30 01:03,CLR,,,,,
