station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
MMH,2016-01-01 00:35,CLR,,,,,
MMH,2016-01-01 01:35,CLR,,,,,
MMH,2016-01-01 02:35,CLR,,,,,
MMH,2016-01-01 03:35,CLR,,,,,
MMH,2016-01-01 04:35,CLR,,,,,
MMH,2016-01-01 05:35,CLR,,,,,
MMH,2016-01-01 06:35,CLR,,,,,
MMH,2016-01-01 07:35,CLR,,,,,
MMH,2016-01-01 08:35,CLR,,,,,
MMH,2016-01-01 09:35,CLR,,,,,
MMH,2016-01-01 10:35,CLR,,,,,
MMH,2016-01-01 11:35,CLR,,,,,
MMH,2016-01-01 12:35,CLR,,,,,
MMH,2016-01-01 13:35,CLR,,,,,
MMH,2016-01-01 14:35,CLR,,,,,
MMH,2016-01-01 15:35,CLR,,,,,
MMH,2016-01-01 16:35,CLR,,,,,
MMH,2016-01-01 17:35,CLR,,,,,
MMH,2016-01-01 18:35,CLR,,,,,
MMH,2016-01-01 19:35,CLR,,,,,
MMH,2016-01-01 20:35,CLR,,,,,
MMH,2016-01-01 21:35,CLR,,,,,
MMH,2016-01-01 22:35,CLR,,,,,
MMH,2016-01-01 23:35,CLR,,,,,
MMH,2016-01-02 00:35,CLR,,,,,
MMH,2016-01-02 01:35,CLR,,,,,
MMH,2016-01-02 02:35,CLR,,,,,
MMH,2016-01-02 03:35,CLR,,,,,
MMH,2016-01-02 04:35,SCT,,,12000.00,,
MMH,2016-01-02 05:35,BKN,,,11000.00,,
MMH,2016-01-02 06:35,BKN,,,12000.00,,
MMH,2016-01-02 07:35,BKN,,,11000.00,,
MMH,2016-01-02 08:35,OVC,,,9000.00,,
MMH,2016-01-02 09:35,BKN,OVC,,8500.00,11000.00,
MMH,2016-01-02 10:35,SCT,SCT,SCT,7500.00,8500.00,9000.00
MMH,2016-01-02 11:35,BKN,,,11000.00,,
MMH,2016-01-02 12:35,SCT,BKN,OVC,3000.00,3900.00,6000.00
MMH,2016-01-02 13:35,BKN,OVC,,3200.00,3700.00,
MMH,2016-01-02 14:35,OVC,,,3700.00,,
MMH,2016-01-02 15:35,OVC,,,2400.00,,
MMH,2016-01-02 16:35,BKN,OVC,,1600.00,2600.00,
MMH,2016-01-02 17:35,SCT,OVC,,6000.00,7500.00,
MMH,2016-01-02 18:35,SCT,SCT,OVC,2800.00,6500.00,8000.00
MMH,2016-01-02 19:35,OVC,,,8000.00,,
MMH,2016-01-02 20:35,OVC,,,8000.00,,
MMH,2016-01-02 21:35,OVC,,,8000.00,,
MMH,2016-01-02 22:35,OVC,,,8000.00,,
MMH,2016-01-02 23:35,BKN,OVC,,7000.00,8000.00,
MMH,2016-01-03 00:35,CLR,,,,,
MMH,2016-01-03 01:35,SCT,BKN,,7000.00,8000.00,
MMH,2016-01-03 02:35,OVC,,,6000.00,,
MMH,2016-01-03 03:35,SCT,BKN,BKN,5500.00,7000.00,9000.00
MMH,2016-01-03 04:35,OVC,,,7000.00,,
