station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
TRK,2016-01-01 00:45,SCT,,,2500.00,,
TRK,2016-01-01 01:55,SCT,,,1900.00,,
TRK,2016-01-01 02:55,SCT,,,2500.00,,
TRK,2016-01-01 03:55,CLR,,,,,
TRK,2016-01-01 04:55,SCT,SCT,,2400.00,2900.00,
TRK,2016-01-01 05:55,OVC,,,2900.00,,
TRK,2016-01-01 06:55,OVC,,,2900.00,,
TRK,2016-01-01 07:55,OVC,,,3100.00,,
TRK,2016-01-01 08:55,OVC,,,2900.00,,
TRK,2016-01-01 09:55,SCT,BKN,,1600.00,2900.00,
TRK,2016-01-01 10:55,SCT,,,3000.00,,
TRK,2016-01-01 11:55,SCT,,,2500.00,,
TRK,2016-01-01 12:55,SCT,,,2600.00,,
TRK,2016-01-01 14:55,SCT,SCT,,2400.00,3000.00,
TRK,2016-01-01 16:55,SCT,,,3000.00,,
TRK,2016-01-01 17:55,SCT,,,4800.00,,
TRK,2016-01-01 18:55,SCT,,,5000.00,,
TRK,2016-01-01 19:55,FEW,,,5000.00,,
TRK,2016-01-01 23:45,FEW,,,3500.00,,
TRK,2016-01-02 00:45,FEW,,,3500.00,,
TRK,2016-01-02 01:55,BKN,,,2400.00,,
TRK,2016-01-02 02:55,OVC,,,2400.00,,
TRK,2016-01-02 03:55,OVC,,,2200.00,,
TRK,2016-01-02 04:55,SCT,,,2200.00,,
TRK,2016-01-02 05:55,CLR,,,,,
TRK,2016-01-02 06:55,CLR,,,,,
TRK,2016-01-02 07:55,CLR,,,,,
TRK,2016-01-02 08:55,CLR,,,,,
TRK,2016-01-02 09:55,CLR,,,,,
TRK,2016-01-02 10:55,CLR,,,,,
TRK,2016-01-02 11:55,CLR,,,,,
TRK,2016-01-02 12:55,BKN,,,12000.00,,
TRK,2016-01-02 14:55,SCT,,,9000.00,,
TRK,2016-01-02 15:55,SCT,BKN,BKN,5500.00,7000.00,11000.00
TRK,2016-01-02 16:55,BKN,,,5500.00,,
TRK,2016-01-02 17:55,FEW,SCT,,5000.00,12000.00,
TRK,2016-01-02 18:55,SCT,BKN,,8000.00,12000.00,
TRK,2016-01-02 19:55,BKN,,,8000.00,,
TRK,2016-01-02 20:55,BKN,BKN,,5000.00,7000.00,
TRK,2016-01-02 21:45,BKN,,,7000.00,,
TRK,2016-01-02 22:45,BKN,BKN,,6000.00,7500.00,
TRK,2016-01-03 00:45,BKN,BKN,OVC,7000.00,8500.00,10000.00
TRK,2016-01-03 01:55,BKN,OVC,,6000.00,8000.00,
TRK,2016-01-03 02:55,OVC,,,6000.00,,
TRK,2016-01-03 03:55,OVC,,,6000.00,,
TRK,2016-01-03 04:55,OVC,,,6000.00,,
TRK,2016-01-03 05:55,OVC,,,6000.00,,
TRK,2016-01-03 06:55,BKN,OVC,,5500.00,8500.00,
TRK,2016-01-03 07:55,OVC,,,8500.00,,
TRK,2016-01-03 08:55,OVC,,,7500.00,,
TRK,2016-01-03 09:55,OVC,,,7000.00,,
TRK,2016-01-03 10:55,OVC,,,8000.00,,
TRK,2016-01-03 11:55,BKN,OVC,,6000.00,7000.00,
TRK,2016-01-03 12:55,OVC,,,6000.00,,
TRK,2016-01-03 14:45,SCT,BKN,,5000.00,9500.00,
TRK,2016-01-03 15:55,SCT,BKN,,9000.00,12000.00,
TRK,2016-01-03 16:55,SCT,BKN,,9000.00,15000.00,
TRK,2016-01-03 17:45,OVC,,,10000.00,,
TRK,2016-01-03 18:55,OVC,,,13000.00,,
TRK,2016-01-03 19:45,OVC,,,11000.00,,
TRK,2016-01-03 21:55,OVC,,,14000.00,,
TRK,2016-01-03 22:45,OVC,,,14000.00,,
TRK,2016-01-03 23:45,OVC,,,14000.00,,
TRK,2016-01-04 00:45,OVC,,,13000.00,,
TRK,2016-01-04 01:55,CLR,,,,,
TRK,2016-01-04 02:55,CLR,,,,,
TRK,2016-01-04 03:55,CLR,,,,,
TRK,2016-01-04 04:55,CLR,,,,,
TRK,2016-01-04 05:55,BKN,,,11000.00,,
TRK,2016-01-04 06:55,OVC,,,10000.00,,
TRK,2016-01-04 07:55,OVC,,,10000.00,,
TRK,2016-01-04 08:55,SCT,OVC,,7500.00,11000.00,
TRK,2016-01-04 09:55,CLR,,,,,
TRK,2016-01-04 10:55,CLR,,,,,
TRK,2016-01-04 11:55,CLR,,,,,
TRK,2016-01-04 12:55,SCT,,,12000.00,,
TRK,2016-01-04 14:45,OVC,,,10000.00,,
TRK,2016-01-04 15:55,BKN,OVC,,10000.00,12000.00,
TRK,2016-01-04 16:45,OVC,,,7000.00,,
TRK,2016-01-04 17:45,OVC,,,9500.00,,
TRK,2016-01-04 18:45,BKN,OVC,,7500.00,12000.00,
TRK,2016-01-04 19:45,OVC,,,5500.00,,
TRK,2016-01-04 20:45,OVC,,,4200.00,,
TRK,2016-01-04 21:55,SCT,BKN,OVC,2600.00,3600.00,4500.00
TRK,2016-01-04 22:45,SCT,BKN,OVC,3000.00,3400.00,4100.00
TRK,2016-01-04 23:45,BKN,OVC,,2800.00,3600.00,
TRK,2016-01-05 01:55,SCT,BKN,OVC,3000.00,4000.00,4600.00
TRK,2016-01-05 02:55,SCT,OVC,,2800.00,5000.00,
TRK,2016-01-05 03:55,SCT,BKN,OVC,2200.00,2800.00,4000.00
TRK,2016-01-05 04:55,SCT,OVC,,3300.00,4300.00,
TRK,2016-01-05 05:55,BKN,OVC,,3600.00,4800.00,
TRK,2016-01-05 06:55,BKN,OVC,,3600.00,4600.00,
TRK,2016-01-05 07:55,SCT,BKN,BKN,4000.00,4800.00,8000.00
TRK,2016-01-05 08:55,BKN,BKN,OVC,4200.00,4800.00,11000.00
TRK,2016-01-05 09:55,SCT,BKN,OVC,4400.00,4900.00,11000.00
TRK,2016-01-05 10:55,SCT,SCT,SCT,4200.00,6000.00,6500.00
TRK,2016-01-05 11:55,SCT,BKN,OVC,3900.00,4500.00,5500.00
TRK,2016-01-05 12:55,OVC,,,3700.00,,
TRK,2016-01-05 14:45,SCT,OVC,,2600.00,3600.00,
TRK,2016-01-05 15:55,OVC,,,3000.00,,
TRK,2016-01-05 16:45,BKN,BKN,OVC,1900.00,2600.00,3100.00
TRK,2016-01-05 17:45,VV ,,,400.00,,
TRK,2016-01-05 18:55,VV ,,,600.00,,
TRK,2016-01-05 20:45,OVC,,,2200.00,,
TRK,2016-01-05 21:45,OVC,,,1300.00,,
TRK,2016-01-05 22:45,SCT,OVC,,1800.00,3200.00,
TRK,2016-01-06 00:45,BKN,OVC,,2500.00,4200.00,
TRK,2016-01-06 01:55,SCT,BKN,OVC,1900.00,2400.00,3800.00
TRK,2016-01-06 02:55,BKN,OVC,,2100.00,2500.00,
TRK,2016-01-06 03:55,BKN,BKN,BKN,2900.00,3700.00,11000.00
TRK,2016-01-06 04:55,SCT,BKN,,3800.00,4400.00,
TRK,2016-01-06 05:55,BKN,,,2800.00,,
TRK,2016-01-06 06:55,CLR,,,,,
TRK,2016-01-06 07:55,CLR,,,,,
TRK,2016-01-06 08:55,BKN,OVC,,2900.00,3400.00,
TRK,2016-01-06 09:55,SCT,,,2600.00,,
TRK,2016-01-06 10:55,CLR,,,,,
TRK,2016-01-06 11:55,CLR,,,,,
TRK,2016-01-06 12:55,CLR,,,,,
TRK,2016-01-06 14:45,BKN,BKN,,4800.00,6500.00,
TRK,2016-01-06 16:55,OVC,,,400.00,,
TRK,2016-01-06 18:55,FEW,OVC,,800.00,4200.00,
TRK,2016-01-06 19:55,FEW,SCT,OVC,800.00,2400.00,4500.00
TRK,2016-01-06 20:45,SCT,OVC,,1000.00,3000.00,
TRK,2016-01-06 21:45,OVC,,,1600.00,,
TRK,2016-01-06 22:45,SCT,OVC,,1000.00,1600.00,
TRK,2016-01-06 23:45,SCT,BKN,OVC,3000.00,3700.00,6000.00
TRK,2016-01-07 01:55,SCT,OVC,,3500.00,4500.00,
TRK,2016-01-07 02:55,SCT,OVC,,4300.00,5000.00,
TRK,2016-01-07 03:55,SCT,BKN,,4700.00,6000.00,
TRK,2016-01-07 04:55,SCT,BKN,OVC,2800.00,4000.00,6000.00
TRK,2016-01-07 05:55,OVC,,,1500.00,,
TRK,2016-01-07 06:55,SCT,BKN,OVC,2800.00,3900.00,5500.00
TRK,2016-01-07 07:55,SCT,BKN,OVC,2700.00,3100.00,4200.00
TRK,2016-01-07 08:55,BKN,BKN,OVC,1800.00,2600.00,3700.00
TRK,2016-01-07 09:55,SCT,BKN,OVC,2600.00,3000.00,3900.00
TRK,2016-01-07 10:55,BKN,BKN,OVC,800.00,2100.00,3500.00
TRK,2016-01-07 11:55,OVC,,,2900.00,,
TRK,2016-01-07 12:55,SCT,SCT,OVC,100.00,2300.00,2900.00
TRK,2016-01-07 14:55,FEW,BKN,BKN,200.00,3000.00,4000.00
TRK,2016-01-07 15:55,FEW,SCT,OVC,2000.00,3200.00,4000.00
TRK,2016-01-07 16:45,FEW,FEW,OVC,100.00,2000.00,4000.00
TRK,2016-01-07 17:55,BKN,,,3300.00,,
TRK,2016-01-07 18:55,OVC,,,2800.00,,
TRK,2016-01-07 20:45,BKN,,,4400.00,,
TRK,2016-01-07 21:55,SCT,BKN,OVC,2700.00,4600.00,5000.00
TRK,2016-01-08 00:45,BKN,BKN,,2600.00,3700.00,
TRK,2016-01-08 01:55,BKN,BKN,OVC,2000.00,2700.00,3600.00
TRK,2016-01-08 02:55,SCT,OVC,,200.00,2000.00,
TRK,2016-01-08 03:55,BKN,OVC,,200.00,1800.00,
TRK,2016-01-08 04:55,BKN,OVC,,100.00,1900.00,
TRK,2016-01-08 05:55,BKN,OVC,,200.00,2100.00,
TRK,2016-01-08 06:55,OVC,,,400.00,,
TRK,2016-01-08 07:55,OVC,,,400.00,,
TRK,2016-01-08 08:55,OVC,,,200.00,,
TRK,2016-01-08 09:55,OVC,,,400.00,,
TRK,2016-01-08 10:55,OVC,,,200.00,,
TRK,2016-01-08 11:55,OVC,,,200.00,,
TRK,2016-01-08 12:55,OVC,,,200.00,,
TRK,2016-01-08 14:55,OVC,,,200.00,,
TRK,2016-01-08 18:55,OVC,,,200.00,,
TRK,2016-01-08 19:45,SCT,,,200.00,,
TRK,2016-01-08 20:55,SCT,,,5000.00,,
TRK,2016-01-08 21:45,SCT,SCT,,6000.00,15000.00,
TRK,2016-01-08 22:45,FEW,SCT,,3000.00,15000.00,
TRK,2016-01-08 23:55,SCT,,,17000.00,,
TRK,2016-01-09 01:55,CLR,,,,,
TRK,2016-01-09 02:55,CLR,,,,,
TRK,2016-01-09 03:55,CLR,,,,,
TRK,2016-01-09 04:55,CLR,,,,,
TRK,2016-01-09 05:55,BKN,,,11000.00,,
TRK,2016-01-09 06:55,OVC,,,8000.00,,
TRK,2016-01-09 07:55,BKN,OVC,,7000.00,9000.00,
TRK,2016-01-09 08:55,SCT,SCT,OVC,5000.00,6000.00,8000.00
TRK,2016-01-09 09:55,BKN,BKN,OVC,2500.00,3000.00,4600.00
TRK,2016-01-09 10:55,SCT,OVC,,2500.00,4100.00,
TRK,2016-01-09 11:55,SCT,BKN,OVC,3000.00,3800.00,4400.00
TRK,2016-01-09 12:55,BKN,BKN,OVC,4000.00,4900.00,6000.00
TRK,2016-01-09 14:55,OVC,,,3000.00,,
TRK,2016-01-09 15:55,OVC,,,2700.00,,
TRK,2016-01-09 16:45,SCT,OVC,,2600.00,3200.00,
TRK,2016-01-09 17:45,OVC,,,2800.00,,
TRK,2016-01-09 20:45,SCT,BKN,,2800.00,3300.00,
TRK,2016-01-09 21:45,BKN,,,2800.00,,
TRK,2016-01-09 22:45,SCT,SCT,BKN,2600.00,3200.00,5000.00
TRK,2016-01-09 23:45,BKN,,,2400.00,,
TRK,2016-01-10 00:55,SCT,BKN,BKN,2700.00,3100.00,3800.00
TRK,2016-01-10 01:55,SCT,BKN,,2300.00,3300.00,
TRK,2016-01-10 02:55,BKN,OVC,,3000.00,3500.00,
TRK,2016-01-10 03:55,OVC,,,3200.00,,
TRK,2016-01-10 04:55,OVC,,,3200.00,,
TRK,2016-01-10 05:55,OVC,,,1200.00,,
TRK,2016-01-10 06:55,SCT,BKN,OVC,200.00,3700.00,6500.00
TRK,2016-01-10 07:55,OVC,,,200.00,,
TRK,2016-01-10 08:55,OVC,,,400.00,,
TRK,2016-01-10 09:55,OVC,,,200.00,,
TRK,2016-01-10 10:55,OVC,,,700.00,,
TRK,2016-01-10 11:55,OVC,,,900.00,,
TRK,2016-01-10 12:55,OVC,,,1100.00,,
TRK,2016-01-10 14:45,OVC,,,1400.00,,
TRK,2016-01-10 15:45,BKN,,,1400.00,,
TRK,2016-01-10 16:55,OVC,,,1400.00,,
TRK,2016-01-10 17:45,BKN,,,1600.00,,
TRK,2016-01-10 19:45,SCT,,,1600.00,,
TRK,2016-01-10 21:45,SCT,,,2000.00,,
TRK,2016-01-10 22:55,SCT,,,2000.00,,
TRK,2016-01-10 23:45,SCT,,,2000.00,,
TRK,2016-01-11 00:55,SCT,,,2800.00,,
TRK,2016-01-11 01:55,CLR,,,,,
TRK,2016-01-11 02:55,CLR,,,,,
TRK,2016-01-11 03:55,CLR,,,,,
TRK,2016-01-11 04:55,VV ,,,700.00,,
TRK,2016-01-11 05:55,BKN,,,200.00,,
TRK,2016-01-11 06:55,OVC,,,200.00,,
TRK,2016-01-11 07:55,OVC,,,400.00,,
TRK,2016-01-11 08:55,OVC,,,200.00,,
TRK,2016-01-11 09:55,OVC,,,200.00,,
TRK,2016-01-11 10:55,OVC,,,200.00,,
TRK,2016-01-11 11:55,OVC,,,200.00,,
TRK,2016-01-11 12:55,OVC,,,200.00,,
TRK,2016-01-11 14:45,OVC,,,200.00,,
TRK,2016-01-11 15:45,OVC,,,200.00,,
TRK,2016-01-11 16:45,SCT,SCT,,12000.00,18000.00,
TRK,2016-01-11 17:45,SCT,SCT,,12000.00,20000.00,
TRK,2016-01-11 18:45,FEW,SCT,,3000.00,12000.00,
TRK,2016-01-11 19:55,SCT,,,20000.00,,
TRK,2016-01-11 22:45,SCT,SCT,,17000.00,23000.00,
TRK,2016-01-12 00:45,FEW,SCT,,17000.00,21000.00,
TRK,2016-01-12 01:55,CLR,,,,,
TRK,2016-01-12 02:55,VV ,,,200.00,,
TRK,2016-01-12 03:55,OVC,,,200.00,,
TRK,2016-01-12 04:55,OVC,,,200.00,,
TRK,2016-01-12 05:55,OVC,,,200.00,,
TRK,2016-01-12 06:55,OVC,,,200.00,,
TRK,2016-01-12 07:55,OVC,,,200.00,,
TRK,2016-01-12 08:55,OVC,,,200.00,,
TRK,2016-01-12 09:55,OVC,,,200.00,,
TRK,2016-01-12 10:55,OVC,,,200.00,,
TRK,2016-01-12 11:55,OVC,,,200.00,,
TRK,2016-01-12 12:55,OVC,,,200.00,,
TRK,2016-01-12 14:45,OVC,,,200.00,,
TRK,2016-01-12 16:45,VV ,,,100.00,,
TRK,2016-01-12 17:55,CLR,,,,,
TRK,2016-01-12 18:55,CLR,,,,,
