station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
WYS,2016-05-26 22:55,BKN,,,6000.00,,
WYS,2016-05-26 23:55,FEW,SCT,,7000.00,10000.00,
WYS,2016-05-27 00:55,SCT,,,10000.00,,
WYS,2016-05-27 01:55,FEW,BKN,OVC,4200.00,4900.00,5500.00
WYS,2016-05-27 02:55,FEW,SCT,BKN,3700.00,4600.00,5000.00
WYS,2016-05-27 03:55,SCT,BKN,,8000.00,10000.00,
WYS,2016-05-27 04:55,FEW,OVC,,7500.00,11000.00,
WYS,2016-05-27 05:55,FEW,FEW,,300.00,7500.00,
WYS,2016-05-27 06:55,SCT,,,9000.00,,
WYS,2016-05-27 07:55,OVC,,,10000.00,,
WYS,2016-05-27 08:55,OVC,,,200.00,,
WYS,2016-05-27 09:55,OVC,,,200.00,,
WYS,2016-05-27 10:55,FEW,SCT,BKN,5000.00,7000.00,9000.00
WYS,2016-05-27 11:55,FEW,BKN,OVC,300.00,4800.00,9000.00
WYS,2016-05-27 12:55,SCT,BKN,OVC,300.00,3400.00,4700.00
WYS,2016-05-27 13:55,OVC,,,3600.00,,
WYS,2016-05-27 14:55,OVC,,,3200.00,,
WYS,2016-05-27 15:55,FEW,,,4900.00,,
WYS,2016-05-27 16:55,SCT,BKN,OVC,2700.00,3900.00,6000.00
WYS,2016-05-27 17:55,FEW,SCT,BKN,2600.00,3700.00,8000.00
WYS,2016-05-27 18:55,SCT,BKN,,7000.00,8000.00,
WYS,2016-05-27 19:55,FEW,BKN,BKN,3400.00,4400.00,8000.00
WYS,2016-05-27 20:55,FEW,FEW,,2500.00,3900.00,
WYS,2016-05-27 21:55,BKN,,,11000.00,,
WYS,2016-05-27 22:55,FEW,SCT,,3900.00,6500.00,
WYS,2016-05-27 23:55,FEW,,,1700.00,,
WYS,2016-05-28 00:55,FEW,SCT,,2300.00,5500.00,
WYS,2016-05-28 01:55,FEW,SCT,,2700.00,9000.00,
WYS,2016-05-28 02:55,FEW,SCT,BKN,1800.00,3200.00,4100.00
WYS,2016-05-28 03:55,FEW,OVC,,5500.00,7500.00,
WYS,2016-05-28 04:55,FEW,BKN,OVC,1600.00,4400.00,7000.00
WYS,2016-05-28 05:55,SCT,OVC,,1300.00,3100.00,
WYS,2016-05-28 06:55,BKN,OVC,,1100.00,2100.00,
WYS,2016-05-28 07:55,BKN,OVC,,900.00,3600.00,
WYS,2016-05-28 08:55,BKN,OVC,,1300.00,3100.00,
WYS,2016-05-28 09:55,BKN,OVC,,1100.00,2300.00,
WYS,2016-05-28 10:55,BKN,BKN,OVC,1300.00,3400.00,6000.00
WYS,2016-05-28 11:55,OVC,,,1000.00,,
WYS,2016-05-28 12:55,OVC,,,500.00,,
WYS,2016-05-28 13:55,BKN,OVC,,4400.00,6000.00,
WYS,2016-05-28 14:55,SCT,BKN,OVC,4300.00,5000.00,6000.00
WYS,2016-05-28 15:55,FEW,OVC,,3600.00,4300.00,
WYS,2016-05-28 16:55,OVC,,,4500.00,,
WYS,2016-05-28 17:55,BKN,OVC,,3900.00,5500.00,
WYS,2016-05-28 18:55,SCT,,,6500.00,,
WYS,2016-05-28 19:55,FEW,SCT,,4700.00,5500.00,
WYS,2016-05-28 20:55,FEW,BKN,,5000.00,8000.00,
WYS,2016-05-28 21:55,FEW,SCT,BKN,4500.00,5500.00,7000.00
WYS,2016-05-28 22:55,SCT,BKN,OVC,4600.00,6000.00,8000.00
WYS,2016-05-28 23:55,FEW,BKN,OVC,4400.00,7000.00,8500.00
WYS,2016-05-29 00:55,FEW,BKN,,5000.00,7000.00,
