station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
LESU,2020-07-02 14:51,FEW,FEW,SCT,4500.00,5000.00,5500.00
LESU,2021-06-11 12:51,BKN,,,6000.00,,
LESU,2022-07-25 11:13,SCT,,,9000.00,,
LESU,2022-07-28 10:08,SCT,,,6100.00,,
LESU,2022-07-29 14:15,SCT,SCT,,6000.00,7700.00,
LESU,2022-07-31 13:41,SCT,,,6000.00,,
LESU,2022-07-31 14:14,SCT,,,7400.00,,
LESU,2022-08-01 14:43,SCT,,,8000.00,,
LESU,2022-08-05 14:46,BKN,BKN,,7800.00,9200.00,
LESU,2022-08-10 06:06,SCT,,,200.00,,
LESU,2022-08-17 12:38,FEW,BKN,,5000.00,9000.00,
LESU,2022-08-18 09:43,SCT,,,8000.00,,
LESU,2022-08-18 12:06,SCT,BKN,,7000.00,9100.00,
LESU,2022-08-18 13:44,BKN,BKN,,6400.00,7200.00,
LESU,2022-08-18 14:10,FEW,BKN,,1900.00,5200.00,
LESU,2022-08-22 13:43,SCT,,,7000.00,,
LESU,2022-08-25 14:04,FEW,BKN,BKN,4000.00,6000.00,7000.00
LESU,2022-08-25 15:05,SCT,BKN,,4700.00,6200.00,
LESU,2022-08-26 13:50,SCT,,,6000.00,,
LESU,2022-08-27 09:15,SCT,SCT,,600.00,4000.00,
LESU,2022-08-28 08:40,FEW,,,400.00,,
LESU,2022-09-22 16:00,BKN,,,6000.00,,
LESU,2022-09-23 08:30,SCT,,,3500.00,,
LESU,2022-09-23 09:30,FEW,,,4000.00,,
LESU,2022-09-23 10:30,SCT,,,5000.00,,
LESU,2022-09-23 11:30,SCT,,,5000.00,,
LESU,2022-09-23 12:30,SCT,,,5900.00,,
LESU,2022-09-23 13:30,SCT,BKN,,6000.00,8100.00,
LESU,2022-09-23 14:30,SCT,BKN,,6000.00,8000.00,
LESU,2022-09-23 15:30,SCT,BKN,,5400.00,6600.00,
LESU,2022-09-23 16:30,SCT,BKN,,6500.00,8300.00,
LESU,2022-09-23 17:30,SCT,BKN,,5000.00,5800.00,
LESU,2022-09-24 08:30,FEW,BKN,BKN,300.00,1400.00,9600.00
LESU,2022-09-24 09:30,FEW,SCT,BKN,800.00,1000.00,9100.00
LESU,2022-09-24 10:30,SCT,SCT,BKN,1500.00,6300.00,7900.00
LESU,2022-09-24 11:30,FEW,BKN,BKN,3300.00,4900.00,6900.00
LESU,2022-09-24 12:30,FEW,BKN,,800.00,5700.00,
LESU,2022-09-24 13:30,SCT,BKN,,900.00,5900.00,
LESU,2022-09-24 14:30,SCT,BKN,,1100.00,5300.00,
LESU,2022-09-24 15:30,FEW,SCT,BKN,2000.00,5300.00,7500.00
LESU,2022-09-24 16:00,FEW,BKN,BKN,3000.00,5200.00,6600.00
LESU,2022-09-25 08:30,FEW,,,1000.00,,
LESU,2022-09-25 09:30,FEW,,,2000.00,,
LESU,2022-09-25 10:30,FEW,,,3000.00,,
LESU,2022-09-25 11:30,FEW,,,4000.00,,
LESU,2022-09-25 12:30,FEW,,,4500.00,,
LESU,2022-09-25 13:30,FEW,,,5000.00,,
LESU,2022-09-25 14:30,FEW,,,6000.00,,
LESU,2022-09-25 15:30,FEW,,,6000.00,,
LESU,2022-09-25 16:30,FEW,,,6000.00,,
LESU,2022-09-25 17:30,SCT,,,4500.00,,
LESU,2022-09-26 08:30,,,,,,
LESU,2022-09-26 09:30,,,,,,
LESU,2022-09-26 10:30,FEW,,,4000.00,,
LESU,2022-09-26 11:30,FEW,,,5000.00,,
