station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
LETL,2022-09-22 16:30,,,,,,
LETL,2022-09-22 17:30,NSC,,,,,
LETL,2022-09-22 18:30,,,,,,
LETL,2022-09-22 19:30,,,,,,
LETL,2022-09-22 20:30,,,,,,
LETL,2022-09-22 21:30,,,,,,
LETL,2022-09-22 22:30,,,,,,
LETL,2022-09-22 23:30,,,,,,
LETL,2022-09-23 00:30,SCT,,,1300.00,,
LETL,2022-09-23 01:30,OVC,,,1000.00,,
LETL,2022-09-23 02:30,OVC,,,900.00,,
LETL,2022-09-23 03:30,OVC,,,1100.00,,
LETL,2022-09-23 04:30,BKN,,,1400.00,,
LETL,2022-09-23 05:30,FEW,,,1000.00,,
LETL,2022-09-23 06:30,,,,,,
LETL,2022-09-23 07:30,FEW,,,800.00,,
LETL,2022-09-23 08:30,OVC,,,1200.00,,
LETL,2022-09-23 09:30,FEW,,,1600.00,,
LETL,2022-09-23 10:30,,,,,,
LETL,2022-09-23 11:30,,,,,,
LETL,2022-09-23 12:30,,,,,,
LETL,2022-09-23 13:30,,,,,,
LETL,2022-09-23 14:30,///,,,,,
LETL,2022-09-23 15:30,,,,,,
LETL,2022-09-23 16:30,,,,,,
LETL,2022-09-23 17:30,,,,,,
LETL,2022-09-23 18:30,,,,,,
LETL,2022-09-23 19:30,,,,,,
LETL,2022-09-23 20:30,,,,,,
LETL,2022-09-23 21:30,,,,,,
LETL,2022-09-23 22:30,,,,,,
LETL,2022-09-23 23:30,,,,,,
LETL,2022-09-24 00:30,NSC,,,,,
LETL,2022-09-24 01:30,FEW,,,1100.00,,
LETL,2022-09-24 02:30,,,,,,
LETL,2022-09-24 03:30,FEW,,,900.00,,
LETL,2022-09-24 04:30,OVC,,,1000.00,,
LETL,2022-09-24 05:30,SCT,,,900.00,,
LETL,2022-09-24 06:30,OVC,,,1000.00,,
LETL,2022-09-24 07:30,OVC,,,1000.00,,
LETL,2022-09-24 08:30,OVC,,,800.00,,
LETL,2022-09-24 09:30,OVC,,,800.00,,
LETL,2022-09-24 10:30,,,,,,
LETL,2022-09-24 11:30,,,,,,
LETL,2022-09-24 12:30,,,,,,
LETL,2022-09-24 13:30,,,,,,
LETL,2022-09-24 14:30,,,,,,
LETL,2022-09-24 15:30,,,,,,
LETL,2022-09-24 16:30,,,,,,
LETL,2022-09-24 17:30,,,,,,
LETL,2022-09-24 18:30,,,,,,
LETL,2022-09-24 19:30,,,,,,
LETL,2022-09-24 20:30,OVC,,,3700.00,,
LETL,2022-09-24 21:30,BKN,,,3800.00,,
LETL,2022-09-24 22:30,OVC,,,3700.00,,
LETL,2022-09-24 23:30,BKN,,,3700.00,,
LETL,2022-09-25 00:30,BKN,,,3700.00,,
LETL,2022-09-25 01:30,,,,,,
LETL,2022-09-25 02:30,FEW,,,1900.00,,
LETL,2022-09-25 03:30,BKN,,,3200.00,,
LETL,2022-09-25 04:30,FEW,,,3100.00,,
LETL,2022-09-25 05:30,,,,,,
LETL,2022-09-25 06:30,,,,,,
LETL,2022-09-25 07:30,,,,,,
LETL,2022-09-25 08:30,,,,,,
LETL,2022-09-25 09:30,,,,,,
LETL,2022-09-25 10:30,,,,,,
LETL,2022-09-25 11:30,,,,,,
LETL,2022-09-25 12:30,,,,,,
LETL,2022-09-25 13:30,,,,,,
LETL,2022-09-25 14:30,,,,,,
LETL,2022-09-25 15:30,,,,,,
LETL,2022-09-25 16:30,,,,,,
LETL,2022-09-25 17:30,SCT,,,4100.00,,
LETL,2022-09-25 18:30,FEW,SCT,BKN,2200.00,3300.00,3900.00
LETL,2022-09-25 19:30,SCT,BKN,,3500.00,4400.00,
LETL,2022-09-25 20:30,BKN,,,3100.00,,
LETL,2022-09-25 21:30,SCT,BKN,BKN,3500.00,4300.00,4900.00
LETL,2022-09-25 22:30,BKN,,,4200.00,,
LETL,2022-09-25 23:30,,,,,,
LETL,2022-09-26 00:30,,,,,,
LETL,2022-09-26 01:00,,,,,,
LETL,2022-09-26 03:30,,,,,,
LETL,2022-09-26 04:30,,,,,,
LETL,2022-09-26 05:30,BKN,,,4500.00,,
LETL,2022-09-26 06:30,FEW,,,4700.00,,
LETL,2022-09-26 07:30,BKN,,,4100.00,,
LETL,2022-09-26 08:30,FEW,SCT,,1000.00,4200.00,
