station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
LFSM,2024-05-21 06:30,BKN,BKN,BKN,400.00,3100.00,4000.00
LFSM,2024-05-21 07:30,OVC,,,1400.00,,
LFSM,2024-05-21 08:30,SCT,BKN,BKN,1200.00,2600.00,5400.00
LFSM,2024-05-21 09:30,SCT,SCT,BKN,1200.00,2000.00,4800.00
LFSM,2024-05-21 10:30,FEW,BKN,BKN,1400.00,2000.00,2600.00
LFSM,2024-05-21 11:30,BKN,BKN,///,2600.00,19000.00,
LFSM,2024-05-21 12:30,SCT,BKN,BKN,3400.00,4300.00,8000.00
LFSM,2024-05-21 13:30,SCT,BKN,,4000.00,8000.00,
LFSM,2024-05-21 14:30,FEW,SCT,,4800.00,7800.00,
LFSM,2024-05-21 15:30,FEW,BKN,///,5600.00,18000.00,
LFSM,2024-05-21 16:30,FEW,///,,5400.00,,
LFSM,2024-05-22 06:30,FEW,OVC,,1100.00,1800.00,
LFSM,2024-05-22 07:30,BKN,OVC,,1300.00,2000.00,
LFSM,2024-05-22 08:00,BKN,OVC,,1400.00,2600.00,
LFSM,2024-05-23 06:30,SCT,BKN,BKN,1500.00,3400.00,4000.00
LFSM,2024-05-23 07:30,FEW,OVC,///,1000.00,6200.00,
LFSM,2024-05-23 08:00,FEW,BKN,BKN,300.00,800.00,1200.00
LFSM,2024-05-24 06:30,,,,,,
LFSM,2024-05-24 07:30,,,,,,
LFSM,2024-05-24 08:00,,,,,,
LFSM,2024-05-25 06:30,,,,,,
LFSM,2024-05-25 07:30,,,,,,
LFSM,2024-05-25 08:00,,,,,,
LFSM,2024-05-26 06:30,,,,,,
LFSM,2024-05-26 07:30,,,,,,
LFSM,2024-05-26 08:00,,,,,,
LFSM,2024-05-27 06:30,FEW,BKN,,2900.00,8800.00,
LFSM,2024-05-27 07:30,FEW,SCT,BKN,1600.00,3100.00,9800.00
LFSM,2024-05-27 08:00,,,,,,
LFSM,2024-05-28 06:30,,,,,,
LFSM,2024-05-28 07:30,FEW,,,3100.00,,
LFSM,2024-05-28 08:00,SCT,,,3400.00,,
LFSM,2024-05-29 06:30,FEW,BKN,OVC,3500.00,4200.00,8800.00
LFSM,2024-05-29 07:30,BKN,BKN,OVC,3200.00,3900.00,4600.00
LFSM,2024-05-29 08:00,FEW,BKN,BKN,3400.00,4200.00,7600.00
LFSM,2024-05-30 06:30,SCT,BKN,OVC,1100.00,1800.00,2400.00
LFSM,2024-05-30 07:30,BKN,BKN,OVC,800.00,1700.00,2900.00
LFSM,2024-05-30 08:00,FEW,BKN,BKN,700.00,1100.00,1700.00
LFSM,2024-05-31 06:30,FEW,BKN,OVC,1000.00,1400.00,2700.00
LFSM,2024-05-31 07:30,BKN,BKN,OVC,1000.00,1500.00,2200.00
LFSM,2024-05-31 08:00,BKN,OVC,,900.00,1400.00,
LFSM,2024-06-01 06:30,OVC,,,1200.00,,
LFSM,2024-06-01 07:30,BKN,OVC,,1200.00,2500.00,
LFSM,2024-06-01 08:00,OVC,,,1200.00,,
LFSM,2024-06-02 06:30,OVC,///,,700.00,,
LFSM,2024-06-02 07:30,OVC,///,,700.00,,
LFSM,2024-06-02 08:00,OVC,///,,600.00,,
LFSM,2024-06-03 06:30,OVC,,,1100.00,,
LFSM,2024-06-03 07:30,OVC,,,1300.00,,
LFSM,2024-06-03 08:00,OVC,,,1100.00,,
LFSM,2024-06-04 06:30,BKN,OVC,,2100.00,4300.00,
LFSM,2024-06-04 07:30,FEW,BKN,OVC,1200.00,2200.00,4400.00
LFSM,2024-06-04 08:00,FEW,OVC,,1800.00,4500.00,
LFSM,2024-06-05 06:30,SCT,,,5200.00,,
LFSM,2024-06-05 07:30,BKN,BKN,,4800.00,8000.00,
LFSM,2024-06-05 08:30,SCT,,,5000.00,,
LFSM,2024-06-05 09:30,FEW,SCT,,3600.00,7600.00,
LFSM,2024-06-05 10:30,FEW,SCT,,4000.00,4600.00,
LFSM,2024-06-05 11:30,FEW,SCT,,4800.00,6400.00,
LFSM,2024-06-05 12:30,SCT,,,5800.00,,
LFSM,2024-06-05 13:30,FEW,,,6000.00,,
LFSM,2024-06-05 14:30,FEW,,,6200.00,,
LFSM,2024-06-05 15:30,FEW,SCT,,6600.00,19000.00,
LFSM,2024-06-05 16:30,,,,,,
LFSM,2024-06-05 17:30,,,,,,
LFSM,2024-06-05 18:00,,,,,,
LFSM,2024-06-06 06:30,FEW,,,5600.00,,
LFSM,2024-06-06 07:30,FEW,,,5400.00,,
LFSM,2024-06-06 08:30,,,,,,
LFSM,2024-06-07 06:30,FEW,BKN,BKN,4100.00,5400.00,6400.00
LFSM,2024-06-07 07:30,FEW,,,4400.00,,
