station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
LIPU,2016-01-01 06:50,NSC,,,,,
LIPU,2016-01-01 07:50,NSC,,,,,
LIPU,2016-01-01 08:50,NSC,,,,,
LIPU,2016-01-01 09:50,NSC,,,,,
LIPU,2016-01-01 11:50,NSC,,,,,
LIPU,2016-01-01 12:50,NSC,,,,,
LIPU,2016-01-01 13:50,NSC,,,,,
LIPU,2016-01-01 14:50,NSC,,,,,
LIPU,2016-01-02 06:50,SCT,,,7000.00,,
LIPU,2016-01-02 07:50,SCT,,,7000.00,,
LIPU,2016-01-02 08:50,BKN,,,7000.00,,
LIPU,2016-01-02 10:50,SCT,BKN,,5000.00,7000.00,
LIPU,2016-01-02 11:50,SCT,,,5000.00,,
LIPU,2016-01-02 13:50,BKN,,,1000.00,,
LIPU,2016-01-02 14:50,SCT,BKN,,2000.00,5000.00,
LIPU,2016-01-03 06:50,BKN,,,1500.00,,
LIPU,2016-01-03 07:50,BKN,,,1500.00,,
LIPU,2016-01-03 08:50,BKN,,,2000.00,,
LIPU,2016-01-03 09:50,SCT,,,5000.00,,
LIPU,2016-01-03 10:50,,,,,,
LIPU,2016-01-03 11:50,,,,,,
LIPU,2016-01-03 12:50,,,,,,
LIPU,2016-01-03 13:50,SCT,,,4000.00,,
LIPU,2016-01-03 14:50,FEW,,,4000.00,,
LIPU,2016-01-05 06:50,OVC,,,1000.00,,
LIPU,2016-01-05 07:50,OVC,,,1000.00,,
LIPU,2016-01-05 08:50,OVC,,,1000.00,,
LIPU,2016-01-05 09:50,BKN,,,1500.00,,
LIPU,2016-01-05 10:50,BKN,,,1500.00,,
LIPU,2016-01-05 11:50,BKN,,,1500.00,,
LIPU,2016-01-05 13:50,BKN,,,1500.00,,
LIPU,2016-01-05 14:50,BKN,,,2000.00,,
LIPU,2016-01-06 07:50,OVC,,,100.00,,
LIPU,2016-01-06 08:50,BKN,,,1500.00,,
LIPU,2016-01-06 09:50,BKN,,,2500.00,,
LIPU,2016-01-06 10:50,BKN,,,2500.00,,
LIPU,2016-01-06 11:50,BKN,,,3000.00,,
LIPU,2016-01-06 12:50,SCT,,,5000.00,,
LIPU,2016-01-06 13:50,FEW,,,6000.00,,
LIPU,2016-01-06 14:50,,,,,,
LIPU,2016-01-07 07:50,OVC,,,100.00,,
LIPU,2016-01-07 08:50,OVC,,,100.00,,
LIPU,2016-01-07 09:50,SCT,,,1500.00,,
LIPU,2016-01-07 10:50,NSC,,,,,
LIPU,2016-01-07 11:50,NSC,,,,,
LIPU,2016-01-07 12:50,SCT,BKN,,1500.00,5000.00,
LIPU,2016-01-07 13:50,SCT,BKN,,1500.00,5000.00,
LIPU,2016-01-07 14:50,BKN,,,3000.00,,
LIPU,2016-01-08 06:50,NSC,,,,,
LIPU,2016-01-08 07:50,FEW,,,6000.00,,
LIPU,2016-01-08 09:50,BKN,,,3000.00,,
LIPU,2016-01-08 10:50,BKN,,,3000.00,,
LIPU,2016-01-08 11:50,SCT,,,3000.00,,
LIPU,2016-01-08 12:50,FEW,,,3000.00,,
LIPU,2016-01-08 13:50,SCT,,,3000.00,,
LIPU,2016-01-08 14:50,SCT,,,3000.00,,
LIPU,2016-01-09 07:50,OVC,,,300.00,,
LIPU,2016-01-09 08:50,OVC,,,300.00,,
LIPU,2016-01-09 09:50,OVC,,,300.00,,
LIPU,2016-01-09 12:50,FEW,BKN,,500.00,1000.00,
LIPU,2016-01-09 13:50,SCT,OVC,,600.00,1500.00,
LIPU,2016-01-09 14:50,SCT,BKN,,300.00,700.00,
LIPU,2016-01-10 07:50,BKN,BKN,,1000.00,5000.00,
LIPU,2016-01-10 08:50,OVC,,,1000.00,,
LIPU,2016-01-10 09:50,OVC,,,800.00,,
LIPU,2016-01-10 10:50,OVC,,,600.00,,
LIPU,2016-01-10 11:50,OVC,,,600.00,,
LIPU,2016-01-10 12:50,OVC,,,800.00,,
LIPU,2016-01-10 13:50,OVC,,,800.00,,
LIPU,2016-01-10 14:50,OVC,,,500.00,,
LIPU,2016-01-12 07:50,,,,,,
LIPU,2016-01-12 08:50,,,,,,
LIPU,2016-01-12 09:50,,,,,,
LIPU,2016-01-12 10:50,,,,,,
LIPU,2016-01-12 11:50,,,,,,
LIPU,2016-01-12 12:50,,,,,,
LIPU,2016-01-12 13:50,,,,,,
LIPU,2016-01-12 14:50,,,,,,
LIPU,2016-01-13 07:50,BKN,,,100.00,,
LIPU,2016-01-13 09:50,,,,,,
LIPU,2016-01-13 10:50,,,,,,
