station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
LTAD,2017-12-15 01:50,VV ,,,400.00,,
LTAD,2018-02-05 21:50,BKN,BKN,,3500.00,9000.00,
LTAD,2018-07-03 16:50,FEW,,,4000.00,,
LTAD,2018-08-27 06:50,FEW,,,4000.00,,
LTAD,2018-08-27 08:50,FEW,,,4000.00,,
LTAD,2018-08-27 09:50,FEW,,,4000.00,,
LTAD,2018-08-27 11:50,FEW,,,4000.00,,
LTAD,2018-08-27 12:50,SCT,,,4000.00,,
LTAD,2018-08-30 19:50,,,,,,
LTAD,2018-08-30 20:50,,,,,,
LTAD,2018-08-30 21:50,,,,,,
LTAD,2018-08-30 23:50,,,,,,
LTAD,2018-08-31 00:50,,,,,,
LTAD,2018-08-31 02:50,,,,,,
LTAD,2018-08-31 06:50,,,,,,
LTAD,2018-08-31 08:50,,,,,,
LTAD,2018-08-31 09:50,FEW,,,4000.00,,
LTAD,2018-08-31 17:50,FEW,SCT,,4000.00,10000.00,
LTAD,2018-08-31 18:50,,,,,,
LTAD,2018-08-31 19:50,,,,,,
LTAD,2018-08-31 20:50,,,,,,
LTAD,2018-08-31 21:50,,,,,,
LTAD,2018-08-31 23:50,,,,,,
LTAD,2018-09-01 00:50,,,,,,
LTAD,2018-09-01 05:50,FEW,,,4000.00,,
LTAD,2018-09-01 06:50,FEW,,,4000.00,,
LTAD,2018-09-01 14:50,FEW,,,4000.00,,
LTAD,2018-09-03 18:50,,,,,,
LTAD,2018-09-04 05:50,,,,,,
LTAD,2018-09-04 06:50,,,,,,
LTAD,2018-09-04 08:50,,,,,,
LTAD,2018-09-04 11:50,FEW,,,4000.00,,
LTAD,2018-09-04 14:50,,,,,,
LTAD,2018-09-04 15:50,,,,,,
LTAD,2018-09-05 05:50,SCT,,,4000.00,,
LTAD,2018-09-05 06:50,SCT,,,4000.00,,
LTAD,2018-09-05 08:50,SCT,,,4000.00,,
LTAD,2018-09-05 09:50,SCT,,,4000.00,,
LTAD,2018-09-05 11:50,SCT,,,4000.00,,
LTAD,2018-09-05 12:50,SCT,,,4000.00,,
LTAD,2018-09-07 17:50,FEW,SCT,,4000.00,10000.00,
LTAD,2018-09-07 18:50,SCT,,,4000.00,,
LTAD,2018-09-07 20:50,,,,,,
LTAD,2018-09-07 21:50,,,,,,
LTAD,2018-09-07 23:50,,,,,,
LTAD,2018-09-08 00:50,,,,,,
LTAD,2018-09-08 03:50,,,,,,
LTAD,2018-09-08 17:50,,,,,,
LTAD,2018-09-08 18:50,,,,,,
LTAD,2018-09-08 19:50,,,,,,
LTAD,2018-09-08 20:50,,,,,,
LTAD,2018-09-08 21:50,,,,,,
LTAD,2018-09-09 01:50,,,,,,
LTAD,2018-09-09 02:50,,,,,,
LTAD,2018-09-09 03:50,FEW,SCT,,4000.00,10000.00,
LTAD,2018-09-09 06:50,,,,,,
LTAD,2018-09-10 14:50,SCT,,,4000.00,,
LTAD,2018-09-10 15:50,SCT,,,4000.00,,
LTAD,2018-09-11 01:50,,,,,,
LTAD,2018-09-11 17:50,,,,,,
LTAD,2018-09-11 23:50,,,,,,
LTAD,2018-09-12 00:50,,,,,,
LTAD,2018-09-12 06:50,,,,,,
LTAD,2018-09-12 08:50,FEW,,,4000.00,,
LTAD,2018-09-12 10:50,SCT,,,4000.00,,
LTAD,2018-09-12 11:50,SCT,,,4000.00,,
LTAD,2018-09-12 12:50,SCT,,,4000.00,,
LTAD,2018-09-12 14:50,SCT,,,4000.00,,
LTAD,2018-09-12 15:50,SCT,,,4000.00,,
LTAD,2018-09-12 18:50,,,,,,
LTAD,2018-09-12 20:50,,,,,,
LTAD,2018-09-12 21:50,,,,,,
LTAD,2018-09-13 05:50,SCT,,,4000.00,,
LTAD,2018-09-15 13:50,SCT,,,4000.00,,
LTAD,2018-09-15 17:50,FEW,,,4000.00,,
LTAD,2018-09-15 18:50,,,,,,
LTAD,2018-09-15 19:50,,,,,,
LTAD,2018-09-15 20:50,,,,,,
LTAD,2018-09-15 21:50,,,,,,
LTAD,2018-09-15 23:50,,,,,,
LTAD,2018-09-16 00:50,,,,,,
LTAD,2018-09-16 03:50,,,,,,
LTAD,2018-09-16 17:50,FEW,,,4000.00,,
LTAD,2018-09-16 18:50,FEW,,,4000.00,,
LTAD,2018-09-16 21:50,,,,,,
LTAD,2018-09-17 03:50,,,,,,
LTAD,2018-09-17 06:50,FEW,,,4000.00,,
LTAD,2018-09-17 11:50,BKN,,,3500.00,,
LTAD,2018-12-25 15:50,SCT,BKN,OVC,700.00,2000.00,8000.00
LTAD,2020-06-23 06:50,SCT,,,4000.00,,
LTAD,2022-08-04 04:26,BKN,BKN,,4000.00,10000.00,
LTAD,2022-08-04 16:23,FEW,BKN,,3500.00,4000.00,
LTAD,2022-08-04 18:36,FEW,BKN,,3000.00,3500.00,
LTAD,2022-08-06 17:59,FEW,BKN,,3000.00,3500.00,
LTAD,2022-08-06 18:18,FEW,BKN,,3000.00,3500.00,
LTAD,2022-08-13 19:34,BKN,,,4000.00,,
LTAD,2022-08-14 14:11,FEW,SCT,,3500.00,4000.00,
LTAD,2022-08-15 13:39,BKN,,,3500.00,,
LTAD,2022-08-24 15:00,FEW,SCT,,3500.00,4000.00,
LTAD,2022-08-24 16:06,FEW,BKN,,3500.00,4000.00,
LTAD,2022-08-24 17:17,FEW,BKN,,3500.00,4000.00,
LTAD,2022-08-24 20:32,BKN,,,3500.00,,
LTAD,2022-08-24 21:11,FEW,BKN,,3000.00,3500.00,
