station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
LTBG,2018-08-27 06:50,SCT,,,3500.00,,
LTBG,2018-08-27 08:50,SCT,,,3500.00,,
LTBG,2018-08-27 09:50,SCT,,,3500.00,,
LTBG,2018-08-27 11:50,FEW,,,3500.00,,
LTBG,2018-08-27 12:50,FEW,,,3500.00,,
LTBG,2018-08-30 19:50,,,,,,
LTBG,2018-08-30 20:50,,,,,,
LTBG,2018-08-30 21:50,,,,,,
LTBG,2018-08-30 23:50,FEW,SCT,,1500.00,3500.00,
LTBG,2018-08-31 00:50,FEW,SCT,,1500.00,3500.00,
LTBG,2018-08-31 02:50,FEW,SCT,,1500.00,3500.00,
LTBG,2018-08-31 06:50,FEW,SCT,,1500.00,3500.00,
LTBG,2018-08-31 08:50,SCT,,,3500.00,,
LTBG,2018-08-31 09:50,FEW,,,3500.00,,
LTBG,2018-08-31 17:50,,,,,,
LTBG,2018-08-31 18:50,,,,,,
LTBG,2018-08-31 19:50,,,,,,
LTBG,2018-08-31 20:50,,,,,,
LTBG,2018-08-31 21:50,,,,,,
LTBG,2018-08-31 23:50,,,,,,
LTBG,2018-09-01 00:50,FEW,SCT,,1100.00,3500.00,
LTBG,2018-09-01 05:50,FEW,SCT,,1500.00,3500.00,
LTBG,2018-09-01 06:50,FEW,SCT,,1300.00,3500.00,
LTBG,2018-09-01 14:50,,,,,,
LTBG,2018-09-03 18:50,,,,,,
LTBG,2018-09-04 05:50,FEW,SCT,,1500.00,3500.00,
LTBG,2018-09-04 06:50,FEW,SCT,,1500.00,3500.00,
LTBG,2018-09-04 08:50,FEW,,,3500.00,,
LTBG,2018-09-04 11:50,,,,,,
LTBG,2018-09-04 14:50,,,,,,
LTBG,2018-09-04 15:50,,,,,,
LTBG,2018-09-05 05:50,,,,,,
LTBG,2018-09-05 06:50,SCT,,,3000.00,,
LTBG,2018-09-05 08:50,SCT,,,3000.00,,
LTBG,2018-09-05 09:50,SCT,,,3000.00,,
LTBG,2018-09-05 11:50,SCT,,,3000.00,,
LTBG,2018-09-05 12:50,SCT,,,3500.00,,
LTBG,2018-09-07 17:50,,,,,,
LTBG,2018-09-07 18:50,,,,,,
LTBG,2018-09-07 20:50,,,,,,
LTBG,2018-09-07 21:50,,,,,,
LTBG,2018-09-07 23:50,,,,,,
LTBG,2018-09-08 00:50,,,,,,
LTBG,2018-09-08 03:50,,,,,,
LTBG,2018-09-08 17:50,FEW,SCT,,3500.00,10000.00,
LTBG,2018-09-08 18:50,FEW,SCT,,3500.00,10000.00,
LTBG,2018-09-08 19:50,FEW,SCT,,3500.00,10000.00,
LTBG,2018-09-08 20:50,FEW,SCT,,3500.00,10000.00,
LTBG,2018-09-08 21:50,FEW,SCT,,3500.00,10000.00,
LTBG,2018-09-09 01:50,FEW,,,3500.00,,
LTBG,2018-09-09 02:50,FEW,,,3500.00,,
LTBG,2018-09-09 03:50,FEW,,,3500.00,,
LTBG,2018-09-09 06:50,FEW,,,3500.00,,
LTBG,2018-09-10 14:50,FEW,,,3500.00,,
