station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
LTBL,2016-02-24 06:01,SCT,BKN,,3500.00,9000.00,
LTBL,2016-03-09 22:01,SCT,BKN,,3000.00,9000.00,
LTBL,2016-03-11 00:01,SCT,BKN,,3000.00,9000.00,
LTBL,2017-01-07 04:01,FEW,BKN,OVC,1600.00,2300.00,8000.00
LTBL,2017-02-07 19:01,FEW,SCT,BKN,1600.00,2500.00,9000.00
LTBL,2017-05-08 09:01,SCT,BKN,,4000.00,10000.00,
LTBL,2017-07-07 12:01,,,,,,
LTBL,2017-07-07 13:01,,,,,,
LTBL,2017-07-07 16:01,,,,,,
LTBL,2017-07-16 12:01,,,,,,
LTBL,2017-07-27 10:01,SCT,,,4000.00,,
LTBL,2017-07-30 08:01,,,,,,
LTBL,2017-07-31 08:01,,,,,,
LTBL,2017-08-08 08:01,,,,,,
LTBL,2017-08-12 13:01,,,,,,
LTBL,2017-08-14 18:01,FEW,,,4000.00,,
LTBL,2017-08-15 10:01,FEW,,,4000.00,,
LTBL,2017-08-16 10:01,,,,,,
LTBL,2017-10-24 12:01,SCT,BKN,,3000.00,10000.00,
LTBL,2017-12-01 23:01,SCT,SCT,,4000.00,10000.00,
LTBL,2017-12-17 06:01,SCT,BKN,,3500.00,9000.00,
LTBL,2017-12-21 14:01,SCT,BKN,,3500.00,10000.00,
LTBL,2017-12-29 06:01,SCT,BKN,,3500.00,9000.00,
LTBL,2018-01-03 01:01,FEW,SCT,BKN,2000.00,3000.00,8000.00
LTBL,2018-01-18 06:01,SCT,BKN,,3000.00,9000.00,
LTBL,2018-01-24 15:01,SCT,,,4000.00,,
LTBL,2018-02-07 10:01,SCT,BKN,,3500.00,10000.00,
LTBL,2018-02-11 13:01,SCT,BKN,,3500.00,10000.00,
LTBL,2018-02-11 18:01,SCT,BKN,,3500.00,10000.00,
LTBL,2018-02-13 07:01,NSC,,,,,
LTBL,2018-02-14 09:01,SCT,BKN,,3000.00,10000.00,
LTBL,2018-02-20 16:01,SCT,OVC,,4000.00,10000.00,
LTBL,2018-02-22 05:01,SCT,BKN,,3500.00,10000.00,
