station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
LTBT,2016-01-07 14:00,SCT,BKN,,3000.00,10000.00,
LTBT,2016-03-04 13:00,FEW,BKN,BKN,2500.00,3000.00,8000.00
LTBT,2017-01-05 06:00,SCT,BKN,,3500.00,9000.00,
LTBT,2017-01-05 09:00,FEW,SCT,BKN,2000.00,2500.00,8000.00
LTBT,2017-01-05 10:00,FEW,BKN,,2000.00,2500.00,
LTBT,2017-01-10 12:00,FEW,SCT,OVC,1500.00,2500.00,8000.00
LTBT,2017-01-12 05:00,SCT,BKN,,3300.00,9000.00,
LTBT,2017-04-18 07:00,SCT,BKN,,3000.00,9000.00,
LTBT,2017-11-20 11:00,FEW,SCT,BKN,2500.00,3000.00,9000.00
LTBT,2017-11-24 07:00,NSC,,,,,
LTBT,2017-12-08 05:00,NSC,,,,,
LTBT,2017-12-15 09:00,NSC,,,,,
LTBT,2018-02-15 09:00,SCT,BKN,,3500.00,9000.00,
LTBT,2018-03-07 14:00,SCT,BKN,,3500.00,10000.00,
LTBT,2018-03-16 08:00,FEW,BKN,,4000.00,15000.00,
LTBT,2018-12-18 10:00,SCT,BKN,,3000.00,8000.00,
LTBT,2018-12-25 08:00,SCT,BKN,,3000.00,9000.00,
LTBT,2019-01-10 04:00,SCT,BKN,,3500.00,10000.00,
LTBT,2019-01-11 11:00,BKN,BKN,,2500.00,8000.00,
LTBT,2019-01-24 06:00,SCT,BKN,,3500.00,9000.00,
LTBT,2019-04-24 07:00,FEW,SCT,BKN,3500.00,10000.00,20000.00
LTBT,2019-05-21 18:00,BKN,BKN,,3000.00,8000.00,
LTBT,2019-05-22 09:00,SCT,SCT,BKN,4000.00,10000.00,20000.00
LTBT,2020-01-30 10:00,FEW,SCT,BKN,2000.00,3000.00,10000.00
LTBT,2020-02-03 05:00,BKN,,,1500.00,,
LTBT,2020-02-20 10:00,SCT,BKN,,3500.00,10000.00,
LTBT,2020-03-12 05:00,NSC,,,,,
LTBT,2020-06-03 13:00,FEW,SCT,BKN,2500.00,3000.00,10000.00
LTBT,2020-06-18 09:00,FEW,BKN,,2500.00,3000.00,
LTBT,2020-06-18 10:00,SCT,BKN,,2500.00,3000.00,
LTBT,2021-02-04 09:00,FEW,SCT,,700.00,1600.00,
LTBT,2021-06-14 05:00,BKN,BKN,,3000.00,9000.00,
LTBT,2021-08-29 07:00,,,,,,
LTBT,2021-09-14 11:00,FEW,SCT,BKN,2500.00,3000.00,10000.00
LTBT,2021-12-04 05:00,BKN,BKN,,2500.00,8000.00,
LTBT,2021-12-14 07:00,BKN,BKN,,3000.00,8000.00,
LTBT,2021-12-16 04:00,FEW,BKN,,3500.00,10000.00,
LTBT,2022-02-08 04:00,SCT,BKN,,3000.00,10000.00,
LTBT,2022-07-14 17:00,FEW,,,4000.00,,
LTBT,2022-07-18 08:00,,,,,,
LTBT,2022-07-23 10:34,,,,,,
LTBT,2022-07-23 11:25,,,,,,
LTBT,2022-07-24 13:41,,,,,,
LTBT,2022-07-24 16:23,NSC,,,,,
LTBT,2022-08-06 16:52,,,,,,
LTBT,2022-08-06 18:06,FEW,,,3500.00,,
LTBT,2022-08-07 06:41,FEW,,,3500.00,,
LTBT,2022-08-07 07:41,FEW,,,3500.00,,
LTBT,2022-08-07 10:40,FEW,,,3500.00,,
LTBT,2022-08-09 13:38,FEW,,,2500.00,,
LTBT,2022-08-11 17:11,FEW,,,4000.00,,
LTBT,2022-08-13 16:41,FEW,,,3500.00,,
LTBT,2022-08-14 13:32,FEW,SCT,BKN,3000.00,3500.00,20000.00
LTBT,2022-08-15 09:55,SCT,BKN,,2500.00,3000.00,
LTBT,2022-08-15 10:55,SCT,BKN,,2500.00,3000.00,
LTBT,2022-08-15 11:17,FEW,BKN,,2500.00,3000.00,
LTBT,2022-08-19 11:34,FEW,,,4000.00,,
LTBT,2022-08-24 11:26,FEW,BKN,,3000.00,10000.00,
LTBT,2022-08-25 10:46,FEW,BKN,BKN,2500.00,3500.00,9000.00
LTBT,2022-08-26 10:01,FEW,SCT,BKN,2800.00,3000.00,10000.00
LTBT,2022-08-26 13:19,FEW,SCT,BKN,3000.00,3500.00,10000.00
LTBT,2022-08-27 06:44,FEW,,,3500.00,,
LTBT,2022-08-30 14:19,FEW,SCT,BKN,2500.00,3000.00,10000.00
LTBT,2022-08-31 11:43,FEW,SCT,BKN,2500.00,3500.00,9000.00
LTBT,2022-08-31 12:21,FEW,SCT,BKN,2500.00,3000.00,9000.00
LTBT,2022-08-31 13:11,SCT,BKN,BKN,2500.00,3000.00,9000.00
LTBT,2022-09-02 15:57,FEW,SCT,,2800.00,3000.00,
LTBT,2022-09-06 10:51,,,,,,
LTBT,2022-09-22 08:26,FEW,,,4000.00,,
LTBT,2022-09-24 15:25,,,,,,
LTBT,2022-09-28 08:38,BKN,,,3500.00,,
LTBT,2022-10-02 05:24,SCT,BKN,,3500.00,9000.00,
LTBT,2022-10-04 17:25,FEW,,,4000.00,,
LTBT,2022-10-09 15:31,FEW,,,3500.00,,
LTBT,2022-10-17 13:13,BKN,,,4000.00,,
LTBT,2022-10-18 12:26,FEW,,,4000.00,,
LTBT,2022-10-22 15:22,,,,,,
LTBT,2022-10-30 15:14,,,,,,
LTBT,2022-11-15 04:40,NSC,,,,,
LTBT,2022-11-15 06:31,NSC,,,,,
LTBT,2022-11-17 13:49,BKN,,,3000.00,,
LTBT,2022-11-17 14:06,BKN,,,3000.00,,
LTBT,2022-11-18 10:31,SCT,BKN,,2500.00,3000.00,
LTBT,2022-11-18 12:10,SCT,BKN,,2500.00,3000.00,
LTBT,2022-11-21 08:30,SCT,BKN,,3500.00,10000.00,
LTBT,2022-11-21 10:42,FEW,BKN,BKN,2500.00,3000.00,8000.00
LTBT,2022-11-21 11:54,SCT,BKN,BKN,2000.00,3000.00,8000.00
LTBT,2022-11-21 12:46,FEW,BKN,BKN,2000.00,3000.00,8000.00
LTBT,2022-11-21 13:09,FEW,BKN,BKN,2000.00,3000.00,8000.00
LTBT,2022-11-21 14:42,FEW,BKN,BKN,2000.00,3000.00,8000.00
LTBT,2022-11-23 08:57,BKN,BKN,,3000.00,8000.00,
LTBT,2022-11-23 09:36,BKN,BKN,,3000.00,8000.00,
LTBT,2022-11-23 10:08,BKN,BKN,,3000.00,9000.00,
LTBT,2022-11-23 11:46,FEW,BKN,BKN,2000.00,3000.00,8000.00
LTBT,2022-11-23 12:02,FEW,BKN,OVC,2000.00,2500.00,8000.00
LTBT,2022-11-24 13:26,FEW,SCT,,3000.00,3500.00,
LTBT,2022-11-24 14:26,SCT,,,4000.00,,
LTBT,2022-11-25 04:02,FEW,SCT,BKN,1000.00,3000.00,10000.00
LTBT,2022-11-25 06:47,SCT,BKN,BKN,1500.00,3000.00,8000.00
LTBT,2022-11-25 09:39,FEW,BKN,BKN,2000.00,3000.00,8000.00
LTBT,2022-11-27 10:10,FEW,BKN,,3500.00,10000.00,
LTBT,2022-11-28 10:24,SCT,BKN,,700.00,3000.00,
LTBT,2022-11-28 12:19,FEW,BKN,,600.00,3000.00,
LTBT,2022-11-28 13:33,FEW,SCT,BKN,600.00,3000.00,9000.00
LTBT,2022-11-29 07:42,SCT,BKN,,4000.00,9000.00,
LTBT,2022-11-30 04:12,SCT,BKN,,500.00,3000.00,
LTBT,2022-11-30 07:16,FEW,BKN,,3500.00,20000.00,
LTBT,2022-11-30 08:23,SCT,BKN,,3500.00,11000.00,
LTBT,2022-12-01 04:45,FEW,SCT,BKN,1000.00,4000.00,10000.00
LTBT,2022-12-01 05:43,SCT,BKN,,4000.00,10000.00,
LTBT,2022-12-01 06:44,SCT,BKN,,3500.00,9000.00,
LTBT,2022-12-01 07:54,BKN,BKN,,3000.00,8000.00,
LTBT,2022-12-02 05:25,SCT,BKN,,3000.00,9000.00,
LTBT,2022-12-02 06:22,FEW,SCT,BKN,600.00,3000.00,10000.00
LTBT,2022-12-02 07:19,SCT,BKN,,3000.00,10000.00,
LTBT,2022-12-02 09:03,BKN,,,3500.00,,
LTBT,2022-12-04 05:23,FEW,SCT,BKN,1500.00,3500.00,10000.00
LTBT,2022-12-04 08:22,FEW,BKN,,1500.00,2500.00,
LTBT,2022-12-06 05:58,NSC,,,,,
LTBT,2022-12-06 06:16,NSC,,,,,
LTBT,2022-12-06 07:08,NSC,,,,,
LTBT,2022-12-07 08:09,BKN,,,1500.00,,
LTBT,2022-12-08 04:42,SCT,,,4000.00,,
LTBT,2022-12-08 05:36,FEW,SCT,,4000.00,10000.00,
LTBT,2022-12-08 06:13,FEW,SCT,,4000.00,10000.00,
LTBT,2022-12-08 07:44,FEW,BKN,,4000.00,10000.00,
LTBT,2022-12-08 08:36,FEW,SCT,,4000.00,10000.00,
LTBT,2022-12-08 09:32,FEW,SCT,,4000.00,10000.00,
LTBT,2022-12-09 07:00,FEW,,,3500.00,,
LTBT,2022-12-09 08:40,FEW,,,3500.00,,
LTBT,2022-12-11 12:44,BKN,BKN,,3500.00,8000.00,
LTBT,2022-12-11 13:39,BKN,BKN,,3500.00,8000.00,
