station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
MMEP,2016-01-13 23:00,BKN,,,3000.00,,
MMEP,2016-03-19 15:00,CLR,,,,,
MMEP,2016-06-02 00:00,FEW,,,2500.00,,
MMEP,2016-06-06 15:00,CLR,,,,,
MMEP,2016-06-10 02:00,SCT,,,2500.00,,
MMEP,2016-08-01 03:00,SCT,OVC,,800.00,3000.00,
MMEP,2016-08-11 22:00,BKN,OVC,,1000.00,25000.00,
MMEP,2016-08-12 04:00,SCT,OVC,,2000.00,10000.00,
MMEP,2016-08-14 14:00,BKN,,,25000.00,,
MMEP,2016-08-23 03:00,BKN,,,8000.00,,
MMEP,2016-09-23 20:00,VV ,,,0.00,,
MMEP,2016-09-30 00:00,SCT,BKN,,1000.00,25000.00,
MMEP,2016-10-10 14:00,CLR,,,,,
MMEP,2016-10-14 05:00,SCT,BKN,,600.00,2500.00,
MMEP,2016-12-25 23:00,SCT,BKN,,3000.00,25000.00,
MMEP,2017-01-07 13:00,CLR,,,,,
MMEP,2017-02-28 13:00,CLR,,,,,
MMEP,2017-03-11 22:00,BKN,OVC,,10000.00,25000.00,
MMEP,2017-04-21 06:00,CLR,,,,,
MMEP,2017-06-21 20:00,SCT,,,2000.00,,
MMEP,2017-07-02 13:00,OVC,,,1500.00,,
MMEP,2017-07-04 02:00,SCT,BKN,,3000.00,10000.00,
MMEP,2017-08-07 19:00,OVC,,,1500.00,,
MMEP,2017-08-08 01:00,SCT,BKN,,8000.00,25000.00,
MMEP,2017-08-13 12:00,BKN,,,1500.00,,
MMEP,2017-08-15 15:00,BKN,,,8000.00,,
MMEP,2017-08-20 15:00,SCT,BKN,,1500.00,25000.00,
MMEP,2017-08-28 23:00,BKN,,,1500.00,,
MMEP,2017-09-03 18:00,BKN,,,25000.00,,
MMEP,2017-09-17 15:00,SCT,,,4000.00,,
MMEP,2017-10-12 12:00,SCT,BKN,,500.00,6000.00,
MMEP,2017-10-21 12:00,CLR,,,,,
MMEP,2017-12-27 13:00,FEW,,,25000.00,,
MMEP,2018-03-11 13:00,SCT,,,25000.00,,
MMEP,2018-03-14 13:00,CLR,,,,,
MMEP,2018-03-16 13:00,CLR,,,,,
MMEP,2018-06-12 22:00,BKN,OVC,,2000.00,9000.00,
MMEP,2018-07-08 05:00,SCT,OVC,,1500.00,8000.00,
MMEP,2018-10-09 00:00,SCT,,,2500.00,,
MMEP,2018-11-24 13:00,SCT,,,25000.00,,
MMEP,2018-12-31 01:00,SCT,OVC,,3500.00,12000.00,
MMEP,2019-02-06 12:00,CLR,,,,,
MMEP,2019-03-16 04:00,BKN,,,25000.00,,
MMEP,2019-05-24 12:00,CLR,,,,,
MMEP,2019-07-11 00:00,BKN,,,2500.00,,
MMEP,2019-07-24 22:00,SCT,SCT,BKN,1500.00,9000.00,25000.00
MMEP,2019-08-11 21:00,OVC,,,1000.00,,
MMEP,2019-08-14 13:00,VV ,,,300.00,,
MMEP,2019-09-05 02:00,BKN,OVC,,1500.00,8000.00,
MMEP,2019-09-13 22:00,BKN,OVC,,1500.00,8000.00,
MMEP,2019-09-17 23:00,OVC,,,800.00,,
MMEP,2019-10-11 21:00,OVC,,,500.00,,
MMEP,2020-01-10 14:00,CLR,,,,,
MMEP,2020-01-25 17:00,FEW,OVC,,1000.00,7000.00,
MMEP,2020-02-03 21:00,SCT,OVC,,600.00,1500.00,
MMEP,2020-04-09 17:00,BKN,,,25000.00,,
MMEP,2020-06-08 14:00,BKN,OVC,,500.00,2000.00,
MMEP,2020-06-27 00:00,SCT,OVC,,1000.00,7000.00,
MMEP,2020-07-03 12:00,OVC,,,8000.00,,
MMEP,2020-07-31 12:00,OVC,,,10000.00,,
MMEP,2020-08-14 22:00,FEW,BKN,,2000.00,10000.00,
MMEP,2020-10-23 13:00,SCT,BKN,,1500.00,25000.00,
MMEP,2020-12-04 22:00,SCT,OVC,,500.00,2000.00,
MMEP,2021-02-10 23:00,CLR,,,,,
MMEP,2021-04-01 15:00,FEW,,,25000.00,,
MMEP,2021-05-31 11:00,SCT,,,25000.00,,
MMEP,2021-06-05 11:00,CLR,,,,,
MMEP,2021-06-16 12:00,OVC,,,1000.00,,
MMEP,2021-07-05 11:00,SCT,,,7000.00,,
MMEP,2021-07-24 11:00,BKN,OVC,,9000.00,25000.00,
MMEP,2021-07-25 23:00,BKN,,,2500.00,,
MMEP,2021-07-28 12:00,FEW,OVC,,9000.00,25000.00,
