station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
MMIO,2016-04-15 17:50,BKN,,,20000.00,,
MMIO,2016-05-08 01:50,BKN,,,4000.00,,
MMIO,2016-05-14 01:50,SCT,OVC,,10000.00,20000.00,
MMIO,2016-09-07 14:50,FEW,,,26000.00,,
MMIO,2016-09-08 18:50,FEW,,,,,
MMIO,2016-10-20 12:50,BKN,,,4000.00,,
MMIO,2016-11-13 21:50,OVC,,,200.00,,
MMIO,2017-01-14 15:50,SCT,OVC,,16000.00,28000.00,
MMIO,2017-05-04 17:50,CLR,,,,,
MMIO,2017-05-08 15:50,BKN,OVC,,12000.00,20000.00,
MMIO,2017-05-12 18:50,CLR,,,,,
MMIO,2017-05-14 16:50,CLR,,,,,
MMIO,2017-05-22 15:50,CLR,,,,,
MMIO,2017-06-09 15:50,SCT,,,10000.00,,
MMIO,2017-06-17 12:50,CLR,,,,,
MMIO,2017-06-23 15:50,CLR,,,,,
MMIO,2017-06-30 15:50,CLR,,,,,
MMIO,2017-09-08 16:50,CLR,,,,,
MMIO,2017-11-11 14:50,SCT,,,800.00,,
MMIO,2017-12-02 23:50,BKN,,,20000.00,,
MMIO,2017-12-03 01:50,SCT,,,20000.00,,
MMIO,2018-03-19 14:50,CLR,,,,,
MMIO,2018-04-21 10:50,CLR,,,,,
MMIO,2018-07-07 17:50,BKN,OVC,,2000.00,5000.00,
MMIO,2018-07-07 18:50,BKN,OVC,,2000.00,5000.00,
MMIO,2018-10-11 12:50,OVC,,,400.00,,
MMIO,2018-10-21 15:50,VV ,,,100.00,,
MMIO,2018-10-21 16:50,VV ,,,200.00,,
MMIO,2018-10-27 15:50,BKN,,,800.00,,
MMIO,2018-12-10 15:50,OVC,,,700.00,,
MMIO,2019-01-03 12:50,VV ,,,100.00,,
MMIO,2019-01-26 14:50,SCT,OVC,,800.00,2000.00,
MMIO,2019-01-26 15:50,OVC,,,400.00,,
MMIO,2019-02-02 00:50,BKN,,,20000.00,,
MMIO,2020-12-17 14:50,CLR,,,,,
MMIO,2020-12-20 16:50,CLR,,,,,
MMIO,2020-12-25 15:50,CLR,,,,,
MMIO,2020-12-27 12:50,CLR,,,,,
MMIO,2021-05-17 18:50,BKN,,,4000.00,,
MMIO,2021-05-19 14:50,BKN,,,4000.00,,
MMIO,2021-09-21 21:50,CLR,,,,,
MMIO,2021-09-22 13:50,SCT,BKN,,800.00,2000.00,
MMIO,2021-09-22 17:50,SCT,OVC,,300.00,400.00,
MMIO,2021-10-02 16:50,BKN,,,2000.00,,
MMIO,2021-10-02 17:50,BKN,,,3000.00,,
MMIO,2021-10-05 21:50,CLR,,,,,
MMIO,2021-10-06 14:50,BKN,,,4000.00,,
MMIO,2021-10-07 19:50,CLR,,,,,
MMIO,2021-10-09 15:50,CLR,,,,,
MMIO,2021-10-10 19:50,CLR,,,,,
MMIO,2021-10-12 02:50,BKN,,,3000.00,,
MMIO,2021-10-12 17:50,CLR,,,,,
MMIO,2021-10-13 17:50,BKN,,,20000.00,,
MMIO,2021-10-13 22:50,BKN,BKN,,3000.00,20000.00,
MMIO,2021-10-15 23:50,SCT,,,4000.00,,
MMIO,2021-10-17 22:50,CLR,,,,,
MMIO,2021-10-18 00:50,CLR,,,,,
MMIO,2021-10-18 01:50,CLR,,,,,
MMIO,2021-10-18 20:50,CLR,,,,,
MMIO,2021-10-18 22:50,SCT,,,4000.00,,
MMIO,2021-10-19 02:50,SCT,,,4000.00,,
MMIO,2021-10-19 13:50,BKN,,,10000.00,,
MMIO,2021-10-19 14:50,SCT,,,10000.00,,
MMIO,2021-10-19 20:50,BKN,,,4000.00,,
MMIO,2021-10-20 19:50,SCT,,,10000.00,,
MMIO,2021-10-20 22:50,BKN,,,4000.00,,
MMIO,2021-10-21 00:50,CLR,,,,,
MMIO,2021-10-23 20:50,SCT,,,4000.00,,
MMIO,2021-10-23 22:50,SCT,,,4000.00,,
MMIO,2021-10-25 20:50,BKN,,,20000.00,,
MMIO,2021-10-26 21:50,BKN,,,3000.00,,
MMIO,2021-10-27 01:50,CLR,,,,,
MMIO,2021-10-28 00:50,CLR,,,,,
MMIO,2021-10-29 02:50,CLR,,,,,
MMIO,2021-10-29 15:50,CLR,,,,,
MMIO,2021-10-30 00:50,CLR,,,,,
MMIO,2021-11-03 21:50,SCT,,,4000.00,,
MMIO,2021-11-04 15:50,OVC,,,500.00,,
MMIO,2021-11-09 16:50,BKN,,,20000.00,,
MMIO,2021-11-10 02:50,CLR,,,,,
MMIO,2021-11-10 14:50,SCT,,,20000.00,,
MMIO,2021-11-10 15:50,CLR,,,,,
MMIO,2021-11-11 19:50,CLR,,,,,
MMIO,2021-11-12 22:50,CLR,,,,,
MMIO,2021-11-14 18:50,CLR,,,,,
MMIO,2021-11-15 19:50,CLR,,,,,
MMIO,2021-11-18 01:50,CLR,,,,,
MMIO,2021-11-22 22:50,SCT,SCT,,1500.00,3000.00,
MMIO,2021-11-24 00:50,CLR,,,,,
MMIO,2021-11-24 12:50,BKN,,,20000.00,,
MMIO,2021-11-24 21:50,BKN,,,3000.00,,
MMIO,2021-11-25 18:50,SCT,,,2500.00,,
MMIO,2021-11-26 21:50,BKN,,,3000.00,,
MMIO,2021-11-27 20:50,SCT,OVC,,3000.00,10000.00,
MMIO,2021-11-28 17:50,SCT,,,4000.00,,
MMIO,2021-11-30 12:50,CLR,,,,,
MMIO,2021-11-30 21:50,BKN,,,20000.00,,
MMIO,2021-11-30 22:50,BKN,,,20000.00,,
MMIO,2021-12-01 11:50,CLR,,,,,
MMIO,2021-12-01 14:50,SCT,,,20000.00,,
MMIO,2021-12-03 18:50,CLR,,,,,
MMIO,2021-12-03 22:50,CLR,,,,,
MMIO,2021-12-04 17:50,CLR,,,,,
MMIO,2021-12-05 01:50,CLR,,,,,
MMIO,2021-12-05 20:50,BKN,,,20000.00,,
MMIO,2021-12-06 20:50,BKN,,,20000.00,,
MMIO,2021-12-09 13:50,CLR,,,,,
MMIO,2021-12-11 11:50,CLR,,,,,
MMIO,2021-12-15 02:50,CLR,,,,,
MMIO,2021-12-17 17:50,CLR,,,,,
MMIO,2021-12-17 22:50,BKN,,,20000.00,,
MMIO,2021-12-20 18:50,CLR,,,,,
MMIO,2021-12-22 11:50,CLR,,,,,
MMIO,2021-12-27 22:50,CLR,,,,,
