station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
MMLO,2016-01-02 17:40,FEW,SCT,,3000.00,25000.00,
MMLO,2016-01-02 20:40,BKN,BKN,,3000.00,20000.00,
MMLO,2016-01-03 03:40,BKN,BKN,,3000.00,20000.00,
MMLO,2016-01-03 22:40,SCT,,,3000.00,,
MMLO,2016-01-04 14:40,BKN,BKN,OVC,3000.00,12000.00,25000.00
MMLO,2016-01-05 00:40,FEW,SCT,SCT,3000.00,12000.00,25000.00
MMLO,2016-01-06 00:40,FEW,,,3000.00,,
MMLO,2016-01-06 15:40,FEW,,,3000.00,,
MMLO,2016-01-06 21:40,SCT,,,3000.00,,
MMLO,2016-01-08 17:40,FEW,BKN,,3000.00,25000.00,
MMLO,2016-01-09 06:40,CLR,,,,,
MMLO,2016-01-10 00:40,SCT,BKN,,3000.00,20000.00,
MMLO,2016-01-12 01:40,FEW,,,3000.00,,
MMLO,2016-01-12 18:40,BKN,,,22000.00,,
MMLO,2016-01-12 22:40,FEW,,,3000.00,,
MMLO,2016-01-15 04:40,CLR,,,,,
MMLO,2016-01-15 14:40,CLR,,,,,
MMLO,2016-01-18 14:40,CLR,,,,,
MMLO,2016-01-19 02:40,FEW,,,3000.00,,
MMLO,2016-01-19 16:40,FEW,,,3000.00,,
MMLO,2016-01-19 22:40,FEW,SCT,,3000.00,20000.00,
MMLO,2016-01-21 06:40,CLR,,,,,
MMLO,2016-01-21 22:40,CLR,,,,,
MMLO,2016-01-22 15:40,CLR,,,,,
MMLO,2016-01-27 22:40,SCT,BKN,,3000.00,25000.00,
MMLO,2016-01-28 16:40,BKN,,,22000.00,,
MMLO,2016-01-29 14:40,FEW,BKN,,12000.00,25000.00,
MMLO,2016-01-29 15:40,FEW,BKN,,12000.00,25000.00,
MMLO,2016-01-29 20:40,OVC,,,25000.00,,
MMLO,2016-01-30 17:40,BKN,BKN,,12000.00,25000.00,
MMLO,2016-01-31 18:40,FEW,,,20000.00,,
MMLO,2016-02-02 16:40,SCT,SCT,,9000.00,20000.00,
MMLO,2016-02-03 22:40,CLR,,,,,
MMLO,2016-02-05 01:40,CLR,,,,,
MMLO,2016-02-05 11:40,CLR,,,,,
MMLO,2016-02-05 17:40,CLR,,,,,
MMLO,2016-02-05 20:40,CLR,,,,,
MMLO,2016-02-06 14:40,FEW,SCT,,12000.00,25000.00,
MMLO,2016-02-08 17:40,SCT,BKN,,3000.00,20000.00,
MMLO,2016-02-08 18:40,SCT,BKN,,3000.00,20000.00,
MMLO,2016-02-08 21:40,SCT,BKN,,3000.00,20000.00,
MMLO,2016-02-10 02:40,SCT,BKN,,4000.00,9000.00,
MMLO,2016-02-11 01:40,SCT,,,3000.00,,
MMLO,2016-02-11 23:40,SCT,,,22000.00,,
MMLO,2016-02-12 13:40,CLR,,,,,
MMLO,2016-02-12 20:40,CLR,,,,,
MMLO,2016-02-17 14:40,SCT,,,22000.00,,
MMLO,2016-02-17 17:40,FEW,,,25000.00,,
MMLO,2016-02-18 11:40,CLR,,,,,
MMLO,2016-02-18 21:40,CLR,,,,,
MMLO,2016-02-20 17:40,FEW,OVC,,12000.00,25000.00,
MMLO,2016-02-20 18:40,FEW,OVC,,12000.00,25000.00,
