station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
MMOX,2016-01-01 01:40,SCT,BKN,,3500.00,20000.00,
MMOX,2016-01-01 02:40,FEW,,,3500.00,,
MMOX,2016-01-02 04:40,CLR,,,,,
MMOX,2016-01-02 21:40,SCT,,,3000.00,,
MMOX,2016-01-03 12:40,CLR,,,,,
MMOX,2016-01-03 13:40,CLR,,,,,
MMOX,2016-01-04 12:40,OVC,,,3500.00,,
MMOX,2016-01-04 13:40,BKN,,,3500.00,,
MMOX,2016-01-05 13:40,FEW,SCT,,3500.00,9000.00,
MMOX,2016-01-05 14:40,FEW,BKN,,3500.00,10000.00,
MMOX,2016-01-08 00:40,FEW,SCT,,3500.00,20000.00,
MMOX,2016-01-08 03:40,CLR,,,,,
MMOX,2016-01-08 22:40,CLR,,,,,
MMOX,2016-01-09 21:40,FEW,,,3500.00,,
MMOX,2016-01-10 03:40,CLR,,,,,
MMOX,2016-01-11 12:40,SCT,,,3500.00,,
MMOX,2016-01-11 13:40,BKN,,,20000.00,,
MMOX,2016-01-11 14:40,FEW,,,20000.00,,
MMOX,2016-01-11 15:40,SCT,,,14000.00,,
MMOX,2016-01-11 16:40,BKN,,,12000.00,,
MMOX,2016-01-12 12:40,SCT,,,2500.00,,
MMOX,2016-01-12 14:40,BKN,BKN,,12000.00,20000.00,
MMOX,2016-01-13 19:40,SCT,OVC,,3500.00,12000.00,
MMOX,2016-01-13 20:40,SCT,OVC,,3500.00,12000.00,
MMOX,2016-01-13 21:40,SCT,OVC,,3500.00,12000.00,
MMOX,2016-01-13 23:40,BKN,OVC,,4000.00,12000.00,
MMOX,2016-01-14 13:40,FEW,BKN,,2000.00,7000.00,
MMOX,2016-01-14 18:40,BKN,,,2500.00,,
MMOX,2016-01-15 22:40,BKN,,,12000.00,,
MMOX,2016-01-16 02:40,CLR,,,,,
MMOX,2016-01-16 04:40,CLR,,,,,
MMOX,2016-01-17 02:40,FEW,BKN,,12000.00,20000.00,
MMOX,2016-01-17 17:40,BKN,OVC,,12000.00,20000.00,
MMOX,2016-01-18 13:40,BKN,OVC,,12000.00,20000.00,
MMOX,2016-01-18 16:40,OVC,,,12000.00,,
MMOX,2016-01-19 12:40,OVC,,,3000.00,,
MMOX,2016-01-19 13:40,FEW,SCT,OVC,3000.00,14000.00,20000.00
MMOX,2016-01-19 14:40,SCT,OVC,,14000.00,20000.00,
MMOX,2016-01-19 15:40,FEW,SCT,OVC,3000.00,14000.00,20000.00
MMOX,2016-01-22 21:40,FEW,,,3000.00,,
MMOX,2016-01-22 23:40,CLR,,,,,
MMOX,2016-01-23 00:40,CLR,,,,,
MMOX,2016-01-23 01:40,CLR,,,,,
MMOX,2016-01-23 02:40,CLR,,,,,
MMOX,2016-01-23 21:40,CLR,,,,,
MMOX,2016-01-23 23:40,CLR,,,,,
MMOX,2016-01-24 01:40,CLR,,,,,
MMOX,2016-01-25 12:40,CLR,,,,,
MMOX,2016-01-25 13:40,CLR,,,,,
MMOX,2016-01-26 14:40,OVC,,,10000.00,,
MMOX,2016-01-29 20:40,BKN,OVC,,8000.00,16000.00,
MMOX,2016-01-29 21:40,BKN,OVC,,10000.00,20000.00,
MMOX,2016-01-29 22:40,BKN,OVC,,12000.00,20000.00,
MMOX,2016-01-30 01:40,BKN,OVC,,12000.00,20000.00,
MMOX,2016-01-30 02:40,BKN,OVC,,12000.00,20000.00,
MMOX,2016-01-30 21:40,BKN,OVC,,12000.00,17000.00,
MMOX,2016-01-30 22:40,BKN,OVC,,12000.00,17000.00,
MMOX,2016-01-31 01:40,BKN,OVC,,12000.00,17000.00,
MMOX,2016-01-31 12:40,SCT,BKN,,4000.00,12000.00,
MMOX,2016-01-31 13:40,BKN,BKN,,12000.00,22000.00,
MMOX,2016-01-31 15:40,SCT,,,22000.00,,
