station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
MTCH,2019-07-22 17:55,FEW,,,3200.00,,
MTCH,2019-07-23 12:55,FEW,SCT,,3000.00,6000.00,
MTCH,2019-07-23 14:55,FEW,,,3000.00,,
MTCH,2019-07-23 18:55,FEW,,,3200.00,,
MTCH,2019-07-24 13:55,FEW,,,2800.00,,
MTCH,2019-07-27 20:55,FEW,,,2500.00,,
MTCH,2019-07-29 13:55,FEW,,,2800.00,,
MTCH,2019-07-29 19:55,FEW,,,3000.00,,
MTCH,2019-07-30 12:55,FEW,,,2800.00,,
MTCH,2019-08-01 13:55,FEW,,,2600.00,,
MTCH,2019-08-02 15:55,FEW,,,3000.00,,
MTCH,2019-08-02 19:55,FEW,,,3000.00,,
MTCH,2019-08-03 15:55,FEW,,,2800.00,,
MTCH,2019-08-03 17:55,FEW,,,3200.00,,
MTCH,2019-08-04 14:55,FEW,,,3000.00,,
MTCH,2019-08-04 17:55,FEW,,,3200.00,,
MTCH,2019-08-05 14:55,SCT,BKN,,2500.00,20000.00,
MTCH,2019-08-06 15:55,SCT,BKN,,3000.00,21000.00,
MTCH,2019-08-06 17:55,SCT,BKN,,3000.00,20000.00,
MTCH,2019-08-08 13:55,SCT,,,2800.00,,
MTCH,2019-08-08 14:55,FEW,,,2800.00,,
MTCH,2019-08-09 13:55,FEW,,,3000.00,,
MTCH,2019-08-09 19:55,FEW,,,3000.00,,
MTCH,2019-08-10 18:55,FEW,,,3000.00,,
MTCH,2019-08-11 15:55,FEW,,,3000.00,,
MTCH,2019-08-11 19:55,FEW,,,3000.00,,
MTCH,2019-08-15 13:55,FEW,,,2800.00,,
MTCH,2019-08-15 17:55,FEW,,,3000.00,,
MTCH,2019-08-16 16:55,SCT,BKN,,3000.00,22000.00,
MTCH,2019-08-17 18:55,SCT,BKN,,2600.00,20000.00,
MTCH,2019-08-18 14:55,FEW,,,2800.00,,
MTCH,2019-08-22 21:55,SCT,,,2500.00,,
MTCH,2019-08-23 12:55,FEW,,,2500.00,,
MTCH,2019-08-25 12:55,FEW,,,3200.00,,
MTCH,2019-08-25 14:55,FEW,,,3000.00,,
MTCH,2019-08-25 19:55,FEW,,,3000.00,,
MTCH,2019-08-28 15:55,SCT,BKN,,3200.00,20000.00,
MTCH,2019-08-28 18:55,SCT,BKN,,2800.00,20000.00,
MTCH,2019-09-04 13:55,FEW,,,3000.00,,
MTCH,2019-09-04 19:55,FEW,,,2800.00,,
MTCH,2019-09-08 14:55,FEW,,,3000.00,,
MTCH,2019-09-08 16:55,SCT,,,3000.00,,
MTCH,2019-09-09 13:55,FEW,SCT,,2800.00,6000.00,
MTCH,2019-09-13 20:55,SCT,BKN,,3000.00,20000.00,
MTCH,2019-09-18 13:55,SCT,,,3200.00,,
MTCH,2019-09-18 15:55,SCT,,,3200.00,,
MTCH,2019-09-20 10:55,FEW,SCT,,2500.00,6000.00,
MTCH,2019-09-20 16:55,SCT,BKN,,2500.00,6000.00,
MTCH,2019-09-20 17:55,SCT,BKN,,3000.00,6000.00,
MTCH,2019-09-21 12:55,SCT,BKN,,2600.00,6000.00,
MTCH,2019-09-21 17:55,SCT,BKN,,2500.00,6000.00,
MTCH,2019-09-22 20:55,SCT,BKN,,3000.00,22000.00,
MTCH,2019-09-24 14:55,SCT,BKN,,2800.00,6000.00,
MTCH,2019-09-24 15:55,SCT,BKN,,2400.00,6000.00,
MTCH,2019-09-24 19:55,SCT,BKN,,2800.00,6000.00,
MTCH,2019-09-26 18:55,SCT,,,2800.00,,
MTCH,2019-09-29 13:55,SCT,,,2500.00,,
MTCH,2019-10-01 17:55,SCT,,,3000.00,,
MTCH,2019-10-02 13:55,SCT,,,2800.00,,
MTCH,2019-10-02 14:55,SCT,,,3000.00,,
MTCH,2019-10-05 16:55,SCT,BKN,,3000.00,20000.00,
MTCH,2019-10-07 13:55,FEW,,,2600.00,,
MTCH,2019-10-08 12:55,FEW,,,2800.00,,
MTCH,2019-10-13 12:55,FEW,,,2500.00,,
MTCH,2019-10-15 13:55,FEW,,,3000.00,,
MTCH,2019-10-15 19:55,FEW,,,2800.00,,
MTCH,2019-10-16 14:55,FEW,,,2800.00,,
MTCH,2019-10-16 16:55,FEW,,,3000.00,,
MTCH,2019-10-17 19:55,FEW,,,2500.00,,
MTCH,2019-10-18 16:55,FEW,,,2800.00,,
MTCH,2019-10-20 15:55,FEW,,,2700.00,,
MTCH,2019-10-20 20:55,SCT,,,2300.00,,
MTCH,2019-10-22 18:55,FEW,,,2700.00,,
MTCH,2019-10-29 15:55,SCT,,,3000.00,,
MTCH,2019-10-30 12:55,SCT,,,3000.00,,
MTCH,2019-11-02 14:55,FEW,,,2800.00,,
MTCH,2019-11-02 16:55,FEW,,,3000.00,,
MTCH,2019-11-03 12:55,FEW,,,3200.00,,
MTCH,2019-11-03 13:55,FEW,,,3200.00,,
MTCH,2019-11-03 17:55,FEW,,,3000.00,,
MTCH,2019-11-04 18:55,FEW,,,3000.00,,
MTCH,2019-11-05 13:55,FEW,,,3200.00,,
MTCH,2019-11-08 13:55,FEW,,,2800.00,,
MTCH,2019-11-08 20:55,FEW,,,3000.00,,
MTCH,2019-11-11 18:55,SCT,BKN,,2800.00,6000.00,
MTCH,2019-11-11 20:55,SCT,BKN,,2500.00,6000.00,
MTCH,2019-11-17 19:55,SCT,BKN,,2800.00,6000.00,
MTCH,2019-11-20 19:55,SCT,BKN,,2600.00,7000.00,
MTCH,2019-11-21 21:55,SCT,BKN,,2000.00,6000.00,
