station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
NZWD,2016-01-01 00:55,SCT,BKN,,5500.00,7500.00,
NZWD,2016-01-01 01:55,SCT,BKN,,5500.00,7500.00,
NZWD,2016-01-02 15:55,FEW,BKN,OVC,2500.00,4500.00,7000.00
NZWD,2016-01-02 16:55,FEW,BKN,OVC,2500.00,4500.00,7000.00
NZWD,2016-01-02 17:55,FEW,BKN,OVC,2500.00,3500.00,4500.00
NZWD,2016-01-02 18:55,FEW,BKN,OVC,2500.00,3500.00,4500.00
NZWD,2016-01-02 19:55,FEW,BKN,OVC,2500.00,3500.00,4500.00
NZWD,2016-01-02 20:55,FEW,BKN,OVC,2500.00,3000.00,4500.00
NZWD,2016-01-02 21:55,FEW,BKN,OVC,2500.00,3500.00,6000.00
NZWD,2016-01-03 12:55,OVC,,,800.00,,
NZWD,2016-01-03 13:55,BKN,OVC,,800.00,3000.00,
NZWD,2016-01-03 14:55,SCT,BKN,OVC,1000.00,2500.00,3000.00
NZWD,2016-01-03 15:55,FEW,BKN,OVC,1500.00,2500.00,10000.00
NZWD,2016-01-03 16:55,BKN,BKN,OVC,1400.00,2500.00,7000.00
NZWD,2016-01-03 17:55,BKN,BKN,OVC,1200.00,2000.00,7000.00
NZWD,2016-01-03 18:55,BKN,OVC,,1000.00,1500.00,
NZWD,2016-01-03 19:55,FEW,FEW,OVC,1000.00,1500.00,5500.00
NZWD,2016-01-03 20:55,FEW,SCT,OVC,1000.00,3500.00,5500.00
NZWD,2016-01-03 21:55,SCT,OVC,,1000.00,5500.00,
NZWD,2016-01-03 22:55,FEW,BKN,OVC,1000.00,5500.00,8000.00
NZWD,2016-01-03 23:55,FEW,OVC,,1500.00,8000.00,
NZWD,2016-01-04 00:55,FEW,OVC,,1500.00,8000.00,
NZWD,2016-01-04 01:55,FEW,OVC,,2000.00,9500.00,
NZWD,2016-01-04 02:55,FEW,OVC,,2000.00,9500.00,
NZWD,2016-01-04 03:55,FEW,OVC,,2000.00,9500.00,
NZWD,2016-01-04 04:55,SCT,SCT,OVC,1000.00,2000.00,10000.00
NZWD,2016-01-04 05:55,SCT,SCT,OVC,1500.00,2000.00,10000.00
NZWD,2016-01-04 06:55,FEW,SCT,OVC,1000.00,2000.00,10000.00
NZWD,2016-01-04 07:55,FEW,SCT,OVC,1000.00,2000.00,10000.00
NZWD,2016-01-04 08:55,FEW,FEW,OVC,1000.00,2000.00,7000.00
NZWD,2016-01-04 09:55,FEW,SCT,OVC,1000.00,2000.00,7000.00
NZWD,2016-01-04 10:55,SCT,OVC,,1000.00,6000.00,
NZWD,2016-01-04 11:55,SCT,OVC,,1000.00,6000.00,
NZWD,2016-01-04 12:55,SCT,OVC,,1000.00,6000.00,
NZWD,2016-01-04 13:55,SCT,OVC,,1000.00,6000.00,
NZWD,2016-01-04 14:55,FEW,SCT,,1000.00,6000.00,
NZWD,2016-01-04 15:55,FEW,FEW,OVC,1000.00,1500.00,6000.00
NZWD,2016-01-04 16:55,FEW,FEW,OVC,1000.00,1500.00,6500.00
NZWD,2016-01-04 17:55,FEW,FEW,BKN,1000.00,1500.00,7000.00
NZWD,2016-01-04 18:55,FEW,FEW,BKN,1000.00,1500.00,6000.00
NZWD,2016-01-04 19:55,FEW,FEW,BKN,1000.00,1500.00,5000.00
NZWD,2016-01-04 20:55,FEW,BKN,OVC,1000.00,5000.00,6000.00
NZWD,2016-01-04 21:55,FEW,FEW,OVC,1000.00,3500.00,5000.00
NZWD,2016-01-04 22:55,FEW,FEW,OVC,1000.00,3500.00,5000.00
NZWD,2016-01-04 23:55,OVC,,,4000.00,,
NZWD,2016-01-05 00:55,FEW,BKN,OVC,1000.00,3500.00,5500.00
NZWD,2016-01-05 01:55,FEW,BKN,OVC,1000.00,4500.00,5500.00
NZWD,2016-01-05 02:55,FEW,BKN,OVC,1000.00,4000.00,5000.00
NZWD,2016-01-05 03:55,FEW,BKN,OVC,1000.00,3500.00,4500.00
NZWD,2016-01-05 04:55,FEW,BKN,OVC,1000.00,4500.00,6000.00
NZWD,2016-01-05 05:55,FEW,SCT,OVC,1000.00,4500.00,6500.00
NZWD,2016-01-05 06:55,FEW,SCT,OVC,1500.00,4000.00,6500.00
NZWD,2016-01-05 07:55,FEW,SCT,BKN,1500.00,4000.00,6500.00
NZWD,2016-01-05 08:55,FEW,SCT,BKN,1000.00,4000.00,6500.00
NZWD,2016-01-05 09:55,FEW,SCT,,1000.00,6000.00,
NZWD,2016-01-05 10:55,FEW,SCT,,1000.00,6000.00,
NZWD,2016-01-05 11:55,FEW,SCT,,1000.00,6000.00,
NZWD,2016-01-05 12:55,FEW,FEW,,1000.00,6500.00,
NZWD,2016-01-05 13:55,FEW,FEW,FEW,1000.00,6000.00,10000.00
NZWD,2016-01-05 14:55,FEW,FEW,,1000.00,10000.00,
NZWD,2016-01-05 15:55,FEW,FEW,,0.00,1000.00,
NZWD,2016-01-05 16:55,BKN,,,0.00,,
NZWD,2016-01-05 17:55,OVC,,,200.00,,
NZWD,2016-01-05 18:55,BKN,OVC,,0.00,200.00,
NZWD,2016-01-05 19:55,BKN,BKN,,0.00,200.00,
NZWD,2016-01-05 20:55,FEW,FEW,BKN,0.00,100.00,2000.00
NZWD,2016-01-05 21:55,FEW,FEW,BKN,0.00,200.00,2500.00
NZWD,2016-01-05 22:55,VV ,,,200.00,,
NZWD,2016-01-05 23:55,FEW,SCT,OVC,0.00,100.00,2500.00
NZWD,2016-01-06 00:55,FEW,SCT,BKN,300.00,1500.00,2500.00
NZWD,2016-01-06 01:55,FEW,SCT,,2000.00,3500.00,
NZWD,2016-01-06 02:55,FEW,FEW,SCT,1000.00,2000.00,4000.00
NZWD,2016-01-06 03:55,FEW,FEW,SCT,1000.00,2000.00,4000.00
NZWD,2016-01-06 04:55,FEW,SCT,,1000.00,2000.00,
NZWD,2016-01-06 05:55,FEW,SCT,,1000.00,1500.00,
NZWD,2016-01-06 06:55,FEW,FEW,FEW,1000.00,2000.00,5000.00
NZWD,2016-01-06 07:55,FEW,SCT,SCT,1000.00,2000.00,5000.00
NZWD,2016-01-06 08:55,FEW,BKN,,1000.00,2500.00,
NZWD,2016-01-06 09:55,FEW,BKN,,1500.00,2500.00,
NZWD,2016-01-06 10:55,BKN,,,2500.00,,
