station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
OAJL,2016-12-11 08:56,CLR,,,,,
OAJL,2016-12-13 20:56,CLR,,,,,
OAJL,2016-12-18 17:56,CLR,,,,,
OAJL,2017-01-01 14:56,CLR,,,,,
OAJL,2017-01-10 20:56,CLR,,,,,
OAJL,2017-01-10 21:56,CLR,,,,,
OAJL,2017-01-10 22:56,CLR,,,,,
OAJL,2017-01-10 23:56,CLR,,,,,
OAJL,2017-01-11 00:56,CLR,,,,,
OAJL,2017-01-11 01:56,CLR,,,,,
OAJL,2017-01-11 02:56,CLR,,,,,
OAJL,2017-01-11 03:56,CLR,,,,,
OAJL,2017-01-11 04:56,CLR,,,,,
OAJL,2017-01-11 05:56,CLR,,,,,
OAJL,2017-01-11 08:56,CLR,,,,,
OAJL,2017-01-11 09:56,CLR,,,,,
OAJL,2017-01-11 10:56,CLR,,,,,
OAJL,2017-01-11 12:56,CLR,,,,,
OAJL,2017-01-17 22:56,FEW,BKN,,3000.00,4500.00,
OAJL,2017-02-04 06:56,FEW,SCT,BKN,200.00,1500.00,3300.00
OAJL,2017-02-12 11:56,FEW,,,20000.00,,
OAJL,2017-02-15 03:56,BKN,,,11000.00,,
OAJL,2017-02-16 19:56,SCT,,,10000.00,,
OAJL,2017-02-21 19:56,CLR,,,,,
OAJL,2017-02-21 22:56,CLR,,,,,
OAJL,2017-02-21 23:56,CLR,,,,,
OAJL,2017-02-22 00:56,CLR,,,,,
OAJL,2017-02-22 02:56,CLR,,,,,
OAJL,2017-03-03 19:56,CLR,,,,,
OAJL,2017-03-04 00:56,CLR,,,,,
OAJL,2017-04-08 01:56,FEW,,,12000.00,,
OAJL,2017-04-13 00:56,CLR,,,,,
OAJL,2017-04-13 01:56,CLR,,,,,
OAJL,2017-04-13 02:56,CLR,,,,,
OAJL,2017-04-13 03:56,CLR,,,,,
OAJL,2017-04-13 04:56,CLR,,,,,
OAJL,2017-04-13 05:56,CLR,,,,,
OAJL,2017-04-13 06:56,CLR,,,,,
OAJL,2017-04-13 07:56,CLR,,,,,
OAJL,2017-05-14 20:56,SCT,BKN,,3000.00,9000.00,
OAJL,2017-05-17 04:56,FEW,FEW,,10000.00,20000.00,
OAJL,2017-05-21 03:56,CLR,,,,,
OAJL,2017-05-21 13:56,FEW,SCT,BKN,8000.00,13000.00,16000.00
OAJL,2017-05-22 07:56,FEW,FEW,,15000.00,25000.00,
OAJL,2017-05-25 14:56,FEW,,,12000.00,,
OAJL,2017-05-25 16:56,CLR,,,,,
OAJL,2017-05-26 03:56,CLR,,,,,
OAJL,2017-05-27 19:56,CLR,,,,,
OAJL,2017-05-31 07:56,FEW,,,15000.00,,
OAJL,2017-06-02 23:56,CLR,,,,,
OAJL,2017-06-03 10:56,FEW,,,14000.00,,
OAJL,2017-06-04 13:56,SCT,,,17000.00,,
OAJL,2017-06-07 08:56,FEW,,,13000.00,,
OAJL,2017-06-09 00:56,FEW,,,15000.00,,
OAJL,2017-06-12 12:56,FEW,FEW,,12000.00,25000.00,
OAJL,2017-06-15 07:56,CLR,,,,,
OAJL,2017-06-15 10:56,CLR,,,,,
OAJL,2017-06-16 16:56,FEW,,,15000.00,,
OAJL,2017-06-19 07:56,FEW,,,15000.00,,
OAJL,2017-06-20 12:56,FEW,BKN,,15000.00,25000.00,
OAJL,2017-06-21 06:56,FEW,FEW,,15000.00,25000.00,
OAJL,2017-06-21 07:56,FEW,FEW,,15000.00,25000.00,
OAJL,2017-06-24 03:56,CLR,,,,,
