station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
OIAD,2016-02-09 17:00,,,,,,
OIAD,2016-02-09 19:00,,,,,,
OIAD,2016-02-10 02:00,,,,,,
OIAD,2016-02-10 04:00,,,,,,
OIAD,2016-02-10 05:00,,,,,,
OIAD,2016-02-10 07:00,,,,,,
OIAD,2016-02-10 08:00,,,,,,
OIAD,2016-02-10 10:00,,,,,,
OIAD,2016-02-10 11:00,,,,,,
OIAD,2016-02-10 13:00,,,,,,
OIAD,2016-02-10 19:00,,,,,,
OIAD,2016-02-11 05:00,FEW,SCT,OVC,3500.00,4000.00,9000.00
OIAD,2016-02-11 07:00,FEW,SCT,OVC,3500.00,4000.00,9000.00
OIAD,2016-02-11 08:00,FEW,SCT,OVC,3500.00,4000.00,9000.00
OIAD,2016-02-11 10:00,FEW,SCT,BKN,3500.00,400.00,9000.00
OIAD,2016-02-12 14:00,,,,,,
OIAD,2016-02-12 16:00,,,,,,
OIAD,2016-02-13 05:00,,,,,,
OIAD,2016-02-13 07:00,,,,,,
OIAD,2016-02-17 13:00,,,,,,
OIAD,2016-02-17 17:00,,,,,,
OIAD,2016-02-17 19:00,,,,,,
OIAD,2016-02-18 02:00,,,,,,
OIAD,2016-02-19 11:00,NSC,,,,,
OIAD,2016-02-21 14:00,NSC,,,,,
OIAD,2016-02-22 08:00,FEW,SCT,OVC,3500.00,4000.00,9000.00
OIAD,2016-02-22 11:00,FEW,SCT,OVC,3500.00,4000.00,9000.00
OIAD,2016-02-22 13:00,FEW,SCT,OVC,3500.00,4000.00,9000.00
OIAD,2016-02-22 16:00,FEW,SCT,OVC,3500.00,4000.00,9000.00
OIAD,2016-02-22 17:00,FEW,SCT,OVC,3500.00,4000.00,11000.00
OIAD,2016-02-22 19:00,FEW,SCT,OVC,3500.00,4000.00,10000.00
OIAD,2016-02-22 20:00,FEW,SCT,OVC,3500.00,4000.00,10000.00
OIAD,2016-02-23 02:00,FEW,SCT,OVC,3500.00,4000.00,10000.00
OIAD,2016-02-23 04:00,FEW,SCT,OVC,3500.00,4000.00,10000.00
OIAD,2016-02-25 02:00,NSC,,,,,
OIAD,2016-02-25 04:00,NSC,,,,,
OIAD,2016-02-25 05:00,NSC,,,,,
OIAD,2016-02-25 16:00,,,,,,
OIAD,2016-02-25 20:00,,,,,,
OIAD,2016-02-27 17:00,FEW,SCT,OVC,3500.00,4000.00,9000.00
OIAD,2016-02-27 19:00,FEW,SCT,OVC,3500.00,4000.00,9000.00
OIAD,2016-02-28 13:00,FEW,SCT,OVC,3500.00,4000.00,9000.00
OIAD,2016-02-29 02:00,NSC,,,,,
OIAD,2016-02-29 08:00,FEW,,,3500.00,,
OIAD,2016-02-29 10:00,FEW,,,3500.00,,
OIAD,2016-02-29 13:00,FEW,,,3500.00,,
OIAD,2016-02-29 14:00,FEW,,,3500.00,,
OIAD,2016-02-29 16:00,FEW,,,3500.00,,
OIAD,2016-03-01 14:00,FEW,,,3500.00,,
OIAD,2016-03-01 17:00,,,,,,
OIAD,2016-03-01 19:00,,,,,,
OIAD,2016-03-04 04:00,FEW,SCT,BKN,4000.00,10000.00,17000.00
OIAD,2016-03-04 05:00,FEW,SCT,BKN,3500.00,4000.00,10000.00
