station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
OIAI,2016-01-01 01:00,FEW,SCT,OVC,3500.00,4000.00,7000.00
OIAI,2016-01-01 02:00,FEW,SCT,OVC,3500.00,4000.00,7000.00
OIAI,2016-01-01 05:00,FEW,SCT,BKN,3500.00,4000.00,8000.00
OIAI,2016-01-01 07:00,FEW,SCT,OVC,3500.00,4000.00,8000.00
OIAI,2016-01-01 08:00,FEW,SCT,OVC,3500.00,4000.00,8000.00
OIAI,2016-01-01 10:00,FEW,SCT,OVC,3500.00,4000.00,7000.00
OIAI,2016-01-01 11:00,FEW,SCT,OVC,3500.00,4000.00,7000.00
OIAI,2016-01-01 13:00,FEW,SCT,OVC,3500.00,4000.00,7000.00
OIAI,2016-01-01 14:00,FEW,SCT,OVC,3500.00,4000.00,7000.00
OIAI,2016-01-01 16:00,FEW,SCT,OVC,3000.00,3500.00,7000.00
OIAI,2016-01-01 19:00,SCT,SCT,OVC,3000.00,3500.00,7000.00
OIAI,2016-01-01 20:00,FEW,SCT,BKN,3000.00,3500.00,8000.00
OIAI,2016-01-02 01:00,SCT,BKN,,4000.00,8000.00,
OIAI,2016-01-02 02:00,SCT,BKN,,4000.00,9000.00,
OIAI,2016-01-02 04:00,FEW,,,4000.00,,
OIAI,2016-01-02 05:00,FEW,,,4000.00,,
OIAI,2016-01-02 07:00,SCT,,,3000.00,,
OIAI,2016-01-02 08:00,BKN,,,3000.00,,
OIAI,2016-01-02 10:00,BKN,,,3000.00,,
OIAI,2016-01-02 11:00,BKN,,,3000.00,,
OIAI,2016-01-02 14:00,SCT,,,3000.00,,
OIAI,2016-01-02 17:00,NSC,,,,,
OIAI,2016-01-02 19:00,NSC,,,,,
OIAI,2016-01-02 20:00,NSC,,,,,
OIAI,2016-01-03 01:00,NSC,,,,,
OIAI,2016-01-03 02:00,NSC,,,,,
OIAI,2016-01-03 04:00,BKN,,,4000.00,,
OIAI,2016-01-03 05:00,BKN,,,4000.00,,
OIAI,2016-01-03 07:00,,,,,,
OIAI,2016-01-03 08:00,,,,,,
OIAI,2016-01-03 10:00,,,,,,
OIAI,2016-01-03 11:00,,,,,,
OIAI,2016-01-03 13:00,,,,,,
OIAI,2016-01-03 14:00,,,,,,
OIAI,2016-01-03 16:00,,,,,,
OIAI,2016-01-03 17:00,,,,,,
OIAI,2016-01-03 19:00,,,,,,
