station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
OIKM,2016-02-21 14:00,,,,,,
OIKM,2016-02-21 15:00,,,,,,
OIKM,2016-02-21 16:00,,,,,,
OIKM,2016-02-21 17:00,,,,,,
OIKM,2016-02-22 09:00,,,,,,
OIKM,2016-02-22 10:00,,,,,,
OIKM,2016-02-22 15:00,,,,,,
OIKM,2016-02-23 14:00,,,,,,
OIKM,2016-02-23 15:00,,,,,,
OIKM,2016-02-23 16:00,,,,,,
OIKM,2016-02-23 17:00,,,,,,
OIKM,2016-02-28 14:00,FEW,,,4000.00,,
OIKM,2016-02-28 15:00,,,,,,
OIKM,2016-02-28 16:00,,,,,,
OIKM,2016-02-28 17:00,,,,,,
OIKM,2016-03-01 14:00,SCT,SCT,OVC,3000.00,4000.00,7000.00
OIKM,2016-03-01 15:00,SCT,SCT,OVC,3000.00,4000.00,7000.00
OIKM,2016-03-01 16:00,SCT,SCT,OVC,3000.00,4000.00,8000.00
OIKM,2016-03-01 17:00,SCT,SCT,OVC,3000.00,4000.00,8000.00
OIKM,2016-03-01 18:00,FEW,SCT,BKN,3000.00,4000.00,9000.00
OIKM,2016-03-01 19:00,FEW,SCT,SCT,3000.00,4000.00,10000.00
OIKM,2016-03-06 15:00,SCT,SCT,,4000.00,20000.00,
OIKM,2016-03-06 16:00,FEW,SCT,,4000.00,20000.00,
OIKM,2016-03-06 17:00,FEW,SCT,,4000.00,20000.00,
OIKM,2016-03-08 14:00,FEW,SCT,SCT,3500.00,4000.00,8000.00
OIKM,2016-03-08 15:00,FEW,SCT,BKN,3500.00,4000.00,10000.00
OIKM,2016-03-08 16:00,FEW,SCT,,4000.00,10000.00,
OIKM,2016-03-08 17:00,FEW,SCT,BKN,3500.00,4000.00,10000.00
OIKM,2016-03-13 13:00,FEW,SCT,,4000.00,20000.00,
OIKM,2016-03-13 14:00,SCT,,,4000.00,,
OIKM,2016-03-13 15:00,SCT,,,4500.00,,
OIKM,2016-03-13 16:00,FEW,,,4500.00,,
OIKM,2016-03-13 17:00,,,,,,
OIKM,2016-03-16 04:00,SCT,BKN,,4500.00,10000.00,
OIKM,2016-03-16 06:00,SCT,BKN,,4500.00,11000.00,
OIKM,2016-03-16 07:00,FEW,BKN,,4500.00,11000.00,
OIKM,2016-03-16 14:00,,,,,,
OIKM,2016-03-16 15:00,FEW,,,4000.00,,
OIKM,2016-03-20 13:00,,,,,,
OIKM,2016-03-20 14:00,,,,,,
OIKM,2016-03-20 15:00,,,,,,
OIKM,2016-03-20 17:00,,,,,,
OIKM,2016-03-22 12:00,SCT,SCT,BKN,3000.00,3500.00,9000.00
OIKM,2016-03-22 14:00,FEW,SCT,BKN,3000.00,3500.00,8000.00
OIKM,2016-03-22 15:00,SCT,BKN,,4000.00,20000.00,
OIKM,2016-03-22 16:00,FEW,SCT,,4000.00,20000.00,
OIKM,2016-03-27 16:00,FEW,BKN,,4500.00,20000.00,
OIKM,2016-03-27 17:00,FEW,SCT,,4500.00,20000.00,
OIKM,2016-03-27 18:00,,,,,,
OIKM,2016-03-29 16:00,SCT,BKN,,4500.00,11000.00,
OIKM,2016-03-29 17:00,FEW,SCT,,4500.00,11000.00,
OIKM,2016-03-29 18:00,FEW,SCT,,4500.00,11000.00,
OIKM,2016-04-03 16:00,,,,,,
OIKM,2016-04-03 17:00,,,,,,
OIKM,2016-04-03 18:00,,,,,,
OIKM,2016-04-05 16:00,,,,,,
OIKM,2016-04-05 17:00,,,,,,
OIKM,2016-04-05 18:00,,,,,,
OIKM,2016-04-05 19:00,,,,,,
OIKM,2016-04-06 01:00,,,,,,
OIKM,2016-04-10 16:00,FEW,,,4000.00,,
OIKM,2016-04-10 17:00,,,,,,
OIKM,2016-04-10 18:00,,,,,,
OIKM,2016-04-10 19:00,,,,,,
OIKM,2016-04-11 01:00,,,,,,
OIKM,2016-04-12 16:00,,,,,,
OIKM,2016-04-12 17:00,,,,,,
OIKM,2016-04-12 18:00,,,,,,
OIKM,2016-04-12 19:00,,,,,,
OIKM,2016-04-13 01:00,,,,,,
OIKM,2016-04-19 16:00,,,,,,
OIKM,2016-04-19 17:00,,,,,,
OIKM,2016-04-19 18:00,,,,,,
OIKM,2016-04-19 19:00,,,,,,
OIKM,2016-04-20 01:00,,,,,,
OIKM,2016-04-24 16:00,FEW,BKN,,4500.00,20000.00,
OIKM,2016-04-24 17:00,SCT,BKN,,4500.00,20000.00,
OIKM,2016-04-24 18:00,FEW,BKN,,4500.00,20000.00,
OIKM,2016-04-24 19:00,,,,,,
OIKM,2016-04-26 17:00,FEW,,,4500.00,,
OIKM,2016-04-26 18:00,FEW,,,4500.00,,
OIKM,2016-04-26 19:00,,,,,,
OIKM,2016-05-01 17:00,FEW,SCT,,4000.00,4500.00,
OIKM,2016-05-01 19:00,FEW,SCT,,4500.00,10000.00,
