station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
OIKR,2016-03-28 04:00,FEW,SCT,BKN,3500.00,4000.00,10000.00
OIKR,2016-03-28 05:00,FEW,SCT,SCT,3500.00,4000.00,20000.00
OIKR,2016-03-28 06:00,FEW,BKN,,4000.00,20000.00,
OIKR,2017-02-13 06:00,FEW,SCT,BKN,3500.00,4000.00,9000.00
OIKR,2017-02-13 07:00,FEW,SCT,BKN,3500.00,4000.00,9000.00
OIKR,2017-02-13 08:00,FEW,SCT,BKN,3500.00,4000.00,9000.00
OIKR,2017-02-13 10:00,FEW,SCT,BKN,3500.00,4000.00,9000.00
OIKR,2017-02-13 11:00,FEW,SCT,BKN,3500.00,4000.00,9000.00
OIKR,2017-10-11 06:00,,,,,,
OIKR,2018-04-24 01:00,,,,,,
OIKR,2018-09-26 17:00,,,,,,
OIKR,2018-09-26 18:00,,,,,,
OIKR,2018-09-26 19:00,,,,,,
OIKR,2018-09-26 20:00,,,,,,
OIKR,2018-09-26 21:00,,,,,,
OIKR,2018-09-27 01:00,,,,,,
OIKR,2018-09-27 02:00,,,,,,
OIKR,2018-09-29 06:00,,,,,,
OIKR,2018-09-29 07:00,,,,,,
OIKR,2018-09-29 08:00,,,,,,
OIKR,2018-09-29 09:00,,,,,,
OIKR,2018-09-29 10:00,,,,,,
OIKR,2018-09-29 11:00,,,,,,
OIKR,2018-10-06 06:00,FEW,,,4000.00,,
OIKR,2018-10-06 07:00,FEW,,,4000.00,,
OIKR,2018-10-06 08:00,FEW,,,4000.00,,
OIKR,2018-10-06 10:00,FEW,,,4000.00,,
OIKR,2018-10-06 11:00,FEW,,,4000.00,,
OIKR,2019-12-22 18:00,,,,,,
OIKR,2019-12-25 18:00,,,,,,
OIKR,2019-12-25 19:00,,,,,,
OIKR,2019-12-25 20:00,,,,,,
OIKR,2019-12-25 21:00,,,,,,
OIKR,2019-12-26 01:00,,,,,,
OIKR,2019-12-26 02:00,,,,,,
OIKR,2019-12-28 10:00,,,,,,
OIKR,2019-12-28 11:00,,,,,,
OIKR,2019-12-28 12:00,,,,,,
OIKR,2019-12-28 13:00,,,,,,
OIKR,2020-01-01 18:00,FEW,SCT,,4000.00,20000.00,
OIKR,2020-01-01 19:00,FEW,SCT,,4000.00,20000.00,
OIKR,2020-01-01 20:00,,,,,,
OIKR,2020-01-01 21:00,,,,,,
OIKR,2020-01-02 02:00,,,,,,
OIKR,2020-01-02 03:00,,,,,,
