station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
PKMJ,2016-01-06 05:59,SCT,SCT,BKN,1500.00,12000.00,30000.00
PKMJ,2016-01-06 21:59,SCT,BKN,OVC,1400.00,5000.00,12000.00
PKMJ,2016-01-08 00:59,FEW,FEW,SCT,1500.00,5000.00,12000.00
PKMJ,2016-01-08 01:59,FEW,SCT,BKN,1500.00,12000.00,30000.00
PKMJ,2016-01-08 06:59,FEW,SCT,BKN,1500.00,5000.00,12000.00
PKMJ,2016-01-08 07:59,FEW,SCT,BKN,1500.00,5000.00,12000.00
PKMJ,2016-01-25 07:59,FEW,SCT,BKN,1500.00,5000.00,12000.00
PKMJ,2016-06-13 21:59,SCT,SCT,BKN,1600.00,5000.00,30000.00
PKMJ,2016-06-15 21:59,FEW,SCT,BKN,1500.00,5000.00,12000.00
PKMJ,2016-06-27 21:59,FEW,SCT,BKN,1600.00,5000.00,30000.00
PKMJ,2016-07-03 23:59,FEW,SCT,SCT,1500.00,5000.00,12000.00
PKMJ,2016-07-06 06:59,FEW,SCT,BKN,1500.00,5000.00,30000.00
PKMJ,2016-07-27 02:59,FEW,SCT,SCT,1500.00,5000.00,30000.00
PKMJ,2016-07-27 09:59,FEW,SCT,BKN,1500.00,5000.00,12000.00
PKMJ,2016-07-27 20:59,FEW,SCT,BKN,1500.00,5000.00,12000.00
PKMJ,2016-08-15 09:59,FEW,SCT,BKN,1500.00,5000.00,1200.00
PKMJ,2016-08-17 20:59,FEW,SCT,,1600.00,30000.00,
PKMJ,2016-08-22 02:59,FEW,SCT,BKN,1500.00,5000.00,1200.00
PKMJ,2016-08-24 06:59,FEW,SCT,BKN,1500.00,5000.00,30000.00
PKMJ,2016-09-06 10:59,FEW,SCT,BKN,1500.00,5000.00,30000.00
PKMJ,2016-09-11 17:59,FEW,SCT,BKN,1500.00,5000.00,12000.00
PKMJ,2016-09-14 05:59,FEW,SCT,BKN,1500.00,5000.00,30000.00
PKMJ,2016-09-14 11:59,SCT,BKN,OVC,1500.00,5000.00,30000.00
PKMJ,2016-09-15 10:59,FEW,SCT,BKN,1500.00,5000.00,30000.00
PKMJ,2016-09-15 20:59,FEW,SCT,BKN,1500.00,5000.00,30000.00
PKMJ,2016-09-15 21:59,FEW,FEW,BKN,1500.00,5000.00,30000.00
PKMJ,2016-09-16 11:59,FEW,SCT,BKN,1500.00,5000.00,1200.00
PKMJ,2016-09-16 20:59,FEW,SCT,BKN,1500.00,5000.00,30000.00
PKMJ,2016-09-17 18:59,FEW,SCT,BKN,1400.00,4500.00,11000.00
PKMJ,2016-09-17 20:59,SCT,BKN,OVC,1400.00,4500.00,11000.00
PKMJ,2016-09-20 08:59,SCT,BKN,BKN,1500.00,5000.00,12000.00
PKMJ,2016-09-24 16:59,FEW,SCT,SCT,1500.00,5000.00,12000.00
PKMJ,2016-09-24 18:59,FEW,SCT,BKN,1500.00,5000.00,30000.00
PKMJ,2016-09-24 21:59,FEW,SCT,BKN,1500.00,5000.00,30000.00
PKMJ,2016-09-25 00:59,SCT,BKN,OVC,1400.00,5000.00,15000.00
PKMJ,2016-09-25 01:59,SCT,BKN,OVC,1400.00,5000.00,11000.00
PKMJ,2016-09-25 22:59,FEW,SCT,BKN,1500.00,5000.00,30000.00
PKMJ,2016-09-26 01:59,FEW,SCT,BKN,1500.00,5000.00,30000.00
PKMJ,2016-09-26 03:59,FEW,SCT,BKN,1500.00,5000.00,30000.00
PKMJ,2016-09-26 09:59,SCT,BKN,BKN,1500.00,5000.00,12000.00
PKMJ,2016-09-26 20:59,SCT,BKN,OVC,1400.00,4500.00,11000.00
PKMJ,2016-09-28 01:59,SCT,BKN,OVC,1400.00,5000.00,15000.00
PKMJ,2016-09-28 05:59,FEW,SCT,BKN,1400.00,5000.00,12000.00
PKMJ,2016-10-01 18:59,FEW,SCT,BKN,1500.00,5000.00,30000.00
