station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RCQC,2025-06-02 23:51,SCT,BKN,BKN,400.00,800.00,2000.00
RCQC,2025-06-03 00:30,SCT,BKN,BKN,400.00,800.00,2000.00
RCQC,2025-06-03 01:30,SCT,BKN,BKN,400.00,800.00,2000.00
RCQC,2025-06-03 02:30,SCT,BKN,BKN,400.00,800.00,2000.00
RCQC,2025-06-03 03:33,SCT,BKN,BKN,400.00,800.00,2000.00
RCQC,2025-06-03 04:30,SCT,BKN,BKN,400.00,800.00,2000.00
RCQC,2025-06-03 05:30,SCT,BKN,OVC,300.00,600.00,1600.00
RCQC,2025-06-03 06:46,SCT,BKN,OVC,300.00,600.00,1600.00
RCQC,2025-06-03 07:54,SCT,BKN,BKN,300.00,600.00,1600.00
RCQC,2025-06-03 08:30,SCT,BKN,BKN,300.00,600.00,1600.00
RCQC,2025-06-03 09:09,SCT,BKN,BKN,400.00,800.00,2000.00
RCQC,2025-06-03 12:36,SCT,BKN,BKN,400.00,800.00,2000.00
RCQC,2025-06-03 19:52,SCT,BKN,BKN,400.00,800.00,2000.00
RCQC,2025-06-04 00:42,SCT,BKN,BKN,800.00,1600.00,3200.00
RCQC,2025-06-04 01:30,SCT,BKN,BKN,600.00,1600.00,3200.00
RCQC,2025-06-04 02:30,SCT,BKN,BKN,600.00,1600.00,3200.00
RCQC,2025-06-04 03:30,SCT,BKN,BKN,600.00,1600.00,3200.00
RCQC,2025-06-04 04:30,SCT,BKN,BKN,600.00,1600.00,3200.00
RCQC,2025-06-04 05:30,SCT,BKN,BKN,600.00,1200.00,2000.00
RCQC,2025-06-04 06:30,SCT,BKN,BKN,600.00,1600.00,3200.00
RCQC,2025-06-04 07:50,SCT,BKN,BKN,600.00,1200.00,2000.00
RCQC,2025-06-04 08:30,SCT,BKN,BKN,600.00,1600.00,3200.00
RCQC,2025-06-04 10:36,SCT,BKN,BKN,400.00,1000.00,2000.00
RCQC,2025-06-04 11:55,SCT,BKN,BKN,400.00,800.00,1600.00
RCQC,2025-06-04 16:44,SCT,BKN,BKN,600.00,1200.00,2000.00
RCQC,2025-06-04 17:54,SCT,BKN,BKN,600.00,1200.00,2000.00
RCQC,2025-06-04 18:42,SCT,BKN,FEW,400.00,800.00,1000.00
RCQC,2025-06-04 19:33,SCT,BKN,FEW,400.00,800.00,1000.00
RCQC,2025-06-04 20:49,SCT,BKN,FEW,300.00,600.00,1000.00
RCQC,2025-06-04 22:22,SCT,BKN,FEW,300.00,600.00,1000.00
RCQC,2025-06-04 23:22,SCT,BKN,OVC,300.00,600.00,1600.00
RCQC,2025-06-05 00:38,SCT,BKN,OVC,300.00,600.00,1600.00
RCQC,2025-06-05 01:40,SCT,BKN,OVC,300.00,600.00,1600.00
RCQC,2025-06-05 02:42,SCT,BKN,BKN,400.00,1200.00,2500.00
RCQC,2025-06-05 03:30,SCT,BKN,BKN,400.00,1200.00,2500.00
RCQC,2025-06-05 04:45,SCT,BKN,BKN,600.00,1600.00,3000.00
RCQC,2025-06-05 05:30,SCT,BKN,BKN,600.00,1600.00,3000.00
RCQC,2025-06-05 06:30,SCT,BKN,BKN,600.00,1600.00,3000.00
RCQC,2025-06-05 07:48,FEW,BKN,BKN,600.00,2000.00,4000.00
RCQC,2025-06-05 08:30,SCT,BKN,BKN,600.00,1600.00,4000.00
RCQC,2025-06-05 20:49,SCT,BKN,BKN,800.00,1600.00,4000.00
RCQC,2025-06-06 00:48,SCT,BKN,FEW,400.00,800.00,1200.00
RCQC,2025-06-06 01:45,SCT,BKN,FEW,400.00,800.00,1200.00
RCQC,2025-06-06 02:43,BKN,BKN,,300.00,1000.00,
RCQC,2025-06-06 03:47,SCT,BKN,BKN,300.00,800.00,1600.00
RCQC,2025-06-06 04:30,SCT,BKN,BKN,300.00,800.00,1600.00
RCQC,2025-06-06 05:30,SCT,BKN,BKN,300.00,1200.00,2500.00
RCQC,2025-06-06 06:30,SCT,BKN,BKN,600.00,2000.00,5000.00
RCQC,2025-06-06 07:30,SCT,BKN,BKN,600.00,2000.00,5000.00
RCQC,2025-06-06 08:30,FEW,SCT,BKN,1000.00,3000.00,10000.00
RCQC,2025-06-06 10:49,FEW,BKN,,1000.00,20000.00,
RCQC,2025-06-07 00:30,SCT,BKN,,600.00,1600.00,
RCQC,2025-06-07 01:30,SCT,BKN,,600.00,1600.00,
RCQC,2025-06-07 02:30,FEW,SCT,,600.00,1600.00,
RCQC,2025-06-07 03:30,FEW,SCT,,600.00,1600.00,
RCQC,2025-06-07 04:30,FEW,SCT,,600.00,1600.00,
RCQC,2025-06-07 05:30,FEW,SCT,,600.00,1600.00,
RCQC,2025-06-07 06:30,FEW,,,1400.00,,
RCQC,2025-06-07 07:30,FEW,,,1400.00,,
RCQC,2025-06-07 08:30,FEW,,,1400.00,,
RCQC,2025-06-08 00:30,SCT,,,600.00,,
RCQC,2025-06-08 01:30,SCT,,,600.00,,
RCQC,2025-06-08 02:30,SCT,,,800.00,,
RCQC,2025-06-08 03:30,SCT,,,800.00,,
RCQC,2025-06-08 04:30,FEW,FEW,SCT,1000.00,1200.00,4000.00
RCQC,2025-06-08 05:30,FEW,FEW,SCT,1000.00,1200.00,4000.00
RCQC,2025-06-08 06:30,FEW,SCT,BKN,800.00,3000.00,8000.00
RCQC,2025-06-08 07:30,FEW,SCT,BKN,800.00,3000.00,8000.00
RCQC,2025-06-08 08:30,FEW,SCT,,1000.00,10000.00,
RCQC,2025-06-09 00:30,SCT,BKN,,600.00,20000.00,
RCQC,2025-06-09 01:30,SCT,BKN,,600.00,20000.00,
RCQC,2025-06-09 02:30,SCT,BKN,,1000.00,20000.00,
RCQC,2025-06-09 03:30,SCT,BKN,,1000.00,20000.00,
