station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RJCT,2022-07-24 05:15,FEW,SCT,BKN,3000.00,5000.00,24000.00
RJCT,2022-07-27 11:34,FEW,BKN,BKN,600.00,800.00,1000.00
RJCT,2022-07-28 04:12,SCT,SCT,,3000.00,4000.00,
RJCT,2022-07-28 09:09,FEW,SCT,BKN,2000.00,3000.00,4000.00
RJCT,2022-07-29 00:24,FEW,SCT,,2000.00,4000.00,
RJCT,2022-07-31 22:13,FEW,BKN,BKN,2000.00,3000.00,18000.00
RJCT,2022-08-02 00:37,FEW,SCT,BKN,500.00,800.00,1200.00
RJCT,2022-08-02 04:27,FEW,BKN,BKN,1000.00,1500.00,2500.00
RJCT,2022-08-02 10:27,FEW,BKN,BKN,500.00,800.00,1000.00
RJCT,2022-08-03 00:38,FEW,SCT,BKN,400.00,600.00,1000.00
RJCT,2022-08-03 01:40,SCT,BKN,,200.00,500.00,
RJCT,2022-08-03 02:16,FEW,SCT,BKN,400.00,600.00,1000.00
RJCT,2022-08-03 03:23,FEW,BKN,BKN,700.00,1000.00,2000.00
RJCT,2022-08-03 04:44,FEW,BKN,BKN,400.00,700.00,1500.00
RJCT,2022-08-03 07:39,FEW,SCT,BKN,1000.00,1500.00,2000.00
RJCT,2022-08-07 22:21,FEW,BKN,BKN,300.00,400.00,700.00
RJCT,2022-08-08 05:28,FEW,BKN,BKN,1000.00,1500.00,3000.00
RJCT,2022-08-08 06:34,FEW,BKN,BKN,1000.00,1500.00,3000.00
RJCT,2022-08-09 00:26,FEW,SCT,BKN,500.00,4000.00,12000.00
RJCT,2022-08-09 22:15,BKN,BKN,,600.00,8000.00,
RJCT,2022-08-09 23:40,SCT,BKN,BKN,800.00,5000.00,10000.00
RJCT,2022-08-10 17:02,SCT,BKN,,800.00,1000.00,
RJCT,2022-08-10 18:17,FEW,SCT,BKN,800.00,5000.00,8000.00
RJCT,2022-08-15 22:09,BKN,BKN,,300.00,500.00,
RJCT,2022-08-16 01:36,SCT,BKN,BKN,300.00,500.00,800.00
RJCT,2022-08-16 06:25,SCT,SCT,BKN,1000.00,1500.00,6000.00
RJCT,2022-08-18 05:14,FEW,BKN,BKN,800.00,2000.00,5000.00
RJCT,2022-08-20 00:21,FEW,BKN,BKN,1000.00,9000.00,10000.00
RJCT,2022-08-23 02:30,FEW,SCT,BKN,500.00,800.00,1000.00
RJCT,2022-08-23 03:15,FEW,SCT,BKN,300.00,500.00,800.00
RJCT,2022-08-23 04:33,FEW,BKN,BKN,500.00,1000.00,3500.00
RJCT,2022-08-23 05:36,FEW,SCT,BKN,500.00,3000.00,4000.00
RJCT,2022-08-23 08:03,FEW,SCT,BKN,1500.00,5000.00,20000.00
RJCT,2022-08-23 22:27,FEW,,,4000.00,,
RJCT,2022-08-24 02:48,FEW,SCT,,4000.00,15000.00,
RJCT,2022-08-24 23:10,FEW,BKN,,2000.00,3000.00,
