station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RJFC,2024-07-12 23:39,FEW,SCT,BKN,7000.00,9000.00,10000.00
RJFC,2024-07-13 00:43,FEW,SCT,BKN,400.00,700.00,1100.00
RJFC,2024-07-13 01:24,FEW,SCT,BKN,700.00,4800.00,5000.00
RJFC,2024-07-13 06:15,FEW,SCT,BKN,2600.00,5000.00,6000.00
RJFC,2024-07-13 07:41,FEW,SCT,BKN,600.00,800.00,1000.00
RJFC,2024-07-13 08:45,FEW,BKN,OVC,600.00,1200.00,1500.00
RJFC,2024-07-13 09:45,SCT,BKN,BKN,1500.00,4700.00,5000.00
RJFC,2024-07-13 10:12,FEW,SCT,BKN,5000.00,8000.00,10000.00
RJFC,2024-07-14 02:09,FEW,SCT,,2900.00,5000.00,
RJFC,2024-07-15 01:19,FEW,SCT,,2600.00,3700.00,
RJFC,2024-07-15 03:28,FEW,BKN,BKN,3600.00,6000.00,7000.00
RJFC,2024-07-15 04:43,FEW,SCT,BKN,1400.00,5000.00,6000.00
RJFC,2024-07-15 05:43,FEW,SCT,BKN,900.00,1000.00,1100.00
RJFC,2024-07-15 06:07,FEW,SCT,BKN,800.00,1000.00,5000.00
RJFC,2024-07-16 01:31,BKN,,,900.00,,
RJFC,2024-07-16 02:21,FEW,SCT,BKN,800.00,1100.00,1700.00
RJFC,2024-07-16 05:31,FEW,BKN,OVC,2000.00,6000.00,7000.00
RJFC,2024-07-18 04:40,FEW,SCT,///,4400.00,7000.00,
RJFC,2024-07-18 05:10,FEW,///,,5000.00,,
RJFC,2024-07-20 05:45,SCT,SCT,BKN,1300.00,2100.00,2600.00
RJFC,2024-07-20 06:41,FEW,OVC,,1200.00,5000.00,
RJFC,2024-07-20 07:22,FEW,BKN,BKN,1300.00,1900.00,2400.00
RJFC,2024-07-20 08:33,FEW,SCT,BKN,1000.00,2300.00,3700.00
RJFC,2024-07-23 03:23,FEW,,,3000.00,,
RJFC,2024-07-23 07:33,SCT,SCT,BKN,1900.00,2200.00,2300.00
RJFC,2024-07-23 10:32,FEW,SCT,BKN,1600.00,2700.00,4800.00
RJFC,2024-07-24 00:45,FEW,BKN,BKN,1300.00,1900.00,2400.00
RJFC,2024-07-24 01:45,FEW,SCT,BKN,2300.00,2900.00,4200.00
RJFC,2024-07-24 03:30,FEW,SCT,BKN,1300.00,3300.00,4000.00
RJFC,2024-07-24 21:43,FEW,SCT,BKN,700.00,900.00,5000.00
RJFC,2024-07-25 05:10,FEW,SCT,BKN,600.00,2100.00,3700.00
RJFC,2024-07-25 06:36,SCT,BKN,BKN,1100.00,1600.00,2800.00
RJFC,2024-07-25 07:43,FEW,BKN,BKN,800.00,1000.00,1500.00
RJFC,2024-07-25 08:40,FEW,SCT,BKN,1700.00,9000.00,10000.00
RJFC,2024-07-25 09:07,FEW,SCT,BKN,1600.00,10000.00,11000.00
RJFC,2024-07-25 21:44,FEW,SCT,BKN,1300.00,3600.00,4400.00
RJFC,2024-07-26 01:16,FEW,BKN,BKN,600.00,1600.00,2300.00
RJFC,2024-07-26 04:44,FEW,SCT,BKN,1100.00,1900.00,2300.00
RJFC,2024-07-26 09:26,FEW,SCT,BKN,1300.00,1900.00,3300.00
RJFC,2024-07-29 06:16,FEW,OVC,,1900.00,2100.00,
RJFC,2024-07-30 21:10,FEW,,,3100.00,,
