station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RJFY,2016-01-24 00:50,FEW,BKN,BKN,300.00,1000.00,2000.00
RJFY,2016-01-24 08:50,FEW,SCT,BKN,300.00,1000.00,2500.00
RJFY,2016-01-28 23:50,FEW,SCT,BKN,200.00,500.00,1200.00
RJFY,2016-03-13 16:50,FEW,OVC,,1500.00,5000.00,
RJFY,2016-03-18 02:50,FEW,SCT,OVC,200.00,3000.00,4000.00
RJFY,2016-04-07 14:50,FEW,SCT,BKN,600.00,1000.00,2000.00
RJFY,2016-04-13 11:50,FEW,BKN,BKN,200.00,800.00,2500.00
RJFY,2016-04-21 06:50,FEW,SCT,BKN,200.00,800.00,1000.00
RJFY,2016-04-21 08:50,FEW,SCT,OVC,200.00,800.00,1000.00
RJFY,2016-04-27 06:50,FEW,SCT,BKN,200.00,800.00,1200.00
RJFY,2016-05-01 10:50,FEW,BKN,,3000.00,23000.00,
RJFY,2016-05-10 04:50,FEW,BKN,BKN,200.00,500.00,1000.00
RJFY,2016-05-24 09:50,FEW,SCT,BKN,300.00,500.00,2000.00
RJFY,2016-06-04 05:50,FEW,BKN,BKN,500.00,800.00,2500.00
RJFY,2016-06-12 15:50,FEW,SCT,BKN,100.00,500.00,2000.00
RJFY,2016-06-12 21:50,FEW,SCT,BKN,500.00,1500.00,2500.00
RJFY,2016-06-14 17:50,FEW,,,100.00,,
RJFY,2016-06-21 04:50,FEW,SCT,BKN,600.00,1000.00,2000.00
RJFY,2016-06-27 09:50,FEW,SCT,BKN,200.00,900.00,1500.00
RJFY,2016-06-27 15:50,FEW,BKN,OVC,200.00,500.00,1500.00
RJFY,2016-06-28 00:50,FEW,SCT,BKN,100.00,400.00,1000.00
RJFY,2016-06-28 21:50,FEW,SCT,BKN,200.00,1000.00,2000.00
RJFY,2016-06-28 22:50,FEW,SCT,BKN,500.00,1000.00,2000.00
RJFY,2016-06-29 20:50,FEW,SCT,BKN,500.00,1000.00,2000.00
RJFY,2016-07-08 02:50,FEW,BKN,OVC,600.00,1000.00,2000.00
RJFY,2016-07-09 19:50,FEW,BKN,BKN,200.00,1000.00,2500.00
RJFY,2016-07-10 03:50,FEW,SCT,BKN,500.00,800.00,2000.00
RJFY,2016-07-10 17:50,FEW,BKN,OVC,300.00,800.00,2000.00
RJFY,2016-07-20 07:50,SCT,BKN,OVC,300.00,1000.00,2000.00
RJFY,2016-07-21 17:50,SCT,BKN,,200.00,400.00,
RJFY,2016-07-24 02:50,FEW,BKN,FEW,1000.00,2000.00,2000.00
RJFY,2016-08-05 16:50,FEW,SCT,BKN,1000.00,1500.00,2500.00
RJFY,2016-08-05 20:50,FEW,SCT,FEW,100.00,1500.00,1500.00
RJFY,2016-08-10 01:50,FEW,,,3000.00,,
RJFY,2016-09-03 03:50,FEW,BKN,FEW,1000.00,3000.00,3000.00
RJFY,2016-09-05 17:50,FEW,BKN,BKN,200.00,500.00,1000.00
RJFY,2016-09-11 16:50,FEW,BKN,,400.00,2000.00,
RJFY,2016-09-12 15:50,FEW,SCT,BKN,500.00,1000.00,2000.00
RJFY,2016-09-19 08:50,FEW,SCT,BKN,300.00,1500.00,3000.00
RJFY,2016-10-07 04:50,FEW,SCT,,1000.00,2000.00,
RJFY,2016-10-26 21:50,FEW,BKN,OVC,100.00,300.00,2000.00
RJFY,2016-11-15 19:50,FEW,,,100.00,,
RJFY,2016-11-20 01:50,FEW,BKN,BKN,100.00,6000.00,22000.00
RJFY,2016-11-20 10:50,FEW,SCT,BKN,100.00,1000.00,6000.00
RJFY,2016-11-27 00:50,FEW,SCT,BKN,300.00,800.00,1500.00
RJFY,2016-12-17 02:50,FEW,,,3000.00,,
RJFY,2016-12-27 12:50,FEW,SCT,,3000.00,6000.00,
RJFY,2017-01-08 22:50,FEW,SCT,,3000.00,4000.00,
RJFY,2017-01-22 01:50,FEW,BKN,BKN,2000.00,3000.00,6000.00
RJFY,2017-01-29 06:50,FEW,SCT,BKN,500.00,2000.00,8000.00
