station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RJKN,2022-07-24 04:38,FEW,,,1300.00,,
RJKN,2022-07-25 01:38,NCD,,,,,
RJKN,2022-07-25 09:45,///,,,,,
RJKN,2022-07-26 01:43,FEW,SCT,,2200.00,2700.00,
RJKN,2022-07-26 02:20,FEW,SCT,,2100.00,2500.00,
RJKN,2022-07-26 04:42,FEW,SCT,BKN,3000.00,3400.00,4600.00
RJKN,2022-07-27 04:12,FEW,///,,22000.00,,
RJKN,2022-07-27 07:05,SCT,BKN,BKN,2000.00,2200.00,2400.00
RJKN,2022-07-27 22:26,FEW,SCT,BKN,1100.00,2000.00,3200.00
RJKN,2022-07-28 01:28,FEW,SCT,BKN,2100.00,3600.00,16000.00
RJKN,2022-07-28 02:07,FEW,SCT,BKN,1900.00,3300.00,4800.00
RJKN,2022-07-28 04:18,FEW,SCT,BKN,2000.00,2600.00,4500.00
RJKN,2022-07-28 06:37,SCT,SCT,BKN,1900.00,3200.00,4300.00
RJKN,2022-07-30 00:43,FEW,BKN,BKN,1100.00,1400.00,17000.00
RJKN,2022-07-30 03:20,FEW,BKN,BKN,1700.00,2900.00,3500.00
RJKN,2022-07-30 07:42,FEW,SCT,BKN,1100.00,1700.00,14000.00
RJKN,2022-07-30 10:45,SCT,SCT,BKN,1400.00,2700.00,3500.00
RJKN,2022-07-31 00:27,FEW,SCT,BKN,2000.00,2600.00,16000.00
RJKN,2022-07-31 05:45,FEW,BKN,OVC,1000.00,1600.00,3800.00
RJKN,2022-07-31 06:16,FEW,SCT,BKN,1300.00,2400.00,4200.00
RJKN,2022-07-31 09:42,FEW,BKN,BKN,800.00,2100.00,3200.00
RJKN,2022-07-31 10:25,FEW,BKN,BKN,1400.00,3200.00,4400.00
RJKN,2022-07-31 23:11,SCT,BKN,BKN,1300.00,7000.00,9000.00
RJKN,2022-08-01 05:44,FEW,SCT,BKN,500.00,2100.00,2600.00
RJKN,2022-08-02 01:30,FEW,SCT,,2700.00,3600.00,
RJKN,2022-08-03 02:26,SCT,SCT,BKN,2300.00,2900.00,3500.00
RJKN,2022-08-03 03:41,FEW,BKN,BKN,1800.00,3300.00,4000.00
RJKN,2022-08-03 04:35,BKN,BKN,OVC,1100.00,1500.00,4800.00
RJKN,2022-08-03 05:10,SCT,BKN,BKN,1100.00,1700.00,3200.00
RJKN,2022-08-04 01:41,FEW,SCT,,1500.00,2500.00,
RJKN,2022-08-04 02:26,FEW,SCT,,3700.00,4100.00,
RJKN,2022-08-06 05:40,FEW,SCT,///,22000.00,23000.00,
RJKN,2022-08-06 06:40,BKN,OVC,///,21000.00,22000.00,
