station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RJSH,2016-01-02 10:50,FEW,BKN,,4000.00,22000.00,
RJSH,2016-01-24 11:50,FEW,BKN,BKN,3000.00,8000.00,15000.00
RJSH,2016-01-24 15:50,FEW,BKN,BKN,800.00,1500.00,3000.00
RJSH,2016-02-04 17:50,FEW,SCT,BKN,1000.00,2000.00,4000.00
RJSH,2016-02-09 18:50,FEW,SCT,BKN,800.00,1500.00,3000.00
RJSH,2016-02-27 17:50,FEW,BKN,OVC,800.00,1000.00,1500.00
RJSH,2016-04-03 20:50,FEW,SCT,BKN,1000.00,2000.00,3000.00
RJSH,2016-04-14 08:50,FEW,BKN,BKN,300.00,2000.00,4000.00
RJSH,2016-04-28 07:50,SCT,BKN,OVC,300.00,800.00,1200.00
RJSH,2016-04-29 09:50,FEW,BKN,,2500.00,3500.00,
RJSH,2016-04-30 02:50,FEW,BKN,,2000.00,4000.00,
RJSH,2016-05-11 00:50,SCT,BKN,OVC,200.00,400.00,600.00
RJSH,2016-05-11 15:50,FEW,BKN,,500.00,6000.00,
RJSH,2016-05-29 20:50,FEW,BKN,BKN,500.00,1000.00,11000.00
RJSH,2016-06-08 21:50,FEW,BKN,BKN,3000.00,5000.00,9000.00
RJSH,2016-06-08 22:50,FEW,BKN,BKN,3000.00,9000.00,12000.00
RJSH,2016-06-10 19:50,FEW,BKN,,800.00,1000.00,
RJSH,2016-06-17 04:50,FEW,SCT,BKN,1200.00,2000.00,3000.00
RJSH,2016-06-23 20:50,SCT,BKN,BKN,100.00,200.00,300.00
RJSH,2016-06-28 09:50,SCT,BKN,,100.00,200.00,
RJSH,2016-06-28 16:50,VV ,,,0.00,,
RJSH,2016-06-29 10:50,FEW,BKN,BKN,0.00,100.00,300.00
RJSH,2016-06-30 00:50,FEW,BKN,,0.00,23000.00,
RJSH,2016-07-05 20:50,FEW,SCT,BKN,800.00,1200.00,2000.00
RJSH,2016-07-25 16:50,FEW,BKN,OVC,0.00,100.00,200.00
RJSH,2016-07-29 07:50,FEW,SCT,BKN,1000.00,2000.00,3500.00
RJSH,2016-07-29 08:50,FEW,SCT,BKN,1000.00,2000.00,3500.00
RJSH,2016-07-30 05:50,FEW,BKN,FEW,2000.00,3000.00,3000.00
RJSH,2016-08-07 13:50,FEW,,,3000.00,,
RJSH,2016-08-08 13:50,SCT,BKN,BKN,200.00,800.00,3000.00
RJSH,2016-08-08 21:50,SCT,OVC,,100.00,300.00,
RJSH,2016-08-22 12:50,SCT,BKN,OVC,100.00,300.00,500.00
RJSH,2016-08-26 02:50,FEW,SCT,FEW,1500.00,3000.00,3000.00
RJSH,2016-08-27 23:50,FEW,BKN,BKN,800.00,1000.00,2000.00
RJSH,2016-08-28 13:50,SCT,OVC,,200.00,500.00,
RJSH,2016-08-28 18:50,FEW,BKN,OVC,0.00,200.00,400.00
RJSH,2016-08-29 22:50,FEW,BKN,OVC,100.00,200.00,300.00
RJSH,2016-08-30 04:50,FEW,BKN,OVC,0.00,200.00,300.00
RJSH,2016-09-01 10:50,FEW,OVC,,0.00,200.00,
RJSH,2016-09-01 22:50,SCT,OVC,,0.00,100.00,
RJSH,2016-09-02 18:50,FEW,BKN,OVC,100.00,300.00,500.00
RJSH,2016-09-05 00:50,FEW,SCT,BKN,200.00,400.00,600.00
RJSH,2016-09-09 04:50,FEW,SCT,BKN,600.00,800.00,1200.00
RJSH,2016-09-23 18:50,FEW,SCT,,0.00,100.00,
RJSH,2016-10-05 13:50,FEW,BKN,BKN,300.00,1200.00,2000.00
RJSH,2016-10-25 11:50,FEW,BKN,,2000.00,4000.00,
RJSH,2016-10-25 17:50,FEW,BKN,BKN,800.00,4000.00,8000.00
RJSH,2016-10-31 02:50,FEW,SCT,BKN,3000.00,4000.00,7000.00
RJSH,2016-12-14 15:50,FEW,SCT,BKN,1500.00,3000.00,4000.00
RJSH,2016-12-23 17:50,FEW,BKN,BKN,300.00,600.00,1000.00
RJSH,2016-12-27 04:50,FEW,SCT,BKN,500.00,1500.00,2500.00
RJSH,2017-01-14 21:50,FEW,SCT,BKN,800.00,1500.00,2500.00
RJSH,2017-01-18 22:50,FEW,BKN,,800.00,2000.00,
RJSH,2017-01-21 01:50,FEW,SCT,BKN,600.00,1500.00,3500.00
RJSH,2017-01-21 04:50,FEW,BKN,BKN,1500.00,2500.00,4000.00
RJSH,2017-01-30 02:50,FEW,SCT,OVC,200.00,500.00,800.00
RJSH,2017-01-30 15:50,FEW,SCT,BKN,3000.00,4000.00,15000.00
RJSH,2017-02-01 08:50,FEW,SCT,BKN,800.00,1200.00,2000.00
RJSH,2017-02-01 21:50,FEW,SCT,BKN,800.00,2000.00,3000.00
RJSH,2017-02-01 22:50,FEW,BKN,BKN,800.00,2000.00,3000.00
RJSH,2017-02-02 05:50,FEW,BKN,BKN,800.00,2000.00,3000.00
RJSH,2017-02-02 13:50,FEW,BKN,BKN,800.00,2000.00,3000.00
RJSH,2017-02-05 12:50,FEW,BKN,OVC,2000.00,4000.00,7000.00
RJSH,2017-02-06 18:50,SCT,BKN,BKN,1000.00,2000.00,7000.00
RJSH,2017-02-07 15:50,FEW,SCT,BKN,500.00,800.00,2000.00
RJSH,2017-02-25 08:50,FEW,BKN,BKN,2000.00,4000.00,6000.00
