station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RJTE,2016-01-02 18:50,FEW,BKN,,2000.00,15000.00,
RJTE,2016-03-22 07:50,FEW,,,2000.00,,
RJTE,2016-04-17 17:50,SCT,BKN,,1000.00,23000.00,
RJTE,2016-04-28 00:50,FEW,SCT,BKN,600.00,1000.00,1500.00
RJTE,2016-05-03 21:50,FEW,BKN,BKN,500.00,1000.00,1500.00
RJTE,2016-05-10 14:50,BKN,OVC,FEW,400.00,2500.00,2500.00
RJTE,2016-05-26 22:50,SCT,BKN,OVC,600.00,800.00,2000.00
RJTE,2016-05-31 01:50,BKN,BKN,,1200.00,3000.00,
RJTE,2016-06-09 19:50,BKN,OVC,,100.00,500.00,
RJTE,2016-06-21 04:50,FEW,BKN,BKN,300.00,600.00,1500.00
RJTE,2016-06-22 23:50,SCT,OVC,,600.00,1500.00,
RJTE,2016-06-24 19:50,FEW,BKN,BKN,300.00,600.00,1500.00
RJTE,2016-06-30 11:50,BKN,SCT,,300.00,15000.00,
RJTE,2016-07-06 07:50,FEW,SCT,,500.00,800.00,
RJTE,2016-07-13 00:50,SCT,BKN,OVC,600.00,1000.00,1500.00
RJTE,2016-08-21 20:50,FEW,BKN,BKN,300.00,800.00,1200.00
RJTE,2016-08-29 19:50,FEW,BKN,,1000.00,1500.00,
RJTE,2016-09-13 01:50,FEW,BKN,FEW,500.00,1500.00,1500.00
RJTE,2016-11-15 00:50,SCT,BKN,BKN,800.00,1500.00,15000.00
RJTE,2016-11-28 01:50,FEW,BKN,BKN,2000.00,8000.00,23000.00
RJTE,2016-12-13 13:50,SCT,SCT,BKN,700.00,1200.00,3000.00
RJTE,2017-01-12 07:50,FEW,,,3000.00,,
RJTE,2017-01-16 06:50,FEW,,,3000.00,,
RJTE,2017-02-07 08:50,FEW,BKN,,3000.00,23000.00,
RJTE,2017-02-22 19:50,FEW,SCT,OVC,1500.00,2000.00,4500.00
RJTE,2017-02-23 03:50,SCT,BKN,BKN,800.00,1200.00,5000.00
RJTE,2017-03-01 14:50,FEW,BKN,OVC,800.00,3000.00,5000.00
RJTE,2017-03-02 05:50,FEW,SCT,BKN,700.00,1000.00,1500.00
RJTE,2017-03-07 08:50,FEW,SCT,BKN,3000.00,6000.00,8000.00
RJTE,2017-03-13 11:50,FEW,BKN,BKN,2500.00,5000.00,12000.00
RJTE,2017-03-14 10:50,FEW,BKN,,1500.00,2000.00,
RJTE,2017-03-24 11:50,FEW,BKN,BKN,3000.00,8000.00,10000.00
RJTE,2017-03-25 23:50,FEW,BKN,BKN,500.00,800.00,1500.00
RJTE,2017-03-26 17:50,FEW,SCT,BKN,500.00,1000.00,2500.00
RJTE,2017-03-28 14:50,FEW,,,3000.00,,
RJTE,2017-04-08 19:50,FEW,BKN,BKN,300.00,600.00,1000.00
RJTE,2017-05-10 01:50,FEW,BKN,BKN,300.00,600.00,1000.00
RJTE,2017-05-25 21:50,FEW,BKN,BKN,400.00,500.00,3000.00
RJTE,2017-06-10 13:50,FEW,BKN,,2000.00,23000.00,
RJTE,2017-06-24 20:50,FEW,BKN,BKN,500.00,3500.00,8000.00
RJTE,2017-06-25 12:50,BKN,BKN,,600.00,8000.00,
RJTE,2017-06-27 06:50,BKN,SCT,BKN,1300.00,12000.00,23000.00
RJTE,2017-07-09 20:50,BKN,SCT,,500.00,1000.00,
RJTE,2017-08-03 18:50,SCT,BKN,BKN,300.00,500.00,1000.00
RJTE,2017-08-12 01:50,FEW,SCT,BKN,700.00,1000.00,2000.00
RJTE,2017-08-26 02:50,FEW,BKN,,2000.00,23000.00,
RJTE,2017-08-26 12:50,FEW,BKN,,700.00,1200.00,
RJTE,2017-09-04 14:50,FEW,BKN,BKN,500.00,800.00,1500.00
RJTE,2017-09-04 22:50,FEW,BKN,BKN,500.00,1000.00,3000.00
RJTE,2017-09-06 05:50,SCT,BKN,BKN,600.00,1000.00,4000.00
RJTE,2017-09-17 16:50,FEW,SCT,BKN,800.00,1400.00,2000.00
RJTE,2017-10-13 20:50,FEW,BKN,BKN,600.00,1000.00,1500.00
RJTE,2017-10-13 22:50,SCT,BKN,BKN,600.00,900.00,1500.00
RJTE,2017-10-19 00:50,FEW,BKN,BKN,600.00,1000.00,2000.00
RJTE,2017-10-22 07:50,FEW,BKN,BKN,300.00,700.00,1200.00
RJTE,2017-10-22 15:50,FEW,BKN,BKN,300.00,700.00,1200.00
RJTE,2017-10-28 16:50,SCT,BKN,BKN,700.00,1000.00,2000.00
RJTE,2017-11-04 23:50,FEW,BKN,,3000.00,6000.00,
RJTE,2017-11-13 16:50,FEW,BKN,,800.00,3000.00,
RJTE,2017-11-20 06:50,FEW,,,2000.00,,
RJTE,2018-02-01 07:50,FEW,BKN,BKN,600.00,1000.00,8000.00
RJTE,2018-02-06 19:50,FEW,SCT,,3000.00,6000.00,
RJTE,2018-03-16 16:50,FEW,SCT,BKN,800.00,1200.00,2000.00
RJTE,2018-04-07 10:50,FEW,BKN,BKN,2500.00,12000.00,23000.00
RJTE,2018-04-15 00:50,FEW,SCT,BKN,400.00,800.00,1200.00
RJTE,2018-04-17 22:50,FEW,BKN,BKN,500.00,800.00,1500.00
RJTE,2018-05-03 01:50,SCT,BKN,BKN,900.00,1500.00,15000.00
RJTE,2018-05-08 19:50,SCT,BKN,BKN,500.00,800.00,1500.00
RJTE,2018-05-10 03:50,BKN,FEW,,2000.00,2000.00,
RJTE,2018-05-13 11:50,FEW,BKN,BKN,500.00,800.00,1500.00
RJTE,2018-05-18 23:50,FEW,SCT,BKN,500.00,1000.00,10000.00
RJTE,2018-05-23 03:50,FEW,SCT,BKN,300.00,500.00,1000.00
RJTE,2018-05-30 21:50,SCT,BKN,BKN,1200.00,15000.00,23000.00
RJTE,2018-06-20 03:50,FEW,BKN,BKN,300.00,800.00,1200.00
RJTE,2018-06-27 03:50,FEW,BKN,,800.00,23000.00,
RJTE,2018-07-06 13:50,FEW,SCT,BKN,600.00,1000.00,10000.00
RJTE,2018-07-14 17:50,SCT,BKN,,200.00,500.00,
RJTE,2018-07-28 16:50,FEW,SCT,BKN,500.00,1000.00,1500.00
RJTE,2018-07-30 11:50,BKN,SCT,BKN,700.00,6000.00,23000.00
RJTE,2018-07-30 12:50,SCT,,,700.00,,
RJTE,2018-08-20 21:50,SCT,BKN,BKN,200.00,800.00,1500.00
RJTE,2018-08-28 14:50,FEW,BKN,BKN,500.00,700.00,1000.00
RJTE,2018-09-03 19:50,FEW,SCT,BKN,300.00,800.00,1200.00
RJTE,2018-09-04 16:50,FEW,BKN,BKN,2500.00,3500.00,10000.00
RJTE,2018-09-04 22:50,FEW,SCT,BKN,500.00,1000.00,1500.00
RJTE,2018-09-09 15:50,FEW,SCT,BKN,300.00,800.00,1200.00
RJTE,2018-09-30 04:50,FEW,SCT,BKN,500.00,800.00,1500.00
RJTE,2018-09-30 15:50,SCT,BKN,BKN,500.00,1000.00,1500.00
RJTE,2018-10-05 07:50,FEW,SCT,BKN,600.00,1000.00,1500.00
RJTE,2018-10-13 11:50,FEW,BKN,BKN,600.00,1000.00,6000.00
RJTE,2018-11-06 02:50,FEW,SCT,BKN,500.00,1000.00,1400.00
RJTE,2018-11-12 19:50,FEW,BKN,BKN,500.00,1500.00,6000.00
RJTE,2018-11-21 12:50,SCT,BKN,BKN,800.00,1400.00,2000.00
RJTE,2018-12-11 13:50,FEW,SCT,BKN,500.00,800.00,1200.00
RJTE,2018-12-17 00:50,SCT,BKN,BKN,500.00,1200.00,2000.00
RJTE,2018-12-19 15:50,FEW,BKN,,2000.00,23000.00,
RJTE,2018-12-30 11:50,FEW,,,8000.00,,
RJTE,2019-01-20 11:50,FEW,SCT,,3000.00,4000.00,
RJTE,2019-02-05 18:50,FEW,BKN,BKN,300.00,500.00,1200.00
RJTE,2019-02-20 14:50,FEW,BKN,,1500.00,4000.00,
RJTE,2019-04-01 12:50,FEW,BKN,,3000.00,6000.00,
RJTE,2019-04-14 19:50,FEW,BKN,BKN,500.00,800.00,1200.00
RJTE,2019-04-29 15:50,FEW,BKN,BKN,400.00,800.00,1200.00
RJTE,2019-04-30 19:50,FEW,BKN,BKN,500.00,800.00,1500.00
RJTE,2019-05-14 05:50,FEW,SCT,BKN,500.00,800.00,1200.00
RJTE,2019-05-21 17:50,FEW,BKN,BKN,800.00,1200.00,2000.00
RJTE,2019-05-27 23:50,FEW,BKN,BKN,2000.00,12000.00,20000.00
RJTE,2019-06-07 06:50,FEW,SCT,BKN,800.00,1000.00,1200.00
RJTE,2019-06-23 16:50,FEW,BKN,BKN,500.00,1200.00,6000.00
RJTE,2019-06-29 17:50,FEW,BKN,BKN,500.00,800.00,1500.00
RJTE,2019-07-16 21:50,SCT,BKN,FEW,700.00,1500.00,1500.00
RJTE,2019-07-18 20:50,FEW,BKN,BKN,800.00,1000.00,8000.00
RJTE,2019-07-26 18:50,SCT,BKN,,800.00,1400.00,
RJTE,2019-08-15 23:50,SCT,BKN,,600.00,1200.00,
RJTE,2019-09-07 02:50,SCT,BKN,,2000.00,6000.00,
RJTE,2019-09-16 00:50,SCT,BKN,BKN,300.00,600.00,1500.00
RJTE,2019-10-12 02:50,FEW,BKN,OVC,300.00,800.00,1200.00
RJTE,2019-10-18 20:50,FEW,BKN,BKN,500.00,800.00,1200.00
RJTE,2019-11-13 21:50,SCT,BKN,BKN,800.00,1500.00,3000.00
RJTE,2019-11-22 04:50,FEW,SCT,BKN,500.00,800.00,1200.00
RJTE,2019-11-22 22:50,FEW,SCT,BKN,800.00,1200.00,2000.00
RJTE,2019-11-23 11:50,SCT,BKN,,500.00,800.00,
RJTE,2019-11-23 16:50,SCT,BKN,BKN,400.00,800.00,1500.00
RJTE,2019-11-27 04:50,FEW,BKN,BKN,300.00,600.00,1200.00
RJTE,2019-11-27 11:50,FEW,SCT,BKN,300.00,600.00,1500.00
RJTE,2019-12-11 14:50,FEW,SCT,BKN,800.00,1000.00,23000.00
RJTE,2019-12-16 21:50,SCT,BKN,BKN,800.00,1200.00,4000.00
RJTE,2020-01-08 06:50,FEW,,,1500.00,,
RJTE,2020-01-23 16:50,FEW,SCT,BKN,500.00,800.00,2500.00
RJTE,2020-02-16 17:50,BKN,BKN,,1500.00,3500.00,
RJTE,2020-02-21 19:50,FEW,BKN,FEW,800.00,1200.00,1200.00
RJTE,2020-02-25 15:50,SCT,BKN,,800.00,1500.00,
RJTE,2020-04-13 11:50,FEW,BKN,BKN,800.00,1500.00,2500.00
RJTE,2020-04-17 21:50,FEW,SCT,BKN,300.00,800.00,1200.00
RJTE,2020-04-26 04:50,FEW,BKN,,3000.00,23000.00,
RJTE,2020-05-10 14:50,FEW,BKN,BKN,200.00,500.00,2000.00
