station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RJTK,2022-07-25 07:11,FEW,BKN,BKN,1500.00,2000.00,23000.00
RJTK,2022-07-25 21:42,FEW,SCT,FEW,600.00,2000.00,3000.00
RJTK,2022-07-25 22:33,FEW,SCT,FEW,1000.00,1500.00,3000.00
RJTK,2022-07-25 23:37,FEW,BKN,BKN,600.00,900.00,1500.00
RJTK,2022-07-26 00:15,FEW,SCT,FEW,1500.00,2500.00,3000.00
RJTK,2022-07-26 01:15,FEW,SCT,FEW,2000.00,2500.00,3000.00
RJTK,2022-07-26 03:33,FEW,SCT,BKN,1000.00,18000.00,25000.00
RJTK,2022-07-26 05:35,FEW,BKN,BKN,1000.00,3500.00,25000.00
RJTK,2022-07-26 06:23,FEW,SCT,BKN,800.00,3500.00,25000.00
RJTK,2022-07-26 07:39,FEW,SCT,BKN,800.00,1500.00,4000.00
RJTK,2022-07-28 00:54,FEW,BKN,,2500.00,24000.00,
RJTK,2022-08-03 09:25,FEW,SCT,BKN,3000.00,15000.00,18000.00
RJTK,2022-08-03 22:38,FEW,FEW,SCT,2000.00,2500.00,3000.00
RJTK,2022-08-03 23:43,FEW,FEW,BKN,1500.00,3000.00,3500.00
RJTK,2022-08-04 00:36,FEW,SCT,FEW,700.00,900.00,2500.00
RJTK,2022-08-04 01:08,FEW,BKN,FEW,700.00,1200.00,2000.00
RJTK,2022-08-04 03:36,FEW,BKN,BKN,500.00,700.00,800.00
RJTK,2022-08-04 04:43,FEW,SCT,FEW,800.00,900.00,2000.00
RJTK,2022-08-04 05:40,FEW,SCT,FEW,800.00,1000.00,2000.00
RJTK,2022-08-04 06:50,FEW,SCT,BKN,600.00,1000.00,1500.00
RJTK,2022-08-04 07:40,FEW,BKN,BKN,600.00,1000.00,1500.00
RJTK,2022-08-04 22:20,FEW,BKN,BKN,1000.00,1500.00,3500.00
RJTK,2022-08-05 00:32,FEW,BKN,BKN,1200.00,2000.00,15000.00
RJTK,2022-08-05 01:40,FEW,SCT,BKN,1500.00,2000.00,15000.00
RJTK,2022-08-05 02:16,FEW,BKN,BKN,1500.00,2500.00,15000.00
RJTK,2022-08-05 03:07,FEW,BKN,BKN,1500.00,2500.00,15000.00
RJTK,2022-08-05 04:49,FEW,SCT,,2000.00,3000.00,
RJTK,2022-08-05 06:03,FEW,BKN,,2000.00,2500.00,
