station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RJTU,2022-07-25 22:39,FEW,SCT,BKN,900.00,1000.00,1500.00
RJTU,2022-07-25 23:34,FEW,SCT,BKN,700.00,1500.00,4000.00
RJTU,2022-07-26 00:36,FEW,SCT,BKN,700.00,4000.00,7000.00
RJTU,2022-07-26 02:33,FEW,BKN,FEW,600.00,1200.00,3000.00
RJTU,2022-07-26 03:26,FEW,BKN,BKN,800.00,5000.00,12000.00
RJTU,2022-07-26 04:18,FEW,BKN,BKN,800.00,1200.00,12000.00
RJTU,2022-07-27 00:35,FEW,SCT,BKN,500.00,1000.00,2300.00
RJTU,2022-07-27 01:34,FEW,SCT,BKN,1000.00,4000.00,23000.00
RJTU,2022-07-27 05:29,FEW,SCT,FEW,1500.00,2500.00,3000.00
RJTU,2022-07-27 06:48,FEW,FEW,SCT,1500.00,2000.00,2500.00
RJTU,2022-07-27 07:10,FEW,FEW,BKN,1500.00,2000.00,2500.00
RJTU,2022-07-27 22:05,FEW,BKN,,300.00,1300.00,
RJTU,2022-07-27 23:30,FEW,SCT,BKN,1000.00,1500.00,2500.00
RJTU,2022-07-28 01:25,FEW,SCT,BKN,1200.00,1500.00,3000.00
RJTU,2022-07-28 05:16,FEW,FEW,SCT,2000.00,3000.00,3500.00
RJTU,2022-07-28 06:41,FEW,SCT,BKN,1000.00,1500.00,2000.00
RJTU,2022-07-28 07:20,FEW,SCT,BKN,1000.00,2000.00,3000.00
RJTU,2022-08-03 03:39,FEW,SCT,BKN,3000.00,10000.00,23000.00
RJTU,2022-08-03 05:34,FEW,SCT,,3000.00,4000.00,
RJTU,2022-08-03 06:25,FEW,SCT,,3000.00,4000.00,
RJTU,2022-08-04 01:35,FEW,BKN,BKN,1500.00,2000.00,5000.00
RJTU,2022-08-04 02:07,FEW,BKN,BKN,1500.00,2000.00,5000.00
RJTU,2022-08-04 03:05,FEW,BKN,BKN,1000.00,1800.00,5000.00
RJTU,2022-08-04 04:29,FEW,BKN,BKN,1000.00,1500.00,2000.00
RJTU,2022-08-04 07:15,FEW,SCT,BKN,1000.00,1500.00,2000.00
RJTU,2022-08-05 07:25,FEW,SCT,BKN,1500.00,2000.00,2500.00
RJTU,2022-08-12 04:13,FEW,SCT,BKN,2000.00,4500.00,15000.00
RJTU,2022-08-12 06:12,FEW,SCT,BKN,1500.00,4000.00,15000.00
RJTU,2022-08-12 07:37,FEW,SCT,BKN,1500.00,4500.00,15000.00
RJTU,2022-08-14 23:11,FEW,SCT,BKN,1500.00,2500.00,23000.00
RJTU,2022-08-18 00:48,FEW,SCT,BKN,500.00,800.00,1500.00
RJTU,2022-08-18 01:45,FEW,BKN,BKN,500.00,800.00,1500.00
RJTU,2022-08-18 02:45,FEW,BKN,BKN,500.00,800.00,1500.00
RJTU,2022-08-18 03:10,FEW,SCT,BKN,500.00,800.00,1500.00
RJTU,2022-08-18 04:38,FEW,SCT,BKN,1000.00,1500.00,20000.00
RJTU,2022-08-22 22:10,BKN,OVC,,600.00,1200.00,
RJTU,2022-08-22 23:22,FEW,BKN,BKN,600.00,900.00,1500.00
RJTU,2022-08-23 01:27,FEW,SCT,BKN,1000.00,1300.00,2500.00
RJTU,2022-08-23 02:27,FEW,SCT,BKN,1500.00,2500.00,14000.00
RJTU,2022-08-23 22:30,FEW,BKN,BKN,1000.00,5000.00,22000.00
RJTU,2022-08-24 02:13,FEW,SCT,,2000.00,7000.00,
RJTU,2022-08-24 04:18,FEW,BKN,BKN,2500.00,4500.00,8000.00
RJTU,2022-08-24 05:22,FEW,BKN,BKN,1500.00,4000.00,8000.00
RJTU,2022-08-24 06:10,FEW,BKN,BKN,1500.00,3000.00,4000.00
RJTU,2022-08-26 07:30,FEW,SCT,BKN,2000.00,3500.00,4000.00
RJTU,2022-08-29 00:08,FEW,SCT,,3000.00,5000.00,
RJTU,2022-08-29 06:33,FEW,SCT,BKN,3000.00,6000.00,23000.00
RJTU,2022-08-30 07:10,FEW,SCT,BKN,1000.00,1500.00,2500.00
RJTU,2022-08-30 09:35,FEW,BKN,BKN,500.00,800.00,1500.00
RJTU,2022-08-30 11:13,SCT,BKN,BKN,300.00,700.00,1500.00
RJTU,2022-08-30 22:40,SCT,SCT,BKN,300.00,500.00,800.00
RJTU,2022-08-30 23:21,SCT,SCT,BKN,300.00,600.00,800.00
RJTU,2022-08-31 04:27,FEW,SCT,BKN,800.00,1500.00,24000.00
RJTU,2022-08-31 09:10,FEW,BKN,BKN,3000.00,4000.00,24000.00
RJTU,2022-08-31 23:18,FEW,BKN,BKN,1500.00,2000.00,2500.00
RJTU,2022-09-01 01:07,FEW,BKN,BKN,500.00,2000.00,2500.00
RJTU,2022-09-01 06:50,FEW,SCT,BKN,1500.00,2500.00,14000.00
RJTU,2022-09-01 22:22,FEW,SCT,BKN,500.00,1000.00,1500.00
RJTU,2022-09-01 23:15,FEW,SCT,BKN,500.00,1500.00,4000.00
RJTU,2022-09-02 03:28,FEW,SCT,BKN,800.00,3000.00,4000.00
RJTU,2022-09-02 04:13,FEW,SCT,BKN,700.00,2500.00,7000.00
RJTU,2022-09-02 05:22,FEW,SCT,BKN,700.00,2500.00,7000.00
RJTU,2022-09-02 06:50,FEW,SCT,BKN,700.00,4000.00,6000.00
RJTU,2022-09-02 07:25,FEW,BKN,BKN,700.00,6000.00,12000.00
RJTU,2022-09-04 22:45,FEW,BKN,BKN,800.00,1500.00,3000.00
RJTU,2022-09-05 05:33,FEW,SCT,,2000.00,4000.00,
RJTU,2022-09-05 09:38,FEW,SCT,,2000.00,4500.00,
RJTU,2022-09-05 21:15,FEW,SCT,,500.00,2000.00,
RJTU,2022-09-06 00:20,FEW,SCT,BKN,1000.00,1500.00,4000.00
RJTU,2022-09-06 21:27,FEW,BKN,BKN,500.00,700.00,1200.00
RJTU,2022-09-06 22:15,FEW,BKN,BKN,500.00,700.00,2500.00
RJTU,2022-09-06 23:31,FEW,SCT,BKN,500.00,800.00,1200.00
RJTU,2022-09-07 00:10,FEW,SCT,BKN,800.00,3500.00,10000.00
RJTU,2022-09-07 03:04,FEW,SCT,BKN,2000.00,3000.00,4000.00
RJTU,2022-09-07 04:31,FEW,BKN,OVC,1000.00,2500.00,3500.00
RJTU,2022-09-07 05:02,FEW,SCT,BKN,1000.00,1500.00,2500.00
RJTU,2022-09-07 06:35,FEW,SCT,BKN,500.00,1000.00,1500.00
RJTU,2022-09-07 21:17,FEW,SCT,BKN,900.00,1200.00,2500.00
RJTU,2022-09-08 00:35,FEW,BKN,BKN,500.00,2500.00,9000.00
RJTU,2022-09-08 03:11,FEW,SCT,BKN,1000.00,2500.00,10000.00
RJTU,2022-09-08 05:13,FEW,SCT,BKN,1500.00,5000.00,24000.00
RJTU,2022-09-08 08:16,FEW,BKN,BKN,1500.00,2500.00,6000.00
RJTU,2022-09-08 22:34,FEW,BKN,BKN,500.00,2000.00,10000.00
RJTU,2022-09-09 03:23,FEW,SCT,BKN,2000.00,3000.00,10000.00
RJTU,2022-09-09 04:30,FEW,SCT,BKN,2000.00,9000.00,23000.00
RJTU,2022-09-10 01:42,FEW,BKN,BKN,2000.00,3000.00,7000.00
RJTU,2022-09-13 21:03,FEW,BKN,BKN,500.00,900.00,24000.00
RJTU,2022-09-19 22:35,FEW,BKN,BKN,1500.00,1700.00,7000.00
RJTU,2022-09-20 00:43,FEW,BKN,BKN,800.00,1500.00,3000.00
RJTU,2022-09-20 01:28,FEW,SCT,BKN,700.00,1500.00,2500.00
RJTU,2022-09-20 03:35,FEW,SCT,BKN,1000.00,1500.00,3000.00
RJTU,2022-09-20 04:39,FEW,SCT,BKN,1000.00,1500.00,2000.00
RJTU,2022-09-20 06:25,FEW,BKN,BKN,1000.00,3500.00,5000.00
RJTU,2022-09-20 07:25,FEW,SCT,BKN,800.00,2500.00,4500.00
RJTU,2022-09-22 07:44,FEW,BKN,BKN,3000.00,4000.00,7000.00
RJTU,2022-09-25 06:40,FEW,SCT,,3000.00,4000.00,
RJTU,2022-09-26 23:07,FEW,SCT,,2000.00,7000.00,
RJTU,2022-09-27 23:30,FEW,SCT,,3000.00,9000.00,
RJTU,2022-10-03 04:35,FEW,BKN,BKN,3000.00,18000.00,22000.00
RJTU,2022-10-03 22:45,FEW,SCT,,300.00,800.00,
RJTU,2022-10-03 23:23,FEW,SCT,,800.00,22000.00,
RJTU,2022-10-04 01:36,FEW,BKN,BKN,2500.00,14000.00,23000.00
RJTU,2022-10-04 22:27,FEW,SCT,BKN,3000.00,5000.00,6000.00
RJTU,2022-10-04 23:13,FEW,SCT,BKN,2000.00,6000.00,8000.00
RJTU,2022-10-05 00:11,FEW,BKN,BKN,2000.00,6000.00,8000.00
RJTU,2022-10-05 01:15,FEW,BKN,BKN,2000.00,4500.00,8000.00
RJTU,2022-10-05 03:48,FEW,SCT,BKN,800.00,3000.00,4000.00
RJTU,2022-10-05 22:38,FEW,BKN,,500.00,7000.00,
RJTU,2022-10-06 02:28,FEW,BKN,BKN,500.00,1300.00,4500.00
RJTU,2022-10-06 03:32,FEW,SCT,BKN,500.00,1500.00,2500.00
RJTU,2022-10-06 04:30,FEW,SCT,BKN,500.00,4000.00,6000.00
RJTU,2022-10-06 22:04,FEW,SCT,BKN,1000.00,4000.00,9000.00
RJTU,2022-10-07 01:30,FEW,BKN,BKN,1000.00,4000.00,7000.00
RJTU,2022-10-07 05:37,FEW,SCT,BKN,600.00,1000.00,3500.00
RJTU,2022-10-10 01:28,FEW,BKN,BKN,200.00,400.00,1500.00
RJTU,2022-10-12 04:17,FEW,BKN,BKN,3000.00,6000.00,20000.00
RJTU,2022-10-12 21:30,FEW,SCT,BKN,2500.00,6000.00,20000.00
RJTU,2022-10-12 22:16,FEW,BKN,BKN,3000.00,6000.00,20000.00
RJTU,2022-10-13 00:34,FEW,SCT,BKN,3000.00,3500.00,4500.00
RJTU,2022-10-13 03:31,FEW,BKN,BKN,2500.00,3500.00,4500.00
RJTU,2022-10-13 04:53,FEW,SCT,BKN,1500.00,2000.00,3000.00
RJTU,2022-10-13 08:39,FEW,SCT,BKN,1500.00,2000.00,4500.00
RJTU,2022-10-13 21:15,FEW,BKN,BKN,900.00,2500.00,6000.00
RJTU,2022-10-13 23:38,FEW,SCT,BKN,900.00,4000.00,8000.00
RJTU,2022-10-14 01:33,FEW,BKN,,800.00,8000.00,
RJTU,2022-10-17 00:17,FEW,BKN,BKN,500.00,2500.00,4000.00
RJTU,2022-10-17 01:23,FEW,BKN,BKN,1500.00,2000.00,4000.00
RJTU,2022-10-17 03:33,FEW,BKN,BKN,1500.00,2500.00,4000.00
RJTU,2022-10-17 06:34,FEW,SCT,BKN,1500.00,2500.00,4000.00
RJTU,2022-10-17 22:22,FEW,BKN,BKN,800.00,5000.00,7000.00
RJTU,2022-10-18 07:12,FEW,BKN,BKN,1500.00,5000.00,7000.00
RJTU,2022-10-18 21:15,FEW,BKN,,500.00,7000.00,
RJTU,2022-10-18 22:21,FEW,SCT,,500.00,7000.00,
RJTU,2022-10-23 21:34,FEW,SCT,OVC,800.00,2000.00,3500.00
RJTU,2022-10-24 02:31,FEW,SCT,BKN,800.00,2000.00,5000.00
RJTU,2022-10-24 03:29,FEW,SCT,BKN,800.00,3000.00,5000.00
RJTU,2022-10-24 04:45,FEW,SCT,BKN,1000.00,8000.00,10000.00
RJTU,2022-10-24 22:44,FEW,BKN,BKN,4000.00,12000.00,22000.00
RJTU,2022-10-25 01:22,FEW,BKN,,6000.00,15000.00,
RJTU,2022-10-25 23:45,FEW,,,3000.00,,
RJTU,2022-10-31 22:28,FEW,SCT,BKN,3000.00,9000.00,10000.00
RJTU,2022-11-01 06:35,FEW,BKN,BKN,3000.00,4000.00,7000.00
RJTU,2022-11-04 07:17,FEW,BKN,,1000.00,4000.00,
RJTU,2022-11-12 21:10,FEW,SCT,BKN,200.00,300.00,500.00
RJTU,2022-11-13 00:32,FEW,SCT,BKN,300.00,600.00,23000.00
RJTU,2022-11-13 05:44,FEW,SCT,BKN,1500.00,5000.00,15000.00
RJTU,2022-11-13 06:16,FEW,SCT,BKN,1500.00,5000.00,15000.00
RJTU,2022-11-13 07:44,FEW,SCT,BKN,1500.00,5000.00,12000.00
RJTU,2022-11-14 06:41,FEW,BKN,,4000.00,6000.00,
RJTU,2022-11-14 21:30,FEW,SCT,BKN,2000.00,3000.00,5000.00
RJTU,2022-11-15 00:30,FEW,SCT,BKN,800.00,2000.00,3000.00
RJTU,2022-11-15 01:47,FEW,BKN,BKN,500.00,1900.00,3000.00
RJTU,2022-11-15 02:30,FEW,BKN,BKN,800.00,3000.00,5000.00
RJTU,2022-11-15 05:07,FEW,SCT,BKN,800.00,2000.00,6000.00
RJTU,2022-11-17 10:11,FEW,BKN,,3000.00,18000.00,
RJTU,2022-11-17 19:12,FEW,,,5000.00,,
RJTU,2022-11-17 23:33,FEW,BKN,BKN,4000.00,8000.00,22000.00
RJTU,2022-11-21 02:19,FEW,SCT,,3000.00,8000.00,
RJTU,2022-11-21 22:43,FEW,SCT,,300.00,1500.00,
RJTU,2022-11-21 23:27,VV ,,,300.00,,
RJTU,2022-11-22 00:37,SCT,OVC,,200.00,600.00,
RJTU,2022-11-22 01:01,FEW,SCT,,200.00,6000.00,
RJTU,2022-11-23 23:36,FEW,SCT,,200.00,500.00,
RJTU,2022-11-24 00:28,FEW,SCT,,200.00,4000.00,
RJTU,2022-11-24 03:22,FEW,SCT,,2000.00,24000.00,
RJTU,2022-11-24 06:23,FEW,SCT,BKN,2000.00,5000.00,8000.00
RJTU,2022-11-26 00:16,FEW,BKN,BKN,2500.00,3000.00,7000.00
RJTU,2022-11-26 01:20,FEW,BKN,BKN,2500.00,3000.00,7000.00
RJTU,2022-11-26 03:13,FEW,SCT,BKN,2500.00,3000.00,7000.00
RJTU,2022-11-28 00:07,FEW,BKN,,3000.00,4000.00,
RJTU,2022-11-29 02:30,FEW,BKN,BKN,2000.00,3500.00,6000.00
RJTU,2022-11-29 03:11,FEW,BKN,BKN,2000.00,3500.00,6000.00
RJTU,2022-11-29 07:30,FEW,BKN,BKN,2500.00,3000.00,7000.00
