station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RKNN,2018-08-03 19:00,FEW,,,8000.00,,
RKNN,2020-02-15 12:00,FEW,OVC,,1500.00,7000.00,
RKNN,2020-09-24 21:00,BKN,OVC,,1000.00,2000.00,
RKNN,2021-06-22 23:00,FEW,BKN,,1500.00,3000.00,
RKNN,2021-06-27 07:00,SCT,BKN,BKN,1000.00,2000.00,10000.00
RKNN,2021-06-30 21:00,BKN,,,600.00,,
RKNN,2021-07-03 00:00,BKN,BKN,,1000.00,3000.00,
RKNN,2022-07-23 09:33,BKN,BKN,,2500.00,15000.00,
RKNN,2022-07-23 10:57,BKN,BKN,,2500.00,15000.00,
RKNN,2022-07-23 11:53,BKN,BKN,,2500.00,15000.00,
RKNN,2022-07-23 13:50,FEW,BKN,OVC,500.00,1500.00,2500.00
RKNN,2022-07-23 20:38,FEW,FEW,BKN,500.00,2500.00,5000.00
RKNN,2022-07-23 23:47,FEW,FEW,BKN,500.00,2500.00,7000.00
RKNN,2022-07-24 02:14,FEW,FEW,SCT,1500.00,3000.00,7000.00
RKNN,2022-07-24 05:42,FEW,SCT,,3000.00,7000.00,
RKNN,2022-07-24 07:34,BKN,,,5000.00,,
RKNN,2022-07-24 09:35,FEW,BKN,BKN,1000.00,5000.00,8000.00
RKNN,2022-07-24 11:55,SCT,BKN,BKN,500.00,1000.00,4000.00
RKNN,2022-07-24 17:34,SCT,BKN,BKN,500.00,1500.00,4000.00
RKNN,2022-07-25 05:54,SCT,,,2500.00,,
RKNN,2022-07-25 21:50,BKN,,,300.00,,
RKNN,2022-07-25 22:03,BKN,,,300.00,,
RKNN,2022-07-25 23:37,BKN,OVC,,300.00,500.00,
RKNN,2022-07-26 01:44,BKN,OVC,,800.00,1500.00,
RKNN,2022-07-26 02:30,FEW,BKN,OVC,600.00,1000.00,1800.00
RKNN,2022-07-27 05:11,FEW,FEW,SCT,1500.00,2000.00,3000.00
RKNN,2022-07-27 09:25,FEW,FEW,SCT,1200.00,2000.00,3000.00
RKNN,2022-07-27 10:30,FEW,SCT,BKN,1000.00,2500.00,4000.00
RKNN,2022-07-27 11:23,FEW,SCT,BKN,1000.00,2000.00,3000.00
RKNN,2022-07-27 12:31,FEW,SCT,BKN,1000.00,2000.00,2500.00
RKNN,2022-07-27 23:25,FEW,SCT,BKN,1000.00,2500.00,6000.00
RKNN,2022-07-28 01:50,FEW,SCT,BKN,600.00,1200.00,2500.00
RKNN,2022-07-28 05:45,FEW,BKN,BKN,700.00,1200.00,2500.00
RKNN,2022-07-28 13:40,BKN,BKN,,1500.00,2200.00,
RKNN,2022-07-28 18:04,FEW,BKN,OVC,700.00,1000.00,2000.00
RKNN,2022-07-28 23:31,FEW,BKN,,700.00,900.00,
RKNN,2022-07-29 00:35,FEW,BKN,,700.00,1000.00,
RKNN,2022-07-29 02:13,SCT,BKN,,700.00,1100.00,
RKNN,2022-07-29 03:22,BKN,BKN,,700.00,1100.00,
RKNN,2022-07-30 08:07,SCT,SCT,BKN,2500.00,4000.00,15000.00
RKNN,2022-07-30 23:31,FEW,SCT,BKN,600.00,1000.00,2500.00
RKNN,2022-07-31 18:37,SCT,BKN,BKN,300.00,7000.00,15000.00
RKNN,2022-07-31 20:58,SCT,BKN,BKN,300.00,7000.00,15000.00
RKNN,2022-07-31 21:21,BKN,BKN,,6000.00,12000.00,
RKNN,2022-08-01 00:26,BKN,BKN,,5000.00,12000.00,
RKNN,2022-08-01 19:17,BKN,BKN,,5000.00,12000.00,
RKNN,2022-08-01 21:05,BKN,BKN,,5000.00,12000.00,
RKNN,2022-08-01 23:17,FEW,SCT,OVC,500.00,1000.00,5000.00
RKNN,2022-08-02 00:46,SCT,BKN,OVC,500.00,1000.00,5000.00
RKNN,2022-08-02 02:41,FEW,SCT,BKN,500.00,1000.00,5000.00
RKNN,2022-08-02 03:35,FEW,BKN,BKN,500.00,1000.00,5000.00
RKNN,2022-08-02 05:15,FEW,SCT,BKN,1000.00,5000.00,10000.00
RKNN,2022-08-02 10:15,SCT,BKN,,6000.00,14000.00,
RKNN,2022-08-02 19:43,FEW,BKN,OVC,2000.00,7000.00,10000.00
RKNN,2022-08-03 20:52,FEW,BKN,,4000.00,9000.00,
RKNN,2022-08-03 21:29,FEW,BKN,BKN,2000.00,4000.00,9000.00
RKNN,2022-08-03 22:56,FEW,BKN,BKN,2000.00,4000.00,9000.00
RKNN,2022-08-03 23:24,,,,,,
RKNN,2022-08-04 00:47,FEW,BKN,,4000.00,7000.00,
RKNN,2022-08-05 03:34,FEW,SCT,,4000.00,25000.00,
RKNN,2022-08-05 09:37,SCT,BKN,,6000.00,25000.00,
RKNN,2022-08-06 03:19,FEW,BKN,,5000.00,13000.00,
RKNN,2022-08-06 04:41,SCT,BKN,,5000.00,20000.00,
RKNN,2022-08-07 10:06,SCT,BKN,,5000.00,17000.00,
RKNN,2022-08-07 16:27,FEW,BKN,,5000.00,16000.00,
RKNN,2022-08-07 17:31,FEW,SCT,OVC,5000.00,12000.00,16000.00
RKNN,2022-08-07 21:44,FEW,OVC,,5000.00,12000.00,
RKNN,2022-08-07 23:47,,,,,,
RKNN,2022-08-08 03:27,SCT,OVC,,4000.00,10000.00,
RKNN,2022-08-08 14:49,FEW,OVC,,4000.00,10000.00,
RKNN,2022-08-08 18:12,FEW,SCT,OVC,1500.00,4000.00,8000.00
RKNN,2022-08-08 19:02,FEW,SCT,OVC,1500.00,4000.00,8000.00
RKNN,2022-08-09 00:52,FEW,BKN,BKN,2500.00,6000.00,11000.00
RKNN,2022-08-09 02:14,FEW,BKN,BKN,2500.00,6000.00,11000.00
RKNN,2022-08-09 05:50,SCT,BKN,OVC,1000.00,5000.00,10000.00
RKNN,2022-08-09 22:32,SCT,BKN,OVC,500.00,1500.00,3000.00
RKNN,2022-08-10 01:21,SCT,BKN,BKN,700.00,2000.00,3000.00
RKNN,2022-08-10 05:46,FEW,BKN,,1200.00,1800.00,
RKNN,2022-08-10 09:42,SCT,BKN,,2000.00,5000.00,
RKNN,2022-08-11 04:44,FEW,SCT,BKN,500.00,1500.00,3000.00
RKNN,2022-08-11 05:11,FEW,FEW,BKN,500.00,1500.00,3000.00
RKNN,2022-08-11 23:23,FEW,SCT,,4000.00,25000.00,
RKNN,2022-08-13 04:32,FEW,FEW,BKN,1000.00,4000.00,15000.00
RKNN,2022-08-13 06:16,SCT,BKN,BKN,4000.00,8000.00,12000.00
RKNN,2022-08-13 08:32,SCT,BKN,,4000.00,10000.00,
RKNN,2022-08-13 12:37,SCT,BKN,,1000.00,7000.00,
RKNN,2022-08-13 21:16,FEW,BKN,,1000.00,5000.00,
RKNN,2022-08-14 01:51,FEW,SCT,SCT,2000.00,6000.00,25000.00
RKNN,2022-08-14 11:31,FEW,BKN,OVC,2000.00,4000.00,8000.00
RKNN,2022-08-14 12:56,BKN,OVC,,4000.00,8000.00,
RKNN,2022-08-14 15:54,SCT,BKN,,4000.00,8000.00,
RKNN,2022-08-14 19:47,FEW,BKN,,4000.00,12000.00,
RKNN,2022-08-14 20:05,FEW,BKN,,4000.00,12000.00,
RKNN,2022-08-14 23:54,FEW,BKN,,4000.00,19000.00,
RKNN,2022-08-15 12:35,BKN,BKN,,5000.00,15000.00,
RKNN,2022-08-16 01:50,FEW,SCT,,6000.00,20000.00,
RKNN,2022-08-16 05:58,SCT,BKN,,1000.00,6000.00,
RKNN,2022-08-16 06:28,BKN,BKN,BKN,900.00,1500.00,6000.00
RKNN,2022-08-16 07:42,BKN,BKN,BKN,900.00,1500.00,6000.00
RKNN,2022-08-16 08:09,BKN,BKN,BKN,900.00,1500.00,6000.00
RKNN,2022-08-16 10:25,BKN,BKN,,1200.00,2500.00,
RKNN,2022-08-16 11:47,SCT,BKN,,1200.00,2500.00,
RKNN,2022-08-16 21:30,FEW,BKN,BKN,1200.00,2000.00,5000.00
RKNN,2022-08-17 03:17,SCT,BKN,BKN,1100.00,2500.00,4000.00
RKNN,2022-08-17 04:18,SCT,BKN,BKN,1400.00,2500.00,4000.00
RKNN,2022-08-17 08:27,SCT,BKN,BKN,1600.00,2500.00,4000.00
RKNN,2022-08-17 11:41,FEW,BKN,,1500.00,8000.00,
RKNN,2022-08-17 18:23,FEW,SCT,,1500.00,6000.00,
RKNN,2022-08-17 22:35,FEW,,,3000.00,,
RKNN,2022-08-18 21:41,FEW,BKN,,3000.00,20000.00,
RKNN,2022-08-19 05:45,FEW,BKN,BKN,4000.00,8000.00,13000.00
RKNN,2022-08-19 13:26,BKN,BKN,,7000.00,12000.00,
RKNN,2022-08-20 00:16,SCT,BKN,,1500.00,2300.00,
