station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RKSW,2019-11-17 00:25,SCT,BKN,,8000.00,10000.00,
RKSW,2019-12-22 18:25,BKN,OVC,,1500.00,3000.00,
RKSW,2019-12-23 22:25,FEW,,,0.00,,
RKSW,2019-12-25 20:25,BKN,,,8000.00,,
RKSW,2019-12-29 23:25,BKN,OVC,,1500.00,2500.00,
RKSW,2020-02-12 04:25,FEW,BKN,OVC,500.00,1500.00,2500.00
RKSW,2020-03-09 23:25,SCT,OVC,,1000.00,3000.00,
RKSW,2020-05-15 18:25,SCT,OVC,,500.00,1000.00,
RKSW,2020-05-18 07:25,,,,,,
RKSW,2020-05-24 23:25,SCT,BKN,,600.00,1000.00,
RKSW,2020-05-27 22:25,SCT,,,8000.00,,
RKSW,2020-06-02 20:25,FEW,BKN,OVC,0.00,600.00,1000.00
RKSW,2020-07-08 22:25,SCT,,,4000.00,,
RKSW,2020-07-18 21:25,BKN,OVC,,1800.00,6000.00,
RKSW,2020-07-21 20:25,BKN,BKN,,4000.00,20000.00,
RKSW,2020-07-26 23:25,BKN,OVC,,1500.00,3000.00,
RKSW,2020-07-31 21:25,BKN,BKN,,1500.00,4000.00,
RKSW,2020-08-05 19:25,BKN,FEW,OVC,1000.00,1800.00,3000.00
RKSW,2020-12-13 00:25,SCT,OVC,,1500.00,3000.00,
RKSW,2021-01-12 23:25,SCT,,,4000.00,,
RKSW,2021-02-03 16:25,BKN,OVC,,1000.00,1500.00,
RKSW,2021-02-07 02:25,FEW,BKN,,0.00,2000.00,
RKSW,2021-02-13 00:25,FEW,,,0.00,,
RKSW,2021-02-16 02:25,SCT,BKN,,3000.00,5000.00,
RKSW,2021-03-07 21:25,FEW,,,0.00,,
RKSW,2021-03-15 18:25,FEW,SCT,OVC,0.00,400.00,1500.00
RKSW,2021-03-20 03:25,BKN,OVC,,1000.00,2000.00,
RKSW,2021-03-20 11:25,BKN,OVC,,1000.00,2000.00,
RKSW,2021-05-24 23:25,FEW,OVC,,1500.00,2000.00,
RKSW,2021-05-28 12:25,SCT,BKN,,1500.00,5000.00,
RKSW,2021-07-04 10:25,BKN,OVC,,800.00,2000.00,
RKSW,2021-07-10 14:25,BKN,BKN,,3000.00,10000.00,
RKSW,2022-07-14 01:25,BKN,BKN,,1000.00,2000.00,
RKSW,2022-07-23 06:41,SCT,BKN,,3000.00,10000.00,
RKSW,2022-07-23 11:07,,,,,,
RKSW,2022-07-23 12:37,BKN,OVC,,1000.00,3000.00,
RKSW,2022-07-23 15:31,BKN,OVC,,1500.00,3000.00,
RKSW,2022-07-24 01:25,SCT,BKN,,2000.00,4000.00,
RKSW,2022-07-24 03:39,SCT,BKN,,2000.00,4000.00,
RKSW,2022-07-24 04:26,SCT,BKN,,2000.00,3500.00,
RKSW,2022-07-24 05:23,FEW,BKN,,1500.00,3000.00,
RKSW,2022-07-24 09:41,BKN,,,3000.00,,
RKSW,2022-07-24 10:09,BKN,,,3000.00,,
RKSW,2022-07-24 12:47,BKN,,,3000.00,,
RKSW,2022-07-27 07:37,FEW,BKN,,4000.00,20000.00,
RKSW,2022-07-27 09:46,FEW,BKN,,4000.00,20000.00,
RKSW,2022-07-28 00:46,FEW,,,3000.00,,
RKSW,2022-07-28 08:53,SCT,,,4000.00,,
RKSW,2022-07-28 12:26,SCT,BKN,,4000.00,10000.00,
RKSW,2022-07-28 23:55,FEW,,,3000.00,,
RKSW,2022-07-29 06:12,BKN,,,5000.00,,
RKSW,2022-07-30 21:52,SCT,BKN,,10000.00,18000.00,
RKSW,2022-07-30 23:32,SCT,BKN,,5000.00,10000.00,
RKSW,2022-07-31 01:45,,,,,,
RKSW,2022-07-31 19:43,BKN,FEW,OVC,1000.00,1800.00,3000.00
RKSW,2022-07-31 22:36,BKN,OVC,,1200.00,3000.00,
RKSW,2022-07-31 23:24,SCT,BKN,,1200.00,3000.00,
RKSW,2022-08-01 00:48,FEW,BKN,,1200.00,3000.00,
RKSW,2022-08-01 01:50,FEW,BKN,,1500.00,4000.00,
RKSW,2022-08-01 08:01,FEW,BKN,,3000.00,8000.00,
RKSW,2022-08-01 09:43,FEW,BKN,,3000.00,7000.00,
RKSW,2022-08-01 13:05,FEW,BKN,,1800.00,5000.00,
RKSW,2022-08-01 18:26,FEW,BKN,,1000.00,3000.00,
RKSW,2022-08-01 20:45,FEW,BKN,,1200.00,2500.00,
RKSW,2022-08-01 21:30,,,,,,
RKSW,2022-08-01 23:34,FEW,BKN,BKN,1300.00,1800.00,2500.00
RKSW,2022-08-02 01:45,BKN,BKN,,2000.00,3000.00,
RKSW,2022-08-02 04:42,BKN,BKN,,2000.00,3000.00,
RKSW,2022-08-02 05:19,BKN,BKN,,2000.00,3000.00,
RKSW,2022-08-02 06:27,FEW,BKN,BKN,1500.00,2000.00,3000.00
RKSW,2022-08-02 08:09,FEW,BKN,BKN,1500.00,2000.00,3000.00
RKSW,2022-08-02 14:07,BKN,BKN,,1500.00,3000.00,
RKSW,2022-08-02 20:37,BKN,FEW,OVC,1000.00,1800.00,3000.00
RKSW,2022-08-02 21:30,BKN,FEW,OVC,1000.00,1800.00,3000.00
RKSW,2022-08-03 03:06,SCT,BKN,BKN,1800.00,3500.00,6000.00
RKSW,2022-08-03 23:18,BKN,,,1500.00,,
RKSW,2022-08-04 02:19,BKN,,,3000.00,,
RKSW,2022-08-04 19:25,SCT,BKN,,1500.00,3000.00,
RKSW,2022-08-04 20:43,SCT,BKN,,1500.00,2500.00,
RKSW,2022-08-04 21:13,BKN,,,1500.00,,
RKSW,2022-08-04 23:29,,,,,,
RKSW,2022-08-05 01:48,BKN,BKN,,2000.00,3000.00,
RKSW,2022-08-05 23:39,BKN,BKN,,1500.00,3000.00,
RKSW,2022-08-06 00:39,SCT,BKN,,1500.00,3000.00,
RKSW,2022-08-06 03:12,SCT,BKN,,2000.00,3000.00,
RKSW,2022-08-06 04:41,BKN,BKN,,3000.00,20000.00,
RKSW,2022-08-06 05:46,BKN,BKN,,3000.00,20000.00,
RKSW,2022-08-06 06:31,FEW,FEW,BKN,1700.00,1800.00,3000.00
RKSW,2022-08-06 18:40,BKN,,,4000.00,,
RKSW,2022-08-06 20:32,BKN,BKN,,1500.00,4000.00,
RKSW,2022-08-06 21:25,FEW,BKN,,1500.00,5000.00,
RKSW,2022-08-07 01:43,FEW,BKN,,2000.00,3000.00,
RKSW,2022-08-07 14:39,SCT,BKN,,2000.00,18000.00,
RKSW,2022-08-07 15:27,SCT,BKN,,2000.00,18000.00,
RKSW,2022-08-07 21:27,SCT,OVC,,2000.00,2500.00,
RKSW,2022-08-07 22:20,SCT,OVC,,2000.00,2500.00,
RKSW,2022-08-08 00:24,BKN,OVC,,1800.00,2500.00,
RKSW,2022-08-08 03:14,,,,,,
RKSW,2022-08-08 04:33,BKN,FEW,OVC,1500.00,1800.00,2500.00
RKSW,2022-08-08 06:45,BKN,FEW,OVC,1500.00,1800.00,2500.00
RKSW,2022-08-08 07:25,FEW,BKN,OVC,500.00,1000.00,2500.00
RKSW,2022-08-08 09:33,BKN,OVC,,1000.00,2500.00,
RKSW,2022-08-08 10:04,BKN,FEW,OVC,1000.00,1800.00,2500.00
RKSW,2022-08-08 12:43,BKN,FEW,OVC,1000.00,1800.00,2500.00
RKSW,2022-08-08 14:42,BKN,FEW,OVC,1000.00,1800.00,2500.00
RKSW,2022-08-08 22:42,BKN,OVC,,1000.00,2500.00,
RKSW,2022-08-09 05:39,BKN,BKN,,1000.00,2500.00,
RKSW,2022-08-09 07:54,BKN,OVC,,1800.00,3000.00,
RKSW,2022-08-09 08:50,BKN,OVC,,1800.00,3000.00,
RKSW,2022-08-09 09:41,FEW,BKN,OVC,1500.00,1800.00,3000.00
RKSW,2022-08-09 12:20,BKN,FEW,OVC,1000.00,1800.00,2000.00
RKSW,2022-08-09 14:34,BKN,FEW,OVC,1000.00,1800.00,2000.00
RKSW,2022-08-09 23:30,BKN,BKN,,800.00,3000.00,
RKSW,2022-08-10 05:50,SCT,BKN,,1500.00,2500.00,
RKSW,2022-08-10 06:04,BKN,BKN,,1500.00,2000.00,
RKSW,2022-08-10 09:32,,,,,,
RKSW,2022-08-10 16:07,BKN,OVC,,800.00,1500.00,
RKSW,2022-08-10 19:07,BKN,OVC,,500.00,1000.00,
RKSW,2022-08-10 20:36,SCT,BKN,OVC,500.00,1000.00,2500.00
RKSW,2022-08-10 21:35,FEW,BKN,OVC,500.00,1000.00,2500.00
RKSW,2022-08-10 23:13,FEW,BKN,OVC,500.00,1000.00,2500.00
RKSW,2022-08-11 05:35,BKN,BKN,,1000.00,3000.00,
RKSW,2022-08-11 07:34,BKN,OVC,,1000.00,2500.00,
RKSW,2022-08-11 09:40,BKN,OVC,,1000.00,2500.00,
RKSW,2022-08-11 11:40,BKN,OVC,,1500.00,2500.00,
RKSW,2022-08-11 12:03,BKN,OVC,,1500.00,2500.00,
RKSW,2022-08-11 20:31,FEW,SCT,,2000.00,20000.00,
RKSW,2022-08-12 03:30,FEW,,,3000.00,,
RKSW,2022-08-13 05:24,,,,,,
RKSW,2022-08-13 06:49,FEW,BKN,OVC,1000.00,1500.00,3000.00
RKSW,2022-08-13 12:37,BKN,BKN,,2500.00,6000.00,
RKSW,2022-08-13 14:35,BKN,BKN,,3000.00,7000.00,
RKSW,2022-08-13 16:43,BKN,BKN,,1000.00,3000.00,
RKSW,2022-08-13 21:26,BKN,BKN,,1000.00,5000.00,
RKSW,2022-08-14 06:12,SCT,BKN,,2500.00,4000.00,
RKSW,2022-08-14 07:42,SCT,FEW,BKN,1500.00,1800.00,3000.00
RKSW,2022-08-14 08:14,,,,,,
RKSW,2022-08-14 09:46,BKN,FEW,OVC,1500.00,1800.00,3000.00
RKSW,2022-08-14 10:36,BKN,BKN,,1500.00,3000.00,
RKSW,2022-08-15 09:48,BKN,BKN,,2200.00,4000.00,
RKSW,2022-08-15 11:04,BKN,,,1500.00,,
RKSW,2022-08-15 14:23,BKN,BKN,,1300.00,2000.00,
RKSW,2022-08-15 16:33,BKN,,,1200.00,,
RKSW,2022-08-15 17:52,FEW,BKN,,1000.00,1500.00,
RKSW,2022-08-15 20:20,BKN,BKN,,2000.00,15000.00,
RKSW,2022-08-15 21:01,SCT,BKN,BKN,1000.00,2000.00,15000.00
RKSW,2022-08-16 22:34,BKN,,,2300.00,,
RKSW,2022-08-17 02:21,FEW,BKN,BKN,2500.00,3000.00,18000.00
RKSW,2022-08-19 01:37,BKN,BKN,,2700.00,20000.00,
RKSW,2022-08-19 05:33,BKN,OVC,,1800.00,2500.00,
RKSW,2022-08-19 08:40,BKN,OVC,,1800.00,2500.00,
RKSW,2022-08-19 09:35,BKN,BKN,,2000.00,3000.00,
RKSW,2022-08-19 11:48,BKN,BKN,,1500.00,3000.00,
RKSW,2022-08-19 12:15,BKN,,,1500.00,,
RKSW,2022-08-19 15:36,BKN,BKN,,1000.00,1500.00,
RKSW,2022-08-19 22:19,FEW,BKN,,1000.00,2500.00,
RKSW,2022-08-22 10:36,SCT,BKN,OVC,3000.00,6000.00,13000.00
RKSW,2022-08-22 11:56,,,,,,
RKSW,2022-08-22 12:20,SCT,BKN,OVC,3000.00,5000.00,13000.00
RKSW,2022-08-22 13:31,SCT,BKN,OVC,3000.00,5000.00,13000.00
RKSW,2022-08-22 17:30,SCT,BKN,,2000.00,4000.00,
RKSW,2022-08-22 18:40,FEW,BKN,,1500.00,2500.00,
RKSW,2022-08-22 21:40,SCT,BKN,OVC,1000.00,1500.00,2500.00
RKSW,2022-08-22 22:07,SCT,BKN,OVC,1000.00,1500.00,2500.00
RKSW,2022-08-22 23:31,SCT,BKN,OVC,1000.00,1500.00,2500.00
RKSW,2022-08-23 03:05,SCT,BKN,,1800.00,3000.00,
RKSW,2022-08-23 19:25,BKN,,,2000.00,,
RKSW,2022-08-24 02:49,BKN,BKN,,4500.00,20000.00,
RKSW,2022-08-24 08:38,BKN,,,4000.00,,
RKSW,2022-08-25 00:44,FEW,BKN,BKN,3000.00,12000.00,15000.00
RKSW,2022-08-25 10:05,FEW,BKN,BKN,3000.00,14000.00,18000.00
RKSW,2022-08-26 17:39,BKN,,,3000.00,,
RKSW,2022-08-29 06:35,SCT,BKN,OVC,2500.00,7000.00,15000.00
RKSW,2022-08-29 14:29,BKN,BKN,,5000.00,7000.00,
RKSW,2022-08-29 15:31,BKN,,,5000.00,,
RKSW,2022-08-29 21:51,,,,,,
